name,score,address,img_url,reviews,open_hour
에스앤유피부과의원,2.3,"마포구 백범로 178 마포신영지웰 2층 A203,204,B202~204호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fce1100b7074ff1e64c4cc7443ce6aacb2c154cd5%3Foriginal,"[{'작성자': 'hi', '별점': '4.0', '날짜': '2025.03.02.', '내용': '의사쌤이랑 데스크직원분들 간호사분들 다 친절하심!!\n\n문제는 아기 손님들이 99퍼라 정말 시끄러워요.. \n서라운드로 우는 소리가 들려서 너무 힘들었슴다', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2024.12.24.', '내용': '추가 후기)\n밑의 여아 치마 들춰서 항의했다는 후기\n이후 제 컴플레인 후기 알았는지\n다른 환자 번호로 문의해서 한 가격보다 5만원 이상을 더 부릅니다. \n\n-\n\n밑에 별점 0점은 왜 없냐는 다른 후기에 완전 공감..\n\n... 더보기', '좋아요': '23'}, {'작성자': 'greenstar', '별점': '5.0', '날짜': '2024.10.31.', '내용': '정말 감사합니다...여러 대학병원에서도 못찾던 원인과 병명을 찾아주시고 친절하고 상세하게 다 설명해주셔서 감사합니다! ㅠㅠ', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '09:30 ~ 14:30', '휴무일': '공휴일'}"
공덕안과의원,2.4,마포구 만리재로 14 한국사회복지회관 르네상스타워 3층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA0MjBfMjc2%2FMDAxNjgxOTU2MTE3MTA0.mZnMZf_T0uCpggJKBO1kuK0OsgOnPhdJV227U39XNQYg.1mzJZvUzmDy4qdRCt0uGhDXeoBVJorRLZ9Fc-JOLGO4g.PNG.kimi3811%2Fimage.png%3Ftype%3Dw966,"[{'작성자': 'Sully', '별점': '1.0', '날짜': '2025.02.26.', '내용': '검사비용듣고 진료받았는데 진료받고나오니 금액이 2배정도 차이남. 이유 물으니 검사해서 문제있으면 급여, \n문제 없으면 비급여처리한다고함. 이부분에 대해서 검사전 아무얘기도 없었음. 진료비... 더보기', '좋아요': '0'}, {'작성자': 'sujjjn', '별점': '1.0', '날짜': '2025.02.17.', '내용': '눈이 너무 충혈되서 리뷰가 많길래 방문했습니다. 1월 25일 방문했고 시간이 많지 않아서 접수할 때 빠른원장님으로 해주신다고 하셨고 15분정도 걸린다고 하셔서 접수 했는데 거의 한 40분은 기다렸네요. 이건... 더보기', '좋아요': '1'}, {'작성자': '은하수화이팅!!!', '별점': '1.0', '날짜': '2024.11.02.', '내용': '돈버는데에만  급급해 보임. 쓸데없는 검사만 해서 14만원 쓰고옴.어이없음\n다음에는 IPL검사 하자다한다 12만원 어이가 없음', '좋아요': '1'}]","{'일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '휴무일': '매주 일요일'}"
연세소리이비인후과의원,4.3,마포구 백범로31길 8 공덕SK리더스뷰 2층 203~205호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F4BC2BEADE0874F04AACBE01A733C60E1,"[{'작성자': '김미나', '별점': '5.0', '날짜': '2025.01.31.', '내용': '아이가 불안이 높은데 친절하게 잘 설명해주십니다.', '좋아요': '1'}, {'작성자': '허유리', '별점': '1.0', '날짜': '2025.01.11.', '내용': '7시까지 한다고 해서 갔는데 2번방 여자 의사님께 진료받았어요. 보통 널직한 바로 혓바닥 눌러서 목상태보는게 정상 아닌가요. 앉자마자 내시경으로 목 들여다보면서 여기저기 쑤시는데 불쾌했습니다. 침 삼킬때마다 목이 ... 더보기', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2025.01.07.', '내용': '아주 아주 친절하고 대기가 많지 않음', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 15:00', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30', '휴무일': '석가탄신일, 설전날, 설당일, 설다음날, 1월1일, 삼일절, 어린이날, 현충일, 광복절'}"
공덕척정형외과재활의학과의원,4.6,마포구 마포대로 143 마포공덕파크팰리스2 1-2층 216~218호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F94AEF7C994E941C5B782536A6D949908,"[{'작성자': '댕댕이', '별점': '5.0', '날짜': '2025.03.18.', '내용': '원장님이 자세하게 증상과 치료에 대해서 이야기해주셔서 좋습니다~!\n직원분들이랑 물리치료사님들도 엄청 친절해요', '좋아요': '0'}, {'작성자': '선유달', '별점': '5.0', '날짜': '2025.03.12.', '내용': '정말 1진료실 원장님께 너무 감사합니다... 원장님이 원인 모를 인대 통증으로 고통받던 저를 구원해 주셨어요🥹 이 은혜를 어떻게 갚아야 할지 모르겠어요. 과잉진료 없이 필요... 더보기', '좋아요': '0'}, {'작성자': '무무', '별점': '5.0', '날짜': '2025.01.05.', '내용': '과하게 치료 권하지않아서 좋고, 꼼꼼하게 봐주시는게 느껴집니다. 인대염증 때문에 거의 일년동안 다른 병원들 전전했는데 많이 좋아졌어요.', '좋아요': '1'}]","{'일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 14:00', '휴무일': '공휴일'}"
서울라헬여성의원,2.2,마포구 마포대로 109 롯데캐슬프레지던트 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEwMDlfMTk3%2FMDAxNjY1Mjg2MzU5MDU4.0VBry3PpA6Z6gAFsyxP1MhLmTOKmWZ5umb5sSkYTgdAg.na4DTI00BPK0U6-MB1TTYxg3utne2vaYSq8UrbF-hIMg.JPEG.swusjy%2FKakaoTalk_20221009_115525629_05.jpg%3Ftype%3Dw966,"[{'작성자': '맛도리탐방', '별점': '1.0', '날짜': '2024.12.06.', '내용': '최악….\nㅣ산전검사 받는데 돈을 뻥튀기함', '좋아요': '0'}, {'작성자': '보라보라', '별점': '1.0', '날짜': '2024.11.28.', '내용': '비급여 항목으로 병원비 장난아님\n첫병원으로 갔는데 추가 혈액 검사로 비급여라고 말한뒤 검사받음. 비타민 뭐가 부족하다 등등 알려주긴 했는데. 지금와서 보면 굳이그 돈 주고 받았어야 되는 검사인가 싶음... 더보기', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '1.0', '날짜': '2024.11.10.', '내용': '인터넷 후기 보면 오진 후기들이 있다. 그걸 참고하면 왜 가면 안되는지 알듯', '좋아요': '0'}]","{'월': '08:00 ~ 17:00', '화': '08:00 ~ 17:00', '수': '08:30 ~ 12:30', '목': '08:00 ~ 17:00', '금': '08:00 ~ 17:00', '토': '08:30 ~ 12:30'}"
연세행복치과,4.6,마포구 만리재로 27 소전메디칼빌딩 7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDNfMjQz%2FMDAxNzMzMTk0Nzc5ODE2.FBGnFklFRUiVuFFkNDrgF3fuOdQg4Dlac3AVwEaLY40g.6T1Xar7YGpxtD-ud_Sw8WXf_9hNaUiOcgLaeGBTb_YQg.JPEG%2F20241016_125945_006.jpg%3Ftype%3Dw466,"[{'작성자': 'jj', '별점': '5.0', '날짜': '2024.07.19.', '내용': '스케일링 꼼꼼히 잘해주세요', '좋아요': '0'}, {'작성자': '김예준', '별점': '5.0', '날짜': '2023.05.19.', '내용': '치과진료가 가장 힘들고 무섭고 그랬는데\n세심하고 섬세하게 진료해주셔서 안정적으로 불안없이\n사랑니발치도 아프지 않게 진료 잘 받았어요 : )\n추천드립니다!!', '좋아요': '0'}, {'작성자': '김단이', '별점': '5.0', '날짜': '2023.05.09.', '내용': '깨진 앞니와 충치를 치료하였는데 모두 말끔하고 아프지도 않게 해주셔서 그 실력을 실감하였고 주변분들에게도 적극 추천하고 있습니다^^', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '휴무일': '공휴일'}"
닥터스피부과의원 마포공덕점,,마포구 마포대로 127 풍림VIP텔 2층 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF1B03C078E8F4F03B69851078DF37876,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 19:30', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '휴무일': '공휴일'}"
견우한의원 마포본점,4.9,마포구 만리재로 15 2층 208호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC8C387ED80DC4D989656ACD2F36834E2,"[{'작성자': '언제나청춘', '별점': '5.0', '날짜': '2024.02.20.', '내용': '단골로 다니는 어깨 한의원. 손목이나 허리 아플 때 가도 좋아요. 치료 시간도 짧아서 좋아요.', '좋아요': '11'}, {'작성자': '아름다운봄', '별점': '5.0', '날짜': '2023.11.01.', '내용': '근막통증증후군으로 힘들었는데 원장님께서 차근차근 잘 설명해주셨고 주의사항도 자세하게 알려주셔서 그리고 치료 열심히 받았더니 지금은 불편없이 잘 지낼 수 있어서 너무 감사하는 마음입니다.', '좋아요': '0'}, {'작성자': 'Barcia', '별점': '5.0', '날짜': '2023.01.25.', '내용': '어깨충돌증후군과 회전근개파열이 복합적으로 생겨 정형외과에서 주사 치료를 받으면 잠시 좋아졌다가 재발하기를 반복해서 지인의 소개로 견우한의원을 찾았습니다. 원장님이 지도하는 바른 자세, 한약, 약침, 침 치료를... 더보기', '좋아요': '19'}]","{'일': '09:00 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00'}"
공덕365의원,4.6,"마포구 백범로 199 메트로디오빌빌딩 2층 201,202호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F98914318333E433D87F5D67BEDF1A0C6,"[{'작성자': '이', '별점': '1.0', '날짜': '2025.03.01.', '내용': '그냥 감기약 받으러 가는곳', '좋아요': '0'}, {'작성자': '권종원⚡️', '별점': '4.0', '날짜': '2025.02.16.', '내용': '난 좋았어', '좋아요': '0'}, {'작성자': '🐳💦', '별점': '5.0', '날짜': '2025.02.02.', '내용': '후기 잘 안 남기는데 엄청 친절하시고 정확하고 빠른 진료 너무 좋네요ㅜ 대기한 시간이 안아까울정도', '좋아요': '0'}]","{'일': '08:00 ~ 17:00', '월': '08:00 ~ 21:00', '화': '08:00 ~ 21:00', '수': '08:00 ~ 21:00', '목': '08:00 ~ 21:00', '금': '08:00 ~ 21:00', '토': '08:00 ~ 17:00'}"
마포정형외과의원,1.6,마포구 백범로37길 26,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc8f1cc6b75dedbe7539094f091249bf6657559bf%3Foriginal,"[{'작성자': '이정연', '별점': '1.0', '날짜': '2023.06.12.', '내용': '정말 1점도 주고 싶지는 않지만 다른 분들도 리뷰 보시라고 올려요 ^^ \n동생이 얼굴이 찢어져서 갔는데 카드 결제 안된다고 현금 입금 유도하시고, 꿰맨걸 보니 너무 이상해서 다시 다른 정형외과 가보니 턱뼈가 부... 더보기', '좋아요': '3'}, {'작성자': 'BravoSoul~🎵', '별점': '1.0', '날짜': '2021.12.27.', '내용': '별하나도 아까운 나이롱 나이롱롱~~~ \n환자전문병원!!!', '좋아요': '0'}, {'작성자': '고기반찬', '별점': '1.0', '날짜': '2019.07.04.', '내용': '영화 빠삐용의 느낌을 느끼고 싶다면 이곳의 병실을 보세요', '좋아요': '1'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
