name,score,address,img_url,reviews,open_hour
연세우리내과의원,3.4,"마포구 백범로 10 현대벤쳐빌 101,201호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMjlfMTI5%2FMDAxNzMwMTgxNDYwNTE1.4kVROAGiNNlgYGiPo9xYMHhetlKPclzBN1yMV636ShQg.VXtxTo3Ypnew9mePZ1shhxS_IQhfE2i_UmX4lhsOJFog.PNG%2F%25EB%25B8%258C%25EB%259D%25BC%25EC%259A%25B4_%25EC%258B%25AC%25ED%2594%258C%25ED%2595%259C_%25EB%25B8%2594%25EB%25A1%259C%25EA%25B7%25B8_%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%2582%25AC%25EC%25A7%2584_%25EB%25B0%25B0%25EA%25B2%25BD_%25EC%259D%25B8%25EC%258A%25A4%25ED%2583%2580%25EA%25B7%25B8%25EB%259E%25A8_%25ED%258F%25AC%25EC%258A%25A4%25ED%258A%25B8_-_4.png%3Ftype%3Dw580,"[{'작성자': '냥냥', '별점': '3.0', '날짜': '2025.03.13.', '내용': '알레르기 때문에 머리도 아프고 기침도하고 자꾸 기침하고 코풀어서 귀도 아프다고 했는데 의사샘이 어어어하다가 얘기 잘못들어서 그런지 비염약만 쳐줬네요;;;;; 엄살부리는줄알았나 힘들어죽을것같은데!!', '좋아요': '0'}, {'작성자': '당산로니콜먼', '별점': '5.0', '날짜': '2025.03.11.', '내용': '환자가 많은데 대부분 진료가 긴 환자들인 것 같았음. 급성장염은 뭐 사실 약만타가는 거라서 금방끝나지만 앞 대기인원이 길어서 첨엔 오래걸린다고 해서 기다리기로함. 근데 데스크에서 유도리 있... 더보기', '좋아요': '0'}, {'작성자': '한건호', '별점': '5.0', '날짜': '2025.02.28.', '내용': '최근 혈당이 자꾸 높아지는 것 같아서 다녀왔는데 정확하게 진단해주셨어요.\n집에서는 펩티드요법을 하면서 꾸준히 관리 중인데 확실히 변화가 느껴지네요. 감사합니다.', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 16:00', '휴무일': '공휴일'}"
노벨의원,,마포구 신촌로 92 신촌카리스빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA5MTNfNzEg%2FMDAxNjYzMDgwNjg1NTg1.ky-M7Cf3k5ypw0ZMrJrJHwu8tP10vTKr0_fnjrZ3VHEg.LyxKhwYnTbSUs6rbPzD5JcZoVa1HlEZe1G0qC6YNGZ8g.JPEG.laj7364%2F20220913%25EF%25BC%25BF153753.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 19:30', '화': '10:00 ~ 19:30', '수': '10:00 ~ 19:30', '목': '10:00 ~ 19:30', '금': '10:00 ~ 21:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
숭실한의원,3.9,마포구 서강로 131 신촌아이스페이스빌딩 1~4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F555706C41B204EE8B9F07A8F7ED1A00E,"[{'작성자': 'majuang', '별점': '3.0', '날짜': '2025.01.25.', '내용': '작은 병원 치고는 식단좋고 먹을만 했어요 식기도 대학병원에도 안쓰는 스테인레스 식기고...\n단지 추나 5분은 좀 아닌듯 5분 하고 보험사에 한시간 ... 더보기', '좋아요': '0'}, {'작성자': '매롱', '별점': '1.0', '날짜': '2024.08.23.', '내용': '작작좀해라,댓글보니 알바생도썻네,돈 다 털린다. ㅋ', '좋아요': '1'}, {'작성자': 'ㄷㄷ', '별점': '2.0', '날짜': '2024.01.25.', '내용': '카운터도 친절하고 한의사도 친절한데 물리치료실 직원들이 너무 수준이하. 환자들 누워서 치료받고 있는데 시끄럽게 잡담. 한 분은 매번 화난 표정과 틱틱대는 말투로 응대하고, 다른 등치있으신 분은 성격... 더보기', '좋아요': '0'}]","{'일': '09:00 ~ 17:00', '월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '목': '08:00 ~ 20:00', '금': '08:00 ~ 20:00', '토': '09:00 ~ 17:00', '휴무일': '추석당일, 설당일'}"
신촌연세이비인후과의원,1.9,마포구 신촌로 88 태영빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F62f755b58cc011ca747fb02ce0fee1aebfcf93d9%3Foriginal,"[{'작성자': 'HHH', '별점': '1.0', '날짜': '2025.03.03.', '내용': '평이 납득이 가는 병원 ㅋㅋㅋㅋㅋ 자기 멋에 취해있는데 도움은 하나도 안되는곳', '좋아요': '0'}, {'작성자': '아이러브맛집', '별점': '1.0', '날짜': '2025.02.21.', '내용': '.. 평점은 과학이다\n이시국에 대기 한명도 없는 이유를 알겠네요', '좋아요': '0'}, {'작성자': '이영준', '별점': '5.0', '날짜': '2025.01.07.', '내용': '알러지 주사 효과 좋아요', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 17:30', '화': '10:00 ~ 17:30', '수': '10:00 ~ 17:30', '목': '10:00 ~ 17:30', '금': '10:00 ~ 17:30', '토': '10:00 ~ 13:30', '휴무일': '공휴일'}"
김성전김시찬이비인후과의원,2.7,"마포구 신촌로 92 신촌카리스빌딩 2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb5ad7364ad30cf9769555de510286bd522f21614%3Foriginal,"[{'작성자': 'huu', '별점': '1.0', '날짜': '2025.03.14.', '내용': '아버지 콧물기침가래 감기로 진료받으러가셨는데 목에 염증있다면서 약처방만 해주심...목에다 약좀 뿌려주면 어디 덧남?? 아직도 진료 그렇게 보는줄 알았으면 내과를 갔을텐데...... 더보기', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2025.03.01.', '내용': '갔다와도 소용이없음 1분만에 진료끝난것도 웃겼는데\n목만 조금아파서 간건도 약먹어도 다음날부터 낫기는 커녕 더심해져서 귀도아프고 두통도생기고 목은 찢어질정도로 아... 더보기', '좋아요': '0'}, {'작성자': 'ㅎㅎㅎ', '별점': '2.0', '날짜': '2025.02.15.', '내용': '귀 아파서 진료봤는데 그냥 귀지라고 해서 흡입기로 슉슉 두번하고 만 천원 받아서 어이가 없었음.\n비급여로 막 때려넣네 ㅎ...', '좋아요': '0'}]","{'일': '08:00 ~ 10:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00'}"
라이크치과의원,,마포구 신촌로 104 3층 라이크치과,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3EC49552E62E4DA7BAFB2F5F46DEA352,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 19:00', '화': '10:00 ~ 21:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00'}"
신촌김안과의원,,마포구 신촌로16길 4 4층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
임비뇨기과의원,4.6,마포구 신촌로 102-1 2층,,"[{'작성자': '쌤', '별점': '1.0', '날짜': '2025.02.26.', '내용': '인유두종 바이러스로 인한 곤지름을 단순 쥐젖이라 신경쓰지 말라해서 1년을 방치했네요... 점점 안좋아져서 다른 병원가서 알게됐습니다', '좋아요': '0'}, {'작성자': '두둥', '별점': '5.0', '날짜': '2025.01.08.', '내용': '남원장님께서 질문에 세심히 답변해주시고 과잉진료가 없어요\n데스크 직원 분도 넘 다정하고 친절하세요.\n다만 불필요한 검사는 환자 스스로 원치않으면 거부할 필요가 있을듯합니다.', '좋아요': '0'}, {'작성자': '엉', '별점': '5.0', '날짜': '2024.07.18.', '내용': '찐으로 명의\n만성 방광염 재발 없음\n피부과 약도 정말 처방 목적\n과한 권유란 없다\n미용목적피부과아님\n오래된 곳은 그 이유가 있다\n그냥 사람들이 계속 그 곳으로 찾아와야 해서다... 선생님 어디가신지 모르기때문', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00'}"
밀리의원,4.4,마포구 신촌로 104 신촌로터리예식장빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F081AFB2E776048CD8208EA6CC9E1B7A2,"[{'작성자': 'Management', '별점': '1.0', '날짜': '2025.03.06.', '내용': '데스크에서 같은내용을 서너번씩 물어보고..\n뭘 물어봐도 쳐다보시지도 않고 귀찮다는듯이 대충 대답해주고.. 서로 소통이 안됐는지 말이 자꾸 바껴서 한참 기다리고..\n관리사님도 말한마디 없이 갑자기 ... 더보기', '좋아요': '1'}, {'작성자': '마포마담', '별점': '1.0', '날짜': '2025.03.06.', '내용': '원래 친절하고 좋아서 친구들 많이 데려갔는데 상담 실장 생기면서 안가게 되었어요', '좋아요': '0'}, {'작성자': '김정연', '별점': '5.0', '날짜': '2025.02.25.', '내용': '병원 내부가 매우 깔끔해요! 의료진분들도 너무 친절하고 전문성있게 봐주세요!', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 21:00', '화': '10:30 ~ 20:30', '수': '10:30 ~ 20:30', '목': '10:30 ~ 20:30', '금': '10:00 ~ 21:00', '토': '10:00 ~ 16:00', '휴무일': '공휴일'}"
신촌다인치과병원,,"마포구 신촌로 94 그랜드플라자 10,11층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD57FBCF1045349DEAF40F3BC56302325,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 21:00', '화': '09:30 ~ 18:30', '수': '09:30 ~ 21:00', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
