name,score,address,img_url,reviews,open_hour
혜당한방병원,3.3,"마포구 독막로 32 지하1층,1~7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff7b830ef6eada53f968e27c6a643483f9c64f7a8%3Foriginal,"[{'작성자': '최승희', '별점': '5.0', '날짜': '2023.06.29.', '내용': '휴계실 병실 너무 깨끗하고 쾌적해요~\n전 만족도가 높아서\n사촌언니도 소개해서 왔는데\n언니도 만족하고 있어요~~\n식사도 맛있고~\n의사 선생님들 모두 친절하고 맘편히 \n한달 있다왔어요.\n과잉 진료 없구요.', '좋아요': '0'}, {'작성자': '와싱턴', '별점': '5.0', '날짜': '2023.05.03.', '내용': '후기보고 좀 꺼려했는데 막상가보니 의사샘, 직원분들 다들 친절하셧음 주차는 큰차가져가면 밖에대고 작은차들은 타워주차임 주차기계가 다른곳보다 빠른편인거같아 금방나옵니다', '좋아요': '1'}, {'작성자': '단팥빵', '별점': '1.0', '날짜': '2022.04.02.', '내용': '한방, 양방 같이 할 수 있다하여 찾아갔는데 어떤 간호사분이 침맞고 뽑을때 너무 아프게 뽑고 소독솜도 너무 세게 눌러서 아팠어요. 침 맞고 물리치료 하러 갔는데 옆방에 족욕하시는 분들이 너무 ... 더보기', '좋아요': '2'}]","{'월': '09:30 ~ 20:30', '화': '09:30 ~ 20:30', '수': '09:30 ~ 20:30', '목': '09:30 ~ 20:30', '금': '09:30 ~ 20:30', '토': '09:30 ~ 13:30'}"
홍익한사랑의원,3.1,마포구 독막로 63 2층,,"[{'작성자': 'Clay', '별점': '5.0', '날짜': '2024.05.20.', '내용': '친절하징 않지만 실력 있으시고 내과 전문의시라 과잉진료 없고 내과, 이비인후과, 피부과 등을 두루 꼼꼼하게 살펴줘서 동네주치의로 생각하고 다닙니다 로컬병원으로서 오래 존재했으면 합니다', '좋아요': '1'}, {'작성자': 'ʏᴏᴜɴɢᴅᴜᴇ', '별점': '1.0', '날짜': '2024.03.20.', '내용': '원장 불친절하고 말투 너무 불쾌함', '좋아요': '0'}, {'작성자': '🙈', '별점': '4.0', '날짜': '2022.06.25.', '내용': '제가 가장 애용하는 병원입니다. 되게 친절하시고 증상에 대해 같이 고민해주십니다. 주사를 잘 쓰셔서 여기 갔다오면 빠르게 나아서 좋아요.', '좋아요': '2'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '휴무일', '휴무일': '매주 토요일'}"
예담정형외과의원,4.2,"마포구 독막로 22 청명빌딩 3,5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2304924E53B4F52703,"[{'작성자': '123', '별점': '5.0', '날짜': '2025.03.19.', '내용': '친절하고 잘 봐주십니다!!! 과대진료 없구요', '좋아요': '0'}, {'작성자': '식신', '별점': '1.0', '날짜': '2025.02.13.', '내용': '가지마세요 환자 상태 귀기울여 듣지 않습니다', '좋아요': '0'}, {'작성자': 'Udragon', '별점': '5.0', '날짜': '2024.12.31.', '내용': '인생 정형외과 찾음. \n원장님 진짜 세세하게 설명해주시고 \n꼼꼼하게 봐주십니다. \n간호사 분들도 다 친절하심. \n그렇다고 규모가 작냐? 그것도 아님. \n그렇다고 과잉 ... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
한창한방병원,4.4,마포구 와우산로 48 로하스타워 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F90EB6422E85F40448D190603B4CA2EEF,"[{'작성자': 'notori', '별점': '5.0', '날짜': '2025.01.17.', '내용': '한창한방병원 2달간 입원했었는데\n시설도 좋고 친절하셔서 편안히 치료받고\n퇴원했네요...\n적극추천!!', '좋아요': '0'}, {'작성자': 'Hul', '별점': '5.0', '날짜': '2024.10.28.', '내용': '교통사고로 거의 일주일 입원. 작원친절 +공간이 탁트이고 환자를 배려한 시설+병원식사 끝내줌!!!!', '좋아요': '0'}, {'작성자': '마로', '별점': '2.0', '날짜': '2024.10.23.', '내용': '교통사고 때문에 입원했고, 후기가 좋아서 믿고 갔는데 대체로 친절한 건 맞지만 다른 곳과 비교해 특별히 더 친절한건 아닙니다. 추나치료는 선생님마다 너무 다르고, 물리치료 및 침 치료는 평소 다니던 한의원보다 아쉬웠습... 더보기', '좋아요': '0'}]","{'일': '09:00 ~ 15:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 15:00'}"
한음 한방신경정신과한의원 홍대점,,마포구 독막로 29 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F56E93106D77342CDBE7C634A41787D23,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 18:30', '화': '10:00 ~ 20:30', '수': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '09:30 ~ 16:30', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일'}"
온맘한의원,4.2,마포구 독막로 92 공감빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F31B457C928F9491D9A3F74B69D32A56E,"[{'작성자': '나무', '별점': '1.0', '날짜': '2025.01.28.', '내용': '친절하기는 해요.\n실력은 글쎄요.\n꽤 여러달 다녔는데 전혀 효과 못봤어요.\n그동안 소비한 시간과 한약값이 아깝네요.\n원장님이 다단계인지 방문판매인지 물건\n (마치 만병통치인양) 파시는듯 한데 환자입장에서 신뢰가 좀 안갑니다.', '좋아요': '0'}, {'작성자': '지니백 (승리)', '별점': '5.0', '날짜': '2022.12.30.', '내용': '남편과 약을 지었는데요\n효과를 보고 있어서 글을 남겨요^^\n명의 맞네요', '좋아요': '0'}, {'작성자': '이우진', '별점': '5.0', '날짜': '2021.05.20.', '내용': '분위기도 좋고 선생님도 친절하시고 좋아요!', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 20:30', '수': '09:30 ~ 13:00', '목': '09:30 ~ 20:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 15:00', '휴무일': '공휴일'}"
서울봄봄치과의원,4.5,마포구 독막로 88 청옥빌딩 2층,,"[{'작성자': 'LB', '별점': '5.0', '날짜': '2024.05.31.', '내용': '치과는 아프다는 이미지가 있었는데 완전히 생각이 바뀌었어요. 원장님 치료 정말 잘하시고 직원분들까지 모두 친절하셔요!', '좋아요': '0'}, {'작성자': '-', '별점': '5.0', '날짜': '2024.03.13.', '내용': '치과 트라우마 있는데 여기는 좋아요!', '좋아요': '0'}, {'작성자': '^^', '별점': '5.0', '날짜': '2023.04.13.', '내용': '친절하고 섬세한 치료가 돋보이는 치과의사선생님이 아주 인상적이셨습니다! 치위생사선생님들도 친절하십니다! 치과 분위기가 차분하니 좋습니다. 추천합니다.', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '휴무일', '목': '14:00 ~ 20:30', '금': '10:00 ~ 19:00', '토': '09:30 ~ 13:00', '휴무일': '공휴일'}"
박상수내과의원,3.6,마포구 독막로 22 2층,,"[{'작성자': '이도현', '별점': '5.0', '날짜': '2025.03.07.', '내용': '식단을 바꿔도 혈당이 잘 조절되지 않아서 병원 다녀왔는데 검사 꼼꼼히 해주셨어요.\n집에서 펩티드요법을 꾸준히 하면서 관리하니 효과가 확실히 나타나네요. 감사합니다.\n네이버에 최미란 당뇨... 더보기', '좋아요': '0'}, {'작성자': 'oo', '별점': '1.0', '날짜': '2025.01.24.', '내용': '간호사분들이 본인들끼리 수다떠느라 바쁘고 안내도 제대로 안함 주사를 맞히면서 어떤 주사인지도 얘기안하고 주사를 맞히고 어떠한 안내도 안하고 혼자 나가버림ㅋㅋ 기본이 안되어있음', '좋아요': '1'}, {'작성자': '참지않는말티푸', '별점': '5.0', '날짜': '2024.05.23.', '내용': '처방해주신 약도 완전 잘들고 의료진들 다 친절합니다. 집근처에서 처방한 약은 잘 안들엇는데 여긴 직빵..', '좋아요': '0'}]","{'월': '09:00 ~ 17:50', '화': '09:00 ~ 17:50', '수': '09:00 ~ 13:20', '목': '09:00 ~ 17:50', '금': '09:00 ~ 17:50', '토': '09:00 ~ 13:20'}"
미소를만드는치과의원,3.6,마포구 어울마당로5길 28 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FVKptO%2FbtrPnevMAvn%2Fcoq2Kjdw9mG4ZTxbx4Kju1%2Fimg.jpg,"[{'작성자': '찡긋', '별점': '4.0', '날짜': '2024.12.18.', '내용': '나쁘지않은듯!', '좋아요': '0'}, {'작성자': 'isst', '별점': '5.0', '날짜': '2023.11.28.', '내용': '2년 가까이 꾸준히 다니고 있습니다.', '좋아요': '0'}, {'작성자': 'alles9', '별점': '1.0', '날짜': '2022.10.21.', '내용': '스케일링 할거면 다른치과 가라는데 후기뭐임', '좋아요': '2'}]","{'화': '10:30 ~ 19:00', '수': '10:30 ~ 19:00', '금': '10:30 ~ 19:00', '토': '10:00 ~ 14:00'}"
서강플러스치과,4.5,마포구 독막로 86 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMThfMjU2%2FMDAxNzM0NDgzODcyMTEz.mp_TxZ4lHGZAykFmeDbRn7-VzSfpaOYnmrP5Ftrd3JYg.P4cyX7pXspoKAYAnY8yg_5RqOSrWtGLmcMehHMO575wg.PNG%2F034.png%3Ftype%3Dw966,"[{'작성자': 'ㅋㅋㅋㅋㅋ', '별점': '5.0', '날짜': '2024.12.25.', '내용': '친절히 설명해 주심. 서울대 나오셨는데 왜 서강 치과임', '좋아요': '0'}, {'작성자': '썰', '별점': '5.0', '날짜': '2024.03.15.', '내용': '신경치료 중간에 너무 아파서 내원했는데, 의사선생님이랑 간호사분들 모두 친절하시고 상세하게 설명해주세요. 과잉진료도 없고, 제대로 치료해주시려고 하시고. 근처에서 살면 자주 가려고요.', '좋아요': '0'}, {'작성자': '맛있는거조하 :ᴅ', '별점': '5.0', '날짜': '2022.11.02.', '내용': '충치치료하고 사랑니 4개 발치 했어요. 학생이라 치료 비용이 걱정이었는데 다른 치과에서 알아본 가격보다 훨씬 저렴하게 해주셨어요!! 원장님 너무 친절하시고 손도 너무 빠르셔서 좋았어요. 치료 정말 놀랄 정도로 안 아프게 해주셔서 감사합니다 :)', '좋아요': '0'}]","{'월': '10:00 ~ 19:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 13:00'}"
테시토의원,5.0,마포구 성지1길 39 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDJfMTQ4%2FMDAxNzM1ODIxMDQxNjQw.yxp0_ko3TGlqAoKuURhtMNYT-cX1EUzp-b-f4TSh0cEg.k0Jzp9NSXaZsfo9bVaZdyBSOSQX-ufiWNCo9FtA1JEwg.JPEG%2F900%25EF%25BC%25BF20250102%25EF%25BC%25BF183158.jpg%3Ftype%3Dw386,"[{'작성자': '조혜원', '별점': '5.0', '날짜': '2024.12.15.', '내용': '피부과 방문이 처음이라 걱정됐는데 막상 가보니까 원장님 너무 친절하시고 자세하게 설명해주셔서 좋아요ㅠㅠ', '좋아요': '0'}, {'작성자': '씨솔트마카다미아', '별점': '5.0', '날짜': '2024.11.25.', '내용': '원장님도 상담 실장님들도 모두 친절해요! 지금까지 다녀본 피부과들 중에서 제일 편하게 시술 받고 갑니다. 이쪽 올때마다 갈 것 같아요!', '좋아요': '0'}, {'작성자': '눈눙', '별점': '5.0', '날짜': '2024.09.09.', '내용': '의사쌤도 꼼꼼하시구 직원분들도 다 친절하신 데다가 인테리어가 넘 이쁜 피부과였습니다…! 동네에 생겨서 들렀다가 완전 힐링하고 갑니당', '좋아요': '0'}]","{'일': '휴무일', '월': '휴무일', '화': '10:30 ~ 08:30', '수': '10:30 ~ 08:30', '목': '10:30 ~ 08:30', '금': '10:30 ~ 08:30', '토': '10:30 ~ 17:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날'}"
아프지않은행복치과의원,4.5,마포구 독막로 98 두산위브아파트 상가 203호,,"[{'작성자': '정의영', '별점': '5.0', '날짜': '2024.05.08.', '내용': '너무 꼼꼼하게 잘 보십니다. 특히 이렇게 아프지 않게 마취하시는 의사분은 처음 봅니다. 다음엔 아내와 같이 올께요.', '좋아요': '0'}, {'작성자': 'Jeeyoon', '별점': '5.0', '날짜': '2023.12.21.', '내용': '과잉 진료 없고 의사 선생님, 간호사 선생님들 모두 친절하십니다. 오랫동안 다녔는데 다른 곳에도 가봤지만 여기가 저는 제일 좋습니다. 가격도 다른 곳에 비해 조금 더 저렴해서 모든면에서 계속 다니고 싶은 곳.', '좋아요': '0'}, {'작성자': '우디', '별점': '5.0', '날짜': '2023.06.30.', '내용': '과잉 진료 없는 느낌! 의사 선생님도 친절하세요! 멀지만 굳이 찾아오게 되는 곳! 그래서 그런지 예약이 빡셉니다', '좋아요': '0'}]","{'월': '10:00 ~ 18:40', '화': '10:00 ~ 19:40', '수': '10:00 ~ 17:40', '목': '14:00 ~ 17:40', '금': '10:00 ~ 18:40', '토': '09:30 ~ 12:40'}"
