name,score,address,img_url,reviews,open_hour
이지함피부과 이대점,,마포구 신촌로 170 이대역푸르지오시티 2층 201~203호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F265FED3C5450516210,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 15:00', '휴무일': '공휴일'}"
세솟는정형외과병원,4.3,마포구 백범로 26,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDNfMjYx%2FMDAxNzM1ODY5NzU0MjI3.R6agCnJQn9MDCAdYN90jrwQXDPYj43Yef6K-RidODYAg.pJrf6_Nqm-WZr45QgeKOSr_J8Mj3dEe0DGb5JUxNriQg.JPEG%2Fxzcxzc_(15).JPG%3Ftype%3Dw466,"[{'작성자': '이양지', '별점': '5.0', '날짜': '2025.03.18.', '내용': '꾸준히 다니고 있어요. 시설도 깨끗하고 의사선생님 직원분들 친절하십니다.', '좋아요': '0'}, {'작성자': 'lafo', '별점': '5.0', '날짜': '2025.03.14.', '내용': '과잉진료 없어서 좋았고 손목 상태 계속 좋아지고 있어요', '좋아요': '0'}, {'작성자': '문수연', '별점': '5.0', '날짜': '2025.02.24.', '내용': '주사 치료 이후 물리치료 받으러 왔는데 빨리 호전되고 있어서 좋아요. 물리치료실 깔끔합니다.', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
연세우리내과의원,3.4,"마포구 백범로 10 현대벤쳐빌 101,201호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMjlfMTI5%2FMDAxNzMwMTgxNDYwNTE1.4kVROAGiNNlgYGiPo9xYMHhetlKPclzBN1yMV636ShQg.VXtxTo3Ypnew9mePZ1shhxS_IQhfE2i_UmX4lhsOJFog.PNG%2F%25EB%25B8%258C%25EB%259D%25BC%25EC%259A%25B4_%25EC%258B%25AC%25ED%2594%258C%25ED%2595%259C_%25EB%25B8%2594%25EB%25A1%259C%25EA%25B7%25B8_%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%2582%25AC%25EC%25A7%2584_%25EB%25B0%25B0%25EA%25B2%25BD_%25EC%259D%25B8%25EC%258A%25A4%25ED%2583%2580%25EA%25B7%25B8%25EB%259E%25A8_%25ED%258F%25AC%25EC%258A%25A4%25ED%258A%25B8_-_4.png%3Ftype%3Dw580,"[{'작성자': '냥냥', '별점': '3.0', '날짜': '2025.03.13.', '내용': '알레르기 때문에 머리도 아프고 기침도하고 자꾸 기침하고 코풀어서 귀도 아프다고 했는데 의사샘이 어어어하다가 얘기 잘못들어서 그런지 비염약만 쳐줬네요;;;;; 엄살부리는줄알았나 힘들어죽을것같은데!!', '좋아요': '0'}, {'작성자': '당산로니콜먼', '별점': '5.0', '날짜': '2025.03.11.', '내용': '환자가 많은데 대부분 진료가 긴 환자들인 것 같았음. 급성장염은 뭐 사실 약만타가는 거라서 금방끝나지만 앞 대기인원이 길어서 첨엔 오래걸린다고 해서 기다리기로함. 근데 데스크에서 유도리 있... 더보기', '좋아요': '0'}, {'작성자': '한건호', '별점': '5.0', '날짜': '2025.02.28.', '내용': '최근 혈당이 자꾸 높아지는 것 같아서 다녀왔는데 정확하게 진단해주셨어요.\n집에서는 펩티드요법을 하면서 꾸준히 관리 중인데 확실히 변화가 느껴지네요. 감사합니다.', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 16:00', '휴무일': '공휴일'}"
그린서울치과의원,4.5,마포구 백범로 90 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTlfMjg5%2FMDAxNzM0NjEwMTczMjgz.DjoP3STiun04MoTAM8Oq3j67LlKqIQ4bgjhw-ou0h-8g.C6rVWTZyFIkJmTnQceLu_WooG8Jjaz1z4lgljwS3cXsg.JPEG%2F900%25EF%25BC%25BF20241219%25EF%25BC%25BF115654.jpg%3Ftype%3Dw773,"[{'작성자': '이경재', '별점': '5.0', '날짜': '2024.08.30.', '내용': '8시 40분쯤 도착했는데 1등으로 받음. 선생님이 너무 일찍 올 필요 없다고 하심. 요즘은 9시 10분쯤 오는게 👍👍', '좋아요': '0'}, {'작성자': '맛집', '별점': '5.0', '날짜': '2024.08.03.', '내용': '그냥 언론에 나온그대로입니다\n이 선생님은 환자가 지금도 미어넘쳐서 힘든게 눈에보이는데.. 상담과 치료를 오랜시간해주시니까 대기시간 긴것은 예상하고 가세요\n어떤시간이든 어차피 대기시간이 길어서 그나마 일... 더보기', '좋아요': '2'}, {'작성자': '이게 나라다', '별점': '5.0', '날짜': '2024.06.14.', '내용': '금요일 9시20분에 7번 받았습니다\n저는 병원을 안가는 사람입니다   \n치과는 어쩔수 없더라구요 \n주변 밥집 롯데마트 다이소 있습니다\n전 두시간 기다려야 되드라구요\n\n1. 이곳은  상담하는곳입니다 치료안해요\n\n2. 과잉진료  없습니다 ... 더보기', '좋아요': '8'}]","{'일': '휴무일', '월': '09:30 ~ 15:00', '화': '09:30 ~ 15:00', '수': '09:30 ~ 15:00', '목': '09:30 ~ 15:00', '금': '09:30 ~ 15:00', '토': '휴무일', '휴무일': '공휴일'}"
더맑은내과의원,,마포구 신촌로 162 캠프21오피스텔 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTNfMjgz%2FMDAxNzM0MDY1OTU1NDk5.pmQRKh1LG_g3Y8nD2ohrHCp0DNS9jFzNrNhJrlD3q3wg.GOICqqiEtQ_cmBEmYXC7YX7vUVb8fEZ8FrCsgIF0whgg.PNG%2FTRT_(25).png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '휴무일', '휴무일': '공휴일'}"
연세제일정형외과의원,4.2,마포구 백범로 107,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F82c2b74f325dcde69a79247acfabba8ae2e8d754%3Foriginal,"[{'작성자': 'Joy', '별점': '1.0', '날짜': '2025.02.04.', '내용': '창구 직원 할아버지와 여자 직원 불친절에 인사 한번을 안하네요', '좋아요': '0'}, {'작성자': 'MG', '별점': '5.0', '날짜': '2025.01.03.', '내용': '과잉진료 없어요', '좋아요': '0'}, {'작성자': '카우', '별점': '5.0', '날짜': '2024.11.15.', '내용': '과잉 진료 없고 친절히 설명해주십니다. 중간중간 대기 시간이 좀 있지만 심각한 정도는 아니며 매우 만족', '좋아요': '1'}]","{'일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '14:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
라이크치과의원,,마포구 신촌로 104 3층 라이크치과,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3EC49552E62E4DA7BAFB2F5F46DEA352,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 19:00', '화': '10:00 ~ 21:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00'}"
센스이비인후과의원,4.4,마포구 숭문길 221 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F72a61bf7aa3ff91317feb6a9de9572a5081ddd09%3Foriginal,"[{'작성자': 'miso', '별점': '5.0', '날짜': '2025.03.21.', '내용': '너무좋아요\n친절히 잘들어주는 의사선생님에\n제가 이석증 의심되서갔는데 안진등 검사하는데 12000원나와요 옆 연세 이대 이비인후과는 이것저것 검사하고 십만원 넘는다는데. 여기도 ... 더보기', '좋아요': '0'}, {'작성자': '김가영', '별점': '5.0', '날짜': '2025.03.21.', '내용': '주변 이비인후과 후기 좋은곳 찾다가 발견했습니다!\n너무 친절하시고 깔끔한 시설과 알레르기 약이 있는지 여쭤봐주시고 다정하게 진료 잘 봐주십니다\n계속 이곳만 다닐려구요', '좋아요': '0'}, {'작성자': '정하은', '별점': '1.0', '날짜': '2025.03.17.', '내용': '데스크에 있는 간호조무사도 너무 불친절하고, 의사도 환자가 말하는 증상은 제대로 보지도 않고 멋대로 대충 보고 괜찮다고 필요도없는 연고나 처방하려고하니 나 원 참... 자기 일은 똑바로 합시다...', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
신촌바른내과의원,4.0,"마포구 신촌로 174 유현빌딩 3층 301,302호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FFE43E5FAFA5D4DE1B52BCACE28A588D6,"[{'작성자': '서정', '별점': '5.0', '날짜': '2025.02.08.', '내용': '기침 때문에 근처 다른 내과 방문했을때는 약 먹어도 증상이 점점 심해졌는데, 여기 약 먹으니까 바로 증상이 완화됐어요. 기다리기 싫어서 다른 내과 갔던건데 그냥 여기 다녀야겠어요', '좋아요': '0'}, {'작성자': '도움돼요눌러죠', '별점': '2.0', '날짜': '2024.10.30.', '내용': '평일 낮에도 대기가 길고 수액이 빨리 들어가는건 사실이에요. 그럼에도 시설이나 의사선생님 진료, 다른 간호사분들 너무 만족했는데요 ,.. 한 직원분 때문에 ㅎㅎ \n의료서비스는 친절도가 중요한 요소 중 하나잖아요.\n평일 낮, 간... 더보기', '좋아요': '3'}, {'작성자': '정직', '별점': '5.0', '날짜': '2024.10.22.', '내용': '올해에는 유난히 더 자주 아팠는데 갈 때마다 선생님의 친절에 위로받고 갑니다. 여기서 수액 맞으면 진짜 효과 직방입니다. 비싸지만 비싼 값 하니 많이 아프시면 그냥 수액 놔달라고... 더보기', '좋아요': '2'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '매주 일요일'}"
임비뇨기과의원,4.6,마포구 신촌로 102-1 2층,,"[{'작성자': '쌤', '별점': '1.0', '날짜': '2025.02.26.', '내용': '인유두종 바이러스로 인한 곤지름을 단순 쥐젖이라 신경쓰지 말라해서 1년을 방치했네요... 점점 안좋아져서 다른 병원가서 알게됐습니다', '좋아요': '0'}, {'작성자': '두둥', '별점': '5.0', '날짜': '2025.01.08.', '내용': '남원장님께서 질문에 세심히 답변해주시고 과잉진료가 없어요\n데스크 직원 분도 넘 다정하고 친절하세요.\n다만 불필요한 검사는 환자 스스로 원치않으면 거부할 필요가 있을듯합니다.', '좋아요': '0'}, {'작성자': '엉', '별점': '5.0', '날짜': '2024.07.18.', '내용': '찐으로 명의\n만성 방광염 재발 없음\n피부과 약도 정말 처방 목적\n과한 권유란 없다\n미용목적피부과아님\n오래된 곳은 그 이유가 있다\n그냥 사람들이 계속 그 곳으로 찾아와야 해서다... 선생님 어디가신지 모르기때문', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00'}"
