name,score,address,img_url,reviews,open_hour
서울안과의원,4.5,마포구 양화로 166 미래프라자 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTFfMjUz%2FMDAxNzMxMzMxNzY5NzUx.vd95ohsbIyA5lJHUdFp7Qgg9wnPlr68ZDjJ3LtP4LfIg.Vp0Z_AgeFOOXiZAeNQHvb6DikjsCyUKvUxqRqVD-0rYg.JPEG%2Foutput_3860777754.jpg%3Ftype%3Dw773,"[{'작성자': '웡쁘', '별점': '3.0', '날짜': '2024.12.31.', '내용': '접근성이 좋아요.첫방문이라 그런건지 간호사들이 AI 같아요. 예약안하면 한시간은 넘게 기다려야해요', '좋아요': '0'}, {'작성자': '김민아', '별점': '5.0', '날짜': '2024.12.26.', '내용': '근처 안과 갔다가 휴진이래서 급하게 방문했는데요! 토요일 진료라 마감하셨는데도 받아주셔서 다행이었습니다\n게다가 다래끼 째야돼서 퇴근시간 조금씩 미뤄졌을텐데 그 누구도 불... 더보기', '좋아요': '0'}, {'작성자': 'new man', '별점': '1.0', '날짜': '2024.08.16.', '내용': '의사 선생님은 친절하고 실력좋은데 간호사들이 권위적이다.\n친절한 목소리로 자기한테 말 안했다고 뭐라하면서 대기 순서 가지고 선심 쓰듯한 태도로 넣어주네.\n무슨 벼슬이라도 하는 줄...', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
아비쥬의원 홍대,4.4,마포구 양화로 147 아일렉스 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9AC7C30D922B435DB088DDABA9C364FD,"[{'작성자': '민하찌', '별점': '5.0', '날짜': '2025.02.27.', '내용': '요즘 피부에 고민이 많아서 유명한 아비쥬로 방문했습니다. 리프팅 받고 나서 피부가 좋아져서 다행이네요\n또 방문 하겠습니다 감사합니다.', '좋아요': '0'}, {'작성자': '파인', '별점': '5.0', '날짜': '2025.02.26.', '내용': '홍대점 오픈 했다고 해서 방문했는데, 내부가 이쁘게 잘 꾸며놓았고 대기하는곳도 넓고 깨끗했어요~\n시술도 꼼꼼하게 봐주셔서 너무 좋았습니다~', '좋아요': '0'}, {'작성자': '프라이머래', '별점': '5.0', '날짜': '2025.02.26.', '내용': '시설도 깨끗하고 무엇보다도 커피 머신이 있어 너무 신기했답니다. 시술도 만족스러웠습니다', '좋아요': '0'}]","{'월': '10:30 ~ 20:30', '화': '10:30 ~ 20:30', '수': '10:30 ~ 20:30', '목': '10:30 ~ 20:30', '금': '10:30 ~ 20:30', '토': '10:00 ~ 16:30', '일': '휴무일', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
쁨글로벌의원 홍대점,,마포구 양화로 144 MERCURE앰버서더호텔 홍대 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F819E218CA5F744B589919274F77D42B3,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:30 ~ 21:00', '화': '10:30 ~ 21:00', '수': '10:30 ~ 21:00', '목': '10:30 ~ 21:00', '금': '10:30 ~ 21:00', '토': '10:30 ~ 17:00', '일': '11:00 ~ 17:00'}"
진오비산부인과의원,4.6,"마포구 신촌로 12 동우빌딩 3,4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc5f39ed363bc3691ac8a0835a186f408984f1cd7%3Foriginal,"[{'작성자': '두둥', '별점': '3.0', '날짜': '2024.11.13.', '내용': '남의사 병원입니다.\n월요일 10시 30분 기준 대기인 없음\n10시 50분쯤 되니 몇몇 커플이 들어오기 시작했어요. 분만 맛집인 것 같습니다. 병원안은 매우 따뜻합니다. 접수받는 분들... 더보기', '좋아요': '2'}, {'작성자': '케챱', '별점': '5.0', '날짜': '2024.09.03.', '내용': '불친절하시다는 분들은 아마도....\n혼인신고하러갔는데 접수받는 공부원이\n웃으면서 결혼한거 축하한다고 이야기 안해줬다고 민원넣으시는 부류가 아닐까 싶어요.\n\n과한 감정교류와 위로, 공감은 없는 편이지만.\n병원에 간게 ... 더보기', '좋아요': '20'}, {'작성자': 'noname', '별점': '5.0', '날짜': '2024.08.15.', '내용': '참의사 선생님. 존경의 말씀 드리고 싶습니다.', '좋아요': '2'}]","{'월': '09:00 ~ 17:00', '화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
에스준의원 홍대점,4.6,마포구 동교로 191 디비엠빌딩 2층 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7905b153651b31957e3d74947f1465465374e6f8%3Foriginal,"[{'작성자': '냐하', '별점': '5.0', '날짜': '2025.02.24.', '내용': '일단 원장님 환한 미소 기본장착, 나긋한 설명 넘나 친절하십니다. 신촌의 모피부과 의사 썽 박박 내서 대화가 안되더만 여기와서 질문도 맘놓고하고 답도 시원히 들었습니다. 과한 권유 없고 편안하게 해주십니다. 단, 데스크는 영혼없음ㅎ', '좋아요': '0'}, {'작성자': '민하민후아부지', '별점': '5.0', '날짜': '2024.12.11.', '내용': '목에 쥐젖이 계속 올라와서 제거하려고 여러군데 생각하다 지인이 추천해줘서 방문했습니다\n선생님께서 상담내내 친절하셨고 설명도 자세히 해주셨습니다\n시술내내 꼼꼼히 해주... 더보기', '좋아요': '0'}, {'작성자': '히히', '별점': '5.0', '날짜': '2024.12.08.', '내용': '점빼고 보톡스맞으러갔어욤\n일단,, 원장님이 진짜진짜 친절하세요 ㅋㅋㅋ 나긋나긋하셔서 이야기 듣다보면 심리적으로 안정이 됐어요 ㅎㅎ\n점은 아직 뺀지 얼마안됐지만 잘 빼주신것같... 더보기', '좋아요': '1'}]","{'월': '10:30 ~ 19:30', '화': '10:30 ~ 19:30', '수': '10:30 ~ 19:30', '목': '10:30 ~ 19:30', '금': '10:30 ~ 19:30', '토': '10:00 ~ 17:00', '일': '휴무일', '휴무일': '공휴일'}"
닥터에버스의원 홍대점,,마포구 양화로 140 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD9AD21A91DCD4881AD842D5D36AD9E38,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:30 ~ 20:30', '화': '10:30 ~ 20:30', '수': '10:30 ~ 20:30', '목': '10:30 ~ 20:30', '금': '10:30 ~ 20:30', '토': '10:00 ~ 16:30', '일': '10:00 ~ 16:30', '휴무일': '추석전날, 추석당일, 설전날, 설당일'}"
홍대입구 리더스정형외과의원,4.0,마포구 양화로18길 3 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F0af7ae5a5618faf5f35d5b95bca70676118370af%3Foriginal,"[{'작성자': '🍀', '별점': '1.0', '날짜': '2025.03.13.', '내용': '친절한 직원 분들과 매우 불친절한 직원 분들이 혼재하는 곳. 아주 급한 상황 아니면 비추. 사실 친절한 것도 데스크 분들만 친절하고 실제로 처치해주시는 분들은 일하기 싫은 알바생 수준이라고 느낌\n\n1. 주사실 분들 매우매우 불... 더보기', '좋아요': '0'}, {'작성자': '옷무', '별점': '5.0', '날짜': '2025.03.06.', '내용': '평일에 밤9시까지 하는 병원이 있는줄 몰랐네요.\n휴가 내서 병원을 가야 하나 고민하다가 우연히 알고 진료 받았습니다.\n원장 선생님이 되게 친절하시고, 증상에 대해서도 자세하게 알려주셨어요.', '좋아요': '0'}, {'작성자': '몽돌', '별점': '5.0', '날짜': '2025.01.06.', '내용': '다들 친절하심!', '좋아요': '0'}]","{'월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 14:00', '일': '09:00 ~ 14:00', '휴무일': '공휴일'}"
닥터윤이비인후과,4.0,마포구 동교로 207 현우빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FFD333EAAE17C405DBA434ACC37582971,"[{'작성자': '냠냠', '별점': '5.0', '날짜': '2025.03.19.', '내용': '의사쌤 진짜 친절하고 유쾌하시고 뭐든 자세하게 설명해주시고 너무너무 감사했습니다..ㅠ 앞으로 여기로만 올거같아요', '좋아요': '0'}, {'작성자': 'Mr_군', '별점': '5.0', '날짜': '2025.03.13.', '내용': '가다실은 어디서 맞아야 하나요?', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2025.01.11.', '내용': '의사선생님 감사합니다!', '좋아요': '1'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '휴무일': '공휴일, 5월 1일 휴무'}"
클림의원 홍대점,4.3,마포구 양화로 141 롯데호텔 L7홍대 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F2BCB6710477C43D39348EC10F65F7E3B,"[{'작성자': 'Fays2', '별점': '5.0', '날짜': '2025.03.06.', '내용': '볼이랑 이중턱 둘다 받을까 하다가\n항상 이중턱 고민이 많았던 예랑이는\n먼저 티타늄리프팅 이중턱부터 받기로 했어요!\n\n인터넷에 찾아보면 티타늄리프팅은\n2-3회정도 받아야지 효... 더보기', '좋아요': '0'}, {'작성자': '크리드마뚜', '별점': '5.0', '날짜': '2025.03.04.', '내용': '남이 찍어준 사진에서는 이중턱이 심해서\n고민이라 사진도 잘 안 찍었는데 이제는\n자신 있게 찍어달라고 할 정도로\n이중턱이 싹 사라져서 요즘... 더보기', '좋아요': '0'}, {'작성자': 'JIN', '별점': '5.0', '날짜': '2025.03.04.', '내용': '부모님 선물로 같이 왔어용 ~\n엄빠 만족하시길 바라면서 !!\n상담 해주시는 분들 다들 친절하게 해주셔서 좋았어용!!\n 3 개월뒤에 또올게용', '좋아요': '0'}]","{'월': '10:30 ~ 20:30', '화': '10:30 ~ 20:30', '수': '10:30 ~ 20:30', '목': '10:30 ~ 20:30', '금': '10:30 ~ 20:30', '토': '10:30 ~ 17:00', '일': '10:30 ~ 17:00', '휴무일': '공휴일'}"
리엔장의원 홍대점,,마포구 양화로18길 3 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F9178B50F6A4047D393499C4BA0816742,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 17:00', '일': '11:00 ~ 17:00', '휴무일': '공휴일'}"
