name,score,address,img_url,reviews,open_hour
신촌연세병원,,마포구 서강로 110 지하2층~6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjdfMTc4%2FMDAxNzM1Mjk3MzA0MDc4.mmUsgvtLV3p2tcBZFgxNY--ujaeMtHDfpllTjY5l7IMg.c1AoSaIE46U_Aws8Kcn80HmfWwFilECJ5Supv8G5fLkg.JPEG%2FKakaoTalk_20241227_195341213_01.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '08:30 ~ 17:00', '화': '08:30 ~ 17:00', '수': '08:30 ~ 17:00', '목': '08:30 ~ 17:00', '금': '08:30 ~ 17:00', '토': '08:30 ~ 12:30', '일': '휴무일', '휴무일': '공휴일'}"
세솟는정형외과병원,4.3,마포구 백범로 26,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDNfMjYx%2FMDAxNzM1ODY5NzU0MjI3.R6agCnJQn9MDCAdYN90jrwQXDPYj43Yef6K-RidODYAg.pJrf6_Nqm-WZr45QgeKOSr_J8Mj3dEe0DGb5JUxNriQg.JPEG%2Fxzcxzc_(15).JPG%3Ftype%3Dw466,"[{'작성자': '이양지', '별점': '5.0', '날짜': '2025.03.18.', '내용': '꾸준히 다니고 있어요. 시설도 깨끗하고 의사선생님 직원분들 친절하십니다.', '좋아요': '0'}, {'작성자': 'lafo', '별점': '5.0', '날짜': '2025.03.14.', '내용': '과잉진료 없어서 좋았고 손목 상태 계속 좋아지고 있어요', '좋아요': '0'}, {'작성자': '문수연', '별점': '5.0', '날짜': '2025.02.24.', '내용': '주사 치료 이후 물리치료 받으러 왔는데 빨리 호전되고 있어서 좋아요. 물리치료실 깔끔합니다.', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
신촌연세퀸산부인과의원,3.1,마포구 서강로 106 신촌크리닉존빌딩 5~7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMThfMjIw%2FMDAxNzMxODk2MTk1OTY0.9EuD8AL6M0bRpu0rAECGBR5I-YJUKXywLzgxMVrlw3gg.D_DBjiv75tTj7PDvwOXe6h_lywbNNWIqk-jQQWjDWmYg.JPEG%2FKakaoTalk_20241118_111104852.jpg%3Ftype%3Dw386,"[{'작성자': 'MONI', '별점': '1.0', '날짜': '2025.02.21.', '내용': '데스크 진짜 어수선하고 어리바리...실장님인지 누군지 되게 느낌이 세신분 있는데 말투도 세고 커서 되게 불편함.... 누군가를 질책하는 전화를 하시는데 너무 데스크에서 크게 이야기해서 분위기가 괜히 엄해지고 ... 더보기', '좋아요': '0'}, {'작성자': '이재경', '별점': '1.0', '날짜': '2025.02.11.', '내용': '간호사분들이 바꿨는지 좀 어수선 한듯합니다 그리고 주사도 넣으시는게 너무 서투르셔서 갈때마다 조마조마 하고 산모수첩도 다른분 정보를 적어주셔서^^ 살짝 스트레스긴 했는데 오늘 극에 달했네여^^.. 요즘 젠더리빌 파... 더보기', '좋아요': '0'}, {'작성자': '딩동댕', '별점': '5.0', '날짜': '2025.02.10.', '내용': '함원장님 참 친절하십니다~초산모라 걱정이 많은데, 원장님이 친정아버지같이 친근한 느낌이라, 항상 편안하게 진료받고 왔네요~간호사 선생님들도 워낙 친절하셔서 임당 재검도 긴장하지 않고 잘 받을 수... 더보기', '좋아요': '0'}]","{'월': '09:30 ~ 19:30', '화': '09:30 ~ 19:30', '수': '09:30 ~ 19:30', '목': '09:30 ~ 19:30', '금': '09:30 ~ 19:30', '토': '09:30 ~ 16:00', '일': '휴무일', '휴무일': '매주 일요일'}"
신촌연세병원 응급실,1.5,마포구 서강로 110,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjhfMTQ5%2FMDAxNzMyNzg1MzQ4Mjg4.Ee04t_Fo_YKwUQanYscnxlqV0y4zJGRZ_6Y4MzLU65Ag.TQSq4rOMpMsOXup_qMVeoHMsZhUo5MdhitCYnOKHLrEg.JPEG%2Foutput_3406053151.jpg%3Ftype%3Dw773,"[{'작성자': '키사엘', '별점': '1.0', '날짜': '2025.03.01.', '내용': '토요일 저녁 창구남자 엄청 불친절해요\n말투부터 행동까지 일하기 싫은티 팍팍\n그렇게 일하기 싫으면 두만두시는게 어떠신지?', '좋아요': '0'}, {'작성자': 'gs', '별점': '1.0', '날짜': '2024.08.13.', '내용': '수납창구 안경쓴 남자 완전 불친절. 다시는 가고싶지 않음.', '좋아요': '1'}, {'작성자': 'Bre', '별점': '1.0', '날짜': '2024.06.13.', '내용': '어제밤에 응급실 갔습니다. 상처를 너무 아프지만 간호사들이 장갑을 안쓰고, 관심없다는 진료했습니다. 제가 너무 아픈지만 친구가 왜 한국어 이렇게 잘한다고 물어봤어요. 어이없고 전문가 기질 없어요.', '좋아요': '0'}]",{}
서강박치과의원,,"마포구 토정로 195 준희빌딩 3, 4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F3A3F5F7296BD47FE95AECF4F70C2318C,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:30'}"
참본정형외과의원 마포점,,마포구 창전로 60 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F469A4427AFBC4585AAB7F3739C4BC8D1,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
우리정형외과의원,,마포구 백범로 29 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAyMDhfMjM4%2FMDAxNzA3MzIwMDcyODkx.5Df8npgawHQ7f8yKSGSrTyioBDoRSr0o8dHrZyrPMEAg.bKZSvKdJyvYDcx8gjhXPZmPzqO8If_sGOhp4UOz0UBMg.JPEG.tasha81%2F1707320070803.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00'}"
경희더숲한의원,,마포구 광성로 20 큐브빌딩 3층 301호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9E8EBF6C616A402594C5A22D649FEA40,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:30 ~ 19:30', '화': '09:30 ~ 19:30', '수': '09:30 ~ 19:30', '목': '09:30 ~ 19:30', '금': '09:30 ~ 19:30', '토': '09:30 ~ 15:00', '일': '휴무일', '휴무일': '매주 일요일'}"
삼성드림소아청소년과의원,4.3,"마포구 광성로 17 신촌숲아이파크 상가동 112,113호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC55BFC057E9F4042A2D56421C35F0C57,"[{'작성자': '서울사람', '별점': '1.0', '날짜': '2025.02.08.', '내용': '여기가 왜 유명한지 전혀 모르겠음. 진단을 잘하나? 아님. 다른 진단으로 증상이 더 심해져서 병원 옮김. 약을 잘 처방해주나? 애초에 진단을 잘못해서 필요한 약 못 먹임. 친절? 친절하려고 애쓰시는... 더보기', '좋아요': '0'}, {'작성자': '아리♡', '별점': '5.0', '날짜': '2024.10.22.', '내용': '선생님 ㅜㅜ 사랑함니당 ㅜㅜ 동네에 계셔주셔서 감사해요... 다른 지역 살고 싶었는데 요기 다녀온 후로 이쪽 살아서 넘넘 다행이라고 몇번이나 생각했어요 ㅠㅠㅠ 보통 질문 안받아주시거나 짧게 교과서만 읊어... 더보기', '좋아요': '0'}, {'작성자': '버끔뻐금', '별점': '5.0', '날짜': '2024.05.23.', '내용': '감기때문에 갔는데 다른 부분까지 확인해서 알려주시고 엄청 자세하고 친절하게 설명해주셨어요 감사합니다', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 13:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
사랑치과의원,5.0,마포구 독막로 176 2층,,"[{'작성자': '?', '별점': '5.0', '날짜': '2024.05.20.', '내용': '어릴때부터 교정때문에 치과 자주 다니고, 많이 옮겨다녔는데 현재 치아 상태에 대해 세세하게 설명해주셔서 뭘 해야할지 치료 판단이 잘 서더라고요.\n그냥 가서 ‘치료해야한다‘ 가 아니라 치아 관리까지 알게되었습니다 추천드려요', '좋아요': '0'}]","{'월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00'}"
