name,score,address,img_url,reviews,open_hour
에스앤유피부과의원,2.3,"마포구 백범로 178 마포신영지웰 2층 A203,204,B202~204호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fce1100b7074ff1e64c4cc7443ce6aacb2c154cd5%3Foriginal,"[{'작성자': 'hi', '별점': '4.0', '날짜': '2025.03.02.', '내용': '의사쌤이랑 데스크직원분들 간호사분들 다 친절하심!!\n\n문제는 아기 손님들이 99퍼라 정말 시끄러워요.. \n서라운드로 우는 소리가 들려서 너무 힘들었슴다', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2024.12.24.', '내용': '추가 후기)\n밑의 여아 치마 들춰서 항의했다는 후기\n이후 제 컴플레인 후기 알았는지\n다른 환자 번호로 문의해서 한 가격보다 5만원 이상을 더 부릅니다. \n\n-\n\n밑에 별점 0점은 왜 없냐는 다른 후기에 완전 공감..\n\n... 더보기', '좋아요': '23'}, {'작성자': 'greenstar', '별점': '5.0', '날짜': '2024.10.31.', '내용': '정말 감사합니다...여러 대학병원에서도 못찾던 원인과 병명을 찾아주시고 친절하고 상세하게 다 설명해주셔서 감사합니다! ㅠㅠ', '좋아요': '0'}]","{'월': '10:00 ~ 20:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '09:30 ~ 14:30', '일': '휴무일', '휴무일': '공휴일'}"
아로하피부과의원,4.5,마포구 신촌로 262 아르띠 5층 501호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMzBfMTk4%2FMDAxNzM1NTM5NDM3MzAy.LRiJAlx7kX0n8bekwXCz9lBc5Xt5lguE-bo8SdiQNzEg.X8WwUT5-C91zjtMWWR30MYVog3Ree7kmn8izdKiwIRkg.JPEG%2FIST_7196_008.JPG%3Ftype%3Dw966,"[{'작성자': '🍀', '별점': '5.0', '날짜': '2025.02.21.', '내용': '수면마취 생겨서 아프지 않게 받을 수 있어서 리쥬란 받고 왔어용 극극극 건성이라 얼굴에 뭐 바르기도 겁나는 피부라.. ㅠㅠ 스킨부스터 한 번씩 맞으면 좋더라구요 확실히 속건조가 잡히는 느낌!', '좋아요': '0'}, {'작성자': '다다다', '별점': '5.0', '날짜': '2025.02.18.', '내용': 'ggggg~굿', '좋아요': '0'}, {'작성자': '83 이철 태양3 외 다수', '별점': '5.0', '날짜': '2025.02.17.', '내용': '턱에 여드름 같은거 생겨서, 짜도 없어지지 않고, 6개월 동안 피만 보다가, 도저히 안되겠어서, 후기보고    갔는데요, 여드름 부위에 주사 한방 놔주셨고, 두번째도 주사 한방 그리고 처방받은 약 ... 더보기', '좋아요': '0'}]","{'월': '10:00 ~ 20:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '09:30 ~ 15:00', '일': '휴무일', '휴무일': '매주 일요일'}"
연세소리이비인후과의원,4.3,마포구 백범로31길 8 공덕SK리더스뷰 2층 203~205호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F4BC2BEADE0874F04AACBE01A733C60E1,"[{'작성자': '김미나', '별점': '5.0', '날짜': '2025.01.31.', '내용': '아이가 불안이 높은데 친절하게 잘 설명해주십니다.', '좋아요': '1'}, {'작성자': '허유리', '별점': '1.0', '날짜': '2025.01.11.', '내용': '7시까지 한다고 해서 갔는데 2번방 여자 의사님께 진료받았어요. 보통 널직한 바로 혓바닥 눌러서 목상태보는게 정상 아닌가요. 앉자마자 내시경으로 목 들여다보면서 여기저기 쑤시는데 불쾌했습니다. 침 삼킬때마다 목이 ... 더보기', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2025.01.07.', '내용': '아주 아주 친절하고 대기가 많지 않음', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 15:00', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30', '일': '휴무일', '휴무일': '석가탄신일, 설전날, 설당일, 설다음날, 1월1일, 삼일절, 어린이날, 현충일, 광복절'}"
위비앙병원,3.2,마포구 신촌로 240,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDFfMiAg%2FMDAxNzM1NjYxMzk0MTEy.CcEjCZ1IDo1DqR9HIkbsOAik3TK_m7M2xgprh2vVfJcg.ouZ83gtFQcQXKDsyVjTD3unqWQDy8cAbeh8D-D1I54gg.JPEG%2FSE-11e6239c-603c-4b01-93f8-aa1496f3bd80.jpg%3Ftype%3Dw466,"[{'작성자': '0419', '별점': '1.0', '날짜': '2024.11.02.', '내용': '운전하면서 위비앙병원 차를 집근처에서 자주 보는데요, 항상 이대역 근처에서 신호위반하고 안전지역 위반해서 끼어들기, 얌체운전하는거 여러번 겪었습니다. 병원이름 달고 다니는 차로 그러시면 안되죠. 교육 부탁드려요.', '좋아요': '0'}, {'작성자': '나꼬맹이맘', '별점': '4.0', '날짜': '2023.07.15.', '내용': '병간호를 위해 신속항원검사- PCR검사 했어요\n예약후 후문쪽이용 \n오전10;30 예약 10;15경도착 신속검사 결과까지 15-20분소요\nPCR 검사 \n담날 새벽 1:30 경 결과문자 받았습... 더보기', '좋아요': '0'}, {'작성자': '정윤', '별점': '5.0', '날짜': '2022.03.10.', '내용': '친절하시고 좋아요', '좋아요': '1'}]","{'월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '휴무일', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '09:00 ~ 16:00', '일': '휴무일', '휴무일': '공휴일'}"
공덕척정형외과재활의학과의원,4.6,마포구 마포대로 143 마포공덕파크팰리스2 1-2층 216~218호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F94AEF7C994E941C5B782536A6D949908,"[{'작성자': '댕댕이', '별점': '5.0', '날짜': '2025.03.18.', '내용': '원장님이 자세하게 증상과 치료에 대해서 이야기해주셔서 좋습니다~!\n직원분들이랑 물리치료사님들도 엄청 친절해요', '좋아요': '0'}, {'작성자': '선유달', '별점': '5.0', '날짜': '2025.03.12.', '내용': '정말 1진료실 원장님께 너무 감사합니다... 원장님이 원인 모를 인대 통증으로 고통받던 저를 구원해 주셨어요🥹 이 은혜를 어떻게 갚아야 할지 모르겠어요. 과잉진료 없이 필요... 더보기', '좋아요': '0'}, {'작성자': '무무', '별점': '5.0', '날짜': '2025.01.05.', '내용': '과하게 치료 권하지않아서 좋고, 꼼꼼하게 봐주시는게 느껴집니다. 인대염증 때문에 거의 일년동안 다른 병원들 전전했는데 많이 좋아졌어요.', '좋아요': '1'}]","{'월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
서울라헬여성의원,2.2,마포구 마포대로 109 롯데캐슬프레지던트 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEwMDlfMTk3%2FMDAxNjY1Mjg2MzU5MDU4.0VBry3PpA6Z6gAFsyxP1MhLmTOKmWZ5umb5sSkYTgdAg.na4DTI00BPK0U6-MB1TTYxg3utne2vaYSq8UrbF-hIMg.JPEG.swusjy%2FKakaoTalk_20221009_115525629_05.jpg%3Ftype%3Dw966,"[{'작성자': '맛도리탐방', '별점': '1.0', '날짜': '2024.12.06.', '내용': '최악….\nㅣ산전검사 받는데 돈을 뻥튀기함', '좋아요': '0'}, {'작성자': '보라보라', '별점': '1.0', '날짜': '2024.11.28.', '내용': '비급여 항목으로 병원비 장난아님\n첫병원으로 갔는데 추가 혈액 검사로 비급여라고 말한뒤 검사받음. 비타민 뭐가 부족하다 등등 알려주긴 했는데. 지금와서 보면 굳이그 돈 주고 받았어야 되는 검사인가 싶음... 더보기', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '1.0', '날짜': '2024.11.10.', '내용': '인터넷 후기 보면 오진 후기들이 있다. 그걸 참고하면 왜 가면 안되는지 알듯', '좋아요': '0'}]","{'월': '08:00 ~ 17:00', '화': '08:00 ~ 17:00', '수': '08:30 ~ 12:30', '목': '08:00 ~ 17:00', '금': '08:00 ~ 17:00', '토': '08:30 ~ 12:30'}"
아현정형외과의원,3.8,마포구 신촌로 270,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEyMjBfNTEg%2FMDAxNzAzMDUwNTc2MjI1.Urt2BoFBr63Agg8JY0PTn0tPQj446mrXyMyDXdNhU0gg.lfjcxqtq6gGkM0jbZDggjORImnsjoU-rm8bMtnipg1wg.PNG.teamelysium1%2FUntitled.png%3Ftype%3Dw966,"[{'작성자': '밍키팡팡', '별점': '2.0', '날짜': '2025.02.04.', '내용': '시설은 좋아요  원장님 젊으심    발목삐어서 갔는데 기브스하고 나옴   쫌 과잉진료가 있는듯...  시설이 좋으니 뭐...', '좋아요': '0'}, {'작성자': '김동현', '별점': '5.0', '날짜': '2025.01.13.', '내용': '여기 부원장님 진짜 열정넘치시고 \n후기알바아니고 근처병원찾다 왔는데\n진짜 정말 감사합니다. 진짜 꼼꼼하게 해주셔서 \n허리 통증의 원인결과\n전부 시원하게 알아가서 너무감사합니다.\n다른병원... 더보기', '좋아요': '0'}, {'작성자': '낭', '별점': '5.0', '날짜': '2024.12.20.', '내용': '의사쌤 두분다 친절하세요', '좋아요': '0'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00'}"
아이키소아청소년과의원,4.1,"마포구 마포대로 231 마포푸르지오더센트럴 상가 102동 1층 101,102,104호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMjlfMTE1%2FMDAxNzMwMTQxNzE0MDEz.X8EYrXZM9f6_UMIsSYNXfFgkgiv5frm3c3mRn4a7Mtgg.pq6tGSSnMiFzq5345-kH0zawUjKnK8yhbsVW6GvNkw4g.JPEG%2FIMG_0773.jpg%3Ftype%3Dw966,"[{'작성자': '마영', '별점': '5.0', '날짜': '2025.01.20.', '내용': '진짜 손님들이 미친듯이 늘 많은 소아과. 지하주차장이 협소함', '좋아요': '0'}, {'작성자': '리커버리', '별점': '2.0', '날짜': '2024.12.22.', '내용': '11:17인데 13시까지 하는 병원이 접수마감이라는게... 너무합니닷!', '좋아요': '0'}, {'작성자': 'osjk', '별점': '5.0', '날짜': '2024.12.01.', '내용': '잘 치료받았습니다. 감사합니다', '좋아요': '0'}]","{'월': '09:00 ~ 21:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '일': '09:00 ~ 13:00'}"
연세정형외과의원,3.4,마포구 신촌로 262 아르띠타워 가동 3층 301호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAxMjNfNDkg%2FMDAxNjc0NDgxNTkzMDUw.2W_x8e140PUM1_gunGDc18FAkX1KwSVFNCYNFznEHRcg._cv1z-rfKstfpAnPUBTKaX_nm7TAYYDavCq2P3hDFPog.JPEG.hur8222%2F0B2CC42A-67BD-4E0B-B307-CFB253DADA25.jpeg%3Ftype%3Dw773,"[{'작성자': '예송', '별점': '1.0', '날짜': '2025.01.06.', '내용': '그냥 바쁜 사람은 진료 접근 불가.. 9:30에 가도 대기1시간이래요^~^ \n시간 많~~~~은 어르신분들 많이 앉아계심요', '좋아요': '0'}, {'작성자': '내돈내산', '별점': '1.0', '날짜': '2024.09.19.', '내용': '물리치료 맛집, 하지만 장비와 진료는…\n\n일단 엑스레이도 한 각도만 찍고, 초음파 없습니다.\n선생님 친절하시지만, 본인 이야기만 하십니다.', '좋아요': '0'}, {'작성자': '줏니', '별점': '5.0', '날짜': '2024.08.29.', '내용': '의사선생님 간호사선생님들 물리치료사선생님들 모두 친절은 기본이고 섬세하고 전문적으로 엄청 잘봐주십니다. 모든게 완벽하지만 특히 물리치료사선생님들은 wow.. 진짜 금손임 선생님 손 떼서 집에 가져가고싶... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 13:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
닥터스피부과의원 마포공덕점,,마포구 마포대로 127 풍림VIP텔 2층 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF1B03C078E8F4F03B69851078DF37876,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 19:30', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '일': '휴무일', '휴무일': '공휴일'}"
