name,score,address,img_url,reviews,open_hour
본정형외과의원,,"마포구 월드컵북로38길 14 오윤빌딩 1,2층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2F667CF4E39244BDA44A356D17BA4C7A,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
공안과의원,2.9,마포구 월드컵북로 230 현대상가,,"[{'작성자': '덥다더워', '별점': '1.0', '날짜': '2024.09.11.', '내용': '간호사들 되게 불친절함.\n문 열고 들어가면 인사라도 해야 어디로 갈 지 아는데\n그 딴 거 없음.\n의사도 뭘 물어보면 귀찮아 함.', '좋아요': '0'}, {'작성자': '진심후기만', '별점': '1.0', '날짜': '2024.07.30.', '내용': '기분 나쁜 진료를 내 돈주고 받고 싶다면 방문하세요', '좋아요': '0'}, {'작성자': 'kmh', '별점': '5.0', '날짜': '2023.10.11.', '내용': '좋아요\n데스크에 계신 간호사 샘들 상냥하세여 의사쌤도 친절한 편이고 과잉진료 없어서 넘 좋습니다', '좋아요': '0'}]","{'월': '09:40 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 13:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00'}"
성산위편한내과의원,,마포구 월드컵북로 236 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA2MTBfMTEx%2FMDAxNzE4MDAyMjcxMzE5.zs2lDp2IJGjPcobRYsLlE_POOTRpvZNlfRXt1fejkd4g.g1tDex4sOjrW7_jS0_A8RAAQ5vppfOj2iyg0DxLfe2Mg.JPEG%2F%25EC%2584%259C%25EC%259A%25B8%25EC%259C%2584%25ED%258E%25B8%25ED%2595%259C_%25EC%259C%2584%25EA%25B2%25BD%25EB%25A0%25A8-01.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
최이비인후과의원,4.3,마포구 월드컵북로 230,,"[{'작성자': '이지인', '별점': '5.0', '날짜': '2024.12.27.', '내용': '주사 맞고 처방해 주신 약 먹고 싹 나았습니다🙌🏻', '좋아요': '0'}, {'작성자': '지성', '별점': '5.0', '날짜': '2024.12.19.', '내용': '진짜 친절하고 자세히 잘 알려주세요', '좋아요': '0'}, {'작성자': 'CakelovePOET', '별점': '5.0', '날짜': '2024.02.05.', '내용': '친절하고 꼼꼼하게 잘 진료해주십니다!', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
연세이비인후과의원,2.8,마포구 월드컵북로38길 14 오윤빌딩 4층,,"[{'작성자': 'B⭐️', '별점': '1.0', '날짜': '2024.12.12.', '내용': '손님와도 인사도 안하고, 걍 대놓고 핸드폰 하는 간호사 별로구요. 환자가 하는 말 들으려고 하지도 않고, 본인이 잘못 이해해놓고 진단하면서 어이없는 웃음 짓는 의사 진짜 기분나쁘네요. 정말 전반적으로 불친절 최고', '좋아요': '0'}, {'작성자': '1월', '별점': '5.0', '날짜': '2024.11.14.', '내용': '의사 선생님 친절하시네요~^^\n주차도 가능하고요\n10년 성산동 살면서 이곳을 몰랐다니....\n실내도 깨끗하고 청결합니다.\n선생님이 잘 봐주셔서 정말 좋았어요', '좋아요': '2'}, {'작성자': 'monic', '별점': '2.0', '날짜': '2024.07.23.', '내용': '진료는 잘 보심. 원장님 말이 좀 빠르지만 알아들을만 했음. 어르신 환자에게는 천천히 크게 말씀하시는 게 들렸음. \n동네 주민인 친구가 약이 잘 듣는다 해서 다른 병원 갔다가 안 낫는 감기 때문에 이 병원에 들러봤음. 그... 더보기', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 13:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:00 ~ 13:00'}"
손비뇨기과의원,2.3,마포구 월드컵북로 230 현대상가 307호,,"[{'작성자': '박민우', '별점': '1.0', '날짜': '2023.04.18.', '내용': '이곳 원장 돌팔이입니다. 지난 1월초에 절박뇨, 요실금증상으로 갔었는데, 진료하는 원장이 증상만 듣고 딱 신경성(과민성방광)이라고 해서 평활근이완제 1주 처방받고 복용하다가 차도가 안생겨서 다시 방문했더니 ... 더보기', '좋아요': '3'}, {'작성자': '김민준', '별점': '5.0', '날짜': '2021.09.24.', '내용': '코로나 백신 맞으러 갔었는데 시설은 연식이 있고 작지만 의사 선생님도 너무 좋으시고 간호사 선생님도 좋으셨어요.', '좋아요': '1'}, {'작성자': '펙트체커', '별점': '1.0', '날짜': '2018.07.05.', '내용': '좀 아닌듯.', '좋아요': '2'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
베스트연세재활의학과의원,4.4,마포구 월드컵북로 236 3층,,"[{'작성자': '맑음', '별점': '5.0', '날짜': '2024.12.09.', '내용': '집 가까이있는 정형외과\n쌤도 간호사도 물리치료실쪽\n선생님들도 다 들 친절하시고\n물리치료실 남자쌤\n잘 해주십니다\n편한 맘으로 언제든 갈 수\n있는 병원', '좋아요': '0'}, {'작성자': '내이름은 비밀', '별점': '5.0', '날짜': '2023.09.26.', '내용': '아내가 단골로 갑니다.\n저도 1년 전쯤 20일이나 아팠던 허리가 한 번 치료로 나와버렸습니다.\n오늘 또 삐긋해서 다시 가야겠어요.\n모두 친절하고 전문적입니다.', '좋아요': '0'}, {'작성자': '혜영이~~', '별점': '5.0', '날짜': '2023.07.20.', '내용': '친절하세요 진료 세심하게 잘하십니다', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
박병권내과,4.0,마포구 월드컵북로 230 현대상가 3층 3호,,"[{'작성자': 'jadey', '별점': '5.0', '날짜': '2024.11.19.', '내용': '모두 너무 친절하시고 급하게 가게되었는데도 잘 봐주셔서 넘 감사했습니다!', '좋아요': '0'}, {'작성자': '도리언', '별점': '5.0', '날짜': '2022.08.06.', '내용': '친절해용', '좋아요': '0'}, {'작성자': '정직남', '별점': '1.0', '날짜': '2020.12.21.', '내용': '카운터 아줌마들부터 의사까지 전부 최악.\n이렇게 불친절하고 대충 진료하는 의원은 다신 가고싶지 않음. 근처에 내과는 충분히 다른 대안이 있으니 다른 병원을 추천함.', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
양병근치과의원,5.0,마포구 월드컵북로 236 4층,,"[{'작성자': '감자', '별점': '5.0', '날짜': '2021.01.23.', '내용': '추천받구갔는데 다른데서 과잉진료당한거를 여기서검증받음 ㅠㅠ쵝오', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 12:30'}"
연세바른치과의원,5.0,마포구 월드컵북로 230 306호,,"[{'작성자': '내이름은 비밀', '별점': '5.0', '날짜': '2023.01.26.', '내용': '꼼꼼하게 잘 봐주세요.', '좋아요': '0'}, {'작성자': 'David.Kim', '별점': '5.0', '날짜': '2019.09.11.', '내용': '성산동 최고로 섬세한 스케일링', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00'}"
