name,score,address,img_url,reviews,open_hour
소명치과의원,4.2,마포구 서강로 97 삼성아파트 상가 408호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF8D468CD01664DEFBF9ECCF06B005E7B,"[{'작성자': '마이크로라이트', '별점': '5.0', '날짜': '2025.03.19.', '내용': '양심치과 아닙니다.\n\n평범한 치과입니다.\n\n이용에 착오 없길 바랍니다.', '좋아요': '0'}, {'작성자': '사실후기1점주니까후기미제공ㅋㅋ', '별점': '1.0', '날짜': '2025.01.23.', '내용': '책만 참고하길ㅋㅋ\n의사 본인 신념이 너무 확고해,,이상해,,양심치과?ㅋ', '좋아요': '1'}, {'작성자': 'Yuno', '별점': '5.0', '날짜': '2024.12.03.', '내용': '솔직하게 알려주시고, 현 상황에서 안되는 건 안된다고 자세히 알려주셔서 좋았어요! 다른 병원에서 치료해야 한다는데 과잉진료인지 애매하게 느껴지시면 한번쯤 찾아가보는거 추천해요', '좋아요': '0'}]","{'월': '08:00 ~ 17:00', '화': '08:00 ~ 17:00', '수': '08:00 ~ 17:00', '목': '08:00 ~ 17:00', '금': '08:00 ~ 17:00', '토': '휴무일', '휴무일': '공휴일'}"
유내과의원,4.9,마포구 서강로 97 삼성아파트 상가동 410호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F470dc2a9190a63a89a42fca1e37643a8ea15c4dd%3Foriginal,"[{'작성자': '냠', '별점': '5.0', '날짜': '2025.02.17.', '내용': '의사 간호사쌤들 다 너무 친절하시고\n두시 안돼서갔는데도 눈치안주고 빠르게 진료봐주심', '좋아요': '0'}, {'작성자': '보영', '별점': '5.0', '날짜': '2023.10.13.', '내용': '의료진 모두 정말 친절하시고 꼼꼼히 봐주세요', '좋아요': '0'}, {'작성자': '정현', '별점': '5.0', '날짜': '2023.07.20.', '내용': '진료 한명한명 꼼꼼하게 잘 봐주시고 친절하세요 ㅠㅠ 너무 아파서 갔는데 어머니 처럼 진료 봐주셔서 감동이였어요! 약빨도 잘 돕니다', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:00', '일': '휴무일', '휴무일': '매달 두번째, 네번째 토요일, 매주 일요일'}"
밤섬이치과,5.0,마포구 창전로 35 서하빌딩 2층,,"[{'작성자': '재크', '별점': '5.0', '날짜': '2025.02.01.', '내용': '여기 치과 실장님이 정말 전문성있고 상담을 잘해주시네요~ 이렇게 프로페셔널한 곳은 처음봅니다👍👍', '좋아요': '0'}, {'작성자': '김수정', '별점': '5.0', '날짜': '2024.11.12.', '내용': '과잉진료 없고 세심하게 치료해 주심 이제껏 많은 치료를 받아봤지만 선생님 및 간호사분의 세심한 치료는 이 곳이 처음. 뭔가 한상 치료를 당하는 느낌이였는데 치료 단계 하나하나 쪼개서 설명해 주실... 더보기', '좋아요': '0'}, {'작성자': '니니', '별점': '5.0', '날짜': '2024.07.21.', '내용': '안아프게 치료해주시고 최고의 치과입니다.', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 20:00', '수': '휴무일', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '매주 수요일, 일요일'}"
서림한의원,5.0,마포구 독막로 168 한도빌딩 4층,,"[{'작성자': 'YHJ', '별점': '5.0', '날짜': '2022.04.02.', '내용': '침술 실력도 좋은 편이시고 뭣보다 친절하고 바가지 없고 좋다.', '좋아요': '0'}, {'작성자': '이지용', '별점': '5.0', '날짜': '2021.08.21.', '내용': '원장님이 상세히 설명하면서 환자의 이해를 최대한 돕습니다. 원장님에 대힌 신뢰가 실제 치료효과로 이어지는 느낌입니다. 또 침술에 의존하지 않고 다양한 방식으로 치료하고 아직 어린 아이들을 데려 갔을 때 ... 더보기', '좋아요': '0'}, {'작성자': '주봉현', '별점': '5.0', '날짜': '2020.09.25.', '내용': '원장님이 친절하시고 진료도 잘봐주십니다.', '좋아요': '0'}]",{}
안전기지한의원,5.0,마포구 독막로 147-6 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F1C89145BF5A54F6596316A077D8A5916,"[{'작성자': 'ㄱ 루아짐 최지완 매니저', '별점': '5.0', '날짜': '2023.10.11.', '내용': '공황장애 때문에 상담받으면서 뇌파 훈련하는데, 효과 너무 좋고 과잉진료도 안 하셔서 부담없고 좋아요.', '좋아요': '0'}]","{'월': '09:30 ~ 19:30', '화': '09:30 ~ 19:30', '수': '09:30 ~ 19:30', '목': '09:30 ~ 19:30', '금': '09:30 ~ 19:30', '토': '09:30 ~ 15:00', '일': '휴무일', '휴무일': '공휴일'}"
영재소아청소년과의원,4.2,마포구 창전로 45 서강한화오벨리스크스위트 103동 110호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F87acf7d326ae3111d83e54d2ce7346590839ffe7%3Foriginal,"[{'작성자': '김수정', '별점': '5.0', '날짜': '2024.11.12.', '내용': '우리 아이 두살때부터 2년 가까이 다니고 있는데 아이가 한번도 접종때 조차도 울지 않고 진료 잘 받고 치료 잘 맞는 곳이다 선생님 화려한 언변은 없으시지만 약 처방도 항상 신경써서 해주시고 좋음!! 간호사쌤들도 모두 친절하심!', '좋아요': '0'}, {'작성자': '채채', '별점': '1.0', '날짜': '2024.08.26.', '내용': '단순 열감기래서 해열제만 처방 받았는데 다음날 아기 몸에 뭐가 나서 다른병원가니 수족구라고 하네요…', '좋아요': '0'}, {'작성자': 'Rimi', '별점': '5.0', '날짜': '2024.01.23.', '내용': '다른 병원은 선생님들이 너무 무섭다는 둥 하는데 여긴 모든 분이 친절하십니다. 간호사님들도 너무 친절하시고 아기를 너무 이뻐해주셔요.\n의사선생님은 친절하신데 내성적이신 느낌?ㅎㅎ 아 한가진 약을 세게 처방 안하... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '휴무일', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '휴무일': '매주 수요일'}"
사랑해요치과의원,4.5,마포구 독막로 168,,"[{'작성자': '지나가는 나그네', '별점': '3.0', '날짜': '2024.04.12.', '내용': '친절하다는 후기보고 갔는데 후기와 달랐습니다', '좋아요': '0'}, {'작성자': 'mia', '별점': '5.0', '날짜': '2024.02.08.', '내용': '기존 다니던 치과가 없어져서 동네 치과 중에서 후기 좋은 곳으로 왔는데 후기 좋은 이유가 있네요!!!\n직전 치과는 진짜 너무 비싸서 몇십은 기본이었는데 정말 필요한 부분만 치료해주시고 과잉치료도 없고 가격도 합리적인것 같아요! ... 더보기', '좋아요': '0'}, {'작성자': 'CJ60', '별점': '5.0', '날짜': '2024.01.23.', '내용': '대기시간도 짧고, 원하는 진료 위주로 받을 수 있어서 좋았습니다. 일부 공장식 대형 치과에서는 수익창출을 위해서 과잉진료 하는 경우가 있는데, 여긴 안 그런 것 같네요. 설명도 자세하고 ... 더보기', '좋아요': '0'}]","{'월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 14:00'}"
신연세치과,4.0,마포구 서강로 82 정상JLS빌딩 7층,,"[{'작성자': 'h', '별점': '1.0', '날짜': '2022.05.12.', '내용': '최악 스케일링은 무슨 급한 일 있는 사람처럼 우악스럽게 하고 의사도 대충 대충 진료', '좋아요': '0'}, {'작성자': 'JHJ', '별점': '5.0', '날짜': '2021.12.30.', '내용': '원장님 정말 친절하시고 차분하게 진료해주세요. 레진때문에 집근처 치과 찾다가 간판이 잘 안보여 우연히 발견했는데 타 병원에서 레진한 것보다 훨씬 튼튼하고 눈에도 잘 안띄게 해주셨습니다. 정말 감사합니다.', '좋아요': '0'}, {'작성자': '수범', '별점': '5.0', '날짜': '2021.02.20.', '내용': '친절하고 좋아요', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 14:00'}"
스마일플란트 치과의원,3.6,마포구 서강로 105 화일빌딩 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F74B249009DB5491AAA38AA7815C4FAE0,"[{'작성자': '이용석', '별점': '1.0', '날짜': '2024.06.05.', '내용': '저는 수원사는 이용석입니다\n5월4일 6개월에한번 치아 정기검진 오라해서 갔는데 \n스켈링인지 검사인지를  간호사분인지 선생님인지 여자분이  하는데 너무아파서 오른쪽만하고 왼쪽하는도중에 그만... 더보기', '좋아요': '0'}, {'작성자': '니따', '별점': '5.0', '날짜': '2024.04.17.', '내용': '무지 친절하고 뭐 하나 불편함 없어요. 원장님께 진료 받는데, 사실 말을 잘 못하는 상황에서 아프거나 무서워도 잘 알릴 수가 없는데 환자 상태 바로 알아채시고 천천히 쉬었다 해도 된다고 해주셔서 너무 좋아요.... 더보기', '좋아요': '0'}, {'작성자': '푸수', '별점': '5.0', '날짜': '2022.11.24.', '내용': '시설이 깔끔하고 직원분들이 친절해요 \n스케일링받았는데 안아프고 후련했어요', '좋아요': '0'}]","{'월': '09:00 ~ 20:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '매주 일요일'}"
김나영한의원,5.0,마포구 서강로 97 삼성프라자 207~209호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F1BBF582550454BA48D0B81043D907B9F,"[{'작성자': '소금꽃', '별점': '5.0', '날짜': '2024.02.20.', '내용': '가족들이랑 잠깐 서울갔을 때 저희 엄마가 갑자기 아파서 급한대로 근처 한의원을 찾아갔는데 너무 친절하게 맞이해주시고 날씨도 추웠는데 따뜻하게 해주셔서 감사했습니다 .. 잊지 못할 것 같아요 .. 새해 복 많이 받으시고 항상 건강하시길 바랄게요', '좋아요': '0'}, {'작성자': 'tina', '별점': '5.0', '날짜': '2022.03.03.', '내용': '실력있는 한의사선생님이 환자 한분 한분을 너무나 친절하고 정성스럽게 치료해 주십니다. 마음까지 편안해 지는 느낌입니다.', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2022.01.24.', '내용': '세상 친절하시고, 따뜻하신 한의사선생님이에요!\n고등학교 다닐때 계셨던, 착한 선생님이 진료해주시는 기분☺️\n치료도 세심하게 잘해주시고, 설명도 잘해주셔서 정말 좋습니다!!', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 17:00', '일': '휴무일', '휴무일': '공휴일'}"
