name,score,address,img_url,reviews,open_hour
성치과의원,1.0,마포구 토정로 161,,"[{'작성자': '아메리카노 왕자', '별점': '1.0', '날짜': '2024.05.16.', '내용': '의사가 진료도 대충 치료도 대충...\n갔다가 이 전부 상합니다 \n다른데 가세요 ㅡㅡ', '좋아요': '0'}, {'작성자': '손많씨', '별점': '1.0', '날짜': '2023.04.24.', '내용': '절대 가지마세요 . 매우 더럽습니다. 의료용 도구 세척도 안 하고  그걸로 머리도 긁습니다. 어디 신고하고 싶은데 방법이 없어서 이렇게라도 합니다.', '좋아요': '0'}]","{'월': '10:00 ~ 17:30', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 17:30', '토': '10:00 ~ 13:00'}"
서강박치과의원,,"마포구 토정로 195 준희빌딩 3, 4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F3A3F5F7296BD47FE95AECF4F70C2318C,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:30'}"
밤섬이치과,5.0,마포구 창전로 35 서하빌딩 2층,,"[{'작성자': '재크', '별점': '5.0', '날짜': '2025.02.01.', '내용': '여기 치과 실장님이 정말 전문성있고 상담을 잘해주시네요~ 이렇게 프로페셔널한 곳은 처음봅니다👍👍', '좋아요': '0'}, {'작성자': '김수정', '별점': '5.0', '날짜': '2024.11.12.', '내용': '과잉진료 없고 세심하게 치료해 주심 이제껏 많은 치료를 받아봤지만 선생님 및 간호사분의 세심한 치료는 이 곳이 처음. 뭔가 한상 치료를 당하는 느낌이였는데 치료 단계 하나하나 쪼개서 설명해 주실... 더보기', '좋아요': '0'}, {'작성자': '니니', '별점': '5.0', '날짜': '2024.07.21.', '내용': '안아프게 치료해주시고 최고의 치과입니다.', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 20:00', '수': '휴무일', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '매주 수요일, 일요일'}"
서울리베뉴치과의원,0.0,마포구 독막로20나길 22 래미안밤섬리베뉴1단지상가 2동 B07호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '14:00 ~ 20:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00'}"
해미소한의원 홍대점,0.0,마포구 독막로22길 9 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F16334D3B4EF2A34832,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 06:00', '화': '10:00 ~ 06:00', '수': '10:00 ~ 06:00', '목': '10:00 ~ 06:00', '금': '10:00 ~ 06:00', '일': '휴무일', '휴무일': '공휴일'}"
이오한의원,5.0,마포구 창전로 38 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FAB8CCA8E58694040BB1DB597DA63DD5E,"[{'작성자': 'hoon', '별점': '5.0', '날짜': '2020.09.07.', '내용': '음식먹고 체했는데 잘해주시고 다 친절하심 침도 잘 놓으심', '좋아요': '0'}, {'작성자': 'Kang Ji', '별점': '5.0', '날짜': '2020.01.02.', '내용': '이쪽으로 이전하시기 전부터 한의원 진료가 필요하면\n거리가 멀더라도 줄곧 내원하고있는데,\n\n원장님이 침을 정말 잘 놓으시고\n약도 진해서 믿음이 갑니다.', '좋아요': '1'}]","{'월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
한창한방병원,4.4,마포구 와우산로 48 로하스타워 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F90EB6422E85F40448D190603B4CA2EEF,"[{'작성자': 'notori', '별점': '5.0', '날짜': '2025.01.17.', '내용': '한창한방병원 2달간 입원했었는데\n시설도 좋고 친절하셔서 편안히 치료받고\n퇴원했네요...\n적극추천!!', '좋아요': '0'}, {'작성자': 'Hul', '별점': '5.0', '날짜': '2024.10.28.', '내용': '교통사고로 거의 일주일 입원. 작원친절 +공간이 탁트이고 환자를 배려한 시설+병원식사 끝내줌!!!!', '좋아요': '0'}, {'작성자': '마로', '별점': '2.0', '날짜': '2024.10.23.', '내용': '교통사고 때문에 입원했고, 후기가 좋아서 믿고 갔는데 대체로 친절한 건 맞지만 다른 곳과 비교해 특별히 더 친절한건 아닙니다. 추나치료는 선생님마다 너무 다르고, 물리치료 및 침 치료는 평소 다니던 한의원보다 아쉬웠습... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 15:00', '일': '09:00 ~ 15:00'}"
안전기지한의원,5.0,마포구 독막로 147-6 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F1C89145BF5A54F6596316A077D8A5916,"[{'작성자': 'ㄱ 루아짐 최지완 매니저', '별점': '5.0', '날짜': '2023.10.11.', '내용': '공황장애 때문에 상담받으면서 뇌파 훈련하는데, 효과 너무 좋고 과잉진료도 안 하셔서 부담없고 좋아요.', '좋아요': '0'}]","{'월': '09:30 ~ 19:30', '화': '09:30 ~ 19:30', '수': '09:30 ~ 19:30', '목': '09:30 ~ 19:30', '금': '09:30 ~ 19:30', '토': '09:30 ~ 15:00', '일': '휴무일', '휴무일': '공휴일'}"
온맘한의원,4.2,마포구 독막로 92 공감빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F31B457C928F9491D9A3F74B69D32A56E,"[{'작성자': '나무', '별점': '1.0', '날짜': '2025.01.28.', '내용': '친절하기는 해요.\n실력은 글쎄요.\n꽤 여러달 다녔는데 전혀 효과 못봤어요.\n그동안 소비한 시간과 한약값이 아깝네요.\n원장님이 다단계인지 방문판매인지 물건\n (마치 만병통치인양) 파시는듯 한데 환자입장에서 신뢰가 좀 안갑니다.', '좋아요': '0'}, {'작성자': '지니백 (승리)', '별점': '5.0', '날짜': '2022.12.30.', '내용': '남편과 약을 지었는데요\n효과를 보고 있어서 글을 남겨요^^\n명의 맞네요', '좋아요': '0'}, {'작성자': '이우진', '별점': '5.0', '날짜': '2021.05.20.', '내용': '분위기도 좋고 선생님도 친절하시고 좋아요!', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 20:30', '수': '09:30 ~ 13:00', '목': '09:30 ~ 20:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 15:00', '일': '휴무일', '휴무일': '공휴일'}"
아프지않은행복치과의원,4.5,마포구 독막로 98 두산위브아파트 상가 203호,,"[{'작성자': '정의영', '별점': '5.0', '날짜': '2024.05.08.', '내용': '너무 꼼꼼하게 잘 보십니다. 특히 이렇게 아프지 않게 마취하시는 의사분은 처음 봅니다. 다음엔 아내와 같이 올께요.', '좋아요': '0'}, {'작성자': 'Jeeyoon', '별점': '5.0', '날짜': '2023.12.21.', '내용': '과잉 진료 없고 의사 선생님, 간호사 선생님들 모두 친절하십니다. 오랫동안 다녔는데 다른 곳에도 가봤지만 여기가 저는 제일 좋습니다. 가격도 다른 곳에 비해 조금 더 저렴해서 모든면에서 계속 다니고 싶은 곳.', '좋아요': '0'}, {'작성자': '우디', '별점': '5.0', '날짜': '2023.06.30.', '내용': '과잉 진료 없는 느낌! 의사 선생님도 친절하세요! 멀지만 굳이 찾아오게 되는 곳! 그래서 그런지 예약이 빡셉니다', '좋아요': '0'}]","{'월': '10:00 ~ 18:40', '화': '10:00 ~ 19:40', '수': '10:00 ~ 17:40', '목': '14:00 ~ 17:40', '금': '10:00 ~ 18:40', '토': '09:30 ~ 12:40'}"
서림한의원,5.0,마포구 독막로 168 한도빌딩 4층,,"[{'작성자': 'YHJ', '별점': '5.0', '날짜': '2022.04.02.', '내용': '침술 실력도 좋은 편이시고 뭣보다 친절하고 바가지 없고 좋다.', '좋아요': '0'}, {'작성자': '이지용', '별점': '5.0', '날짜': '2021.08.21.', '내용': '원장님이 상세히 설명하면서 환자의 이해를 최대한 돕습니다. 원장님에 대힌 신뢰가 실제 치료효과로 이어지는 느낌입니다. 또 침술에 의존하지 않고 다양한 방식으로 치료하고 아직 어린 아이들을 데려 갔을 때 ... 더보기', '좋아요': '0'}, {'작성자': '주봉현', '별점': '5.0', '날짜': '2020.09.25.', '내용': '원장님이 친절하시고 진료도 잘봐주십니다.', '좋아요': '0'}]",{}
영재소아청소년과의원,4.2,마포구 창전로 45 서강한화오벨리스크스위트 103동 110호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F87acf7d326ae3111d83e54d2ce7346590839ffe7%3Foriginal,"[{'작성자': '김수정', '별점': '5.0', '날짜': '2024.11.12.', '내용': '우리 아이 두살때부터 2년 가까이 다니고 있는데 아이가 한번도 접종때 조차도 울지 않고 진료 잘 받고 치료 잘 맞는 곳이다 선생님 화려한 언변은 없으시지만 약 처방도 항상 신경써서 해주시고 좋음!! 간호사쌤들도 모두 친절하심!', '좋아요': '0'}, {'작성자': '채채', '별점': '1.0', '날짜': '2024.08.26.', '내용': '단순 열감기래서 해열제만 처방 받았는데 다음날 아기 몸에 뭐가 나서 다른병원가니 수족구라고 하네요…', '좋아요': '0'}, {'작성자': 'Rimi', '별점': '5.0', '날짜': '2024.01.23.', '내용': '다른 병원은 선생님들이 너무 무섭다는 둥 하는데 여긴 모든 분이 친절하십니다. 간호사님들도 너무 친절하시고 아기를 너무 이뻐해주셔요.\n의사선생님은 친절하신데 내성적이신 느낌?ㅎㅎ 아 한가진 약을 세게 처방 안하... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '휴무일', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '휴무일': '매주 수요일'}"
사랑해요치과의원,4.5,마포구 독막로 168,,"[{'작성자': '지나가는 나그네', '별점': '3.0', '날짜': '2024.04.12.', '내용': '친절하다는 후기보고 갔는데 후기와 달랐습니다', '좋아요': '0'}, {'작성자': 'mia', '별점': '5.0', '날짜': '2024.02.08.', '내용': '기존 다니던 치과가 없어져서 동네 치과 중에서 후기 좋은 곳으로 왔는데 후기 좋은 이유가 있네요!!!\n직전 치과는 진짜 너무 비싸서 몇십은 기본이었는데 정말 필요한 부분만 치료해주시고 과잉치료도 없고 가격도 합리적인것 같아요! ... 더보기', '좋아요': '0'}, {'작성자': 'CJ60', '별점': '5.0', '날짜': '2024.01.23.', '내용': '대기시간도 짧고, 원하는 진료 위주로 받을 수 있어서 좋았습니다. 일부 공장식 대형 치과에서는 수익창출을 위해서 과잉진료 하는 경우가 있는데, 여긴 안 그런 것 같네요. 설명도 자세하고 ... 더보기', '좋아요': '0'}]","{'월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 14:00'}"
척척75한의원,5.0,마포구 독막로 174 재성빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F07E2C65D7E1C45998E5B0B26E975C20C,"[{'작성자': '银雪', '별점': '5.0', '날짜': '2024.12.27.', '내용': '원장님이 매우 친절하고, 꼼꼼하게 진료를 해주시며, 설명을 자세히 잘 해주십니다. \n병원이 매우 청결하고 편안한 분위기가 좋았습니다.', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.10.08.', '내용': '허리가 아파서 치료받았습니다. 꼼꼼하게 설명해주시고 치료도 잘 받았습니다.', '좋아요': '0'}]","{'월': '09:20 ~ 18:30', '화': '09:20 ~ 20:00', '수': '휴무일', '목': '09:20 ~ 20:00', '금': '09:20 ~ 18:30', '토': '09:30 ~ 14:00', '일': '09:20 ~ 14:00', '휴무일': '공휴일'}"
사랑치과의원,5.0,마포구 독막로 176 2층,,"[{'작성자': '?', '별점': '5.0', '날짜': '2024.05.20.', '내용': '어릴때부터 교정때문에 치과 자주 다니고, 많이 옮겨다녔는데 현재 치아 상태에 대해 세세하게 설명해주셔서 뭘 해야할지 치료 판단이 잘 서더라고요.\n그냥 가서 ‘치료해야한다‘ 가 아니라 치아 관리까지 알게되었습니다 추천드려요', '좋아요': '0'}]","{'월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00'}"
서울봄봄치과의원,4.5,마포구 독막로 88 청옥빌딩 2층,,"[{'작성자': 'LB', '별점': '5.0', '날짜': '2024.05.31.', '내용': '치과는 아프다는 이미지가 있었는데 완전히 생각이 바뀌었어요. 원장님 치료 정말 잘하시고 직원분들까지 모두 친절하셔요!', '좋아요': '0'}, {'작성자': '-', '별점': '5.0', '날짜': '2024.03.13.', '내용': '치과 트라우마 있는데 여기는 좋아요!', '좋아요': '0'}, {'작성자': '^^', '별점': '5.0', '날짜': '2023.04.13.', '내용': '친절하고 섬세한 치료가 돋보이는 치과의사선생님이 아주 인상적이셨습니다! 치위생사선생님들도 친절하십니다! 치과 분위기가 차분하니 좋습니다. 추천합니다.', '좋아요': '0'}]","{'월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '휴무일', '목': '14:00 ~ 20:30', '금': '10:00 ~ 19:00', '토': '09:30 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
참본정형외과의원 마포점,,마포구 창전로 60 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F469A4427AFBC4585AAB7F3739C4BC8D1,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
박찬이비인후과의원,2.1,마포구 창전로 60 서강빌딩 4층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fdc6f69ed31d0194f36cf0d28289d461c3806a18ccb19ec11e59542ed8413138b,"[{'작성자': '푸로혼술러', '별점': '5.0', '날짜': '2025.03.06.', '내용': '붓오님 2분 모시고 갔는데,\n간호 선생님들도 친절하시고\n의사 선생님도 빠르게 잘봐주셨습니다^-^\n담에 또 갈 예정입니다', '좋아요': '0'}, {'작성자': '모찌모찌', '별점': '1.0', '날짜': '2024.11.29.', '내용': '목감기로 목소리가 안나와서 갔더니 목을 쓰지말라고 하네요.\n목소리가 일주일넘게 안나와서 일부러 이비인후과로 간건데 다른 이비인후과처럼 특별한 처방도 없고, 의사, 간호사 모두 불친절해요.\n진심으로 낫고 싶으시다면 다른 이비인후과 가세요', '좋아요': '0'}, {'작성자': '중학생', '별점': '2.0', '날짜': '2023.12.01.', '내용': '의사쌤이 너무 불친절하세요..', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
하이치과의원,3.0,마포구 창전로 60 서강빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjFfMTc0%2FMDAxNzMyMTk5MTE2MDE4.Xk_9aerSVitDqtpTCxoli2UjKc7emfcmWs3i0SyUwrYg.9r4SOGAypfSiC-fjnv7AfUKphD9OfL7JYH3EuOtBLlIg.JPEG%2F1_003.jpg%3Ftype%3Dw966,"[{'작성자': 'Ryan', '별점': '3.0', '날짜': '2024.07.26.', '내용': '친절하고 과잉진료 없어서 좋습니다. 진료추천은 좀 합니다.', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00'}"
우리동네내과의원,3.9,마포구 토정로 222 한국출판협동조합빌딩 2층,,"[{'작성자': '최기봉', '별점': '5.0', '날짜': '2025.02.19.', '내용': '이번감기 진짜 독합니다..\n독감검사하니까 반응은 안나오고..2주간  쩔쩔매다가...좀 나았나싶으면 또 기침...엑스레이상으로는 아무 이상없다고...기침.가래쪽으로 집중치료하자고..\n금해야할 음식(술.담배)커피도 당분간...\n자세히 설명해주셔서 감사하네요', '좋아요': '0'}, {'작성자': 'J', '별점': '1.0', '날짜': '2024.01.05.', '내용': '의사쌤이 너무 환자 받는 머신같이 행동해요. \n증상을 제대로 들어주지 않고 제 말 자르고\n속사포로 본인이 직접 때려맞추려고 해요. \n수십초만에 후다닥 해치우더니 나가래요. \n궁금한 점 말도 못하고 주의사항 하나도 ... 더보기', '좋아요': '0'}, {'작성자': '짭짤한설탕', '별점': '1.0', '날짜': '2023.02.22.', '내용': '여러번 방문했던 곳입니다만 매번 프론트에 있는 간호조무사들의 태도가 맘에 안 들었어도 의사 선생님께서 친절하셔서 참고 다녔었는데 이건 진짜 아니네요. 방문했을 때 접수 시 느껴지는 그 특유의 불친절함은 매번 ... 더보기', '좋아요': '2'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00'}"
경희희망한의원,5.0,마포구 창전로 60 서강빌딩 4층 광흥창역 3번출구,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBEB9D7740FFE4EC994C42412A70FFEA6,"[{'작성자': '프링크리', '별점': '5.0', '날짜': '2024.09.19.', '내용': '상냥하지 않고 무뚝뚝하지만\n실력은 최고이신듯 합니다 ㅡ\n어깨통증을 몇달을 다른 병원에서 차도가 없었는데 ㅡ\n아픈 이유를 바로 찾고 제대로 고치시네요ㅡ', '좋아요': '0'}, {'작성자': '김경남', '별점': '5.0', '날짜': '2022.04.04.', '내용': '원장 선생님 침술은 대한민국 넘버원이세요. 이유모를 두통에 MRI도 아무 문제 없다는데, 선생님 침 한방에 6개월 넘게 두통이 전혀 없습니다. 식도염도 있었는데, 원장님이 처방해주신 약 먹고 씻은... 더보기', '좋아요': '0'}]",{'휴무일': '공휴일'}
