name,score,address,img_url,reviews,open_hour
가자연세병원 서울점,,서대문구 수색로 18 2~5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7B00CF46AC3A4C1E943CC2D7F149C623,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
홍피부과의원,3.4,서대문구 수색로 38 4층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F19bf3ebd3d52073215b0273af05cff71bce2d2c7%3Foriginal,"[{'작성자': '밥', '별점': '2.0', '날짜': '2025.02.08.', '내용': '몇번갔었는데갈때마다 데스크에서 수납하고 손님 나가시는데 나가자마자 대기실 다들리게 자기들끼리 그 환자와 있었던 대화에 대해 뒷담화까더라구요 그런얘기는 안들리게하든가 회식자리에서나하세요 저 나간다음에 제욕했을까봐 무섭네요.', '좋아요': '0'}, {'작성자': '최선은 최강에 전술이다.', '별점': '1.0', '날짜': '2025.02.02.', '내용': '오래전에 남가좌동에서 피부과가 여기밖에 없어서 간적이 있는데 다른데서는 1만원식 했는데 이기만 2만원식 하더라고요 그래서도 피부가 중요하니간 2만원식 20개이상을 했었는데 조무사 여직원이 상냥하지않아서 기분... 더보기', '좋아요': '0'}, {'작성자': 'sun', '별점': '5.0', '날짜': '2025.01.21.', '내용': '아주 예전부터 유명하다고 익히 들어 알고 있었어요.\n그러다 이번에 아이 치료차 방문했는데 선생님과 간호사쌤까지 다 친절하시고, 과잉진료 없이 진단.처방.치료 해서 다 나았어요!\n이사와서 조금 멀지만 피부과는 여기만 다닐꺼에요!!!', '좋아요': '0'}]","{'월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 20:00', '토': '09:30 ~ 14:30', '일': '휴무일', '휴무일': '매주 일요일'}"
연세은혜내과의원,,서대문구 증가로 145 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB9EF87DBA553449B902EC245F659E3FE,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
참빛안과의원,3.4,서대문구 수색로 48,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fa658909a1eb70cde575ca4e9c281e53186850b80019bf0270c270c2f83f32d7d,"[{'작성자': '!', '별점': '1.0', '날짜': '2025.02.11.', '내용': '할많하않', '좋아요': '0'}, {'작성자': 'hoho', '별점': '1.0', '날짜': '2025.01.26.', '내용': '의사: 어디가 불편해서 오셨어요?\n나: 오른쪽 눈에 다래끼가 난것같아요\n의사: 병명 진단은 의사인 내가 하는거지 본인이 판단하시면 어떡합니까 다래끼인지 아닌지는 내가 진단하는거예요 어떻게... 더보기', '좋아요': '1'}, {'작성자': '김범준', '별점': '1.0', '날짜': '2024.12.13.', '내용': '다시는 안감', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '매주 일요일'}"
보아스이비인후과의원 서대문원,,서대문구 증가로 150 DMC센트럴아아파크아파트 상가동 지하3층 B301호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F69E611314081475FA221F5CEC59F644D,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '설전날, 설당일, 설다음날'}"
비움내과의원,4.8,서대문구 증가로 98 남도빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F24398F4553FED62215,"[{'작성자': 'ㅇ', '별점': '5.0', '날짜': '2025.01.14.', '내용': '솔직히 갠적으론 바쁘셔서 그런가 갈 때마다 다소 신경질적인 느낌이 없지않아 있지만 지식이 많으신것 같고 전문성이 너무 좋다고 느껴서 이런 단점을 다 커버해요 설명도 기깔나게 해... 더보기', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2025.01.03.', '내용': '신속하게 검사해주신 의사 선생님 감사합니다~ 프런트 간호사 선생님들도 친절하셨어요', '좋아요': '0'}, {'작성자': '꼼화아가씨', '별점': '5.0', '날짜': '2024.12.24.', '내용': '2022년부터 알게된 병원. \n집과 멀어져도 다닌곳이에요\n처음 갔을때 정확한 진단 뿐만아니라 \n인간적인 의사선생님, 간호사분들이시다라는 느낌을 받았습니다. 늘 따뜻하게 맞이해주시고 \n과잉... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 17:00', '일': '휴무일', '휴무일': '공휴일'}"
장안과의원,3.0,서대문구 수색로 38,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7d1b5397cc19bf1404793e5636c076eec5f6dbde%3Foriginal,"[{'작성자': '이창훈 MDD', '별점': '1.0', '날짜': '2022.03.02.', '내용': '안경 새로 맞추러 검안하러 갔더니, 검안하고 의사만나러 갔더니 진료실 3개중에 한곳 들어갔는데..\n검사장비로 눈 보더니.. 안구건조증이 이야기만 잔뜩하고, 약 처방 해주고 검안 결과는 뽑아주지도 않음.\n뭔가... 더보기', '좋아요': '1'}, {'작성자': '백은지', '별점': '5.0', '날짜': '2022.02.17.', '내용': '병원은 역시 시설의 좋고 나쁨 보다 의사 선생님의 오랜 경험이 중요한 거 같습니다. 안과 3군데를 가도 해결 되지 않던 문제를 한번에 해결해 주셨어요. 눈꺼풀 안쪽으로 난 고름 주머니를 딱! 제... 더보기', '좋아요': '1'}, {'작성자': '에이원민턴 마포점', '별점': '5.0', '날짜': '2021.03.04.', '내용': '다래끼나서 후기가 애매하게이상해서  옆에 다른데갈까하다 반신반으로갔는데\n원장님 나이가있으신데 노련하시고 째는것도 안무섭게 잘해주세요 간... 더보기', '좋아요': '2'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '14:00 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 12:00', '일': '휴무일', '휴무일': '매주 일요일'}"
하나미의원,4.4,"서대문구 거북골로 120 DMC센트레빌 상가2동 210, 211호",,"[{'작성자': '우솔이', '별점': '5.0', '날짜': '2025.02.19.', '내용': '전기포트에 손 데여서 갔는데\n화상치료 아주 잘 해주셨어요', '좋아요': '0'}, {'작성자': 'DanielleL', '별점': '5.0', '날짜': '2025.01.07.', '내용': '원장님 친절하게 설명해주시고 과잉진료 안하는 느낌이라 좋았어요', '좋아요': '0'}, {'작성자': '뽀잉', '별점': '5.0', '날짜': '2024.09.09.', '내용': '이쪽동네에 볼일이있어서 왔다가 \n최고의 피부과 의사분 만나버렸어요.. \n엄청엄청 친절하시고! 예쁘시고! 상담도 자세히 해주세요 \n피부과진료 필요하신분들 강추...\n저는 미용쪽 아니고 진짜 염증같은거라 걱정이있었는데 마음이 편안해졌어요🫶🏻', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '휴무일', '금': '09:30 ~ 20:00', '토': '09:30 ~ 14:00', '일': '휴무일', '휴무일': '매주 목요일, 일요일'}"
연세에이스치과의원,4.8,"서대문구 증가로 132 2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F48098927BF7446319D93BA319AF5BB5B,"[{'작성자': 'ENTP', '별점': '5.0', '날짜': '2024.04.18.', '내용': '입구부터 은은한 향이 나더니 치과에서 정말정말 좋은 향이 납니다. 이게 호텔인지 치과인지.. 겉만봐선 절대 상상도 못하겠네요. 데스크도 친절하시고 원장님... 더보기', '좋아요': '0'}]","{'월': '09:30 ~ 20:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 20:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00'}"
열린정형외과,,서대문구 증가로 124 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
