name,score,address,img_url,reviews,open_hour
연세천용민정형외과의원,4.3,"서대문구 신촌로37길 10 B101, B301, 601호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjVfMTQy%2FMDAxNzMyNDk2NzExNjU3.Hz-1n47kCmYVNx1eytVSR8kBCk_OfuGEBxeXCls8oT4g.JXTkIUOJwHAS7OmB7BXchccQFMxXjXfuAm7uwGEOirgg.JPEG%2F%25EC%2588%2598%25EC%25A0%25956.jpg%3Ftype%3Dw966,"[{'작성자': '박용민', '별점': '5.0', '날짜': '2025.02.19.', '내용': '-진료부터 물리치료까지 잘받고 나왔어요~', '좋아요': '0'}, {'작성자': '정종현', '별점': '5.0', '날짜': '2025.02.17.', '내용': '여기 좋은데ㅠ 최근에 사람이 더 늘은 거 같네요ㅠ 그래도 잘 다니고 있습니다', '좋아요': '0'}, {'작성자': '유경3', '별점': '5.0', '날짜': '2025.02.14.', '내용': '요즘은 믿을 수 있는 의료진 찾기가 힘들어요 천용민 원장님 때문에 꾸준히 다니는 곳입니다', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '매주 일요일'}"
연세문이비인후과의원,4.8,서대문구 북아현로 4 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F59ae77040814c6fa576aa3e1c47ac948c028e6d714a445c42c842910cdc24246,"[{'작성자': '은', '별점': '5.0', '날짜': '2025.03.01.', '내용': '지병인 이석증 때문에 휴일에 문연병원 급하게 검색해서 갔는데 한방에 이석치환술 성공했는지 훨씬 상태 좋아졌습니다. 이석 잘안들어 가서 큰기대하지 않고 갔는데 의사선생님... 더보기', '좋아요': '0'}, {'작성자': '가은', '별점': '5.0', '날짜': '2024.11.07.', '내용': '독감 예방 접종 받으러 방문했는데 너무 친절하시고 감사합니당', '좋아요': '0'}, {'작성자': '참새', '별점': '5.0', '날짜': '2024.09.19.', '내용': '연휴에 갔는데 사람이 많았는데도 불구하고 너무 친절하세요.', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '09:30 ~ 12:30'}"
우리들안과의원,,서대문구 신촌로 273 2-3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2603A14154C2FDEC18,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
아현서울이비인후과의원,4.9,서대문구 신촌로35길 10 e편한세상신촌4단지상가 2층 207호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd5be4b342b60c6823e27ace07449f99ad180d05c%3Foriginal,"[{'작성자': '박씨', '별점': '5.0', '날짜': '2025.02.28.', '내용': '약 많이주는병원 싫어하는데 딱 필요한만큼만주시고 약도 잘들어요', '좋아요': '0'}, {'작성자': '진짜 좋거나 진짜 별로인곳만 리뷰씀', '별점': '5.0', '날짜': '2025.02.05.', '내용': '말모말모 최고이십니다!  친절하시고 약도 과하게 처방안해주시고 증상에 알맞게 처방해주세요\n좋아서 주변에추천!\n+ 바로앞 같은층 젊은 남자 약사선생님도 진짜 친절하세요', '좋아요': '1'}, {'작성자': '>_<', '별점': '2.0', '날짜': '2024.11.25.', '내용': '데스크분과 의사 선생님은 친절한데 제 감기에 대한 대처는 미흡하셨는지 축농증으로 번졌습니다.. ㅜ', '좋아요': '0'}]","{'월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 12:50', '금': '09:00 ~ 17:30', '토': '09:00 ~ 12:50', '일': '휴무일', '휴무일': '공휴일'}"
타임리스피부과의원 마포본점,,서대문구 신촌로33길 16 헤센스마트더센트럴 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F62CD9EE9FB0A46339BEB34EB3FF1679F,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 20:30', '화': '10:00 ~ 19:30', '수': '10:00 ~ 19:30', '목': '10:00 ~ 19:30', '금': '10:00 ~ 20:30', '토': '09:30 ~ 15:00', '일': '휴무일', '휴무일': '공휴일'}"
연세광안과의원,4.4,서대문구 신촌로37길 10 아현메디컬 10층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAxMThfMTMz%2FMDAxNzA1NTQ0MjAxOTQ2.AJy5h6PQPb2EF3Ff1_zMakPZWoGknVujR2bVhyRqy1Mg.-IgMajzpaB4W8nrCaUA-hUtYQNcL2X5_8EFktAcSGfEg.JPEG.hello810206%2F20240110%25EF%25BC%25BF174318.jpg%3Ftype%3Dw386,"[{'작성자': '금구름', '별점': '5.0', '날짜': '2024.09.03.', '내용': '의사 선생님이 아주 친절하시고, 치료를 성의있게 해주셨습니다. 설명도 자세히 해주시네오', '좋아요': '0'}, {'작성자': '감귤', '별점': '5.0', '날짜': '2024.08.19.', '내용': '다른곳 다 그냥 결막염인줄알고 스테로이드 안약만 처방해줘서 낫질 않았는데 여기에서 세균성 결막염이라 하고 항생제 안약 처방해줘서 쓰니까 몇일만에 나음 생긴지 얼마 안돼서 병원도 깔끔하고 냄새좋아서 뱡향제 뭐쓰는지 알고싶음', '좋아요': '0'}, {'작성자': '>_<', '별점': '2.0', '날짜': '2024.01.01.', '내용': '공휴일인데 왜 진료중으로 뜨는지..', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00'}"
연세내일치과의원,4.4,서대문구 신촌로37길 10 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff250e4315987151fb806ca4e46c2f92f681d8327%3Foriginal,"[{'작성자': '아리', '별점': '1.0', '날짜': '2024.10.31.', '내용': '부정적인 리뷰 잘 안쓰는데.. 여기는 너무 불친절합니다. 제가 아는 지인도 왜 여기를 갔냐고 하네요.. 비싸기도하고. 치료 끝나고 왜 무서워하냐고 그렇게 무서웠냐고 비웃듯이 이야기하고 의사... 더보기', '좋아요': '0'}, {'작성자': '스리라차', '별점': '5.0', '날짜': '2024.09.26.', '내용': '친절하고 좋음요', '좋아요': '0'}, {'작성자': '플래티넘112', '별점': '5.0', '날짜': '2023.09.05.', '내용': '갑자기 이가 아파서 다녀왔는데 친절하게 잘 설명해주시고 안아프게 잘 치료해주셔서 좋았습니다 ㅎㅎㅎ', '좋아요': '0'}]","{'월': '09:30 ~ 20:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 20:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30', '일': '10:00 ~ 14:00', '휴무일': '공휴일'}"
세상의기쁨마취통증의학과의원,3.8,서대문구 신촌로35길 10 지하1층 426호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F07F45732360B46DA946521C20AB02B91,"[{'작성자': '김지원', '별점': '5.0', '날짜': '2024.10.31.', '내용': '어깨ㆍ팔 부위 통증진단과 치료가\n정확한것 같다\n\n2년전쯤 왼팔 마비ㆍ저림증상으로 여러군데 유랑하다가 이병원에서\n완쾌된적있고 다시는 팔은 아프지 않으리라. 했었는데  목욕탕 세신 하시는분이 공룡발바닦같은 물건으로 등 ... 더보기', '좋아요': '0'}, {'작성자': '홍길동', '별점': '5.0', '날짜': '2024.06.25.', '내용': '두 의사선생님께서 저보다 더 안타까워해주시고 공감해주시는 모습, 참 감사했어요. 마음 편한 진료가 가능했습니다. 또 치료 중간중간에 예후에 따른 치료방법 안내를 미리 해주셔서, 앞으로의 상황을 예상할 수 있었... 더보기', '좋아요': '0'}, {'작성자': '고희경', '별점': '5.0', '날짜': '2024.04.05.', '내용': '엘보치료 허리 무릎치료 이병원서 계속 치료받으러 다님\n친구에게 추천하려고 주소 주려니 극과극 리뷰?\n이동네 기대수준과는 다를수도 \n저희 서초동 환자들은 맛집정보 10개와 바꾸고 싶지 않은 별5 병원\n오른쪽 팔꿈치만 나으면 별6개 누르고 싶음', '좋아요': '0'}]","{'월': '09:30 ~ 19:30', '화': '09:30 ~ 19:30', '수': '09:30 ~ 19:30', '목': '09:30 ~ 19:30', '금': '09:30 ~ 19:30', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '매주 일요일'}"
서울수치과의원,3.7,서대문구 신촌로35길 10 지하123호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjJfMjAw%2FMDAxNzMyMjM4NDQwMDYx.tpNm_RXKso5bHx6SJx34yMEdTPkKR_KlER1PyGKWP8wg.RkLGXVSr79LrKpBPlDeAaCc9nmQ6vDxpKgbaroYCHSsg.JPEG%2FSE-d9059a26-d69c-43b4-aa03-f5c58ef881de.jpg%3Ftype%3Dw966,"[{'작성자': '고라니', '별점': '5.0', '날짜': '2024.08.30.', '내용': '한 3년정도 다녔습니다. 의사선생님 엄청 친절하시고 자세히 설명해 주십니다.\n데스크 불친절하다는 분들이 계신데 전 전혀 못느꼈어요.\n다들 한번씩 싸우고 후기 남기시는것같네... 더보기', '좋아요': '0'}, {'작성자': '워', '별점': '1.0', '날짜': '2024.05.09.', '내용': '의사선생님은 10점 만점에 100점이에요\n친절하시고 정직하시고 최고인데\n데스크 직원들이 과할 정도로 불친절에 예약 잡을 때마다 짜증과 피로 섞인 목소리를 매번 들어야하니까 가고 싶지 ... 더보기', '좋아요': '1'}, {'작성자': '니나니뇨', '별점': '5.0', '날짜': '2023.11.19.', '내용': '의사선생님 완전 정직하시고 친절하게 알려주세요.\n다만 예약이 빡세고 밑에분들이 말한것처럼 데스크 직원이 친절하지는 않어요. 여긴 치위생사분들이랑 의사선생님 보고 가야할곳', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 20:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 20:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '10:00 ~ 14:00'}"
현대한의원,5.0,서대문구 북아현로2길 1,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F142008374E11785729,"[{'작성자': '하하히히히', '별점': '5.0', '날짜': '2025.02.11.', '내용': '선생님도, 간호선생님도 친절하시고\n급체했을 때 갔는데 하루만에 나았습니다\n감사해요', '좋아요': '0'}, {'작성자': '길따라 맛따라', '별점': '5.0', '날짜': '2024.05.25.', '내용': '대침놓는곳 많지않은데 진짜 침 잘놓으시고 이명에 시달려 양의 안가본곳이 없었고 비뇨기적인진료와 치료에 감탄했습니다', '좋아요': '1'}, {'작성자': '권태균', '별점': '5.0', '날짜': '2020.05.16.', '내용': '직업상 목이랑 허리가 자주 아파서 아플때마다 가는 곳인데, 매우 아픈 침을 놓으시지만 맞으면 바로 호전되는 놀라운 곳. 원장님도 친절하시고, 치료 효과도 너무 좋은 곳인데 마치 돈만 밝히는 것처럼 써놓은 밑에 악평이 안타까워서 글 남깁니다.', '좋아요': '1'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
