name,score,address,img_url,reviews,open_hour
세브란스병원,2.5,서대문구 연세로 50-1,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjhfMjgg%2FMDAxNzM1MzczNzEwMjc4.nFxgCxiwzdbVQuvXDl1vmg0G0W6IC0nwvav4zJK6NFcg.HcrR0HYmMGm3qkJXyOwC_BArV6L-ZoqMnZuDdM7r5fQg.JPEG%2FSE-788691de-6477-4d07-a367-e9540ed88abe.jpg%3Ftype%3Dw966,"[{'작성자': '애들아빠', '별점': '5.0', '날짜': '2025.03.21.', '내용': '모두 친절하시고 특히 차량유도하시는 분은 택시기사분이 제가 실수로 트렁크문을 강제로 닫으려 하니까 닫지말라고 고함을 질렀는데, 고객에게 그러면 안된다고까지 하시면서 환자와 보호자를 배려하시더군요. 본관 3층 택시... 더보기', '좋아요': '0'}, {'작성자': '박세환', '별점': '1.0', '날짜': '2025.03.10.', '내용': '내시경실 전화받는분들 너무 예의가 없음...\n아침새벽에 출발해서 최대한 맞추려고 했는데.. 안될거같아서.. 양해를 구하며 말씀을드렸는데..\n한심하다는 말투로 대응함.. 굉장히 불쾌하고 짜증 남', '좋아요': '0'}, {'작성자': 'TRUE', '별점': '3.0', '날짜': '2025.03.08.', '내용': '입원을 했었는데 간호사 분이 너무 친절하셔서 좋았습니다만 x-ray 찍을 때 그 직원 분이 인사도 대충하고 어떻게 서야하는지 몰라서 어리둥절하는데도 그냥 환자를 되게 귀찮아 하는 듯이 하셔서 기분 나빠 별점 깎습니다...', '좋아요': '3'}]","{'월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 11:30', '일': '휴무일', '휴무일': '공휴일'}"
CNP차앤박피부과 신촌점,2.6,서대문구 신촌로 99 엘리트빌딩 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2767AE495537664D1D,"[{'작성자': '이응', '별점': '1.0', '날짜': '2025.01.22.', '내용': '남의사 개별로 절대 다신 안감\n치료도 엄청 못해서 흉터 엄청 심하게 남아서 이거 복구하는데 돈 더 많이 듦\n환자 20분 대기 해놓고 지는 진료실 안에서 스피커폰으로 통화중 ... 더보기', '좋아요': '0'}, {'작성자': 'ㅁ.ㅁ', '별점': '1.0', '날짜': '2024.02.13.', '내용': '남자의사한테 굳이 진찰받을 필요 없음', '좋아요': '0'}, {'작성자': '뭉이치르', '별점': '1.0', '날짜': '2024.01.05.', '내용': '진료 2분 보고 진료비 만원이고, 비립종 제거 1개에 4만원 부르더라구요 ㅋㅋㅋ 시술 안받고 나와서 다른 병원가서 한개에 7천원에 뺐습니다^^', '좋아요': '0'}]","{'월': '10:30 ~ 19:30', '화': '10:30 ~ 19:30', '수': '10:30 ~ 19:30', '목': '10:30 ~ 19:30', '금': '10:30 ~ 20:00', '토': '10:00 ~ 15:30'}"
세브란스병원 연세암병원,2.7,서대문구 연세로 50-1,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA1MjFfMjg1%2FMDAxNzE2MjY5MTkwMjUy.dV2RI-rxqjemmmY0ZHfl_zLE-4A0NMlNpixt9yS55mAg.AR3bjw289ehCEC2OQ52F_YIGOROXTe4BVwGnyu0kZRMg.JPEG%2Foutput_1012449474.jpg%3Ftype%3Dw773,"[{'작성자': '무지개', '별점': '1.0', '날짜': '2025.03.14.', '내용': '완화의료  이시원 ,  남은지 굉장히  안 좋습니다.', '좋아요': '0'}, {'작성자': '하늘', '별점': '1.0', '날짜': '2024.11.28.', '내용': '과대광고로 항암하면 살려줄듯 하더니, 환자 케어 하나 제대로 못하면서 한 분야의 권위자라는게 도무지 이해가 안간다. 제발 인맥의사 타이틀이 아닌 실력자들로 채워지는 날이 오기를.. 자기 자신이 부끄러운줄 알기를..', '좋아요': '0'}, {'작성자': '정치인거부', '별점': '5.0', '날짜': '2023.11.27.', '내용': '항상 감사드립니다. 나와 내 가족을 위한 병원', '좋아요': '0'}]","{'월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '일': '휴무일', '휴무일': '공휴일'}"
잎사귀치과병원,,"서대문구 명물길 32 준성빌딩 2, 3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F89146D0C5DD54A799FA1889FAB50F450,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:00 ~ 16:00', '일': '휴무일', '휴무일': '공휴일'}"
연세대학교 치과대학병원,2.9,서대문구 연세로 50-1,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjBfNjMg%2FMDAxNzMyMDY1NzI1NDYy.gN9Wn6Qcgr4sNa_kkPRmxApmcutH_4ZActD_H5oJstsg.MeerekKyidDx1npNJyG8cTYHHrAufd20Qm6KLWQM_s8g.JPEG%2F900%25EF%25BC%25BF1732065722925.jpg%3Ftype%3Dw773,"[{'작성자': '갱스터', '별점': '5.0', '날짜': '2025.03.13.', '내용': '효율적', '좋아요': '0'}, {'작성자': '바다', '별점': '1.0', '날짜': '2025.03.12.', '내용': '신촌세브란스 소아치과 ㅅㅈㅅ 교수님 예약 날짜 잡아주는 직원 (간호사 일까요?) 너무 불친절합니다. 몇 번 통화 했는데 허허 지금까지 통화했던 모든 사람들 중에서 평생 기억날만큼 불친절하더군요. 친절을 기대하... 더보기', '좋아요': '2'}, {'작성자': '꽈배기', '별점': '5.0', '날짜': '2025.01.31.', '내용': '치과보존과 진료받았는데 대학병원이라그런지 영상도 상세하게 빠르게 찍었고 수련생?분도 친절하시고 교수님도 친절하시고 설명도 알아듣기 쉽게 해주셨어요\n알고보니 치료가 특별히 필요한 상태는 아니었어서 진료만 잘 받았어요', '좋아요': '0'}]","{'월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 17:30'}"
연세스타피부과의원 신촌본점,,서대문구 신촌로 73 테라운드빌딩 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMThfMjU3%2FMDAxNzM0NTEwMzQwNjE4.VzcWoSScJMsmKOQn5ZkGKdiN9YhYP4yToI1m1zbmTzQg.ha27CNeVotWDp3Im8_xfP-gmq2ZcJwoqSdfScuk8Pv8g.JPEG%2Fqlgntjd4.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '일': '휴무일', '휴무일': '공휴일'}"
빛사랑안과의원,4.4,서대문구 신촌로 93 광신빌딩 2층 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF5BCF014FDDB418DB0D97275010466E0,"[{'작성자': '포그바', '별점': '5.0', '날짜': '2025.03.10.', '내용': '일반진료도 잘 봐주셔서 신촌에서 안과갈 때는 여기로 가요. 시설 좋음, 빠른 진료, 친절한 선생님들 ^^b', '좋아요': '0'}, {'작성자': '지니', '별점': '5.0', '날짜': '2025.01.14.', '내용': '라섹 어디서 할까 진짜 열심히 고민하다가 경력 많으신 원장님 직접 하시는 병원 찾아서 드디어 했습니다. 친절하시고 안아파요! 추천..', '좋아요': '0'}, {'작성자': '동범', '별점': '5.0', '날짜': '2024.12.13.', '내용': '2진료실 원장님 다래끼 시술👍', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '휴무일', '금': '09:30 ~ 20:00', '토': '09:30 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
신촌면력한방병원,4.4,서대문구 연세로 12 피델리아타워 8~14층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F46F4D0C166F747C29A456AF7AA01DCB8,"[{'작성자': '홍수호', '별점': '5.0', '날짜': '2024.12.19.', '내용': '집사람 자궁쪽 문제로 수술하고 요양 차 방문한 곳입니다 시설 깨끗하고 관리 잘해주고 식단이 무엇보다 제일 좋았습니다', '좋아요': '1'}, {'작성자': '임다은', '별점': '5.0', '날짜': '2024.12.19.', '내용': '물리치료 극락', '좋아요': '0'}, {'작성자': '박이든', '별점': '5.0', '날짜': '2024.12.18.', '내용': '지인이 알려줘서 와봤는데 한방병원이 이런 곳인줄 몰랐어요 굉장히 체계적이고 의사도 있고 한의사도 있어서 더 좋은 듯요-!', '좋아요': '0'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '일': '09:00 ~ 15:00', '휴무일': '공휴일'}"
서울올바른정형외과의원,4.0,서대문구 신촌로 183 유인빌딩 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMDRfMjg2%2FMDAxNzI4MDI1Njc5Njk2.w1sGj7idnPISG00RMRYiVCgUvo8ecNxMxpsaaABM-pYg.eBc1BWNO128A57DLb81cPA0LtDjCV-KKr3zp_f3F1TYg.JPEG%2FAdobeStock_314748813_(1).jpeg%3Ftype%3Dw466,"[{'작성자': '김태', '별점': '5.0', '날짜': '2025.01.06.', '내용': '거의 일년동안 목 도수치료 받고있는데 너무친절하시구요. 다리다쳤을때도 다른병원은 금갔다고하는데 여기서는 간단한처치,치료받고 나을수있었어요. 과잉진료없... 더보기', '좋아요': '0'}, {'작성자': '송유빈', '별점': '5.0', '날짜': '2024.12.30.', '내용': '근래 갔던 병원 중 제일 좋았습니다\n과잉진료 없이 의사, 간호사, 도수치료사 선생님 모두 친절하셨습니다', '좋아요': '0'}, {'작성자': '메가', '별점': '5.0', '날짜': '2024.12.20.', '내용': '아플때마다 가는데 갈때마다 원장님들 선생님들 친절해서 좋았어요', '좋아요': '0'}]","{'월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
세브란스병원 안과병원,2.9,서대문구 연세로 50-1,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEwMjBfNDgg%2FMDAxNjY2MjQ4NDI1ODk0.OkXoYJptXkLkRB-x3UhrCa1txuhPlv2DT5d83Y_BVdIg.KcAFygn-Pw3S1oif8ZZLFynyY4HmWQ7RVAXvvyeGh7Ig.JPEG.belami69%2FKakaoTalk_20221020_154635183.jpg%3Ftype%3Dw966,"[{'작성자': '종서', '별점': '2.0', '날짜': '2025.03.02.', '내용': '다른 의료진분들은 설명도 친절히 해주시고 좋았는데 예진실 의사가 너무 불친절하셔요 ㅠ', '좋아요': '0'}, {'작성자': 'Albert', '별점': '5.0', '날짜': '2023.12.07.', '내용': '대기시간과 안내부터 검사, 진료와 처방 모두 훌륭합니다.', '좋아요': '0'}, {'작성자': '황영실', '별점': '4.0', '날짜': '2023.11.13.', '내용': '얼마전 망막에 이상이 생겼다 해서 아는 지인을 통해 신촌 세브란스 안과에 진료 예약을 하여 갔었는데\n저도 처음 가보는 병원이라 안내 데스크에서 안내하시는 분이 계시지만 환자분들이 너무 많으니 한분이 일일이 따라... 더보기', '좋아요': '0'}]","{'월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 13:00', '일': '휴무일', '휴무일': '매주 일요일'}"
