name,score,address,img_url,reviews,open_hour
동서한방병원 서울본원,3.0,서대문구 성산로 365-14,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjlfMTU1%2FMDAxNzMyODczNzk1OTg5.frZ-2m4ztwPyRss56XVr6D5XGre2GZKTez4B8wLSXQgg.QdkzDUVVKBtQQnET6v6zXr7e_EKr4rJ5yiPzk0WT-V4g.JPEG%2F1_(2).jpg%3Ftype%3Dw966,"[{'작성자': '공포의설거지', '별점': '5.0', '날짜': '2024.05.11.', '내용': '딥스하다가 손목부상을 당했습니다. 정형외과에서 mri비용으로 60만원내고 tfcc부분파열 및 수근골 인대 부상 판별받아 dna주사 한방당 16만원 총 4회받았는데 효과가 전혀 없었습니다. 120만원 넘게 냈는데 통증이 ... 더보기', '좋아요': '1'}, {'작성자': 'heather', '별점': '1.0', '날짜': '2023.04.14.', '내용': '대표번호로 입원 관련해서 전화 문의했는데, 무슨무슨 과장이라는 여자분 지독한 매너리즘에 빠져 계신지 정말 일하기 싫다, 그만 물어봐라 하는 말투더라구요. 몇 가지 물어봤더니 얘기하는 와중에, 그래서 예약... 더보기', '좋아요': '1'}, {'작성자': '이정복', '별점': '5.0', '날짜': '2023.02.21.', '내용': '내가 체험한 바로는 이병원 임은철 원장이야 말로 단연 최고라고 강추 합니다.\n60중반에 자동차 추돌사고로 허리를 다처 잘본다는 자생 한방병원에서  1년여를 치료받던중 오히려 디스크로 발전하여  마치 허리에 두부모... 더보기', '좋아요': '1'}]","{'월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 12:30', '일': '휴무일', '휴무일': '매주 일요일'}"
강북연세요양병원,,서대문구 성산로 335,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 18:00'}"
서울성모내과,3.0,서대문구 연희로 85 인사이드빌딩 3층,,"[{'작성자': 'kei', '별점': '1.0', '날짜': '2025.01.12.', '내용': '여긴 원장(카운터 오른쪽 방)이나  간호사(세분중 가운데)나 아무에게나 반말 찍찍하심!! \n환자얘기는 듣는둥 마는중.. 자기얘기만 함.', '좋아요': '0'}, {'작성자': 'go', '별점': '1.0', '날짜': '2024.09.24.', '내용': '말 많이 안하겠습니다..^^', '좋아요': '1'}, {'작성자': '먹보', '별점': '5.0', '날짜': '2024.09.19.', '내용': '팁: 원장님을 잘 고를 것', '좋아요': '0'}]","{'월': '08:30 ~ 16:00', '화': '08:30 ~ 16:00', '수': '08:30 ~ 11:00', '목': '08:30 ~ 16:00', '금': '08:30 ~ 16:00', '토': '08:30 ~ 11:00'}"
연희아산위풍당당재활의학과의원,4.8,"서대문구 연희로 106 동명빌딩 1,2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7BECB7C9B04D4025B39FE18ABDD55DED,"[{'작성자': '우잠마', '별점': '5.0', '날짜': '2024.10.23.', '내용': '23살부터 5년동안 원인모를 극심한 통증에 제대로 걷기 조차 힘들어 병원들을 돌아 다녀봤지만 그저 모두 염좌다.. 그렇게 제대로 된 치료도 못받고 제 병을 키우다가 혹시나 하... 더보기', '좋아요': '1'}, {'작성자': '임승혁', '별점': '5.0', '날짜': '2024.02.08.', '내용': '후기를 보니까 주사를 유도 한다는 글이 많네요 저는 허리디스크에 방사통까지 있어서 여러 병원을 다녔습니다. \n\n사실 허리디스크는 치료법이 없어요 근데 방사통은 염증을 빼주지 않으면 치료가 안됩니다. 염증을 빼는 ... 더보기', '좋아요': '1'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
강한내과의원,4.2,서대문구 증가로 9 범우빌딩 402호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ffbcc9b4ed4248cb33cf90d663120ad12f39e18dc%3Foriginal,"[{'작성자': '.', '별점': '1.0', '날짜': '2024.12.08.', '내용': '해당 병원에서의 경솔한 진단으로 인해 골든 타임을 놓쳐 합병증이 생겨 큰 수술 후 후유증으로 일도 못 하고 건강도 잃었습니다. 수술 후 해당 사항에 대하여 얘기하려고 찾아가니 사과 한마디 없이 나가라고 하네요.', '좋아요': '1'}, {'작성자': 'ㄷㅇ', '별점': '5.0', '날짜': '2024.06.01.', '내용': '목감기 심해서 갓는데 의사선생님 간호사분 모두 너무 친절하시고 자세히 살펴봐주시네요 ㅠ ㅠ 감사합니다', '좋아요': '0'}, {'작성자': '내 평가에 토를 달지마라', '별점': '5.0', '날짜': '2024.03.23.', '내용': '약한내과는 없지요??', '좋아요': '0'}]","{'월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 13:00', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 13:00', '일': '휴무일', '휴무일': '매주 일요일'}"
연세박내과의원,3.8,서대문구 연희로 115 2층,,"[{'작성자': '란', '별점': '4.0', '날짜': '2025.01.08.', '내용': '의사쌤 친절하신데 갈 때마다 수액을 강하게 권유하세요. 시간이 없다고 해도 잠깐이라도 맞으라며…부담스러울 수 있습니다. 가뜩이나 요즘 실비청구도 힘든데 말이죠😢', '좋아요': '0'}, {'작성자': '🌟', '별점': '1.0', '날짜': '2024.11.25.', '내용': '흠 의사분은 그냥저녕인데 직원분? 왜저러나싶을정도로 인상 찌푸리고 불친절🥵 뭐임?', '좋아요': '0'}, {'작성자': '미니', '별점': '1.0', '날짜': '2024.11.09.', '내용': '불친절', '좋아요': '1'}]","{'월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 14:00'}"
연희동경희한의원,4.8,서대문구 연희로 85 인사이드빌딩 201호,,"[{'작성자': '사용자', '별점': '5.0', '날짜': '2025.02.01.', '내용': '대표원장님 최고 명의세요!!', '좋아요': '0'}, {'작성자': '매롱', '별점': '5.0', '날짜': '2024.08.14.', '내용': '그냥 굿입니다.\n집근처라 행복합니다.', '좋아요': '0'}, {'작성자': '황수지', '별점': '5.0', '날짜': '2022.12.11.', '내용': '의사 선생님도 친절하시고 환자에 맞게 약 처방도 제대로 해주셔서 정말 좋아요~^^', '좋아요': '0'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '일': '09:00 ~ 15:00'}"
연희이비인후과의원,3.1,서대문구 연희로 117 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4d635d3eded7c619ba808fc62ddcecad323d0dd5%3Foriginal,"[{'작성자': '땅유', '별점': '5.0', '날짜': '2025.02.04.', '내용': '후기 보고 긴가민가 하면서 다녀왔고, 저도 후기 남기려고 합니다.\n저는 괜찮은데요??? 서비스도 괜찮고 기분 나쁠 포인트는 전혀 없었습니다. 괜히 홍대역 병원까지 몇번 갔었네요', '좋아요': '0'}, {'작성자': 'ㅁㄷㅁㄷ', '별점': '1.0', '날짜': '2024.07.15.', '내용': '저 두번 간 사람인데요. 약은 3일간 주시고 다시 오라고 하시는데, 주말에 안하시니까 5일 뒤에 갔더니, 약 제대로 먹지 않아서 안나았대요……? 처방 제대로 안하신거 아니고…? 아무튼 얘기 들어주지도 않고, 성의... 더보기', '좋아요': '0'}, {'작성자': '최용빈', '별점': '5.0', '날짜': '2024.05.21.', '내용': '서울 사람들 ○○○임?̆̎ 뭐 하나 마음에 안 들면 평가절하 지리네 서울 가게들 평점 곱창난 이유 알겠다 이새끼들 다 내가 살던 동네 와서 반딧불이 잡으면서 10시 넘어가면 지... 더보기', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
따뜻한인치과의원 연희점,4.8,서대문구 연희로 97 신라빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fa94d0807fd4cd805c1e68bedb671877446a2e81c9f0151123ff810a6614033c0,"[{'작성자': '뽀노', '별점': '5.0', '날짜': '2024.12.30.', '내용': '이사가서 더이상 못가는 치과\n모든 치과가 여기같을 줄 알았으나 현실은..ㅠ', '좋아요': '0'}, {'작성자': '박서정', '별점': '5.0', '날짜': '2024.06.14.', '내용': '선생님이 따뜻하고 친절하게 해주셨어요', '좋아요': '0'}, {'작성자': '윤제헌', '별점': '5.0', '날짜': '2024.05.14.', '내용': '다들 친절하시고, 병원이 깨끗해요.스케일링', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 12:30', '목': '14:00 ~ 20:00', '금': '09:30 ~ 18:30', '토': '휴무일', '일': '휴무일', '휴무일': '공휴일'}"
김의원,3.9,서대문구 연희로 124,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTZfMjA5%2FMDAxNzM0MzEyODY3MDk0.QFswpbqEXHat4Z-wt_nYlMu8YD4nn4mBWu1Hom8gDYYg.WRPLjJtGUwUMT6-t2WmWNzFoZu7tcOhCJNrR8_IcjD4g.JPEG%2F20241129_113206.jpg%3Ftype%3Dw773,"[{'작성자': '맛잇는곳만리뷰씀', '별점': '5.0', '날짜': '2024.08.16.', '내용': '의사선생님이 친절하고 상세하게 봐주십니다\n다시 또 가고 싶은 병원입니다.', '좋아요': '0'}, {'작성자': '준비되셨슈?', '별점': '5.0', '날짜': '2024.05.27.', '내용': '의사샘이 친절합니다', '좋아요': '0'}, {'작성자': '알파카', '별점': '5.0', '날짜': '2024.02.23.', '내용': '연희동 살면서 자주 간 병원입니다. 초췌한 몰골로 가도 의사선생님께서 항상 밝고 친절하게 맞아주셔서 좋았습니다! 환자분들 컨디션 하나하나 신경써서 세심하게 진료해주시는 점도 좋았습니다.', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 13:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
