name,score,address,img_url,reviews,open_hour
연세이비인후과의원,4.4,서대문구 통일로 203-1 2층,,"[{'작성자': '제이크', '별점': '5.0', '날짜': '2025.01.11.', '내용': '과잉진료도 없으시고 정말\n우직하신 참 선생님 감사합니다.', '좋아요': '0'}, {'작성자': '박송인', '별점': '5.0', '날짜': '2025.01.04.', '내용': '환자가 많이 몰려있는 와중에도 의사 선생님은 환자 눈높이게 맞춰 친절하게 설명해주시구요, 간호사분들도 차분하고 한결같은 톤으로 안내해주십니다 : )', '좋아요': '0'}, {'작성자': 'lII', '별점': '1.0', '날짜': '2024.10.21.', '내용': '후기가 왜 좋은지 진심으로 이해 안되는 곳은 처음...\n응급실 실려갈 수준은 되어야 동네병원 가는 사람인데 진찰 후 별일 아니라고 심하지 않은데 환자는 심하게 느끼나 봐요(??????... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
최충신정형외과의원,3.3,서대문구 통일로 187 2-3층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F449d6e246dec060332bb04e352cc95366e7d2712%3Foriginal,"[{'작성자': 'lillilii', '별점': '4.0', '날짜': '2025.01.06.', '내용': '1990년대~2000년대 초반을 타임슬립하는 기분을 느낄 수 있을 정도로 낡고 오래됨. 사진이 3층 물리치료실 입구임..ㅋㅋ\n엑스레이 실도 좀 더럽고 냄새남.\n\n근... 더보기', '좋아요': '0'}, {'작성자': '안형근', '별점': '1.0', '날짜': '2023.12.07.', '내용': '의사.직원들 퉁명스럽고 불친절', '좋아요': '1'}, {'작성자': '꼬맹이', '별점': '5.0', '날짜': '2023.09.09.', '내용': '원장님  토욜 60명 이상 진료보시고\n그 연세에 쉬지도 못하고 사명감으로 일하시는거죠. \n정말 존경스럽습니다. \n이 근방에 정형외과 없고 전에 하나 있었는데 \n과잉진료에 비싼 진료비 받다 없어졌... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
독립문연세내과의원,2.9,서대문구 통일로 189-1 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTRfMjY2%2FMDAxNzMxNTU3NTE4NDIy.RzsiIrk9dPnjvsvQ4XnPjonmB9KkaNGNCWa_hOwSlMsg.Z8aTwcL24qZKpG9LGBeARuYYVk5-7sQBOE9RGKlwyQsg.JPEG%2F20241030_124418.jpg%3Ftype%3Dw773,"[{'작성자': '장성호', '별점': '5.0', '날짜': '2025.03.11.', '내용': '식사 후 혈당이 너무 많이 올라서 병원에서 검사를 받았는데 꼼꼼히 봐주셨어요.\n집에서 펩티드요법을 하면서 혈당을 관리하니 점점 정상 범위로 돌아오고 있어요. 감사합니다.\n네이버에 최미란 당... 더보기', '좋아요': '0'}, {'작성자': '나애오', '별점': '4.0', '날짜': '2025.02.11.', '내용': '의사선생님이 진짜 친절하세요\n환자 상태설명 잘 들어주시고, 설명도 잘 해주세요.\n\n데스크 간호사 선생님들이 아주 친절하지는 않은데, 일은 빠릿하게 하시는 것 같아요\n(어린이, 어르신들께는 친절해보임)', '좋아요': '2'}, {'작성자': '제이크', '별점': '1.0', '날짜': '2025.01.11.', '내용': '대상포진 아니라고 하더니 \n다른 병원가서 대상포진 진단 받음\n간단한 감기 약 타러 가는 곳\n그 이외엔  놉', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
고려안과의원,3.2,서대문구 통일로 201 2층,,"[{'작성자': '싸파황', '별점': '5.0', '날짜': '2025.01.25.', '내용': '동네병원이라 기대 안하고 갔는데 선생님 완전 친절하고 잘봐주시네요', '좋아요': '0'}, {'작성자': '올리브', '별점': '1.0', '날짜': '2024.10.02.', '내용': ""엄마 눈이 갑자기 심하게 충혈됨.\n''무얼 하고나서 보니 눈이 이렇게 되었어요'' 라고 말하니까 치료랑 상관없는 말 하지말라네요.\n언제부터 눈이 그랬냐고 물어봐서 말씀드린건데 \n 그냥 딱 날짜만 말해야 하나봅니다.아주 대단한 의사세요~"", '좋아요': '0'}, {'작성자': '토바코', '별점': '1.0', '날짜': '2024.09.08.', '내용': '진료의 기본을 모르는 병원 환자를 눈앞에 세워두고 다른 환자랑 유선상으로 싸우는 모습이 인상 깊었음', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
위대항의원,4.5,"서대문구 통일로 205-1 3,4층",,"[{'작성자': 'run', '별점': '1.0', '날짜': '2024.09.14.', '내용': '후기 좋은거만 보고 믿고 갔는데 \n결과적으로 매우 실망스럽습니다. \n\n수술이 목적이신지\n수술전 진료 시 말투만 친절하고\n수술에 대한 자세한 설명(수술법, 부작용 등)에 대해서는\n일체 말 없이 수술만 하라고 겁만 주고 ... 더보기', '좋아요': '3'}, {'작성자': 'Ekaterina', '별점': '5.0', '날짜': '2024.05.05.', '내용': 'Thank you very much to the doctor.  We arrived to have the operation and everything went very well.  Everything heals quickly.  Thanks to the nurses, they were very friendly.  We really had a comfortable time.', '좋아요': '0'}, {'작성자': '쩌뭉', '별점': '5.0', '날짜': '2023.11.13.', '내용': '거의 1년동안 엉덩이가 아프지 않고 튀어나온 것도 \n없는데 피만 나왔었습니다\n여러 병원을 내원 해 보았지만 효과는 없었고\n마지막으로 회사근처인 이 병원에 내원 한 후로\n피가 멈췄습니다\n의사선생님,간호사님 정말 감사합니다', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
연세솔치과의원,5.0,서대문구 통일로 193 1층,,"[{'작성자': 'ㄱㄱ', '별점': '5.0', '날짜': '2024.08.10.', '내용': '의사선생님 너무 친절하시고 설명도 자세히 해주세요 과잉진료도 없고 가격도 저렴합니다 추천합니다!', '좋아요': '0'}, {'작성자': '최윤준', '별점': '5.0', '날짜': '2023.08.22.', '내용': '완전  전문  의학으로  진료면  진료..간호사님들도  너무친절하시고  대한민국  으뜸  치과..처음  방문해서  감동받고  나옴..내  인생  마지막  치과..', '좋아요': '0'}, {'작성자': 'j', '별점': '5.0', '날짜': '2023.05.26.', '내용': '원장님 과잉진료 없이 깔끔하게 진료 봐주십니다. 친절은 덤이네요 ^^', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30'}"
민내과의원,3.0,서대문구 통일로 205-5 3층,,"[{'작성자': 'review내돈내산', '별점': '1.0', '날짜': '2023.12.12.', '내용': '동네 어르신들이 갈 법한 의원이에요..\n간호사님이나 안내데스크 이런거 아예 없고 할머님 혼자 방 안에서 진료보는 의원. 청진기나 목을 본다거나 열을 잰다거나 이런 진찰 일절 없었어요..... 더보기', '좋아요': '0'}, {'작성자': 'KJH', '별점': '5.0', '날짜': '2023.10.27.', '내용': '이 시대 1차 병원 중에서 명의를 뵈었네요. \n늘 건강하셔서 오랜동안 환자를 살펴주셨으면 하네요.', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
백세한의원,0.0,서대문구 통일로 191 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 20:00', '수': '09:00 ~ 18:30', '목': '09:00 ~ 14:00', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00'}"
김선욱치과의원,5.0,서대문구 통일로 203-1,,"[{'작성자': '현지', '별점': '5.0', '날짜': '2020.12.22.', '내용': '의사선생님 치위생사 선생님들 모두 친절하시고 과잉진료 안하시고 멀리서 찾아올 만한 곳이에요!!!!', '좋아요': '0'}, {'작성자': 'Hyo Seon Lee', '별점': '5.0', '날짜': '2020.03.18.', '내용': '10년넘게 다니고 있는 치과인데 아프지 않게 잘 치료해주시고  과잉진료도 안 하시고  항상 친절하세요~', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00'}"
다나아한의원,4.2,서대문구 통일로 197,,"[{'작성자': '¹', '별점': '5.0', '날짜': '2023.11.07.', '내용': '침잘 놓으시고 약도 잘들어요\n원장님한테  계속  다니고 있어요.', '좋아요': '0'}, {'작성자': 'qksdi', '별점': '5.0', '날짜': '2023.03.24.', '내용': '허리아파서 갔는데\n자상하고 친절한 여원장님이 꼼꼼하게 치료해주셨어요\n만족합니다', '좋아요': '0'}, {'작성자': 'okj0024', '별점': '5.0', '날짜': '2023.03.23.', '내용': '친절하고 자세하게 설명해주시네요\n허리 약침 맞고 좋아졌어요', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '14:00 ~ 19:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:30'}"
