name,score,address,img_url,reviews,open_hour
윤선치과의원,3.7,서대문구 통일로 177 2층,,"[{'작성자': '마스터', '별점': '5.0', '날짜': '2022.07.22.', '내용': '의사선생님과 간호사분들이 합이 되게 잘맞네요.\n회사에서 사수가 부사수를 가르치면서 시술해주시는데 최선을 다해서 환자입장에서 치료를 해주셔서 좋았습니다.\n마지막으로 스케일링할때 이얘... 더보기', '좋아요': '1'}, {'작성자': '창승 하우징', '별점': '1.0', '날짜': '2021.08.02.', '내용': '친절은 기본이고 사람을 너무기달리게 한는건 불친절\n시간예약을 했으면 그시간에한적이 없어 ㅠ \n거기가면 기달리는게 일이다 ㅠ\n교정기도 원장이 우리애한데 억지로 끼우고 다음에가면 안맛는다고 다시만들어야되서 금액청구하고 짠나는 병원', '좋아요': '0'}, {'작성자': 'skim', '별점': '5.0', '날짜': '2021.07.24.', '내용': '추천', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '09:00 ~ 18:00', '월': '10:00 ~ 19:00'}"
박성규내과의원,2.7,서대문구 영천시장길 70 2층,,"[{'작성자': '입맛까다로운사람', '별점': '5.0', '날짜': '2024.08.01.', '내용': '빠른 진료 좋았어요', '좋아요': '0'}, {'작성자': '안형근', '별점': '1.0', '날짜': '2023.11.27.', '내용': '의사랑 안내(간호조무사)직원 퉁명스럽고 불친절', '좋아요': '0'}, {'작성자': '퍽', '별점': '5.0', '날짜': '2022.10.17.', '내용': '간호사분들 친절', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
바른이치과교정과치과의원,5.0,서대문구 통일로 177,,"[{'작성자': '정윤정', '별점': '5.0', '날짜': '2019.03.22.', '내용': '너무 친절하게 잘해주셔서 치료 잘받았습니다 감사합니다^^', '좋아요': '0'}]","{'화': '10:00 ~ 18:00', '수': '10:00 ~ 19:00', '금': '14:00 ~ 19:00', '토': '09:00 ~ 18:00', '월': '10:00 ~ 18:00'}"
동성한의원,5.0,서대문구 영천시장길 68 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0A55F1D90C3B41008E9B855687ACE796,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '휴무일', '금': '09:30 ~ 18:30', '토': '09:30 ~ 15:30', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
e화이트치과의원,5.0,서대문구 영천시장길 68 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTNfMjk1%2FMDAxNzMxNDM5NzE1ODg3.QS7dnfLqiIPQdIgQsj6OtaR4mPuXImMPa8UwFpDnbAUg.9d0yO4pwGfjXNtC2UceCEEh_C-XsNm-8T513M4TbFKog.JPEG%2FIMG_7528.jpg%3Ftype%3Dw966,"[{'작성자': '문경엽', '별점': '5.0', '날짜': '2024.11.15.', '내용': '소박한 선생님 믿음이 가요.', '좋아요': '0'}, {'작성자': '전잉간', '별점': '5.0', '날짜': '2020.05.19.', '내용': '어릴적부터 잘다니고있음', '좋아요': '0'}, {'작성자': 'John', '별점': '5.0', '날짜': '2018.11.23.', '내용': '양심적이고 정직한 치과', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:30', '월': '09:30 ~ 18:00'}"
원당한의원,0.0,서대문구 독립문로8길 8 준빌딩 101호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '휴무일', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '공휴일'}"
연세이비인후과의원,4.4,서대문구 통일로 203-1 2층,,"[{'작성자': '제이크', '별점': '5.0', '날짜': '2025.01.11.', '내용': '과잉진료도 없으시고 정말\n우직하신 참 선생님 감사합니다.', '좋아요': '0'}, {'작성자': '박송인', '별점': '5.0', '날짜': '2025.01.04.', '내용': '환자가 많이 몰려있는 와중에도 의사 선생님은 환자 눈높이게 맞춰 친절하게 설명해주시구요, 간호사분들도 차분하고 한결같은 톤으로 안내해주십니다 : )', '좋아요': '0'}, {'작성자': 'lII', '별점': '1.0', '날짜': '2024.10.21.', '내용': '후기가 왜 좋은지 진심으로 이해 안되는 곳은 처음...\n응급실 실려갈 수준은 되어야 동네병원 가는 사람인데 진찰 후 별일 아니라고 심하지 않은데 환자는 심하게 느끼나 봐요(??????... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
고려안과의원,3.2,서대문구 통일로 201 2층,,"[{'작성자': '싸파황', '별점': '5.0', '날짜': '2025.01.25.', '내용': '동네병원이라 기대 안하고 갔는데 선생님 완전 친절하고 잘봐주시네요', '좋아요': '0'}, {'작성자': '올리브', '별점': '1.0', '날짜': '2024.10.02.', '내용': ""엄마 눈이 갑자기 심하게 충혈됨.\n''무얼 하고나서 보니 눈이 이렇게 되었어요'' 라고 말하니까 치료랑 상관없는 말 하지말라네요.\n언제부터 눈이 그랬냐고 물어봐서 말씀드린건데 \n 그냥 딱 날짜만 말해야 하나봅니다.아주 대단한 의사세요~"", '좋아요': '0'}, {'작성자': '토바코', '별점': '1.0', '날짜': '2024.09.08.', '내용': '진료의 기본을 모르는 병원 환자를 눈앞에 세워두고 다른 환자랑 유선상으로 싸우는 모습이 인상 깊었음', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
위대항의원,4.5,"서대문구 통일로 205-1 3,4층",,"[{'작성자': 'run', '별점': '1.0', '날짜': '2024.09.14.', '내용': '후기 좋은거만 보고 믿고 갔는데 \n결과적으로 매우 실망스럽습니다. \n\n수술이 목적이신지\n수술전 진료 시 말투만 친절하고\n수술에 대한 자세한 설명(수술법, 부작용 등)에 대해서는\n일체 말 없이 수술만 하라고 겁만 주고 ... 더보기', '좋아요': '3'}, {'작성자': 'Ekaterina', '별점': '5.0', '날짜': '2024.05.05.', '내용': 'Thank you very much to the doctor.  We arrived to have the operation and everything went very well.  Everything heals quickly.  Thanks to the nurses, they were very friendly.  We really had a comfortable time.', '좋아요': '0'}, {'작성자': '쩌뭉', '별점': '5.0', '날짜': '2023.11.13.', '내용': '거의 1년동안 엉덩이가 아프지 않고 튀어나온 것도 \n없는데 피만 나왔었습니다\n여러 병원을 내원 해 보았지만 효과는 없었고\n마지막으로 회사근처인 이 병원에 내원 한 후로\n피가 멈췄습니다\n의사선생님,간호사님 정말 감사합니다', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
민내과의원,3.0,서대문구 통일로 205-5 3층,,"[{'작성자': 'review내돈내산', '별점': '1.0', '날짜': '2023.12.12.', '내용': '동네 어르신들이 갈 법한 의원이에요..\n간호사님이나 안내데스크 이런거 아예 없고 할머님 혼자 방 안에서 진료보는 의원. 청진기나 목을 본다거나 열을 잰다거나 이런 진찰 일절 없었어요..... 더보기', '좋아요': '0'}, {'작성자': 'KJH', '별점': '5.0', '날짜': '2023.10.27.', '내용': '이 시대 1차 병원 중에서 명의를 뵈었네요. \n늘 건강하셔서 오랜동안 환자를 살펴주셨으면 하네요.', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
