name,score,address,img_url,reviews,open_hour
최영환한의원,5.0,서대문구 독립문공원길 13 4층,,"[{'작성자': 'LGTV', '별점': '5.0', '날짜': '2023.10.03.', '내용': '저는 뜸이 이렇게 시원 할 줄 몰랐습니다. 아주 좋아요', '좋아요': '0'}, {'작성자': '푸딩', '별점': '5.0', '날짜': '2023.08.01.', '내용': '허리로 고생한지 24년차\n수술. 시술. 하고도 주기적으로 조금만 무리하면 정형외과. 한의원을 드나들었는데\n진심 최고임. 선생님이 돈을 벌려고 일 하시는거 같지 않음.... 더보기', '좋아요': '0'}, {'작성자': '남남', '별점': '5.0', '날짜': '2021.06.21.', '내용': '선생님\n성심 성의껏 최선을 다해주십니다. 돈생각없이 서비스 엄청해주시고 동네 오빠같으세요\n친절짱입니다.', '좋아요': '0'}]","{'화': '08:30 ~ 15:00', '수': '08:30 ~ 15:00', '목': '08:30 ~ 15:00', '금': '08:30 ~ 15:00', '월': '08:30 ~ 15:00'}"
김주식치과의원,0.0,서대문구 독립문공원길 13,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 15:00', '월': '10:00 ~ 18:00'}"
한국치과의원,0.0,서대문구 독립문공원길 17,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
세란병원,2.5,종로구 통일로 256 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyNTAxMDJfMjAy%2FMDAxNzM1Nzg0NjQxMjUx.anJC3EhsRDocHWZHgxTxyRiXUCtlkGqn2HZ-jbH7P-Yg.iVkJu1etRn2LDuR4tAKKNGY-qXN35_vB_m1flXio0IQg.JPEG%2F16_(2).jpg%3Ftype%3Dw1,"[{'작성자': '펠릭스양심공평', '별점': '1.0', '날짜': '2025.03.22.', '내용': '23년4월말일에 진료차 방문 실력좋고 TV 출현한 의사소개 받고 MRI등 진료받고 의사 가 수술날짜5월초 우리부부 결혼기념일에 수술실 들어가기전 배우자가 잘부탁 한다고 3차례 ... 더보기', '좋아요': '2'}, {'작성자': 'Hoon', '별점': '5.0', '날짜': '2025.03.17.', '내용': '세란병원에서 진료를 받으며 깊은 감동을 느꼈습니다. 환자 한 분 한 분에게 최선을 다하는 세심한 진료와 철저한 의료 시스템이 돋보였습니다. 의료진의 전문성과 따뜻한 배려는 물론, 간호사분들과 원무과 직원... 더보기', '좋아요': '1'}, {'작성자': '마음에들면5점', '별점': '5.0', '날짜': '2025.02.19.', '내용': '어지럼증 잘 봐주셨어요\n의료진들 모두 친절합니다', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:30', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
세란병원 안과센터,0.0,종로구 통일로16길 4-2,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MThfNjAg%2FMDAxNzI2NTg5NzY2ODYw.HqhjTIttVnrMf5j4OMKel3Jz4hkZne8sxYIHfT_pzN4g.iASS-dXkEe0S6g-kMuMJvRj5OuO8wfG4hnR5l3Bhidgg.JPEG%2FGettyImages-1266649742.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '월': '08:30 ~ 17:30', '휴무일': '삼일절'}"
세란병원 응급실,1.5,종로구 통일로 256,,"[{'작성자': '7w8', '별점': '2.0', '날짜': '2024.12.02.', '내용': '요즘 시국에 바쁘셔서 지친건 알겠는데, 남자분 말투가 너무 싸가지가 없어요. 무난히 할수 있는 말도 짜증내서 기분 나빠지는 말투', '좋아요': '0'}, {'작성자': '낭만', '별점': '1.0', '날짜': '2024.06.18.', '내용': '초진한 병원에서 많이아플경우 진료의뢰서 들고 \n응급실 가라고 해서 정신없이 아파서 방문.\n여자 간호사 인상 개찌푸리면서 왜왔냐함.\n아파서 정신없는 사람 보더니 응급실 접수도 안하셨... 더보기', '좋아요': '0'}]",{}
세실치과의원,5.0,종로구 통일로 254 2층,,"[{'작성자': '박세찬', '별점': '5.0', '날짜': '2023.03.06.', '내용': '요즘같은 세상에   과잉진료없고  진실하게 손님을 대하는 의원입니다.', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2022.04.02.', '내용': '여기 친절하시고 치료 잘 해주십니다. 한번 갔다가 잘해주셔서 치과 갈 일 생기면 무조건 여기로 가는데.. 밑에 리뷰 보고 오해 없으면 좋겠네요. 좋은 치과라 안타까운 마음에 써봅니다~... 더보기', '좋아요': '0'}, {'작성자': '감자사냥꾼', '별점': '5.0', '날짜': '2021.10.29.', '내용': '과잉진료 안하시고 친절하고 잘하십니다\n몇년전 어금니 아파서 다른 치과갔을때 발치후 임플란트 박으라고했는데\n세실치과에서는 신경치료만으로 치료 잘끝냈습니다.', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 15:00', '월': '09:30 ~ 18:00'}"
연세리치과의원,5.0,종로구 통일로 250 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MDhfMjUg%2FMDAxNzIwNDA4MzE2MjM2.3t3M1Okv87nFjijL8ZCeikc6DhfustXI_Ds0Ramt-Ikg.QcnJgA7HWN6w2Brz1m8WqqXVO2tfRDtNiXcGWTWKabMg.JPEG%2F6._%25E3%2580%258C%25EC%2595%2584%25EB%258F%2599%25EC%25B9%2598%25EA%25B3%25BC%25EC%25A3%25BC%25EC%25B9%2598%25EC%259D%2598_%25EC%258B%259C%25EB%25B2%2594%25EC%2582%25AC%25EC%2597%2585%25E3%2580%258D_%25EC%259B%25B9(web)%25ED%258F%25AC%25EC%258A%25A4%25ED%2584%25B0.jpeg%3Ftype%3Dw773,"[{'작성자': '핑키', '별점': '5.0', '날짜': '2025.03.12.', '내용': '꼼꼼하게 잘 봐주시구 안 아프게 해줘서 너무 좋았어요~', '좋아요': '0'}, {'작성자': '-', '별점': '5.0', '날짜': '2022.02.21.', '내용': '이사갔는데도 계속정기검진다녀요 꼼꼼하게봐주시고 과잉도없음 선생님들도 친절하고 애들도 다른치과못가서 멀어두 꼭다녀가네요', '좋아요': '0'}, {'작성자': '오리몇킬로임', '별점': '5.0', '날짜': '2021.06.30.', '내용': '저도 다른치과에서 발견 못한거 치료받았어요. 그냥 놔두었으면 뽑고 임플란트 해야 했을듯 ㅠㅠ', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:30'}"
서울가정의학과의원,4.4,종로구 통일로 246-10 무학현대아파트 상가 308호,,"[{'작성자': '수', '별점': '1.0', '날짜': '2023.05.16.', '내용': '친절한 척으로 돈 뜯어가는 곳\n\n뭐 주기적으로 검사해라 초음파해라 당뇨 고혈압 등등 뭐 다 검사하라그럽니다.\n\n기다리는것도 순서대로 안하고 어디 나갔다가 나중에 와도 해주는거 보면 쭉 기다리는 사람 호구 만들어요?\n간호조무사들 불친절합니다.', '좋아요': '0'}, {'작성자': '무공', '별점': '5.0', '날짜': '2022.09.23.', '내용': '지난 6월29일이 두번째 방문이었는데\n너무너무 친절하시네요.\n의사선생님과 간호사분들 모두요.\n퇴근길에 가려니 시간이 아슬하네요.^^\n오늘 세번째 방문 도전합니다~', '좋아요': '0'}, {'작성자': 'Kyoung', '별점': '5.0', '날짜': '2021.10.28.', '내용': '적어도 15년째 다니고 있는 병원입니다\n항산 의사 선생님 너무 친절하시고 간호사분들도 너무 친절하십니다 그래서 그런지 환자분들이 많아요 어르신들께 인기만점!\n너무 좋아요 서울가정의학과의원 오래오래 독립문을 지켜주세요오', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:30'}"
향기로운서울훈치과의원,4.7,종로구 통일로 246-10 무악현대프라자 상가 307호,,"[{'작성자': 'ㆍ', '별점': '5.0', '날짜': '2024.07.31.', '내용': '스케일링 하러 갔는데 잇몸이 내려앉은 이유를 잘 설명해주셨어요. 시린 이 딱딱 짚어주시고 이 가는 습관 있는거 아시고 적절한 치료 방법 제시해주셨어요\n. 충치는 지켜보라시며 진료 권하는 거 ... 더보기', '좋아요': '0'}, {'작성자': '보리보리', '별점': '5.0', '날짜': '2024.06.24.', '내용': '원장님이 너무 친절하시고 치위생사분들도 너무 좋으셔서 편안한 마음으로 치료받을 수 있었습니다.', '좋아요': '0'}, {'작성자': '구름군', '별점': '5.0', '날짜': '2022.04.21.', '내용': '선생님들 설명꼼꼼히 잘해주시고 질문에도 바쁘신데도 답을 다잘해주셔서  치과라는 공포스러움에 벗어나 아주 편안하게 진료잘받고 왔습니다 감사합니다', '좋아요': '0'}]","{'화': '09:30 ~ 20:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30', '월': '09:30 ~ 18:30'}"
