name,score,address,img_url,reviews,open_hour
서울특별시어린이병원,3.0,서초구 헌릉로 260,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTdfMTE4%2FMDAxNzMxODQ5MTY4ODkw.UiDs34dQdA8BkikNqdiJ0_Rb40mxLaGgW4YuBsMeojEg.wrPmoQZ-0RxI_62fSQU5pWJ2wSSJgmypOzzn2N0TmzUg.JPEG%2FSE-d6fd42be-6bab-4c4a-b12a-c19c80fbac2f.jpg%3Ftype%3Dw466,"[{'작성자': 'hagrid', '별점': '1.0', '날짜': '2025.01.03.', '내용': '여기 전부 쓸 수는 없지만, 왜 사람이 없는지 잘 생각해보고 가시기를 바랍니다', '좋아요': '0'}, {'작성자': '아이파크', '별점': '5.0', '날짜': '2024.12.05.', '내용': '정말 친절해요.', '좋아요': '0'}, {'작성자': '곰돌이 푸 리뷰어', '별점': '5.0', '날짜': '2024.11.17.', '내용': '아이들병원', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
서울내곡치과의원,3.8,"서초구 헌릉로8길 9-8 내곡플라자 3층 302,303호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FE132BF922AC248378596BCE48BD94445,"[{'작성자': 'K.H KIM', '별점': '5.0', '날짜': '2024.11.05.', '내용': '원장 선생님을 비롯한 모든 분들께서 환자의 완벽한 진료를 위해 진심을 다하셨던 모습에 멀리 호주에서 감사인사를 드립니다. 또뵙겠습니다.', '좋아요': '2'}, {'작성자': '서른마흔다섯살', '별점': '5.0', '날짜': '2024.03.22.', '내용': '치과에 계시는 분들이 다 너무 친절하셔서 좋았어요! 과잉진료 없이 필요한 것만 치료하자고 권해주셔서 믿음이 갔네요. 치료 하기 전에도 설명 충분히 해주셔서 치과치료 무서워하는데도... 더보기', '좋아요': '0'}, {'작성자': '망두', '별점': '1.0', '날짜': '2024.03.13.', '내용': '몇 년 다녔는데, 스케일링 정도는 괜찮을 수 있으나 여기서 치료한 치아 문제 생겨서 밑에 리뷰 보고 고민하다 그냥 한 번 더 갔는데 역시나 또 문제 생겼네요. 치료한 치아 아프다고 해도 계속 문제 없다고 지켜보쟤요.. 다신 안 가려고요', '좋아요': '1'}]","{'화': '09:30 ~ 20:30', '수': '09:30 ~ 18:30', '목': '휴무일', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '09:30 ~ 14:00', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
청계내과의원,,서초구 청계산로9길 70 2층 204~205호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:00', '휴무일': '공휴일'}"
한뜸한의원,0.0,서초구 염곡안1길 3,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MDVfMTc4%2FMDAxNzIwMTIxMDU5OTk5.LaJbqrUT5UkGyZ0KK_pETH6No4u4UtZHAvy4bC-vHUMg.Y1zmMdi8qqlvRd4CmSjlQL-K232LWrbYz4QyiICGt6og.JPEG%2F1.jpg%3Ftype%3Dw466,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 15:30', '월': '09:30 ~ 18:00'}"
김시효의원 김시효한의원,5.0,서초구 본마을4길 1 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FA0D8DE1AE48643BF98470EF30888A95F,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '10:00 ~ 12:00', '일': '휴무일', '월': '09:30 ~ 18:00', '휴무일': '공휴일'}"
다스름한의원,5.0,서초구 샘마루길 4 한울 1~3층,,"[{'작성자': '이수경', '별점': '5.0', '날짜': '2023.06.02.', '내용': '온몸이 아프고 너무 힘들었는데 \n침치료와 한약 한 재 먹고 지난 겨울을 무사히 났어요 \n선생님 고맙습니다', '좋아요': '0'}, {'작성자': '펑크', '별점': '5.0', '날짜': '2022.07.12.', '내용': '멀리 인천서 다니고 있어요~', '좋아요': '0'}, {'작성자': '김홍업HEKim', '별점': '5.0', '날짜': '2021.06.01.', '내용': '몸과 마음을 편안하게 해주는 진료 및 정성어린 침시술이 환자의 회복에 도움을 많이 줍니다. 자연치료 방침이 좋습니다. 최고입니다.', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '휴무일', '목': '09:00 ~ 20:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
서울특별시어린이병원 서관,0.0,서초구 헌릉로 260,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '월': '09:00 ~ 18:00'}"
서동수위드어스정신건강의학과의원,0.0,서초구 헌릉로 176 4층 403~405호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '13:00 ~ 20:00', '금': '09:30 ~ 18:30', '토': '09:30 ~ 16:00', '월': '09:30 ~ 18:30'}"
임홍준한의원,5.0,서초구 청계산로 195 프라임시티 207호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2308394753547D8E0C,"[{'작성자': '김문옥', '별점': '5.0', '날짜': '2023.08.09.', '내용': '원장님 진심으로 치료해 주시는게 느껴져요\n한참 허리 다리 어깨 아파서 정형외과 자생한방병원 등등을. 다니며 너무 낫질. 않아 우울했거든요 2년정도 ㅜㅜ근데 80... 더보기', '좋아요': '0'}, {'작성자': '김 주인', '별점': '5.0', '날짜': '2021.02.05.', '내용': '친절하시고.\n능력자세요.\n세밀한 진료로 약효도 큽ㄴ다.\n많이... 더보기', '좋아요': '0'}, {'작성자': '테스카', '별점': '5.0', '날짜': '2020.06.20.', '내용': '나긋나긋 친절하시고 침효과도 좋아요', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:00'}"
느티나무치과의원,0.0,서초구 청룡마을길 4-3 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMjBfMjcz%2FMDAxNzQwMDI3ODEyNDY2.eHM0xZY1t3bC3AaF3POzZ7Tkh-nyZklOYcBxG_8DsXwg.gElRxlEr_W1ZCoj_U8DgrneQ8oBYyN3ewKMgVsy_cx0g.JPEG%2F20250111_115850.jpg%3Ftype%3Dw386,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 17:00', '수': '10:00 ~ 17:00', '목': '10:00 ~ 17:00', '금': '10:00 ~ 17:00', '토': '휴무일', '일': '휴무일', '월': '10:00 ~ 17:00', '휴무일': '매주 토요일, 일요일'}"
