name,score,address,img_url,reviews,open_hour
연세사랑병원 본관,3.5,서초구 남부순환로 2205 지하4층~6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F52860AA2B1BF40DF8131E0EC6B71E5D3,"[{'작성자': 'art blue', '별점': '5.0', '날짜': '2024.03.08.', '내용': '족저근막염, 어깨통증...여기저기 아파서 연세사랑병원 진료받았습니다\n족저근막염은 충격파치료와 약복용으로 완치되었고 어깨통증도 주사치... 더보기', '좋아요': '0'}, {'작성자': '햄아지경', '별점': '5.0', '날짜': '2023.08.28.', '내용': '예전에 진료보고 오랜만에 보러갔는데 확장이전 하셨더라구요~ 방문 전에 문자와 카톡으로 이전 주소 보내주셔서 덕분에 잘 찾아갔습니다^^ 예전에는 입원하는 곳이랑 진료보는 건물이 달라서 왔다 갔다 해야했는데 이제... 더보기', '좋아요': '0'}, {'작성자': 'Bjh', '별점': '4.0', '날짜': '2023.05.15.', '내용': '어깨가 몇 달 전부터 계속 아파서 방문했어요. 원장님 친절하시고 진료 굿~ 프롤로 주사 맞고 충격파 받으면서 약 먹고 했더니 지금은 완전 좋아졌습니다.  알고 ... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
대항병원,,서초구 남부순환로 2151,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA55FAC21FDA74F139D6B1210AADDC487,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 19:20', '수': '09:00 ~ 19:20', '목': '09:00 ~ 19:20', '금': '09:00 ~ 19:20', '토': '09:00 ~ 12:20', '일': '휴무일', '월': '09:00 ~ 19:20', '휴무일': '공휴일'}"
뉴민병원,,"서초구 방배로 223 창생빌딩 지하1,2층, 2층~7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F74AF3689CF784CC6851171245D8323C3,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '휴무일': '석가탄신일, 추석전날, 추석당일, 설전날, 설당일, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
서초서울이비인후과의원,,서초구 방배로 199 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjBfMTUg%2FMDAxNzM0Njc5MDI1NzAz.rdCNY_5ZxxehqfKFbZ20CzAq_2BbitmrmlkGWUA9zykg.lDma4eCRBQPbljOYnK0utQ-zsNNFsxUpXXPtEArQ9jog.JPEG%2F%25EC%2584%259C%25EC%25B4%2588%25EC%2584%259C%25EC%259A%25B8%25EC%259D%25B4%25EB%25B9%2584%25EC%259D%25B8%25ED%259B%2584%25EA%25B3%25BC-38-2.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
서초프라임요양병원,5.0,서초구 방배천로2길 22,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTdfMzAw%2FMDAxNzM0NDIwNDIwMTg1.E-NKURgThqUsNqhiwSq0pv7nEHERaxKW1FFvGtBL2fUg.hWFRmBpT6Fx_78kBoGIdT62yt6VWyp_nOamOrodddYQg.JPEG%2F%25EC%2584%259C%25EC%259A%25B8%25EC%259E%25AC%25ED%2599%259C%25EC%259A%2594%25EC%2596%2591%25EB%25B3%2591%25EC%259B%2590_%25ED%258C%258C%25ED%2582%25A8%25EC%258A%25A8%25EB%25B3%2591_%25EA%25B7%25A0%25ED%2598%2595_%25EC%259E%2590%25EC%2584%25B8%25EB%25B6%2588%25EC%2595%2588%25EC%25A0%2595_%25EA%25B5%2590%25EC%25A0%2595_%25EC%259E%25AC%25ED%2599%259C_15.jpg%3Ftype%3Dw466,"[{'작성자': '평가왕', '별점': '5.0', '날짜': '2024.11.25.', '내용': '우리 아버지 꼭 모시고 싶어요', '좋아요': '0'}, {'작성자': 'aj', '별점': '5.0', '날짜': '2022.08.22.', '내용': '재활실이 넓어서 좋고 치료사님들이 너무 친절해서 좋았습니다', '좋아요': '0'}, {'작성자': '이찬우', '별점': '5.0', '날짜': '2022.08.20.', '내용': '친절해서 좋습니다^^', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
서초서울마더스성형외과의원,4.1,"서초구 동작대로 150 얼굴상처치료전문빌딩 지하1층, 1~3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTJfMiAg%2FMDAxNzMzOTc1MTIxNTQx.r0Xv0vUvXO6a9eU1Z-DIooKe-3B1ko9gvP3eyO4O7u0g.bfJrw348NfKPpE6DLL2fXR3BgEprQhQeCCuAqHZvbz8g.JPEG%2FIMG_0612.JPG%3Ftype%3Dw466,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.12.17.', '내용': '얼굴에 큰 상처가 나서 급한 상황이였는데, 아침부터 일찍 문을 열어주신 의료진 덕분에 빨리 처치받을 수 있었습니다. 시술에 들어가기 전에 가격 정보를 알려주신 다는 점도 굉장히 합리적이였어요. 감사합니다', '좋아요': '0'}, {'작성자': '잉', '별점': '5.0', '날짜': '2024.12.11.', '내용': '감사합니다\n 우리가족 은인이세요', '좋아요': '0'}, {'작성자': 'jane', '별점': '5.0', '날짜': '2024.07.01.', '내용': '얼굴 상처 전문 최고의 병원\n오전 응급으로 치료받았는데 너무 감사합니다', '좋아요': '0'}]","{'화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '휴무일', '금': '08:30 ~ 17:30', '토': '08:30 ~ 13:30', '일': '휴무일', '월': '08:30 ~ 17:30', '휴무일': '매주 목요일, 일요일'}"
성모안과,3.4,서초구 방배로 115,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe44dce5b046d0a584ee63b3a31aa39af95adcf95%3Foriginal,"[{'작성자': '노코멘트', '별점': '1.0', '날짜': '2025.01.17.', '내용': '검사할때 무슨 노란안약 넣는데 그게 눈물처럼 흘렀는데 얼굴에 그대로 노란색이 눈물자국처럼 남는지도 모르고 돌아다님(병원에서 아무얘기 안해줌)..밖에나와서 미용실 원장님이 얘기해주심.... 더보기', '좋아요': '1'}, {'작성자': '대한국인', '별점': '5.0', '날짜': '2024.08.29.', '내용': '오늘 처음 방문했는데 정말 좋습니다 미국 같았으면 오늘 검사비에 약 1000달러 이상 나올텐데 대한민국 너무 좋습니다 후기에 뭐 불친절하다 이런 말이 많던데 제가... 더보기', '좋아요': '1'}, {'작성자': '형이야', '별점': '3.0', '날짜': '2024.08.19.', '내용': '재작년 눈 염증때문에 갔던 곳 잘보긴함\n근데 오늘 갔는데 분위기가 영 딴판이 되어있음\n친... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '14:00 ~ 19:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
의료법인 청해의료재단 제일병원,2.5,서초구 서초대로 116,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA2MjFfNzUg%2FMDAxNzE4OTQ2OTg3MDk1.8vaNwgSa22TjsvgidQy8xNIEJm0nffV8WqV7Dhv80aAg.lp1sQSv2hsqAB6gWkHct4VnagCoPx7qPo4iQNynd7vog.JPEG%2FSE-a7d8bef3-e0a3-43d8-bab9-fa7992744460.jpg%3Ftype%3Dw966,"[{'작성자': 'ㅋㅆ', '별점': '1.0', '날짜': '2024.12.30.', '내용': '갈때마다 좋았던 경험이 없습니다.. 그래도 시간이 꽤 흘렀으니 나아졌겠지 하면서 재방문 했는데 역시 앞으로 방문은 안해야겠단 다짐만 하고 나왔습니다. 근처에 병원들 많으니 다른 병원 찾는걸 추천합니다', '좋아요': '0'}, {'작성자': '맹수루', '별점': '5.0', '날짜': '2024.03.06.', '내용': '병원사이트에 글올릴만한 곳이 없네요. 직원분들 전체적으로 친절하시지만 특히 3층에 유방초음파(?) 찍어주셨던 오선주 선생님이 너무 친절하셔서 기억하려고 이름 물어봤네요. 검사도 꼼꼼하고 또 편안한 분위기로 설명도 ... 더보기', '좋아요': '0'}, {'작성자': 'ㄷㅇ', '별점': '5.0', '날짜': '2023.06.07.', '내용': '후기 보고 걱정했는데 건강검진은 괜찮았어요', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:30', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
방배성모 정형외과의원,4.1,서초구 방배로 111,,"[{'작성자': '💗나무아미타불 💖', '별점': '5.0', '날짜': '2025.01.21.', '내용': '. 의사선생님 친절하고 믿음이 가는 병원', '좋아요': '0'}, {'작성자': '지도는카카오맵', '별점': '5.0', '날짜': '2024.12.14.', '내용': '아주 합리적이고 환자중심 병원. 친절하시고 과잉진료 안하시는 것 같음.\n\n동일 증상으로 회사근처... 더보기', '좋아요': '0'}, {'작성자': 'VIZ', '별점': '5.0', '날짜': '2024.10.23.', '내용': '진료 받아본 후 의사에 대한 믿음이 생기니 방문만 해도 든든하게 만드는 병원입니다.\n일단 진료 함 받아보세요. ^^', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '월': '09:00 ~ 18:00'}"
레디피부과의원,,"서초구 방배로 105 디엠타워 2관 4,5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F03A0AD8DA9F1440BBAAFF2C36895D600,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '10:00 ~ 20:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 20:00', '휴무일': '매주 일요일'}"
