name,score,address,img_url,reviews,open_hour
기쁨병원,3.9,서초구 서초중앙로 4,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F46E71BC24A4C49D7A75D742689305FDB,"[{'작성자': '치로', '별점': '5.0', '날짜': '2025.03.24.', '내용': '탈장수술 관련 방문했고, 친절하고 사후 문제 없습니다', '좋아요': '0'}, {'작성자': '원', '별점': '5.0', '날짜': '2025.03.02.', '내용': '좋아요 맹장염이였눈데 검사꼼껌히해주샷어요', '좋아요': '0'}, {'작성자': '맛도리', '별점': '5.0', '날짜': '2025.03.01.', '내용': '대기시간 짧고, 급한 진료도 잘봐주십니다.\n수면 내시경을 급하게 이틀연속해서 이명이왔는데, 친절한 검사와 설명 전문성있는 처방 해주셔서 넘 좋았습니다.', '좋아요': '0'}]","{'화': '08:30 ~ 17:00', '수': '08:30 ~ 17:00', '목': '08:30 ~ 17:00', '금': '08:30 ~ 17:00', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 17:00', '휴무일': '매주 일요일'}"
서울안강병원,3.1,서초구 효령로 331 GL빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8535918CE5784BD099B922B114518D5D,"[{'작성자': '소노캄', '별점': '5.0', '날짜': '2024.09.30.', '내용': '할아버지 재활로 입원중.\n재활실 선생님들 전문적이면서 친절하고 병동역시 친절합니다. 건물도 ... 더보기', '좋아요': '0'}, {'작성자': '서초슬이맘', '별점': '5.0', '날짜': '2024.07.16.', '내용': '엄마 모시고 3번째 방문했어요. 솔직히 적지 않은 비용에 놀랐긴 한데 엄마가 점점 허리를 펴시고 유모차를 끌고다니지 않아서 마음이 너무 놓여요. 1회차때는 별로 큰 ... 더보기', '좋아요': '0'}, {'작성자': '후니네', '별점': '5.0', '날짜': '2024.07.15.', '내용': '지인 추천으로 왔어요. 병원 건물도 너무 넓고 깨끗하네요. 직원분들도 친절하고요. 안강 원장님 치료 받고 많이 좋아진거 같아요. 보통 3~5번정도 시술한다는데 저... 더보기', '좋아요': '0'}]","{'화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '휴무일', '일': '휴무일', '월': '08:30 ~ 17:30', '휴무일': '공휴일'}"
장덕한방병원,,서초구 서초중앙로 42 블루핀타워 지하2층~5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F137B889B80524589964212638BCEF693,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 17:00', '일': '09:00 ~ 17:00', '월': '09:00 ~ 19:00'}"
의료법인녹십자의료재단녹십자 아이메드강남의원,3.0,서초구 서초대로38길 12 마제스타시티타워1 4-5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4afe8d018150200d0cf407085dc534461ae19387%3Foriginal,"[{'작성자': 'mhy', '별점': '5.0', '날짜': '2025.03.11.', '내용': '검진 끝나고 먹는 죽 너무 맛있음...♡', '좋아요': '0'}, {'작성자': 'P0p9uN', '별점': '3.0', '날짜': '2024.12.14.', '내용': '공장형신체검사를 추구. 마치 컨베이어벨트에 올라탄 느낌. 시간이 금인 사람한테는 이곳에서 건강검진 받는게 제일 좋음. 사람 엄청 많은데도 건강검진 완료하는데 20-30분 밖에 안걸림.', '좋아요': '1'}, {'작성자': '크흡', '별점': '2.0', '날짜': '2024.09.16.', '내용': '빨리빨리 검사진행은 좋은데 검진결과가 추후유료검진을 유도하는 결과가 신뢰성이 떨어짐. 다른곳은 건강보험검진의 경우 치아 및 콜레스테롤 검사는 기본 포함인데 여기는 따로 비용을 붙여 수익을 올리려는 꼼수가 훤히 다보임', '좋아요': '1'}]","{'화': '07:00 ~ 17:00', '수': '07:00 ~ 11:00', '목': '07:00 ~ 17:00', '금': '07:00 ~ 17:00', '토': '07:00 ~ 11:00', '일': '휴무일', '월': '07:00 ~ 17:00', '휴무일': '공휴일'}"
하루플란트치과의원,,서초구 강남대로 411 DS타워 6-10층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2BCE24D33D794489B692FBECEA43D0F6,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 20:00', '수': '09:30 ~ 18:30', '목': '09:30 ~ 20:00', '금': '09:30 ~ 18:30', '토': '09:30 ~ 16:00', '일': '12:00 ~ 17:00', '월': '09:30 ~ 20:00', '휴무일': '공휴일'}"
세바른병원,3.3,서초구 서초중앙로 47,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE03B552C1AD842E3A606E16513BEDCE1,"[{'작성자': '이슬', '별점': '5.0', '날짜': '2024.11.21.', '내용': '저랑 친정엄마랑 같이 다니는 병원이에요. 저는 허리디스크로 고생하던중 김주현원장님 만나 시술수술없이 약물치료로 치료중이고 많이 나아졌어요.어머니는 급성 목디스크 시술후 새삶을 살고계십니다. 항상 친절하신 선생님들 계셔서 늘 감사합니다.', '좋아요': '1'}, {'작성자': '미소', '별점': '5.0', '날짜': '2024.10.23.', '내용': '남편이 허리아파 협착증 수술했어요 손선용원장님. 감사합니다. 처음에는 너무젊으셔서 읻음이안갔어요 남편이가겠다고해 걱정은했는데 수술 잘되어서 넘 좋아하는것 보고 한달뒤에 갔는데 ...손선... 더보기', '좋아요': '1'}, {'작성자': '솔직하지 못한 리뷰는 절대 안남김', '별점': '5.0', '날짜': '2024.10.11.', '내용': '오래 기다리긴했지만 선생님들 감사합니다.. 못걸어다니는 사람 보자마자 친절하게 휠체어 태워주시고.. 그저 친절하신 분들 ㅠㅠㅠ 넘 감사합니다.', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
강남그랜드안과의원,4.4,"서초구 강남대로 363 강남타워 4,5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8ACBBC0D3B154486A0D0520CA74151A1,"[{'작성자': '이정아(문채욱)', '별점': '5.0', '날짜': '2024.01.05.', '내용': '백내장  수술을 했습니다\n10년동안 안경 착용하고\n30년을 콘택트렌즈 착용을 한 50... 더보기', '좋아요': '1'}, {'작성자': '배정한', '별점': '5.0', '날짜': '2023.12.12.', '내용': '배정한', '좋아요': '0'}, {'작성자': '익먕', '별점': '3.0', '날짜': '2023.10.06.', '내용': '공장 같은 느낌 진료시간은 2분?정도', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '휴무일', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '매주 수요일, 일요일'}"
하늘마음한의원 서초강남점,4.5,서초구 반포대로 96 석정빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA1MTZfMjYz%2FMDAxNjg0MjI4Njc4MTY4.jawlsujckAPah51YjXghsAOGw4BpXZa7M-1S8URU2qgg.gMQXKgLFSQ03y0A5T6DtVCGON_JI4elQo4Aeb2j6Wo0g.JPEG.hamabio_15%2F%25EA%25B0%2595%25EB%2582%25A8%25EC%2582%25AC%25EB%25A7%2588%25EA%25B7%25802.JPG%3Ftype%3Dw966,"[{'작성자': 'ㅇㅇㅇ', '별점': '3.0', '날짜': '2024.11.19.', '내용': '데스크나 그 안쪽에 계신 직원분들 몇몇분이 좀 .. 불친절하세요 ..  \n반면 한의사님들은 다  너무 친절하세요\n조금 더 젊은 분 말씀 자세히 해주셔서 좋았습니다!', '좋아요': '0'}, {'작성자': 'Claire', '별점': '4.0', '날짜': '2022.05.23.', '내용': '오래되셔서 그런지 약은 잘드는 느낌이예요.\n근데 설명 중에 신빙성이 없는 부분이 있어서 별하나 뺐어요 ㅎㅎ\n그래도 친절하시고 다른 부분은 다 마음에 듭니다.', '좋아요': '0'}, {'작성자': '정민', '별점': '5.0', '날짜': '2021.06.02.', '내용': '갔을 때 문제점에 대해 제대로 설명해주시고\n시설도 너무 좋아서 안정되는 그런 느낌이랄까여..? 앞으로도 쭉 질환 나을때까지 방문해야겠어요!', '좋아요': '0'}]","{'화': '10:00 ~ 18:00', '수': '휴무일', '목': '10:00 ~ 20:30', '금': '10:00 ~ 18:00', '토': '10:00 ~ 14:30', '일': '휴무일', '월': '10:00 ~ 20:30', '휴무일': '공휴일'}"
비앤빛안과의원,,서초구 서초대로 411 GT타워 지하2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F537BB0D782CE42C2B913ECB7B1958093,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 17:00', '일': '휴무일', '월': '09:30 ~ 18:00', '휴무일': '매주 일요일'}"
이지함피부과의원 강남점,,서초구 강남대로 429 동일빌딩 5층 502호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F27172F3354503BA20E,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '휴무일', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 17:00', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '개천절, 한글날'}"
