name,score,address,img_url,reviews,open_hour
참포도나무병원,,서초구 바우뫼로35길 32 샤론의꽃빌딩,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD295707B88C84FA69729B38A6991F0A3,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
연세굿데이치과의원 양재점,4.5,서초구 강남대로 206 엔스빌딩 5-6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBB0A655A70254A7F88E3CAD649A92129,"[{'작성자': '별똥이', '별점': '5.0', '날짜': '2025.02.19.', '내용': '구본석 원장님께서 치료방법을 친절하게 설명해주셨고 제 치아 상태에 맞는 관리방법도 알려주셨어요. 치위생사 분들도 친절하셔서 좋은 분위기에서 진료 받을 수 있었습니다', '좋아요': '0'}, {'작성자': '강정강정', '별점': '5.0', '날짜': '2025.02.18.', '내용': '충치 의심되는 치아가 있어서 급하게 방문했는데 검진도 잘해주시고 겸사겸사 스케일링도 받았어요! 궁금한거 다 친절히 알려주시고.. 충치는 다행히 지켜보자고 하셔서 안심이 되었습니다. 과잉진료 없이 진료해주셔서 감사합니다~~', '좋아요': '0'}, {'작성자': '뢍뢍', '별점': '5.0', '날짜': '2025.02.17.', '내용': '치과가 넓고 쾌적해서 첫인상이 좋았습니다. 이제 교정 시작했는데 상담부터 교정기 붙이고 후에 주의사항까지 상세하게 알려주셔서 좋았습니다. 치과 직원분들 전부 친절하세요 ㅎㅎ', '좋아요': '0'}]","{'수': '10:00 ~ 21:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 21:00', '화': '10:00 ~ 21:00', '휴무일': '석가탄신일, 설전날, 설당일, 설다음날, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 성탄절'}"
봄이비인후과의원,3.6,서초구 강남대로 48-6,,"[{'작성자': '양갱', '별점': '3.0', '날짜': '2025.03.08.', '내용': '친절하시긴해요...', '좋아요': '0'}, {'작성자': '김민경', '별점': '5.0', '날짜': '2024.08.24.', '내용': '후기가 안 좋은 것도 있어서 걱정하며 갔는데 의사분도 간호사분도 친절하셨고 진료 때 자세히 설명도 해주시고 과잉진료도 없었어요. 토요일 오전 10시쯤에 갔는데 대기자 한 세명쯤 있었고 한 십분 대기하다 진료... 더보기', '좋아요': '1'}, {'작성자': '아하하하하', '별점': '5.0', '날짜': '2024.03.23.', '내용': '아이 감기걸릴때 늘 가요\n아이코가 처음 뺄때는 많이 안나와서 다른병원들은 코 없다고하는데..\n선생님은 두번이상은 꼭 ... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
강남삼성안과의원,2.6,서초구 남부순환로350길 4,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMzBfOTIg%2FMDAxNzMyOTcxMjU3NzEz.M-iZcGLuDZ_1FU9t2NqMmKcbU7q39JtSk2LS9irhZZog.5OVFCGNMGmtW6rXZH7FTG5JGQ8zsRmv_Fipe5SxPDfQg.PNG%2Fimage.png%3Ftype%3Dw466,"[{'작성자': 'snidneks', '별점': '1.0', '날짜': '2025.03.22.', '내용': '의사 왜 하세요? 안 행복해 보이는데', '좋아요': '0'}, {'작성자': '최은희', '별점': '5.0', '날짜': '2025.02.11.', '내용': '후기 보고 걱정했는데 \n간호사님들도 상세 설명 해 주시고\n... 더보기', '좋아요': '0'}, {'작성자': '김명신', '별점': '1.0', '날짜': '2024.11.19.', '내용': '여전히 최악이다 !\n15년전수술후 계속시력이 악화되어 수술한의사와 상담차 방문했더니, 현상검사 과다진료비 받고도  결과에대해서는 일언반구... 더보기', '좋아요': '0'}]","{'수': '10:00 ~ 19:00', '목': '휴무일', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '휴무일': '공휴일'}"
남재현프렌닥터내과의원,1.5,서초구 남부순환로350길 36 3-4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MDdfMiAg%2FMDAxNjkxMzkyOTI1NDQ0.fELK6SVFb38GLqChjznMmDd3a7NN-hjeRXh5W3zarQIg.jKwxSImg8J1G22ODze-Oc1qbT-ksxTwuWxNkyWpYQ6gg.JPEG.bmwaudibenz%2F%25EF%25BB%25BF%25EB%2582%25A8%25EC%259E%25AC%25ED%2598%2584_%25ED%2594%2584%25EB%259E%259C%25EB%258B%25A5%25ED%2584%25B0_%25EA%25B1%25B4%25EA%25B0%2595%25EA%25B2%2580%25EC%25A7%2584_%25EC%259C%2584%25EB%2582%25B4%25EC%258B%259C%25EA%25B2%25BD_%25EC%2588%2598%25EB%25A9%25B4%25EB%25A7%2588%25EC%25B7%25A8%25EB%25A1%259C_%25ED%258E%25B8%25EC%2595%2588%25ED%2595%2598%25EA%25B2%258C-1.jpg%3Ftype%3Dw966,"[{'작성자': '뿌뿌삥', '별점': '1.0', '날짜': '2024.11.21.', '내용': '진짜 개짜증남\n이렇게 아프게 피뽑는데 처음 봄... 주사를 네방 놓은건가?\n간호사 전문성 개 바닥..... 이정도면 사과해야하는거 아님?', '좋아요': '1'}, {'작성자': '삐끼삐끼', '별점': '1.0', '날짜': '2024.07.22.', '내용': '수액 맞으러 갔는데 묻지도 따지지도 않고 젤 비싼거로 놔주려고 함. 종류 및 가격 물으니 그제야 선택하게 해줌. 불친절은 디폴트값.', '좋아요': '2'}, {'작성자': '준혁', '별점': '5.0', '날짜': '2024.07.18.', '내용': '괜찮은데..?\n도대체가 얼마나 친절하시길 원하시는거지...??', '좋아요': '0'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 12:30', '토': '08:30 ~ 12:30', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '휴무일': '공휴일'}"
메디셀플러스의원,4.7,"서초구 남부순환로 2646 메디셀플러스의원빌딩 2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF7F1F7F46FA842DDBB7C856FE3821930,"[{'작성자': '겸', '별점': '5.0', '날짜': '2025.02.07.', '내용': '가봤던 피부과중에 제일 좋아요\n선생님도 너무 친절하고, 치료로만 갔지만 다 만족, 비싸게 나온적도 없었어요.', '좋아요': '0'}, {'작성자': 'Kay', '별점': '5.0', '날짜': '2024.11.22.', '내용': '그저 빛...', '좋아요': '0'}, {'작성자': 'Scarlet', '별점': '5.0', '날짜': '2024.11.04.', '내용': '피부과 원장님 정말 꼼꼼하고 길게 상담해주셔서 믿고 시술받았는데 \n결과도 너무 만족스러워요\n앞으로도 여기만 다닐듯..', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '휴무일', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
페리오치과의원,3.9,서초구 바우뫼로 205 3층,,"[{'작성자': '수국', '별점': '5.0', '날짜': '2024.10.08.', '내용': '스케일링 제대로 해주셔서 아파요.. 기초부터 설명해주시는 스타일이고 좀 무뚝뚝하고 농담 안 통함.. 치과로 괜찮아요~~', '좋아요': '0'}, {'작성자': '아가씨', '별점': '2.0', '날짜': '2023.09.04.', '내용': '돋보기쓰고 진료하는데 불안합니다.. 시설은 90년대 수준이라 비위생적인 면도 있습니다.', '좋아요': '1'}, {'작성자': '찡찡', '별점': '5.0', '날짜': '2023.08.02.', '내용': '과잉진료 없는 합리적인 치과에요!! 게다가 전부 친절하셨어요 :-)', '좋아요': '0'}]","{'수': '14:00 ~ 20:00', '목': '휴무일', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 목요일, 일요일'}"
강남르시엘여성의원,4.1,서초구 강남대로 206 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F558C38BD52DA416BA8DB2BA9ADE7576D,"[{'작성자': 'unknown', '별점': '5.0', '날짜': '2024.11.28.', '내용': '건강검진 때 결과가 안좋아서 급하게 찾은 곳인데 진짜 만족해요. 남자원장님도 괜찮냐고 하시길래 급해서 상관없다고하고 예약했는데 진짜 엄청 꼼곰하게 봐주시고 그림까지 그려가면서 자세하세 설명해주셔서 감동이었어요 진짜 개만족합니다', '좋아요': '0'}, {'작성자': '영방', '별점': '5.0', '날짜': '2024.10.25.', '내용': '이미범원장님께 소음순성형 상담받았는데 엄청 친절하게 안내 도와주셨고 실력있으신게 느껴져서 바로 수술 예약하고왔어요!!', '좋아요': '0'}, {'작성자': '김채인', '별점': '5.0', '날짜': '2024.10.24.', '내용': '자궁근종 복강경 수술 받았는데 김봉석 원장님 실력 정말 좋으세요 친절하시고 분위기도 편하게 해주셔서 수술 잘 받고 왔네요', '좋아요': '0'}]","{'수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '휴무일': '매주 일요일'}"
하루하나문민철의원,,서초구 마방로2길 57 승진빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCCB1E8E53C1E46CC8D24672642A36319,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '11:00 ~ 20:00', '목': '11:00 ~ 20:00', '금': '11:00 ~ 20:00', '토': '10:00 ~ 17:00', '월': '11:00 ~ 20:00', '화': '11:00 ~ 20:00'}"
서울김내과의원,,서초구 논현로 63 한덕빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FFA93A9114E2E46B3B3D98DD7CA464F09,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
