name,score,address,img_url,reviews,open_hour
서초참요양병원,5.0,서초구 양재대로 54,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjVfODEg%2FMDAxNzMyNTQ0NjAwMzg2.BTl55HHvgqhASUBDWPwQ35yxLyLTawIB4Id9o9kAsqIg.15weitVQhYqrT9U1fuVlDMiW7UQzhCSH0r1lXrfKtYEg.PNG%2Fimage.png%3Ftype%3Dw773,"[{'작성자': '고양이는범샛기갓지', '별점': '5.0', '날짜': '2020.02.20.', '내용': '최고의 병원 추천합니다', '좋아요': '0'}, {'작성자': 'ㄱ이진숙긍정우먼!!', '별점': '5.0', '날짜': '2020.02.04.', '내용': '외부진료를 가야되는 상황인데 원무과 선생님들이 위탁진료에 대해 이해가 쉽게 설명해주셔서 상급병원에가서도 진료받고 서류 당당히 요청하여 병원에 가져다주... 더보기', '좋아요': '2'}]","{'수': '09:30 ~ 17:00', '목': '09:30 ~ 17:00', '금': '09:30 ~ 17:00', '토': '휴무일', '일': '휴무일', '월': '09:30 ~ 17:00', '화': '09:30 ~ 17:00', '휴무일': '공휴일'}"
성모튼튼의원,4.5,서초구 바우뫼로7길 3 중평빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAyMjBfNjgg%2FMDAxNzA4NDMwNTI5OTkx.6dmGkHr0Ps2xYCevG23ctRsVViYZ18jvqbO9yAvx-Pwg.0tQnbAZVRaLUiwD_E728Tr0ryoe-y3CPCYht7-EPFqsg.JPEG%2FIMG_1377.jpg%3Ftype%3Dw966,"[{'작성자': '김효준', '별점': '5.0', '날짜': '2023.07.27.', '내용': '정말 친절하심 과잉 진료 안함', '좋아요': '0'}, {'작성자': 'best-an', '별점': '1.0', '날짜': '2022.11.14.', '내용': '직원 태도는 별로인듯\n특히 카운터보는 간호사 인지 조무사인지\n거슬릴정도로 심하게 툭툭거림', '좋아요': '1'}, {'작성자': '피자 먹고 자는 무지', '별점': '5.0', '날짜': '2022.09.23.', '내용': '큰병원 간다고 하시면 서운해 하시지만 친절하심!', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00'}"
서초우면정형외과,4.5,"서초구 태봉로 70 우면프라자1차 1,2층 203호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6B5281B2CEA14E1A8A27CC0C344FA0A8,"[{'작성자': '정병일', '별점': '4.0', '날짜': '2024.07.11.', '내용': '엘보우로 고생하시는 분들을 위해 알려드립니다. \n혹시 오해하실까 염려되어 참고로 저는 본 병원에서 치료를 받은 단순한 환자일 뿐 어떠한 이해관... 더보기', '좋아요': '1'}, {'작성자': 'jajoo', '별점': '5.0', '날짜': '2023.07.28.', '내용': '선생님 자세히 진료 잘 봐주시고, 체외충격파 기계도 2가지 있어 증상에 따라 적절히 처치 받을수 있어서 좋았습니다! 우면동에 좋은 정형외과 있어서 다행이에요.', '좋아요': '1'}, {'작성자': '정🍀산', '별점': '5.0', '날짜': '2023.07.05.', '내용': '원장님에 세심한 맞춤진료 감사^^\n예전 허리통증 도 \n이번 무릎관절 통증도 \n... 더보기', '좋아요': '2'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 13:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '휴무일': '매주 일요일'}"
우면365의원,5.0,서초구 중앙로 582 서초타워 302호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F648C82F5816F4A73A251EB0A170D69D3,"[{'작성자': 'moos', '별점': '5.0', '날짜': '2024.11.12.', '내용': '의사 선생님께서 친절하시고 성심성의껏 진료 봐 주십니다.\n감사합니다!!', '좋아요': '2'}, {'작성자': 'xing', '별점': '5.0', '날짜': '2024.05.29.', '내용': '이 병원, 의사 선생님이 계신 덕분에 우면동 사는게 더 좋아질 정도예요..! 주말에 아파서 진료 받았는데도, 맘 졸일 것 없이 편안하게 진료 받을 수 있었고 퇴근... 더보기', '좋아요': '2'}, {'작성자': '택관', '별점': '5.0', '날짜': '2024.03.01.', '내용': '너무 감사합니다. 3/1 아기 고열로 급히 야간 진료 받은 아기 아빠에요. 선생님 같은 의사분들이 계셔서 아기 키우기 너무 안심됩니다. 진심으로 감사드립니다.', '좋아요': '0'}]",{}
수이비인후과의원,3.3,서초구 태봉로 62 4층 403호,,"[{'작성자': '라마', '별점': '5.0', '날짜': '2024.04.02.', '내용': '원장님이 시크하시긴한데\n자세하게 상담해주시고 궁금한것도 잘알려주시고 저는 만족햄ㅅ어요', '좋아요': '0'}, {'작성자': '서정훈', '별점': '5.0', '날짜': '2024.02.28.', '내용': '의사선생님은 설명 잘해주시고 코청소하는데 이프지도 않았어요. 천천히 살살해쥬심. 간호사들도 친절하셨어요.', '좋아요': '0'}, {'작성자': '김연화', '별점': '1.0', '날짜': '2024.01.30.', '내용': '환자에게 불친절한 의사는 문제가 있습니다.ㅡㅡ', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
명성내과의원,3.3,서초구 바우뫼로 23 선일빌딩 3층 301호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FYgLuN%2FbtskhMiweyp%2FOuusXnr6KtxwktJEkGHDbK%2Fimg.jpg,"[{'작성자': '불친절감지고라니', '별점': '1.0', '날짜': '2025.01.07.', '내용': '손님도 없는데 진료 대기가 너무 깁니다. 진료를 안보시는건지...', '좋아요': '0'}, {'작성자': '라마', '별점': '1.0', '날짜': '2024.12.26.', '내용': '웬만하면 다른곳가세요.', '좋아요': '1'}, {'작성자': '소년', '별점': '5.0', '날짜': '2024.01.01.', '내용': '단언컨대 이 동네에서 제일 진료를 잘 봐주시는것 같습니다! 그리고 항상 친절하세요! 다만 사람이 많아서 진료받으시러갈때 예약이 가능하다면 예약을 하거나 여유시간을 두고 가시는 걸 추천드립니다', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
바른경희한의원,4.8,서초구 태봉로 70 우면프라자 4층 404호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fbbaa54fa5b582cd7fdce8231c4ee3b5410dd854c%3Foriginal,"[{'작성자': '프로맛집러', '별점': '5.0', '날짜': '2024.11.25.', '내용': '도침을 맞고 고질적인 어깨와 허리통증이 좋아졌습니다. 침 맞을땐 조금 아프지만 일주일이 훨씬편합니다!!', '좋아요': '0'}, {'작성자': 'CAR', '별점': '5.0', '날짜': '2024.11.01.', '내용': '너무  너무  친절하시고  아픈 곳의  진단을  잘 설명 해주시고  또한  치료를  단계별로  잘 해주셔서  정상적인  몸  컨디션을   찾는데는  정말  최고  이십니다', '좋아요': '0'}, {'작성자': '🦉유조석복🍀', '별점': '5.0', '날짜': '2023.11.20.', '내용': '치료 너무 잘하시고 원장님 간호사분들 다들 너무 너무 친절 하셔요', '좋아요': '0'}]","{'수': '09:00 ~ 13:00', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30'}"
임피부과의원,2.1,서초구 태봉로 70 우면프라자 1동 3층 302호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F3CD57646ADE34D38BE6A5130E074C6B8,"[{'작성자': '김윤지', '별점': '1.0', '날짜': '2024.07.18.', '내용': '진짜 망해야댐,,, 여드름 압출하러 왔더니 보험 있냐고 물어본 다음에 종양이라고 진료하고 레이저로 지짐 \n급해도 오지 마십쇼', '좋아요': '2'}, {'작성자': '한글사랑', '별점': '1.0', '날짜': '2024.05.17.', '내용': '여기는 오지 마세요\n실수로 두번 왔습니다\n땅을 치며 후... 더보기', '좋아요': '1'}, {'작성자': '(알수없음)', '별점': '1.0', '날짜': '2024.04.29.', '내용': '엄청 불친절 짜증만 빽빽냄 진료도 엄청 대충봄 \n매우비추천 동네라고 가지마세요 진료비가 아까움', '좋아요': '2'}]","{'수': '09:30 ~ 18:00', '목': '휴무일', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '휴무일': '매주 목요일'}"
서초하나로치과의원,4.6,서초구 양재대로2길 116-19 하나로마트 2층 204호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMDFfMTkw%2FMDAxNzI3Nzc0NjY1ODc0.aSyt2E1Wu2l5R2frSf9KP0X7Psoi8DCsvKRNsO7zObAg.QM73SP2kRwD0rIy7kqWx-fBuw7tJB9wc0eOujq_gFUIg.JPEG%2FKakaoTalk_20241001_182405496.jpg%3Ftype%3Dw966,"[{'작성자': '은 별', '별점': '5.0', '날짜': '2024.12.10.', '내용': '스케일링 하러 왔는데 시원하게 좋았네요!\n원장님도 전체적으로 꼼꼼히 봐주시고 설명해주셔서 충치치료 예약도 잡았습니다', '좋아요': '0'}, {'작성자': '이거보갱', '별점': '5.0', '날짜': '2024.12.03.', '내용': '일단 하나로마트에 있어서 주차가 편했어요\n이가 시려서 집근처 치과라서 갔는데 설명도 자세하고 \n친절해서 좋았어요', '좋아요': '0'}, {'작성자': '..', '별점': '1.0', '날짜': '2024.11.12.', '내용': '아래 리뷰 진짜 맞나요..;', '좋아요': '0'}]","{'목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '월': '10:00 ~ 19:00', '화': '10:00 ~ 21:00'}"
소소아청소년과의원,3.8,서초구 태봉로 62,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEyMzBfMTM5%2FMDAxNzAzODc0NDA2MTA0.d7uujNe5kqettVwec6CxdhssXMOSTHR5pJozwKKREiUg.WbS8XJ6IofsPtXQpq1P7VOfbtVc2GBJFeoazSLeYHrog.JPEG.01073406410%2Foutput_2433252453.jpg%3Ftype%3Dw773,"[{'작성자': '축복맘', '별점': '1.0', '날짜': '2024.01.15.', '내용': '2년전에 이사와서 다니기 시작했는데..항상 대기자가 많아서 오래 기다리기는 했지만,의사 선생님이 친절하게 해주시는거 같아서 잘 다녔습니다\n그런데 갈때마다 느끼는것이 간호사분들이 불친절하고 퉁명스럽다는거였는... 더보기', '좋아요': '0'}, {'작성자': '밍밍', '별점': '2.0', '날짜': '2023.10.27.', '내용': '동네 사람들이 많이들 가는거 같아서 몇번 가봤는데, 진료볼때 설명을 친절하게 잘해줘요\n근데 모든 경우의 수를 다 설명해주려고 해서 다녀오면 걱정이 좀 많이 지고, 같은 의료관련 업... 더보기', '좋아요': '0'}, {'작성자': 'hagrid', '별점': '5.0', '날짜': '2023.04.04.', '내용': '진료 잘 보시고 약 잘 써주셔서 좋아요. 과다처방 없어요. 똑닥으로 대기하기 너무 힘들고 ㅠㅠ 대기인수가 50명을 넘어설 때가 허다합니다', '좋아요': '0'}]","{'수': '08:30 ~ 20:00', '목': '08:30 ~ 18:30', '금': '08:30 ~ 20:00', '토': '08:30 ~ 14:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 18:30'}"
