name,score,address,img_url,reviews,open_hour
한신메디피아의원,4.6,서초구 잠원로 94 한신빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FEA7DB69A27BC452BBC1CCAD25C848A9B,"[{'작성자': '-', '별점': '1.0', '날짜': '2025.03.16.', '내용': '누가 봐도 감기인데 감기가 아니라는 진단.. 바로 이비인후과 가서 성대 검사 후 아무 문제 없다는데 감기가 왜 아니라고 하신 건지 의문임', '좋아요': '0'}, {'작성자': '유승우', '별점': '5.0', '날짜': '2025.03.05.', '내용': '식사 후 혈당이 너무 많이 올라서 병원에서 검사를 받았는데 꼼꼼히 봐주셨어요.\n집에서 펩티드요... 더보기', '좋아요': '0'}, {'작성자': '강남 愛 좋은 것만', '별점': '5.0', '날짜': '2025.02.07.', '내용': '어느 병원 검진 보다 꼼꼼하고 다른 곳에서 검진해서 못 찾는걸 여기선 체크 할 수 있어요^^ 전문적이고 친절하고 다ㅡㅡㅡㅡ 좋은데 검진 후 상담이 조금 아쉬워요', '좋아요': '0'}]","{'수': '07:00 ~ 12:30', '목': '07:00 ~ 16:00', '금': '07:00 ~ 16:00', '토': '07:00 ~ 12:30', '일': '휴무일', '월': '07:00 ~ 16:00', '화': '07:00 ~ 16:00', '휴무일': '2025년 4월 26일 휴무, 2025년 5월 31일 휴무, 2025년 6월 28일 휴무'}"
박동만성형외과의원,2.0,서초구 강남대로 601 5층,,"[{'작성자': '락스타맛꾸끼', '별점': '1.0', '날짜': '2025.02.27.', '내용': '2뻐지고 싶은 추구미가 장원?영?인 쥴리의 성형 상담소^^..\n저와 함께 UPA에서 좌파가 되어봐요~\n이성적으로 계엄의 옳고 그름을 판단하지 ... 더보기', '좋아요': '7'}, {'작성자': '좌파대학교 윤석열탄핵연구학 학생', '별점': '1.0', '날짜': '2025.01.27.', '내용': '석열외과\n성형외과 ㄴㄴ\n세금으로 세운 공짜 성형외과!! 약 5100만의 국민세금이 이런곳에 쓰이고 있네요... 더보기', '좋아요': '39'}, {'작성자': 'Maybe', '별점': '1.0', '날짜': '2025.01.18.', '내용': '성괴 멤바유지박사 얼굴 뜯어 고친 곳?\n의새 검새 판새 들은 사람 같지가 않다~', '좋아요': '27'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00'}"
모바른의원,4.5,서초구 강남대로95길 40 아가빌딩 5-6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDdfMjkw%2FMDAxNzMzNTYxMDEwNjcz.TGpVYTzYPj19fa6qnL1ceIbqLMJLP5YpXrkTRKK16gwg.St7r7KhXHeNNwzfJHIvNiOFs5SzfYSjIvd8QUJMielQg.JPEG%2F900%25EF%25BC%25BF20241205%25EF%25BC%25BF160900.jpg%3Ftype%3Dw966,"[{'작성자': '금두껍', '별점': '5.0', '날짜': '2024.11.14.', '내용': '와우!!! \n입사하고싶은\n꿈의 직장이네효~~~^^', '좋아요': '1'}, {'작성자': 'ㄱ', '별점': '5.0', '날짜': '2024.06.01.', '내용': 'Sexysangbo 😍', '좋아요': '11'}, {'작성자': '?', '별점': '5.0', '날짜': '2024.05.30.', '내용': '저 머리숱이랑 털이 많긴 한데 색시상보 계정 보고 인생 어찌 될지 모르니까 혹시 몰라서 별점 남겨 등록해둡니다', '좋아요': '4'}]","{'목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 16:00', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00'}"
휴먼영상의학과의원,2.9,서초구 강남대로 621 K-타워 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FACFAF4593A9E4DE68F9D40A10D3DCB52,"[{'작성자': 'James', '별점': '5.0', '날짜': '2023.01.26.', '내용': '이재희 원장님께 상담받았는데 친절히 잘 말씀해주셨습니다. 다른곳보다 MRI 비용도 싸고 친절합니다.', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
압구정안과의원,4.6,"서초구 강남대로 597 진미선빌딩 3,4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F25A93B5EE0A94EEC9B6D6F9EFE307951,"[{'작성자': 'gart', '별점': '3.0', '날짜': '2024.12.06.', '내용': '김준현원장님 말이 시크지 그냥 불친절하신거 같음.\n수술후 경과보로 예약했는데 예약시간되도 출근도 안하고, \n물마시러 어슬렁 다니시고 안에서 통화하... 더보기', '좋아요': '2'}, {'작성자': '가나다', '별점': '1.0', '날짜': '2024.11.06.', '내용': '스마일라식 했는데 수술 후 고객 응대가 미흡한 것 같음.\n한 달 뒤 경과 보고 세 달 뒤에도 검사하기 위해 연락한다고 했지만 연락 안 옴.\n한 달 뒤에도 내가 먼저 연락해서 예... 더보기', '좋아요': '2'}, {'작성자': '정석호', '별점': '1.0', '날짜': '2024.10.04.', '내용': '일반진료를 받으려고 방문하였더니, 이 곳은 예약된 환자 이외에는 진료가 불가능하다고 안내를 하더군요. 종합병원도 아니고 예약을 안하면 진료가 안되는 참 이상한 병원이네요.', '좋아요': '0'}]","{'수': '09:30 ~ 18:30', '목': '휴무일', '금': '09:30 ~ 19:30', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '휴무일': '석가탄신일, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
그레이스성형외과,2.6,서초구 강남대로 623 우일빌딩 4-5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMjlfMjk1%2FMDAxNzMwMTkwMDM3MTAw.S9ap7LysBEXyUZWAi17PYUnABA84jQAy1fOCXmywuwUg.VO4coHtujiMK4RY24NFxy_hnk2asRD89dOtvnTTeZLIg.PNG%2F241017_%25EC%25BD%2594%25EC%2584%25B1%25ED%2598%25952_%25EC%259D%25B4%25EC%25A0%2595%25EB%25AF%25BC.png%3Ftype%3Dw966,"[{'작성자': '신뢰', '별점': '1.0', '날짜': '2024.08.26.', '내용': '의사 선생님과 상담해보고\n궁금증이 해소가안되고 기분안좋았던건 또처음이네요..ㅠ', '좋아요': '1'}, {'작성자': 'Angela Ahn', '별점': '1.0', '날짜': '2024.06.05.', '내용': '여기 비추입니다 코 했다가 망하고 다시 재수술 했는데 또 망하고 결국 다른병원가서 재수술 다시 했습니다\n책임감 업습니다', '좋아요': '1'}, {'작성자': ',', '별점': '1.0', '날짜': '2023.10.05.', '내용': '예약시간안지킴 \n의사는 환자무시 \n돈독올라 안쪽에서 실장에게 상담... 더보기', '좋아요': '2'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 21:00', '토': '10:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '휴무일': '매주 일요일'}"
CK성모안과의원,4.0,서초구 강남대로 563 페이토플라자 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEyMDlfMjgz%2FMDAxNjcwNTg3OTM4MTk2.VclVNGsBmg2If8WE0T6egx8vW5pJ3gVlG83TgPbng9Eg.CdXsNVSeBf8UV9Ppfa_vpnKnzVXKELfiUzuXgcA4I68g.JPEG.yunimamamy%2F1_(7).jpg%3Ftype%3Dw966,"[{'작성자': '준규love', '별점': '5.0', '날짜': '2024.02.27.', '내용': '친절하세요. . 1달후에 진료 또 갑니다.', '좋아요': '0'}, {'작성자': '정직,솔직한 리뷰', '별점': '5.0', '날짜': '2024.01.13.', '내용': '진료 잘 봐주십니다', '좋아요': '0'}, {'작성자': '정환섭', '별점': '5.0', '날짜': '2023.11.01.', '내용': '친절하시고 자세하게 설명해주셔서 너무 좋습니다. 초진은 거의 20분을 봐주시면서 궁금한점, 주의할것 다 알려주셨어요. 진짜 만족도 높았어요🫶🏻', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '휴무일', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 목요일, 일요일'}"
임이석테마피부과의원,4.0,"서초구 나루터로 78 1-3,5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FD84F01D552914B6491BC36B6BF0C3C40,"[{'작성자': 'Zinny23', '별점': '5.0', '날짜': '2025.01.24.', '내용': '여행갔다가 피부 뒤집어져서 달려왔어요ㅜㅎ 진정효과가 즉각적으로 일어나니 마음도 편안하고 역시 잘왔다 싶음ㅠㅠ', '좋아요': '0'}, {'작성자': 'xiujuan', '별점': '5.0', '날짜': '2025.01.20.', '내용': '나이 앞자리 바뀌니 피부 탄력 떨어지는게 너무 느껴져서 피부에 투자 좀 하려고요ㅠ 피부과 거의 안가봐서 모르는게 많았는데 엄청 친절하게 설명해주시고 꼼꼼히 봐주셔서 좋아요', '좋아요': '0'}, {'작성자': '캐논후손', '별점': '5.0', '날짜': '2025.01.19.', '내용': '신사역 근처로는 피부과 여기 추천해요! 개인차 있긴 해도 사람들 많이 가는 이유가 있고 시술 섬세하게 잘해주셔서 실력은 진짜 보장합니다', '좋아요': '0'}]","{'수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 20:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 20:00', '휴무일': '공휴일'}"
미즈러브여성비뇨의학과의원,3.9,서초구 강남대로95길 38 예담빌딩 2~5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDVfMTE1%2FMDAxNzMzNDA4NzUzMzY5.fDjDzo6XU-tVI9_gjN0wGO96OioOoNrSbqXu-PBtdGog.LQ6Sz8QmW5QL3l5XuOJeOmLkb4uaGbTxQ_nMOJ6ZV-cg.PNG%2Fimage.png%3Ftype%3Dw773,"[{'작성자': 'pjs', '별점': '4.0', '날짜': '2025.02.24.', '내용': '여성 의료진만 있어서 마음 편했고 검사 결과 친절히 알려주셔서 좋았음.', '좋아요': '0'}, {'작성자': 'miso', '별점': '1.0', '날짜': '2024.05.16.', '내용': '과잉처방.', '좋아요': '0'}, {'작성자': '🌸HYE★HWA', '별점': '5.0', '날짜': '2024.04.17.', '내용': '오늘 병원 다녀왔어요~친절하셨고 좋았어요~ good!!!!!', '좋아요': '0'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
더웰니스의원,4.8,"서초구 신반포로 219 반포쇼핑타운 8동 2층 1, 2호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F226BDD5E1E4E43B88E5734AF8D6BCFC7,"[{'작성자': '현미', '별점': '5.0', '날짜': '2025.03.21.', '내용': '흑자 크기가 9mm 정도라 너무 신경쓰여서 리팟레이저 잘하는곳 찾다가 왔어요! 하기전에 피부 진단기로 흑자 깊이랑 크기도 확인하고 어떻게 시술할건지 친절하게 설명해주셔서 좋았어요.', '좋아요': '0'}, {'작성자': '화민', '별점': '5.0', '날짜': '2025.03.19.', '내용': '어릴때부터 있던 패인 흉터가 성인되고 나니 콤플렉스여서 이것저것 안 받아본 시술이 없었거든요. 흉터가 워낙 깊어 돈이랑 시간만 쓰는 느낌이라 자포자기 상태로 살다가 여기는 쥬브젠을 깊이에 맞춰서 해서... 더보기', '좋아요': '0'}, {'작성자': '강연두', '별점': '5.0', '날짜': '2025.03.18.', '내용': '리팟 효과 너무 좋네요~~ 흑자 때문에 스트레스 많이 받았는데 원장님이 함께 고민해 주시고 관리까지 꼼꼼히 해주셔서 깨끗하게 잘 떨어져 나온것 같아요', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 20:00', '휴무일': '공휴일'}"
