name,score,address,img_url,reviews,open_hour
퀸즈의원,4.6,성동구 행당로 6 신세계오피스텔 2층 203호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_397078693,"[{'작성자': '뽀', '별점': '5.0', '날짜': '2024.06.26.', '내용': '친절하고 좋아요👍👍 자주 이용해요', '좋아요': '1'}, {'작성자': '최석우', '별점': '5.0', '날짜': '2024.06.24.', '내용': '아니 여기 왜 이런가요? \n\n시술상담해주는 선생님 하나 없고\n레이저 시술등 ㅈㄴ 개비쌈\n어떤 여성한테 설명해주... 더보기', '좋아요': '5'}, {'작성자': '사랑', '별점': '5.0', '날짜': '2024.05.30.', '내용': '원장님과 직원분들이 친절하세요\n그래서 재방문의사 있습니다~~', '좋아요': '1'}]","{'화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '10:00 ~ 18:00', '휴무일': '공휴일'}"
서울척편한통증의학과,,성동구 난계로 32 성산빌딩 4층 401호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA3CC773DFAEB49569565000BADC3CE99,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
연세더좋은플란트치과의원,5.0,성동구 난계로 35 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fdf538cf3319dea74b91258b55c641d079009524f%3Foriginal,"[{'작성자': 'ㅎ', '별점': '5.0', '날짜': '2024.04.17.', '내용': '급하게 치아가 아파서 전화로 문의드렸는데 당일에 치료 받을 수 있어서 좋았어요. 직원분들 모두 친절하시고 설명해주시는거 보니까 과잉진료 없는듯해요. 치료 끝나면 가족들도 데려와보려구요.', '좋아요': '0'}, {'작성자': '깨소금', '별점': '5.0', '날짜': '2024.01.12.', '내용': '오늘 스케일링 받았어요 ~~이은진 간호조무사에게서 치료 받았는데 넘 시원하고 아프지도 않았어요.  남편도 추천해줘야겠어요 ㅋㅋㅋ', '좋아요': '0'}, {'작성자': '신영욱', '별점': '5.0', '날짜': '2021.02.10.', '내용': '어머님 상담 받는데 친절하게 잘 해주셔서 맘 편하시다고 하시네요\n\n번창하세요.', '좋아요': '3'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 21:00', '목': '09:30 ~ 21:00', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '월': '09:30 ~ 18:30'}"
초록이비인후과의원,4.2,성동구 행당로 1 로타리빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F325C51B19BE043B78F505E867993D1CA,"[{'작성자': 'Chris', '별점': '1.0', '날짜': '2024.09.03.', '내용': '나이드신 어머님 가실 때 마다, 이런 저런 검사니 뭐니 하면서 항상 진료비가 만 원이상 나옵니다. 제가 대학병원 이비인후과 가서 검사 받아도 만 원이 안나오는데… 과잉검사 심해요. ➡️초음파 자체가 없다... 더보기', '좋아요': '1'}]","{'화': '09:15 ~ 18:25', '수': '09:15 ~ 12:50', '목': '09:15 ~ 18:25', '금': '09:15 ~ 18:25', '토': '09:10 ~ 13:40', '일': '휴무일', '월': '09:15 ~ 18:25', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일'}"
청포도내과예방의학과의원,,성동구 금호로 158-2 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:30', '휴무일': '공휴일'}"
성모우리이비인후과의원,4.6,성동구 난계로 36 1층,,"[{'작성자': 'j', '별점': '5.0', '날짜': '2024.12.02.', '내용': '원장님의 깔끔한 진료와 친절한 설명 좋습니다. 간호사님들도 굉장히 친절하십니다.', '좋아요': '0'}, {'작성자': '일타', '별점': '3.0', '날짜': '2024.09.18.', '내용': '진료는 잘보시는데 카운터 나이 좀 있는 조무사인지 간호사인지 진짜 불친절. \nㅆㄱㅈ 레전드임 …..', '좋아요': '1'}, {'작성자': '장철영', '별점': '5.0', '날짜': '2022.12.22.', '내용': '코로나 확진되서 집에서 약먹으면서 버티다 4일째도 계속 열나서 약 바꾸려고 다녀왔습니다. 확진자 수액치료도 가능하여 주사 맞고 왔습니다. 요즘 철이라 그런지 연지 얼마 안되서 갔는데도 사람이 많습니다.', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00'}"
미래연세내과의원,2.5,성동구 금호로 94 금호빌오피스텔 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fdfdee65f46174a6c6735cbbda79bb6ea49a8467f%3Foriginal,"[{'작성자': '뚱이', '별점': '2.0', '날짜': '2024.06.18.', '내용': '오늘 휴진하네요.. 평소에 환자를 어떻게 생각하고 봐온건지 잘 알았습니다', '좋아요': '0'}, {'작성자': '우저유', '별점': '5.0', '날짜': '2024.01.08.', '내용': '간호사분들 친절하시고 진료도 빠르게 봐주셔요. \n평일 예약없이 방문했었는데 이것저것 검사했는데도30분만에 진료 끝나고 나왔어요', '좋아요': '0'}, {'작성자': 'IIIllIllI', '별점': '1.0', '날짜': '2023.12.31.', '내용': '주차장에 쓰레기 좀 치우세요.', '좋아요': '0'}]","{'화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 14:00', '월': '08:30 ~ 18:00'}"
금호한의원,5.0,성동구 행당로 6 신세계빌딩 2층 202호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F09D614C259F742E68888D5CB0782AF76,"[{'작성자': '나른나른해', '별점': '5.0', '날짜': '2024.10.26.', '내용': '한의원에 계신 모든 선생님들이 친절하시고 갈때마다 항상 꼼꼼하게 치료해주세요!\n침 치료 받고나면 근육통도 싹 사라지고 부황 주사 맞는데 안 아픈적이... 더보기', '좋아요': '0'}]","{'화': '09:30 ~ 17:30', '수': '09:30 ~ 16:30', '목': '09:30 ~ 19:00', '금': '09:30 ~ 17:30', '토': '09:30 ~ 12:30', '일': '휴무일', '월': '09:30 ~ 17:30', '휴무일': '공휴일'}"
국윤아한마음부부치과의원,4.0,성동구 행당로 1 2층,,"[{'작성자': '촌츨레', '별점': '5.0', '날짜': '2024.01.12.', '내용': '선생님이 친절하시고 환자의 입장에서 진료 방향을 제시해 줍니다..', '좋아요': '1'}, {'작성자': '명고', '별점': '5.0', '날짜': '2022.03.16.', '내용': '과잉진료 없이 최대한 안 아프게 잘 해주세요.\n이해 쉽게 설명까지 해주셔서 감동. 모든 직원분들 다 친절하셔서 또 감동 ㅠㅠ♡', '좋아요': '0'}, {'작성자': '지잡대', '별점': '1.0', '날짜': '2021.01.10.', '내용': '지나가다 이가 많이 아파 갔는데 별로, 하나 정도 줘요', '좋아요': '2'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '월': '09:30 ~ 18:30'}"
금호의원,5.0,성동구 행당로 35 금복빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F06010C290E7941F7A735AD9BD29BD26B,"[{'작성자': 'Kks', '별점': '5.0', '날짜': '2024.04.24.', '내용': '항상 친절하신원장님. 오래다니고싶은 병원입니다. 감사합니다.', '좋아요': '0'}, {'작성자': '고라파덕', '별점': '5.0', '날짜': '2023.03.02.', '내용': '빨리 낫게해주셔서 감사합니다!', '좋아요': '0'}, {'작성자': 'kang.s.j', '별점': '5.0', '날짜': '2022.10.29.', '내용': '의사선생님이 자세히설명해주시고 친절하신데 프론트에 계신 간호사님 최고최고 너무 친절하시고 따뜻한 분이세요 너무너무 감사합니다', '좋아요': '0'}]","{'화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 14:00', '월': '08:00 ~ 18:00'}"
