name,score,address,img_url,reviews,open_hour
왕십리본정형외과의원,4.8,성동구 왕십리로 320 W에비뉴타워 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6996316EF1FE4A368694DEDEC4DC95BC,"[{'작성자': 'soso', '별점': '5.0', '날짜': '2025.03.28.', '내용': '진짜 직원분들 친절하고 물리치료실 분들도 친절한데 왜 별 1..? 안가본건가ㅋ\n물리치료 받을 때 친절히 안내해주시고 수기치료 물침대도 너무 좋아요:) 굳굳', '좋아요': '0'}, {'작성자': '츄츄', '별점': '1.0', '날짜': '2025.03.26.', '내용': '후기 보면 태반이 후기 1이나 2 별점 퍙균 5.0임 ㅋㅋㅋ 조작 ㅉㅉ', '좋아요': '0'}, {'작성자': 'LEE Jung-Eun', '별점': '5.0', '날짜': '2025.03.24.', '내용': '충격파 치료받고 있는데 좋아요. \n원장님, 물리치료사님 모두 친절하셔서 편안한 마음으로 치료받고있어요.', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
연세슬기병원,4.1,성동구 무학로2길 8,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F7957ADAEB10D4CEA88E16461C7DFCDD9,"[{'작성자': '호이', '별점': '1.0', '날짜': '2024.09.13.', '내용': '내원 첫날 엑스레이 찍은 후 허리 디스크 사이 간격이  벌어진게 있다며 이게 원인일 수 있으니 40만원 MRI까지 찍도록 권유함.  사고 당해 생긴 게 아닌 일반 통증은 자연 치유되는 경... 더보기', '좋아요': '3'}, {'작성자': 'honest-review', '별점': '5.0', '날짜': '2023.01.13.', '내용': '진료를 매우 세심하게 봐주시고 원장님께서 환자를 매우 생각하시는게 보입니다. 진작에 알았으면 좋았을텐데 너무 늦게 알아버려서 아쉽네요.', '좋아요': '0'}, {'작성자': 'Lacry', '별점': '5.0', '날짜': '2022.07.20.', '내용': 'good', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
센터맨남성의원,5.0,성동구 고산자로 255 케이타워 8층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE26E9FFDA2714F30A7BC6B34D601AB7E,"[{'작성자': '김용구', '별점': '5.0', '날짜': '2024.06.21.', '내용': '여유증 수술한지 1년 이 약간 넘었네요...작년엔 약간 뻣뻣한 느낌이 있어서 잘 모르고 여름을 지냈는데 요즘은 왜 더 일찍 안했을가 하는김에 젖꼭지도 말씀하셨는데 그것도 할걸 하는 후회도 남고...암튼 수술후 운동... 더보기', '좋아요': '0'}, {'작성자': '카키', '별점': '5.0', '날짜': '2023.09.04.', '내용': '매우 친절하게 설명 잘해주십니딘.\n덕분에 수술 잘 받았고,\n다른분들에게도 방문 추천드려요', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
발머스한의원 성동점,5.0,성동구 왕십리로 354 도선빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FEF6371693BA74DD49E9A6E53696A117A,"[{'작성자': '09승준', '별점': '5.0', '날짜': '2022.05.26.', '내용': '앞머리며 옆머리까지 고속도로 뚫은듯 훤하던 머리가 불과 5개월동안 치료를 받고  약도먹으며 치료한결과 보이시나요?  잔털이 나기시작하고 가늘었던 머리가 굵어지기 시작... 더보기', '좋아요': '1'}, {'작성자': 'D', '별점': '5.0', '날짜': '2019.10.23.', '내용': '명동에 있을때 방문 했는데 아주 친철하고 서비스도 좋았어요', '좋아요': '0'}]","{'화': '11:00 ~ 21:00', '수': '휴무일', '목': '14:00 ~ 21:00', '금': '11:00 ~ 19:30', '토': '10:00 ~ 16:30', '일': '휴무일', '월': '11:00 ~ 19:30', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설전날, 설당일, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
김희중비뇨기과의원,4.7,성동구 왕십리로 320 W에비뉴타워 2층 201호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1AF71190A9654CB6B919FF6CAB0A5E53,"[{'작성자': '나상', '별점': '5.0', '날짜': '2024.08.30.', '내용': '원장님이 정말 친절하시고 젊은남성분들에게 진료내내 공감잘해주시면서 세세하게 상담해주시고, 의학적 설명에다가 약복용법까지 디테일하게 알려주십니다. 근처 딴... 더보기', '좋아요': '0'}, {'작성자': '이재윤', '별점': '5.0', '날짜': '2023.10.11.', '내용': '친절하시고 똑똑하시고, 잘 설명해주십니다.', '좋아요': '0'}, {'작성자': '윤', '별점': '5.0', '날짜': '2023.06.10.', '내용': '카카오맵 평점 보고 왔는데 납득이 가네요~ 연세 있으신 선생님이신데 설명 정말 자세히 해주시고 과잉진료 없으세요 (토요일에 오면 주말 진료 할증 붙으니 금요일에 올 수... 더보기', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '휴무일', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '휴무일': '공휴일'}"
상왕십리경희한의원,5.0,"성동구 왕십리로 360 1,2층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBEBCC459065147EBBED66640F70A04B9,"[{'작성자': '🍑', '별점': '5.0', '날짜': '2025.02.13.', '내용': '무릎 아파서 약침에 전기치료 병행하고 더 아파져서 긴가민가했었습니다. 데스크분들도 너무 친절하시고 여자원장님께서도 전체적으로 척추나 허리까지 꼼꼼히 봐... 더보기', '좋아요': '0'}, {'작성자': '장미희', '별점': '5.0', '날짜': '2024.06.18.', '내용': '선생님들이 무척 친절하시고 침 맞는 동안 아주 편안하게 치료 받을수 있어서 촘 좋았어요', '좋아요': '0'}, {'작성자': 'jh', '별점': '5.0', '날짜': '2024.02.05.', '내용': '다들 너무 친절하세요 특히 데스크쌤~~', '좋아요': '0'}]","{'화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '09:00 ~ 14:00', '월': '09:00 ~ 20:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날'}"
강치과의원,3.4,성동구 고산자로 255 K타워 12층,,"[{'작성자': '.', '별점': '1.0', '날짜': '2024.07.31.', '내용': '별점 하나도 아까움\n전화 받는 데스크 겁나 예의 없어요.\n직원 교육 잘 시키세요.', '좋아요': '0'}, {'작성자': '신춘희', '별점': '5.0', '날짜': '2024.02.13.', '내용': '이웃의 추천으로 간 강치과 원장님 신뢰가 가고요  직원들 모두 친절하고 좋았어요.', '좋아요': '0'}, {'작성자': ""'ㅇ'"", '별점': '5.0', '날짜': '2022.08.23.', '내용': '8,9년째 다니고 있는데 이곳의 가장 큰 장점은 과잉진료가 없다는것. 그리고 치료 잘해주심.', '좋아요': '0'}]","{'화': '10:00 ~ 20:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 15:00', '월': '10:00 ~ 18:30'}"
연세유앤외과의원,4.1,성동구 왕십리로 326 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MjdfMjI4%2FMDAxNzI3NDIyMDg5NTM1.6BW0vTfjRA-HE8sLVYQ1kyMavvN7--Q3oGEvpEh9VZUg.bhLZYw4QJqPkU_mYj5jPj5QkBRqy6nbQhW7Q_w1DEmYg.JPEG%2F20170815_140906.jpg%3Ftype%3Dw773,"[{'작성자': '줄리아77', '별점': '5.0', '날짜': '2025.02.05.', '내용': '국가검진할 때 아프지 않게 살살 해주셨습니다(생리 후 일주일 이내) 물혹 있는 치밀유방이라 힘드셨을텐데 초음파검진으로 꼼꼼히 잘 봐주셨습니다. 아주 친절은 아니나 거부감 들지 않게 신속하고 무난한 진료였습니다', '좋아요': '0'}, {'작성자': '🙋🏻\u200d♀️', '별점': '5.0', '날짜': '2025.01.15.', '내용': '지인이 여기서 검진받고 있다해서 방문했는데 설명도 자세히 잘 해주셨고 검사도 차근차근 잘 진행해 주셨어요\n집에... 더보기', '좋아요': '0'}, {'작성자': '음', '별점': '5.0', '날짜': '2024.04.26.', '내용': '맘모톰수술받았는데 간단한거여도 불안했는데 긴장풀게끔 말씀도 잘해주시고, 수술도 잘해주셔서 흔한 부작용이라는 혈종하나없이 말끔하게 나았습니다!!흉도 전혀안남았구요!... 더보기', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 12:30', '월': '09:30 ~ 18:00'}"
라렌의원,4.8,성동구 왕십리로 326 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F740E2691A4EB48EAA16789BBD5EC3B63,"[{'작성자': '김진', '별점': '5.0', '날짜': '2025.01.15.', '내용': '피부트러블이 자주 일어나서 고민하다가 지인이 추천해줘서 처음 가봤는데 원장님께서 진료 잘 봐주셔서 지금은 트러블이 감쪽같이 사라졌네요 ㅎㅎ 실력도 좋으신 것 같... 더보기', '좋아요': '0'}, {'작성자': '로켓', '별점': '5.0', '날짜': '2025.01.13.', '내용': '원장님 실력 좋으셔서 매번 리프팅 하러 여기로 방문하고 있어요! 받고 나면 피부결도 매끈해지고 주변에서도 예뻐졌다는 말 듣기 시작해서 너무 만족스러워요! 또 편안하게 대해주셔서 불편함 없이 시술 잘 했네요^^', '좋아요': '0'}, {'작성자': '권유리', '별점': '5.0', '날짜': '2025.01.10.', '내용': '지인 추천으로 알게 되었는데 원장님 실력도 좋으시고 무엇보다 세심하시고 신경써서 진료해주셔서 피부 트러블 생길 때마다 방문하고 있네요! 다음에 또 방문하겠습니다~', '좋아요': '0'}]","{'화': '10:00 ~ 21:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '공휴일'}"
위너스비뇨기과의원,3.4,성동구 왕십리로 322 한성아펠타워 2층 203호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjhfMTky%2FMDAxNzMyNzczNTU4MTYw.JDpvu7685H4ZuizvPVqkiN4H1p6Hd_AIkhF3gd6Eufcg.IqHAlDDkLz_zvjqO5qfNgK-8gMBoD2z7x-i8RrKzY3gg.JPEG%2Ftip101t030242_006.jpg%3Ftype%3Dw966,"[{'작성자': '배고파', '별점': '1.0', '날짜': '2024.10.18.', '내용': '의사나 남간호사나 대화예절부터 다시배워야할듯', '좋아요': '0'}, {'작성자': '김태영', '별점': '5.0', '날짜': '2024.09.14.', '내용': '치료방법도 세세하게 알려주시고 상담이 친절했습니다.', '좋아요': '0'}, {'작성자': '권창일', '별점': '1.0', '날짜': '2024.09.06.', '내용': '일단 불친철하고 각종 검사를 너무 자주합니다.\n의사가 아니고 장사꾼 같습니다.', '좋아요': '1'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:30', '월': '09:00 ~ 18:30'}"
