name,score,address,img_url,reviews,open_hour
마장내과의원,3.5,성동구 마장로 289 엠디빌딩 3층,,"[{'작성자': '럽미', '별점': '1.0', '날짜': '2024.12.28.', '내용': '코로나 검사시 코를 깊고 아프게 긴시간 찔러요 여러군데 병원에서 검사해봤지만 이렇게까지 할 필요가 있을까 싶을 정도로 아파요 원장님 이걸로 스트레스 푸시는건 아닌지.. 다신 검사못할듯해요', '좋아요': '0'}, {'작성자': '소미', '별점': '2.0', '날짜': '2023.10.26.', '내용': '주사잘주고 약달라는대로 처방해주지만\n정작 진료는 제대로 못봄\n아파서갔는데 괜찮다고하심;;\n결국... 더보기', '좋아요': '0'}, {'작성자': '룰루랄', '별점': '1.0', '날짜': '2023.03.23.', '내용': '왜 돈주고 진료 받는데 이런 대우 받아야 하는지', '좋아요': '0'}]","{'화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 13:00', '월': '08:00 ~ 18:00'}"
우리가정의원,5.0,성동구 마조로 64,,"[{'작성자': 'hj', '별점': '5.0', '날짜': '2022.09.21.', '내용': '오늘 감기몸살이있어서 출근하자마자 말씀드리고 다녀왔는데 다들 친절하시고 좋았습니다^^', '좋아요': '0'}, {'작성자': '제이', '별점': '5.0', '날짜': '2020.09.23.', '내용': '동네 의원인데 모두 친절하시네요', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2019.11.10.', '내용': '의사선생님 친절하게 진료해주셔서 감사합니다.', '좋아요': '0'}]","{'화': '08:00 ~ 17:20', '수': '08:00 ~ 17:20', '목': '08:00 ~ 17:20', '금': '08:00 ~ 17:20', '토': '08:00 ~ 11:45', '월': '08:00 ~ 17:20'}"
현대서울의원,2.4,성동구 마장로 302 2~4층,,"[{'작성자': '최미', '별점': '5.0', '날짜': '2024.10.27.', '내용': '추천합니다 ~^^~', '좋아요': '0'}, {'작성자': 'Chri', '별점': '1.0', '날짜': '2022.12.19.', '내용': '방문 전 전화로 진료 문의 했는데 데스크 여직원분 태도 진짜 최고 불친절.  그 여직원  태도 아래에도 써있지만 일하기 싫으시면 일 안하시는게 나으실 듯. 방문 전에 통화 한건데 그냥 병원 방문 안하려구요.', '좋아요': '0'}, {'작성자': '지애', '별점': '5.0', '날짜': '2022.02.14.', '내용': '입원중 글 남깁니다 데스크 분 친절 하시고 당일 입원이었는데도 다 받아 주셔서 너무 감사했습니다 \n그리고 간호사님 상시 대기 하고 계셔... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:30', '월': '09:00 ~ 18:30'}"
미담한의원,4.3,성동구 마장로 331 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MjNfMzgg%2FMDAxNjkyNzQ4OTU3Mzcw.FlMehHr-n5NR6LwuSNq5ViC6745B5WsjT2t6KV_XTBYg.3ZW-8BVyibG0X9b7QOG3KRzF3eHPXN6rJafcRwGXXMQg.JPEG.vadaway1%2FKakaoTalk_20230821_165654513.jpg%3Ftype%3Dw773,"[{'작성자': 'jjj', '별점': '5.0', '날짜': '2022.11.09.', '내용': '원장님께서 친절하시구 설명도 잘해주셨습니다 ~\n직원들도 친절하고 자주 올것같아요~', '좋아요': '0'}, {'작성자': '이성윤', '별점': '5.0', '날짜': '2021.11.13.', '내용': '너무 친절하시고 하나하나 챙겨주셔서 한결 기분좋게 치료받고 갑니다 ♡', '좋아요': '0'}, {'작성자': '혜빈', '별점': '5.0', '날짜': '2021.10.04.', '내용': '항상 갈때마다 친절하게 응대해주시고 치료도 꼼꼼하게 해주셔서 좋아요ㅎㅎ\n한명 한명 신경 써주시는 행동이 좋아요', '좋아요': '0'}]","{'화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 14:00', '월': '09:30 ~ 19:00'}"
행복한치과의원,5.0,성동구 고산자로 345 고운타워 3층 302호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F19343B504D23FB3A17,"[{'작성자': 'Trvrdys', '별점': '5.0', '날짜': '2023.09.16.', '내용': '친절하고 과잉진료 안함', '좋아요': '0'}, {'작성자': '치요짱!', '별점': '5.0', '날짜': '2023.08.07.', '내용': '친절하고 과잉진료 없어요\n치석제거할때 통증으로 무섭다고 했더니 덜 아프게 잘 해주셨어요!', '좋아요': '0'}]","{'화': '09:30 ~ 21:00', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
연세새롬의원,5.0,"성동구 마장로 291 대명빌딩 4,5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEwMTdfMjcw%2FMDAxNjk3NTMwNjYxODU2.mRop0m3Xf5-JVQ1-25l7yJJDQM8vpAkUqX8LOmlZwCIg.Vk5c96hMnp_znD75xRsAxO8yGqtdws4GWJe6-ut67Ogg.JPEG.yssr7799%2FSE-b0a24151-60d5-4f8e-b380-583bcad0e4c3.jpg%3Ftype%3Dw773,"[{'작성자': '윤', '별점': '5.0', '날짜': '2025.02.21.', '내용': '친절하고 정확해서 좋음', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '휴무일', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '매주 수요일, 일요일'}"
황소한의원,5.0,성동구 마장로 299,,"[{'작성자': '권석헌', '별점': '5.0', '날짜': '2021.09.23.', '내용': '친절하고 진료 잘봐주시는거 같아요', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '월': '09:30 ~ 18:30'}"
삼성마취통증의학과의원,5.0,성동구 고산자로 345 고운타워 2층 201호,,"[{'작성자': '한방부르쓰', '별점': '5.0', '날짜': '2024.05.13.', '내용': '다리때문에 이병원 저병원  다녀봤지만\n인천에서 직장생활때문에 잘\n다니지 못했... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:30', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
튼튼경희한의원,0.0,성동구 마장로 289 MD빌딩 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
강소아청소년과의원,4.0,성동구 마장로 291 3층,,"[{'작성자': '야잇', '별점': '4.0', '날짜': '2024.08.16.', '내용': '성인 수두 맞으러 왔는데 정말 친절하시네요^^', '좋아요': '0'}, {'작성자': '소미', '별점': '2.0', '날짜': '2023.10.26.', '내용': '9시 오픈인데 9시지나서 선생님 늦는다고;;\n어린이집 보내고 빨리 출근해야하는데\n늦을것같으면 처음부터 늦는다... 더보기', '좋아요': '0'}, {'작성자': '주영', '별점': '5.0', '날짜': '2023.09.04.', '내용': '친절하시고 세심하게 진료해주셔서 아기가 금방 나았어요.', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:00', '월': '09:00 ~ 18:00'}"
