name,score,address,img_url,reviews,open_hour
한양대학교병원,,성동구 왕십리로 222-1,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE7071590F087428CB60B771016BE1533,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '일': '휴무일', '월': '08:30 ~ 17:30', '휴무일': '공휴일'}"
한양대학교병원 류마티스병원,4.0,성동구 왕십리로 222-1 동관 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAzMDhfMjIg%2FMDAxNzA5ODgyNDQ0MTE0.__dRdnLii-1NjiXgOWPTlskahjN_eY3h7jV2Zl0pJwAg.JckEbIkoMHRCmSwXSToP2BLRg0OwJcFWHzRPGS7Mcmgg.JPEG%2FIMG_2666.jpg%3Ftype%3Dw773,"[{'작성자': '한정자', '별점': '3.0', '날짜': '2021.10.01.', '내용': '네 ~감사합니다 \n한양대 류마치스 병원 4일 가는데요 정확한 주소 좀 보내 주십시요 택시나 뻐스로 가려합니다 ! 꼭 부탁합니다!', '좋아요': '1'}]","{'화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '토': '09:00 ~ 12:30', '일': '휴무일', '월': '09:00 ~ 17:00', '휴무일': '매주 일요일'}"
한양대학교병원 권역응급의료센터,2.4,성동구 왕십리로 222-1,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FSvsQN%2FbtsAiDPRTMn%2FAw4vdl3tFDxBwsIgCBKSc0%2Fimg.png,"[{'작성자': '🌫', '별점': '5.0', '날짜': '2024.11.22.', '내용': '예전에 코로나 중증환자였는데 가래가 기도를 막는바람에 숨이 100프로면 90프로가 막혀 숨쉬기가 너무 힘들었음 \n진짜 죽는줄 알고 패닉까지 왔었는데 그 당시에 병원 입원하... 더보기', '좋아요': '1'}, {'작성자': '올포유', '별점': '1.0', '날짜': '2024.10.19.', '내용': '한세월 기다리는 건 응급실 다 그러니 이해하겠음\n근데 사람들이 매우 다 불친절함. 본인 성질 못참고 마음대로 하고 싶으면 개인 병원 차려 제발.. 의료진들이 불친절하니 환자들도 다들 ... 더보기', '좋아요': '2'}, {'작성자': '한강', '별점': '1.0', '날짜': '2024.10.14.', '내용': '싸가지 없는 병원.\n응급상황에 서울 전지역 안된다해서 어쩔수없이 집근처인 여기갔더니 의사인지 누군지 나와서 119한테 왜 말도없이 왔냐고... 더보기', '좋아요': '1'}]",{}
김태화엔도내과의원,2.7,성동구 사근동길 6,,"[{'작성자': 'Polina', '별점': '1.0', '날짜': '2025.03.26.', '내용': '오늘 김태화엔도내과의원을 처음 방문했는데, 너무 불쾌하고 최악의 경험이었습니다. 외국인이라는 이유로 대놓고 인종차별을 당했으며, 정말 충격적이었습니다. 접수 직원은 저에게 매우 무례하게 행동했... 더보기', '좋아요': '0'}, {'작성자': '강준영', '별점': '1.0', '날짜': '2024.12.30.', '내용': '아이랑 같이 갔는데 아이는 진료 안본대요....', '좋아요': '0'}, {'작성자': 'Dominique', '별점': '5.0', '날짜': '2024.09.23.', '내용': '불친절하다는 후기가 많아서 걱정했지만, 사근사근하지 않은 것 뿐이지 그 정도까지는 아니다. 그냥 본인 생각이 강한 것 뿐. 정년퇴임한 할아버지가 굉장히 올드한 처방을 해 준다. 모르거나 이상한 것들도 물어보면 잘 대답해... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
한양대학교병원 국제병원,1.0,성동구 왕십리로 222-1 3층,,"[{'작성자': '초록아빠', '별점': '1.0', '날짜': '2025.03.16.', '내용': '졸 불친절', '좋아요': '0'}]",{}
삼기당한의원,4.7,성동구 마조로 25 3층,,"[{'작성자': '🍀', '별점': '5.0', '날짜': '2025.01.13.', '내용': '한의원 처음 방문해봤는데, 침 놓을때도 한의사님, 간호사님 모두 반응보며 잘 놓아주시고 편안하게 해주셨어요. 걱정과 달리 한약 영업도 안하시고 저렴한 가격에 치료 잘 받고 갑니다!', '좋아요': '0'}, {'작성자': '누구보다빠르게', '별점': '5.0', '날짜': '2020.12.07.', '내용': '원장님 너무 친절하시구 간호사님분들도 짱친절해요 ㅠㅠ \n작지만 교통사고 나서 침맞으러갔는데 근육통도 없어지구 넘 좋았습니다\n한약도 여기거 좋다고하던데 한번 받으러가야겠어요 ㅎㅎ', '좋아요': '0'}, {'작성자': 'Sean', '별점': '4.0', '날짜': '2020.02.12.', '내용': '서비스와 수목영업이 없는 점을 제외하면 침 잘 놓아주시고 어떤 곳처럼 보험 안 되는 약침을 놓지도 않습니다.', '좋아요': '0'}]","{'화': '11:00 ~ 18:00', '금': '11:00 ~ 18:00', '토': '11:00 ~ 18:00', '월': '11:00 ~ 18:00'}"
신한철치과의원,3.3,성동구 마조로 30 3층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F9A3A2FD8C7EB40018B1CB45EC94F3B0D,"[{'작성자': 'jayz', '별점': '1.0', '날짜': '2024.11.15.', '내용': '의사 선생님 친절하다해서 갔는데 말도 없이 의자 넘겨서 놀랬고 진료 1초보고 설명 단한마디도 안해줍니다\n간호사가 말하길 매복 사랑니는 못뽑고 머리 부... 더보기', '좋아요': '0'}, {'작성자': 'God bless you~^^', '별점': '1.0', '날짜': '2023.03.30.', '내용': '절대 가지 마세요. 오래전 충치 치료 받으러 갔다가 이렇게 됐습니다.', '좋아요': '0'}, {'작성자': '최현지', '별점': '5.0', '날짜': '2022.02.28.', '내용': '접수원 분이 바뀌셨는지 친절하셨어요 진상 손님이 한분 계셨는데 처음부터 끝까지 짜증 한번 안내고 지세히 설명해 주시더라고요 충치 만들어서라도 가고 싶은 병원 이었습니다!', '좋아요': '0'}]","{'화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '10:00 ~ 18:00', '휴무일': '공휴일'}"
나음치과의원,5.0,성동구 마조로 25 제일빌딩 3층 301호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6EEA0FEB21BE4270971DF9BCD2F0E487,"[{'작성자': '오미자', '별점': '5.0', '날짜': '2025.03.22.', '내용': '원장님 한 분 간호사님 한 분이서 운영하는 치과입니다. 두 분 모두 친절하고 설명을 잘 해주세요. 과잉진료도 없고 치아랑 치료에 진심이신 듯 하여 믿음이 갑니다. 이사가도 치과는 여기로 올 것 같습니다.', '좋아요': '0'}, {'작성자': '쿠샤쿠', '별점': '5.0', '날짜': '2025.02.04.', '내용': '집이랑 가까워서 갔는데 설명을 엄청 잘해주시고 치료도 꼼꼼히 해주셔서 좋앗어요 치과 좀 미리미리 주기적으로 갈걸 ..🦷😬', '좋아요': '0'}, {'작성자': '쪼록이', '별점': '5.0', '날짜': '2024.12.10.', '내용': '오늘 사랑니 뺐는데 선생님들 넘 친절하시고\n안아프게 잘 뽑아주셨어요 최고에요!!', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '휴무일', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
한양대학교병원 호흡기알레르기내과,0.0,성동구 왕십리로 222-1 서관 4층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
한양대학교병원 흉부외과,0.0,성동구 왕십리로 222-1 서관 4층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
