name,score,address,img_url,reviews,open_hour
수이비인후과의원,,성동구 아차산로 41 안동빌딩 4층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FNnXmc%2FbtszhnIcoPS%2FSst3YQmlvdfD9MkDF1h6E0%2Fimg.png,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 13:00', '일': '10:00 ~ 11:00', '월': '08:30 ~ 18:30'}"
아이리스피부과의원,5.0,성동구 상원길 26 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjZfMjUw%2FMDAxNzMyNjA2MDg4Nzk3.vp_MlI7XnRxdjRir_faLzhfO5OKDTaYSuzseVg1Co0Yg.Rp7Lf2QGDAEWyvK1zRGXDCxhnx0EzUSDxb3JYKNN8gMg.JPEG%2F005.jpg%3Ftype%3Dw966,"[{'작성자': '냥냥펀치', '별점': '5.0', '날짜': '2025.03.19.', '내용': '후기가 좋아서 일부로 찾아갔는데 의사선생님 친절하세요!', '좋아요': '0'}, {'작성자': 'choi', '별점': '5.0', '날짜': '2025.02.18.', '내용': '광고 아니고 진짜.. 의사선생님이 엄청 친절하시고 상담을 잘 해주심 이 근방에는 미용피부과밖에 없는데 여기는 질환치료도 잘해주심 인테리어도 깔끔하고 데스크에 계신 분들도 친절', '좋아요': '0'}, {'작성자': 'Hey:)', '별점': '5.0', '날짜': '2025.01.19.', '내용': '원장님 친절하시면서도 신뢰가 느껴졌습니다.', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '휴무일', '금': '10:00 ~ 19:00', '토': '09:30 ~ 14:30', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '매주 목요일, 일요일'}"
서울척척정형외과의원,,성동구 아차산로 15-8 DS빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAzMjhfMjM2%2FMDAxNzExNjA3ODc4MjQy.4ALnSnj-dSjX3OLRlXvFCM08XECD0_Dx0AfHTRl2LRog.SiUQURAjbNaRLUaMEQRCtivs0nLL5h4ZKmlfllZNRXQg.JPEG%2FKakaoTalk_20240321_122913043.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 13:30', '일': '휴무일', '월': '08:30 ~ 18:30', '휴무일': '공휴일'}"
더밸런스치과의원,,"성동구 뚝섬로 366 1,2층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMjRfMTAy%2FMDAxNzQwMzk3OTUzNDc4.BQkpq_oaoZ-vpCCOF-vmI618HufXFbqKjOdh4ASnw4Mg.A1vmoXmfEOIYtHZlQa0Mpq9yHet21Hdn1BcYmf5Dl5Ig.JPEG%2FSE-5894746b-749d-4301-9567-83fd5dfcd800.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 18:00', '수': '10:00 ~ 20:30', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 15:30', '월': '10:00 ~ 18:00'}"
신사임당한의원,4.6,"성동구 아차산로 41 안동빌딩 3,4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FDEC49C072BCA4E82A62041122DE9C0EB,"[{'작성자': '👨\u200d👩\u200d👦\u200d👦  💕', '별점': '5.0', '날짜': '2025.03.18.', '내용': '갑자기 생긴 허리통증으로 한의원을 찾다가 친한 지인의 소개로 방문하게 되었습니다.\n혈압도재... 더보기', '좋아요': '0'}, {'작성자': 'vvin32564', '별점': '5.0', '날짜': '2025.03.17.', '내용': '근처라 처음 내원해봤는데 만족하고 갑니다 !\n치료도 꼼꼼히 잘해주... 더보기', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2025.02.13.', '내용': '치료는 괜찮게 잘하시는거 같은데 주차 된다고 해놓고 안됩니다.\n많이 애먹었네요.\n경비아저씨 워낙 불친절해서 주차하려고 하면 소리... 더보기', '좋아요': '0'}]","{'화': '09:30 ~ 20:00', '수': '09:30 ~ 20:00', '목': '09:30 ~ 20:00', '금': '09:30 ~ 20:00', '토': '09:30 ~ 15:00', '일': '09:30 ~ 15:00', '월': '09:30 ~ 20:00'}"
두리이비인후과의원,,성동구 아차산로 42 정명빌딩 6층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 19:30', '휴무일': '매주 일요일'}"
연세정형외과의원,2.7,성동구 성수일로 39 경동빌딩 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MTJfMTE2%2FMDAxNzEyOTAxMjcxNDM1.XKQed4QG3KicGhLqetJA3WHNmPMHR-WLN9seRlpdF-Ug.8fEd0-x66HCCafaBS9NLnGgRGW_IHGyTISmThckJDQog.JPEG%2FIMG_1790.jpg%3Ftype%3Dw966,"[{'작성자': '도둘', '별점': '1.0', '날짜': '2025.03.21.', '내용': '별로다 모든게', '좋아요': '0'}, {'작성자': 'ㅁㄴ', '별점': '1.0', '날짜': '2025.01.02.', '내용': '정말 역대급 과잉진료 끝판왕...\n제 인생 처음으로 후기란걸 남깁니다.\n엑스레이 찍고 다친 부위가 너무 작으니 갑자기 쌩뚱맞은 곳에 ... 더보기', '좋아요': '0'}, {'작성자': '나쵸', '별점': '1.0', '날짜': '2024.02.20.', '내용': '엥 과잉진료를 안한다니??? 과잉진료 끝판왕입니다. 웃긴건 과잉진료 하고도 안 나음. 아저씨 접수원 불친절함은 덤. 좀만 걸어가면 재활의학과, 통증의학과 있으니 차라리 그쪽으로 가세요.', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
루미산부인과의원,4.9,성동구 상원길 26 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MTZfMTA3%2FMDAxNjkyMTc2OTEwNjc1.W2BsQNVrSNtZnnvpoLEp7rCf3HOYADynKiqSzR5gjBYg.h6JT--MXk1337zA6B6Mg-ooZfKY0bnyMGp1mpBVUXc0g.JPEG.lumiobgy%2F1.jpg%3Ftype%3Dw966,"[{'작성자': '뇸뇸', '별점': '5.0', '날짜': '2025.01.07.', '내용': '너무 친절하시구 하나하나 상세하게 설명해주세요\n부정출혈때문에 겁났었는데 감사합니다!', '좋아요': '0'}, {'작성자': '웨잍', '별점': '5.0', '날짜': '2024.10.12.', '내용': '꼼꼼히 잘 봐주십니다\n갔던 산부인과 중 제일 좋았어요', '좋아요': '0'}, {'작성자': '뮨', '별점': '5.0', '날짜': '2024.02.16.', '내용': '원장님이 친절하시고 네이버 예약으로 예약할 수 있어서 좋아요', '좋아요': '0'}]","{'화': '10:00 ~ 20:00', '수': '10:00 ~ 14:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '월': '10:00 ~ 20:00'}"
서울숲삼성안과의원,3.2,성동구 아차산로 41 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fdf33535a6e654912b2c67086dda0b3998ab43c08%3Foriginal,"[{'작성자': '킬리만자로의하이에나', '별점': '5.0', '날짜': '2025.03.18.', '내용': '정확한 상담 치료해주심', '좋아요': '0'}, {'작성자': 'ㅇㅇㅇ', '별점': '5.0', '날짜': '2024.08.24.', '내용': '눈에 갈색점 제거하러 갔는데 원장님 친절하시고 잘해주셨어용', '좋아요': '0'}, {'작성자': '원', '별점': '5.0', '날짜': '2024.02.21.', '내용': '과잉진료 없고 친절한병원', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
성동경희한의원,4.6,성동구 왕십리로 94 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F74AA758800E840EBA4B08E4944E02CDB,"[{'작성자': '신♥신맘', '별점': '5.0', '날짜': '2025.03.07.', '내용': '이사와서도 계속 다니는 곳이에요. \n정확하게 진단도 해주시고 과한 진료도 안 권하시고 깔끔합니다... 더보기', '좋아요': '1'}, {'작성자': '나는나', '별점': '1.0', '날짜': '2025.01.31.', '내용': '칭찬이 많아서 갔으나 좋은경험은 아니었다. 체질이나 몸상태 맥 짚는거 필요해서 누워서 웃옷 가슴아래까지 걷어올려야 했는데 한의학 특성이라 감수하고서라도 갑자기 두손으로 가슴바로아래 갈비뼈 몸통을 손... 더보기', '좋아요': '0'}, {'작성자': '이소라 (용준 용민)', '별점': '5.0', '날짜': '2025.01.25.', '내용': '겨울철 달리기를 즐겨하다보니\n무릎이 불편해서 진료받았어요.\n원장님 ,직원분들... 더보기', '좋아요': '0'}]","{'화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 20:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 20:00', '휴무일': '공휴일'}"
