name,score,address,img_url,reviews,open_hour
제인병원,2.8,성동구 광나루로 243,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0EB649D5194D4E6BBAE8B48973244330,"[{'작성자': '신동원', '별점': '5.0', '날짜': '2025.02.27.', '내용': '치과진료 받고왔습니다.\n원래 다른치과를 다니다가 왔는데,\n진료가 정확하고 무엇보다 크라운을 씌... 더보기', '좋아요': '0'}, {'작성자': '동동', '별점': '5.0', '날짜': '2024.12.20.', '내용': '직원 분들이 친절하고 재활 치료하기에 매우 좋은 곳 같습니다.', '좋아요': '0'}, {'작성자': 'Jimquian', '별점': '1.0', '날짜': '2024.12.03.', '내용': '원무과 갈때마다 불친절함 응대잘안해줌 사람도별로없는데\n치과 과잉진료', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
서울정형외과의원,4.2,성동구 광나루로 329,,"[{'작성자': ',', '별점': '5.0', '날짜': '2024.10.15.', '내용': '발목 통증 때문에 좋아하는 운동을 3주 이상 중단했는데 주사 치료 받고 통증이 사라졌습니다!', '좋아요': '0'}, {'작성자': '권영운', '별점': '4.0', '날짜': '2024.04.08.', '내용': '주사약이 뭔지 모르지만 협착증때문에 큰 체익병원에서 엠알아이찌고 초음파로보면서 주사맞었는데도 화장실도 못갔는데 이곳에서 맞고 담날부터 일과에 지장없이 다녔음  아뭏튼 소개로 갔지만 엑스레이만찍고 주사놔줌', '좋아요': '0'}, {'작성자': '배고픈 너구리', '별점': '5.0', '날짜': '2022.03.28.', '내용': '처음에는 환자분들이 70대 80대분들이 많아서 괜찮나..?  싶었어요! 시설이 많이 오래되어 보이긴 했지만 원장님이 나이가 있으신만큼 경력이 있으실거라 믿고 대기하고있었는데 확실히..경력이 짱인듯 ... 더보기', '좋아요': '1'}]","{'화': '08:30 ~ 15:00', '수': '09:00 ~ 11:00', '목': '08:30 ~ 15:00', '금': '08:30 ~ 15:00', '토': '휴무일', '일': '휴무일', '월': '08:30 ~ 15:00', '휴무일': '공휴일'}"
라치과의원,5.0,성동구 송정18가길 12 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FBEAE06F377FB4F3B8E945FF880C14014,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 14:00', '월': '10:00 ~ 18:30'}"
연세성동가정의학과의원,3.2,성동구 광나루로 323 송정빌딩 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb7b6903edff97693b0b6e7a9a916c0f52efe9c5b%3Foriginal,"[{'작성자': 'k', '별점': '5.0', '날짜': '2025.01.07.', '내용': '안바쁠때 가면 편하고 좋아요', '좋아요': '0'}, {'작성자': '내유년의윗목', '별점': '1.0', '날짜': '2024.12.30.', '내용': '비급여 고비용 독감검사시 동의여부 질문을 하지 않고 바로 검사 착수함. 진료비 결제할 때 황당함.', '좋아요': '0'}, {'작성자': 'bbb', '별점': '1.0', '날짜': '2024.04.29.', '내용': '간호사분은 친절하신데 의사분이 불친절하세요. 친절을 배우셔야할듯요', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '휴무일', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '매주 수요일, 일요일'}"
송정훼밀리의원,5.0,성동구 광나루로11길 26-1,,"[{'작성자': '봄이기여움', '별점': '5.0', '날짜': '2023.09.04.', '내용': '오늘 코로나 검사 하러갔는데 친절하게 응대해주신 간호사님,원장님 감사합니다!!', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
치과라,0.0,성동구 송정18가길 12,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
해인부부한의원,4.7,광진구 군자로 108 군자빌딩 302호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA1MjhfMTY4%2FMDAxNzE2ODk3ODA5MTU5.jCrLs9-tNJ5tCL0pwLW4YvPUlB_AAPgmRofkapfvnKUg.LySMFlfsi8Hs5q3ri4jFhSmac-hIwJNUFj7wN4TzMxQg.JPEG%2FKakaoTalk_20240528_210221919.jpg%3Ftype%3Dw966,"[{'작성자': '슬기', '별점': '4.0', '날짜': '2023.03.08.', '내용': '원장님은 정말 친절하십니다. 조근조근 어떤 부위가 문제고 어떤 치료(침, 부황 등)을 할건지 잘 설명해주세요.\n침도 잘... 더보기', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2022.09.09.', '내용': '원장님께서 엄청 친절하고 꼼꼼하게 치료 잘 해주십니다 병원 갈 때마다 힐링하는 기분…', '좋아요': '0'}, {'작성자': '메리다', '별점': '5.0', '날짜': '2021.09.08.', '내용': ""한의사 선생님이 아주 친절하고 순하심. 지난 10년간 발목, 어깨, 손 등등 문제 있을 때마다 드문드문 다니고 있고, 아주 만족. 결절종 생겼을 때, 손 전문 병원에서는 '수술해야하고 1... 더보기"", '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
한성욱내과의원,0.0,광진구 군자로 85,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 16:00', '월': '09:30 ~ 18:30'}"
사명마취통증의학과의원,0.0,광진구 군자로 92 현자빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC44E79A5339C489EBE49AA971C40C019,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:00 ~ 14:00', '수': '08:00 ~ 14:00', '목': '08:00 ~ 14:00', '금': '08:00 ~ 14:00', '토': '08:00 ~ 13:00', '월': '08:00 ~ 14:00'}"
광진베스트치과의원,5.0,광진구 군자로 85-1 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fa19c96f8e19d299725b6b199e8bf8915b028f312%3Foriginal,"[{'작성자': '쉿', '별점': '5.0', '날짜': '2023.11.16.', '내용': '원장님친절하시고 진료도 잘 보시는것 같아요~\n간호사 분들도 너무 친절하심!', '좋아요': '0'}, {'작성자': 'Boo', '별점': '5.0', '날짜': '2022.05.28.', '내용': '원장님이 친절하시고\xa0양심 진료해 주셔서\xa0너무 좋습니다. 앞으로\xa0치과 갈 일\xa0있으면 또 진료받으러 가야겠네요.', '좋아요': '0'}, {'작성자': 'MANNY', '별점': '5.0', '날짜': '2018.04.30.', '내용': '원장님 친절하시고 정확한진료에 환자 우선으로 진료봐주시는게 좋았습니다 지인들한테도 추천함!', '좋아요': '1'}]","{'화': '09:30 ~ 20:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:30'}"
