name,score,address,img_url,reviews,open_hour
김정서더힐정형외과의원,4.5,성동구 독서당로 202 달07애비뉴 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyNDExMTJfMTUw%2FMDAxNzMxMzY0MzQzMDA3.QD96fyuuloazossI3rsGSbCMzLdiu-ykyIyvimuxQ8Eg.TyWT3LqKNEVp6sw97Yn2StaAtPS86E1Xd5mtSq2GQVEg.JPEG%2Fposting_image.jpg%3Ftype%3Dw1,"[{'작성자': '조아란', '별점': '5.0', '날짜': '2024.11.03.', '내용': '진료잘봐주고 친절해요', '좋아요': '1'}, {'작성자': '슈이', '별점': '5.0', '날짜': '2024.11.03.', '내용': '골프치다 어깨 다쳐서 방문했는데 필요한 검사만 하시고 친절하게 잘 설명주셔서 편안하게 진료 받았어요 일상생활에 지장 없게 한결 좋아졌네요', '좋아요': '0'}, {'작성자': '꽃같은인생', '별점': '5.0', '날짜': '2024.11.03.', '내용': '친절하고 꼼꼼한 진료 감사합니다~ 덕분에 많이 나아졌어요 ㅎㅎ', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
포레피부과의원,,성동구 한림말길 56 강변벽산빌라트 2층 204호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAxMTZfMTAx%2FMDAxNjczODMzNTM0MjM3.Do9cTfcrFwRdVJ8IXMBysd93_5ojQq8LfK2flvfnrIkg.rVVFfT5rqVfSnXnMsiVIGEw7IOXyzzI_GPe8L8PmGekg.PNG.foretskin%2F%25EC%2598%25A5%25EC%2588%2598%25EB%258F%2599%25ED%2594%25BC%25EB%25B6%2580%25EA%25B3%25BC.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '휴무일', '목': '10:00 ~ 19:00', '금': '10:00 ~ 21:00', '토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 21:00', '휴무일': '설전날, 설당일, 설다음날'}"
하나이비인후과의원,3.2,성동구 독서당로 223 래미안 옥수 리버젠 3층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F2674F5B32AC94F9BA5FBFD8A76E24109,"[{'작성자': '장은화', '별점': '5.0', '날짜': '2024.09.28.', '내용': '음. 후기가 의외인데..요즘 코 소독,셕선 제대로 해주는 이빈후과 없어요. 여긴 원장쌤 진료 진짜 집착 수준으로 열심히 보시고 친절하십니다. 다른곳에서 레이져 치료 엄청 권유했는데... 더보기', '좋아요': '3'}, {'작성자': 'JNL', '별점': '4.0', '날짜': '2023.12.06.', '내용': '항상 사람많고 대기가 너무 긴 것 때문에 별하나 뺐지만 실력으로만 점수매긴다면 별5개에요! 대표원장님 진료 최선을다해 꼼꼼하게 잘봐주시고 과잉진료 없고 실력 좋으신 것 같아요. 살면서 ... 더보기', '좋아요': '1'}, {'작성자': 'jj', '별점': '1.0', '날짜': '2023.11.10.', '내용': '비추합니다.', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
본정형외과 옥수점,4.6,성동구 독서당로 223 래미안옥수리버젠 상가 2층 209-211호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MThfMTYx%2FMDAxNjkyMzQ2NjY5MzAz.TYW73-r4Iu6aAaJJ3MFh1OJVUDfh3WoxU6z4B9WVCU0g.lNIzn0NmCs5UR0yVeXH7pngDCTbIyLASBxDH8kNcSKQg.JPEG.hanilmedipia%2FKakaoTalk_20230804_114200231_01.jpg%3Ftype%3Dw966,"[{'작성자': '끼리', '별점': '5.0', '날짜': '2024.10.17.', '내용': '원장님이 정말 전문적으로 잘봐주시고 아픈곳 다 체크해서 이유와 치료법 자세히 설명하고 치료해주셔서 기억자로 허리 구부리고 들어가서 1자로 걸으며 나왔어요♡ 왜 아프면서도... 더보기', '좋아요': '0'}, {'작성자': '맛도리', '별점': '5.0', '날짜': '2022.12.28.', '내용': '의사 선생님께서 설명을 잘 해주셔서 좋았고 시설도 깨끗했어요! 후기대로 초음파 찍어주시는 간호사 선생님이 좀 시니컬 하셔서 불친절한 느낌이 있지만 물리치료도 잘 받았고 좋았습니다.', '좋아요': '0'}, {'작성자': 'JJ', '별점': '3.0', '날짜': '2021.09.15.', '내용': '의사선생님과 간호사 선생님은 친절하고 설명도 열심히 해주시는데 방사선 기사님은 불친절하기 그지 없네요. 방사선 기사님이 갑인듯.', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00'}"
스페이스피부과의원,,"성동구 독서당로 202 달공칠에비뉴 2층 203,204호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDJfMTMx%2FMDAxNzM1ODA5NTA0MDYz.g9z9Dtn_5QLbyLBlrZVEQ5z36iMEPHM4UTTNEITtguYg.h3PLll3TVKsb4AIPJymiQqCjj2S25C5HvKDlSdCBaRog.JPEG%2F(dot_kim)_avec_%25EC%258A%25A4%25ED%258E%2598%25EC%259D%25B4%25EC%258A%25A4%25ED%2594%25BC%25EB%25B6%2580%25EA%25B3%25BC_(original)_-141_008.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 20:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '공휴일'}"
어울림이비인후과의원,5.0,성동구 독서당로40길 37 옥수 어울림 근린생활시설동 1층 213호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F3de6f09be288bd5f23d146a1f231f6edfd1d9833%3Foriginal,"[{'작성자': 'Young', '별점': '5.0', '날짜': '2024.06.04.', '내용': '목이 자주 아파 옥수동에 있는 이비인후과 다 가봤는데 여기가 최고입니다!!\n다른곳에서 못 잡은 통증을 한번에 찾아 주시고 친절하게 설명해 주십니다.', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.05.23.', '내용': '원장님 친절하시고 전문성있게 잘 봐주십니다.', '좋아요': '0'}, {'작성자': '꼬끼오', '별점': '5.0', '날짜': '2024.03.14.', '내용': '깨끗하고 아침에 갔더니 바로 진료 볼 수 있어서 편리했어요!\n\n턱 밑에 침샘이 걱정되어서 갔는데, 원장선생... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
이종문신경과의원,4.5,성동구 독서당로 223 래미안 옥수리버젠상가 3층 310호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F247C734F51F33D0609,"[{'작성자': 'astro', '별점': '5.0', '날짜': '2023.11.21.', '내용': '눈밑떨림이있어 방문했었는데\n접수직원분, 검사해주시는 선생님,\n진료해주신 원장님까지 다들 너무 친절하셔서 좋았어요.\n... 더보기', '좋아요': '0'}, {'작성자': '범', '별점': '5.0', '날짜': '2023.11.01.', '내용': '제가 방문하고 만나뵙고 싶었던 선생님이 바로 이런분이지 않을까 싶네요', '좋아요': '0'}, {'작성자': '김석호', '별점': '5.0', '날짜': '2023.05.22.', '내용': '망설이다가오늘 방문했는데, 의사선생님의 체계적인 진단과 친절한 설명도 좋았고, 간호사분들이 모두 친절하여 편안한 기분으로 진료를 잘 마치고 기분이 아주 좋았습... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '휴무일', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
소통한의원,4.7,"성동구 매봉길 50 옥수파크힐스 상가126동 2층 205,206호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCDAB85D5C38E418D961DE630A81390AC,"[{'작성자': 'ABC Cage', '별점': '5.0', '날짜': '2024.02.23.', '내용': '동네 사람들에게 적극 추천하는곳~\n가족들 다 좋아합니다~', '좋아요': '0'}, {'작성자': '호잇', '별점': '5.0', '날짜': '2023.09.15.', '내용': '대표원장님 정말 좋으십니다 \n효과는 바로 오지는 않아요 몸이 직접 치료할 수 있도록 도와주신다고 하더라구요', '좋아요': '0'}, {'작성자': '❤⃛(*ૂ❛ัᴗ❛ั*ૂ)', '별점': '5.0', '날짜': '2023.03.28.', '내용': '명의라고 생각합니다.\n몸도 마음도 낫게 되고 무엇보다 몸에 무리가 안가게 치료해주시고 진료를 보십니다.', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 19:00', '일': '09:00 ~ 15:00', '월': '09:00 ~ 19:00'}"
로뎀나무의원,4.0,성동구 독서당로 220 4층,,"[{'작성자': '이현진', '별점': '5.0', '날짜': '2022.03.30.', '내용': '인포 친절하시고 원장님 친절하세요 발진도 나았어요', '좋아요': '1'}, {'작성자': '.', '별점': '5.0', '날짜': '2020.10.16.', '내용': '매우 좋으시고 친절하세요.', '좋아요': '1'}, {'작성자': 'kj', '별점': '1.0', '날짜': '2018.02.21.', '내용': '위에 올려놓은 평가는 지인들 시켜서 한 것 같네요. 돈 안되는 시술은 바로 냉정하게 안한다고 하는 곳이네요. \n밥맛떨어져 못 갈 거 같습니다.', '좋아요': '6'}]","{'화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 14:30', '월': '10:00 ~ 18:30'}"
트리에피부과의원,,"성동구 매봉길 48 힐스타운 2층 201, 202호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F81BB3E540AF84E2D9A6EDC9A0605A6E1,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '휴무일', '목': '10:00 ~ 20:00', '금': '10:00 ~ 19:00', '토': '09:30 ~ 15:30', '일': '휴무일', '월': '10:00 ~ 20:00', '휴무일': '매주 수요일, 일요일'}"
