name,score,address,img_url,reviews,open_hour
굿모닝요양병원,5.0,성동구 천호대로 436 부원빌딩 2~7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FbSVy6V%2Fbtrz0DpnGLr%2FqFvPzfYLyeTF2QgY87Gss1%2Fimg.jpg,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
시온재활요양병원,4.0,"성동구 자동차시장1길 85 JS빌딩 지하1층, 지상3~5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMjNfMjEz%2FMDAxNzI5NjQ4NzcwNTc1.vHjWfaYk3Xo42FcCkJaUgMBxaWU9nt_y0a_58GCgPpYg.xAQhT_6fqIx56JkcbSncRw2jh4zkE6YndGb1AsML7Ewg.JPEG%2FKakaoTalk_20241023_105759660_04.jpg%3Ftype%3Dw466,"[{'작성자': '퐁당', '별점': '3.0', '날짜': '2023.12.02.', '내용': '다 좋고 친절한데 와이파이만 개느림', '좋아요': '1'}, {'작성자': '김용철', '별점': '5.0', '날짜': '2021.04.20.', '내용': '친절한 설명 감사 합니다', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:30', '월': '09:00 ~ 18:00'}"
보아스이비인후과의원,4.3,성동구 천호대로 308 인암빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F03C94A895F214AE98B0CCDDBF0B97061,"[{'작성자': '마곡인', '별점': '2.0', '날짜': '2024.12.24.', '내용': '대기시간이 많이 긴 편이에요 꼭 전화하고 가시길', '좋아요': '0'}, {'작성자': '홍', '별점': '1.0', '날짜': '2024.12.23.', '내용': '비급여 약으로만 처방하더라구요?\n다신 안 가려고요.', '좋아요': '0'}, {'작성자': '무인불승', '별점': '5.0', '날짜': '2024.11.02.', '내용': '오후  두시 첫 방문&솔직한 후기.\n알레르기 비염이 심해서  찾아갔는데 대기시간 십여분정도에  친절하고\n병으로 인해 지친 일상... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '08:30 ~ 13:00', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
에이스남성의원,3.4,성동구 천호대로 288 2층 201호,,"[{'작성자': '누리고~', '별점': '5.0', '날짜': '2023.10.02.', '내용': '매우친절하고 설명도 상세히 잘해주시던데요^^  금액도 저렴하고 수술하고 많이 아프지고않고 붓기도 훨씬 적었습니다.', '좋아요': '0'}, {'작성자': '제임스진', '별점': '5.0', '날짜': '2022.08.31.', '내용': '시술후 후기남겨봅니다.다른분들이 다들 불친절하다그러길래 긴장타고 갔더니 그런거 못느꼈어요.반말이라던가.불친절에 대해 잘 느끼질못하였어요.저도 반말이란거 굉장히 민감한편인데 말입니... 더보기', '좋아요': '0'}, {'작성자': 'GM', '별점': '1.0', '날짜': '2020.12.15.', '내용': '싼데는 이유가 있는 법이죠 나이가 많아서 모욕적이고 불친절합니다 사무장의원 분위기도 나구요.', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
최흥열피부과의원,3.4,성동구 천호대로 308,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA2MDVfMjc4%2FMDAxNzE3NTY4NjY5NjMx.IwWUc0cy-EbURXpDD69H1dEpMPTxoyTlXqOco6tWX-wg.PRgMr1m3ih1uNoab7SFCWT7qo-XhwiBBFNp59wtOcXUg.JPEG%2FScreenshot_2024-06-05_at_15.24.25.JPG%3Ftype%3Dw773,"[{'작성자': '정기성', '별점': '1.0', '날짜': '2023.05.31.', '내용': '데스크 불친절함 진료도 시간에 쫒기는것처럼 말 다 끊고 빨리 끝내려함 불쾌함 가득', '좋아요': '0'}, {'작성자': '?', '별점': '4.0', '날짜': '2022.07.23.', '내용': '기록을 수기로 하는 곳이지만,  나쁘지는 않은곳임. 의사는 잘 대답해 주던뎅.....', '좋아요': '0'}, {'작성자': '*', '별점': '4.0', '날짜': '2022.01.13.', '내용': '후기가 나빠 걱정했는데 간호사나 원장님 모두 생각보다 친절하시고 과잉진료없이 꼭 필요한 치료만 해주셔서 만족합니다', '좋아요': '1'}]","{'화': '10:00 ~ 17:00', '수': '휴무일', '목': '10:00 ~ 17:00', '금': '10:00 ~ 17:00', '토': '10:00 ~ 12:00', '일': '휴무일', '월': '10:00 ~ 17:00', '휴무일': '공휴일'}"
JS항외과내과,3.3,성동구 자동차시장1길 85 JS빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd74e04ca7e6c0b86b9c7058a518dbd2bea938de91f8e60a678ef8ec575619152,"[{'작성자': '계란', '별점': '5.0', '날짜': '2023.04.05.', '내용': '실내도 넓고 깨끗해요 항문진료 받았는데 원장님도 친절하고 직원분들도 너무 친절하게 안내해주시네요^^\n건강검진도 하러 올께요~', '좋아요': '0'}, {'작성자': '푸짜렐라', '별점': '5.0', '날짜': '2023.04.05.', '내용': '병원이 깔끔하고 넓어서 좋네요\n원장님 시원시원하게 진료 잘 하시고 다들 너무 친절하세요~', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2022.07.20.', '내용': '장이 안좋아서 갔더니 의사양반이\n네이버에 잘 나와있다고 검색해보라네여\n이게 말... 더보기', '좋아요': '2'}]","{'화': '09:00 ~ 20:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
경희나래한의원,5.0,성동구 천호대로 312 태광빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjNfMjY2%2FMDAxNzM0OTM4OTk4NDk5.JI6Vh8ri_-BrgAW80rijMvTEU6iTYHJtuPiFwtTwNqAg.eXgGSD2LpUVFfV2c5B6L8Xswa8LTzYNWlxJmjQwNxhQg.JPEG%2F20241223-092557-005_005.jpg%3Ftype%3Dw466,"[{'작성자': '행복사냥꾼(박보미.유석 나래 맘♡)', '별점': '5.0', '날짜': '2020.10.24.', '내용': '다이어트 한약 잘 먹고 있어요.', '좋아요': '0'}, {'작성자': '사연있는소녀', '별점': '5.0', '날짜': '2020.02.22.', '내용': '원장님께서 어디가 아픈지 잘잡으시고 치료도 잘하셔요', '좋아요': '0'}]","{'화': '09:30 ~ 20:30', '수': '휴무일', '목': '09:30 ~ 20:30', '금': '09:30 ~ 20:30', '토': '09:30 ~ 16:00', '일': '휴무일', '월': '09:30 ~ 20:30', '휴무일': '공휴일'}"
바른정한의원,5.0,성동구 천호대로 308 3층 302호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F343A845E4996411FB59FF6355C73CF47,"[{'작성자': '바른생활', '별점': '5.0', '날짜': '2021.10.05.', '내용': '어머니께서 치료 받고 허리 많이 좋아지셨다고 하셔서 저도 갔다 왔는데 원장님이 아주 꼼꼼하면서도 부드럽게 차분히 진료를 잘 해주심. 진료 느낌이 다른데랑은 다르게 담백하고 정... 더보기', '좋아요': '0'}, {'작성자': '정남선생', '별점': '5.0', '날짜': '2021.08.16.', '내용': '원장이 무뚝뚝하지만, 과잉 진료 없고 진료 잘 받았습니다. 어깨랑 목 진료 받았는데, 훨씬 좋아진듯 합니다', '좋아요': '0'}, {'작성자': '긴급속보', '별점': '5.0', '날짜': '2020.11.25.', '내용': '시설 깔끔하고 조용함\n원장님 젊으시고 친절하심\n무릎~허벅지 통증 약침맞고 많이 좋아짐!', '좋아요': '0'}]","{'화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:30', '휴무일': '공휴일'}"
경희한의원,5.0,성동구 용답19길 18-1 2층,,"[{'작성자': '지영식', '별점': '5.0', '날짜': '2023.06.30.', '내용': '친절한윈장님', '좋아요': '0'}, {'작성자': '조영이', '별점': '5.0', '날짜': '2020.06.22.', '내용': '저는 1973년 부터 봉제 샘플사로서 수십년의 긴장속의 하루 12~15시간의 작업의 연속으로 심한변비로 인해 119에 두번이나 실려 다닐 정도 였습니다\n내 인생의 숙제가 변비를 해결하... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 17:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 17:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:00', '휴무일': '매주 일요일'}"
유창길한의원,3.0,성동구 천호대로 400 신창비바패밀리 204-205호,,"[{'작성자': '오월', '별점': '5.0', '날짜': '2023.12.08.', '내용': '인생 한의원입니다. 허리 때문에 고생하다가 주위 소문 듣고 다니는데 1년에 두 세번 갑니다. 피곤하고 무리하면 허리부터 아프기 시작하는데  2~3번 침 맞으면 발걸음이 가벼워집니다.  허리 아프신분들 두통 있으신 분들 추천합니다.', '좋아요': '0'}, {'작성자': 'ㅡ', '별점': '1.0', '날짜': '2021.06.28.', '내용': '오래전에 다녔는데 차도가 없고 오히려 나빠짐\n..돈만 많이쓰고 환자에 대한 애정도 열정도 없고 별로', '좋아요': '1'}, {'작성자': '제이', '별점': '1.0', '날짜': '2021.04.16.', '내용': '오늘 허리가 갑자기 너무너무너무 아파서 기어가다싶이 갔는데 진료를 안받으시더라구요... 5:45분즈음이었습니다. 너무 아파서 그런데 봐주시면 안되냐고 굳이 한번 더 부탁... 더보기', '좋아요': '1'}]","{'화': '09:30 ~ 13:00', '수': '09:30 ~ 17:00', '토': '09:30 ~ 13:00', '월': '09:30 ~ 17:00'}"
