name,score,address,img_url,reviews,open_hour
무척시원정형외과의원,3.7,성동구 독서당로 434 대림종합상가 2층 212호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE43BB6DB350C44CBA5057CE4DA56C2DC,"[{'작성자': '맛집러', '별점': '5.0', '날짜': '2023.09.01.', '내용': '오래 다니고 있는데 원장님도 도수치료 선생님도 간호사 선생님들도 친절하시고 뭐 질문하면 잘 알려주세요 ㅎㅎ', '좋아요': '0'}, {'작성자': '최정욱', '별점': '5.0', '날짜': '2022.05.07.', '내용': '친절하게 설명잘해주심니다~~', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '휴무일': '공휴일'}"
손한의원,0.0,성동구 독서당로 384 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
고운미소치과의원,1.0,"성동구 독서당로 434 대림종합상가 3층 301,306,307호",,"[{'작성자': 'hoon', '별점': '1.0', '날짜': '2025.03.17.', '내용': '예약하고갔는데 두시간 기다림. 갈때마다 최소 한시간이상. 아예 시간관념이 없더라', '좋아요': '2'}]","{'화': '09:30 ~ 17:00', '수': '09:30 ~ 18:00', '목': '14:00 ~ 17:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:00'}"
노을벗한의원,5.0,성동구 고산자로 132 2층,,"[{'작성자': 'nam', '별점': '5.0', '날짜': '2022.04.27.', '내용': '원래 한의원 안 가는데 아는분 소개로 갔어요 친절하시고 박사출신이라 확실히 실력 좋으십니다 안은 좀 허름하고 작은편', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00'}"
경희이지형한의원,0.0,성동구 독서당로 434 대림종합상가 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '휴무일', '목': '09:30 ~ 18:00', '금': '09:30 ~ 17:00', '토': '휴무일', '일': '09:30 ~ 16:00', '월': '09:30 ~ 18:00', '휴무일': '매주 수요일, 토요일'}"
서울가정의학과의원,4.0,성동구 독서당로 384,,"[{'작성자': '박민창', '별점': '5.0', '날짜': '2023.08.23.', '내용': '친절하시고 잘 설명해 주시네요', '좋아요': '0'}, {'작성자': '석영', '별점': '5.0', '날짜': '2023.07.31.', '내용': '발에 못이 찔려 파상풍주사 맞으러 한참을 헤맸는데.. 병원에 약이 없음에도 친절히 다른 병원 연락까지 해서 안내해주셨습니다.  덕분에 쉽게 해뎔했구요 감사합니다', '좋아요': '0'}, {'작성자': '탑인테리어', '별점': '5.0', '날짜': '2022.12.29.', '내용': '친절하고 진료를 잘해주시고 전문성이 아주 높다고 생각합니다\n비염치료와 탈모치료를 받고 많이 호전되었고\n숨쉬기 좋고... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:00', '월': '09:00 ~ 18:00'}"
약선당한의원,5.0,성동구 고산자로 160,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMjVfMjM5%2FMDAxNzQwNDczNTg1NjY5.erfgBC7QKT1Xs8f578IQOHYZPMP9D5on8X5DdHpO7yYg.DrIscQyEDCXN3YzhV8GpF5aLPyqBVRcXkE5ZDoxx8EYg.JPEG%2Fi_9ccb5aba900c.jpeg%3Ftype%3Dw966,"[{'작성자': '3', '별점': '5.0', '날짜': '2025.01.25.', '내용': '한의원 도장깨기하는 한의원 매니아에요.\n간만에 마음에 드는 곳이 생기다니..\n보통 상담하면 어디아프세요 ?\n목이요 허... 더보기', '좋아요': '0'}]",{}
서울민트치과의원,,성동구 고산자로 164 한신상가 3층 305~306호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '휴무일', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
삼성드림의원,4.6,성동구 고산자로 164,,"[{'작성자': '훙훙', '별점': '5.0', '날짜': '2024.07.30.', '내용': '엄청 친절하시고 진료도 자세히 봐주세요~~^^', '좋아요': '0'}, {'작성자': '나무', '별점': '5.0', '날짜': '2023.01.17.', '내용': '의사, 간호사분 다 친절하고 좋았습니다 재방문 의사 있어요', '좋아요': '0'}, {'작성자': '덩실', '별점': '1.0', '날짜': '2022.05.09.', '내용': '.', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00'}"
무학한의원,3.0,성동구 행당로8길 8-1 위브빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F8E1F1A0964A0405AB2F56E44D7790FF5,"[{'작성자': 'Plops', '별점': '1.0', '날짜': '2024.09.24.', '내용': '다시는 안갑니다. 데스크 아줌마 진짜 최악.\n\n5시 25분에 방문해서 진료 받을 수 있는지 여쭤봤는데 가능하다... 더보기', '좋아요': '1'}, {'작성자': '이아노', '별점': '5.0', '날짜': '2022.07.27.', '내용': '침이 잘 들어요~ 사람 많음...', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '14:00 ~ 20:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
