name,score,address,img_url,reviews,open_hour
9988병원 서울본점,3.2,성동구 왕십리로 269,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F6711A59DDF3B400CB8101D25D863FDF8,"[{'작성자': 'akali', '별점': '1.0', '날짜': '2025.02.25.', '내용': '(후기 관리하는 병원) 다쳐서 갔는데 담당의사가 응급 처리를 잘못 처리함. 나중에 대학병원에 갔더니 그렇게 하면 안되는데 하면서 교수님이 탄식하심. 또 묻지도 않고 과잉치료도 함(질소치료). 다만 간호사분들은 많이 친절함.', '좋아요': '2'}, {'작성자': 'Khangai', '별점': '1.0', '날짜': '2024.11.04.', '내용': 'the customer service was rasict as f.ck 0/100 lady outside was rude and demanding she did not try 😑', '좋아요': '0'}, {'작성자': '뺀질이네두목', '별점': '4.0', '날짜': '2024.03.18.', '내용': '접수창구 담당과 간호사, 그리고 진료를 해주신 젊은 의사도 친절하게 대해주시니 호감이 가는 병원입니다.', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
유앤아이피부과의원 왕십리점,,"성동구 왕십리로 315 한동타워 2,3층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F17041C45335444EF9C461FB4F0EF5EE3,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '10:00 ~ 20:30', '목': '10:00 ~ 20:30', '금': '10:00 ~ 20:30', '토': '10:00 ~ 17:00', '일': '휴무일', '월': '10:00 ~ 20:30', '화': '10:00 ~ 20:30', '휴무일': '공휴일'}"
메이퓨어의원 왕십리점,,성동구 왕십리로 293 혜성빌딩 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA2MDVfMjQ3%2FMDAxNzE3NTU3MTI5NzA0.mfDZcHKZ6b6v1sr4KCXqBwj6FKvnVGxsgFmUswJUmPAg.9lc9MrMgKODNrT92bKNDxgb3vLwrMbYN5O-HWQDoX9wg.JPEG%2FScreenshot_2024-06-05_at_12.11.53.JPG%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '10:30 ~ 20:30', '목': '10:30 ~ 20:30', '금': '10:30 ~ 20:30', '토': '10:00 ~ 17:00', '일': '휴무일', '월': '10:30 ~ 20:30', '화': '10:30 ~ 20:30', '휴무일': '공휴일'}"
여봉구정형외과,3.1,성동구 행당로17길 1-3,,"[{'작성자': '힘차게', '별점': '1.0', '날짜': '2024.03.01.', '내용': '○○○○놈 의사○○○ 성어가없고 환자가\n물어도 병에대한  애기도 없다Xxx\n아이고 뮈라... 더보기', '좋아요': '0'}, {'작성자': 'akali', '별점': '4.0', '날짜': '2023.09.17.', '내용': '과잉치료 없고 자세한 상담. 약간 대충. 동네 병원 특징', '좋아요': '2'}, {'작성자': '방혜린 Lin', '별점': '4.0', '날짜': '2023.07.05.', '내용': '정말 친절하게 설명해주시고 과잉진료 없으세요. 초장부터 이거해라 저거찍자 비급여치료나 비싼 주사 권하지 않으시는 건 좋은 거 같아요. 근데 너무 운동치료, 교정 위주로 봐주시다 보니 무... 더보기', '좋아요': '0'}]","{'목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00'}"
더나은길외과의원,5.0,성동구 왕십리로 315 한동타워 9층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F62DAAA2FDE1C40EA9CA63780C02B7773,"[{'작성자': '지나가는 소나기', '별점': '5.0', '날짜': '2024.11.14.', '내용': '서울에서 가장 유명한 혈관수술 전문병원\n원장님도 친절하시고 간호 선생님 모두 친절', '좋아요': '2'}, {'작성자': 'Happy', '별점': '5.0', '날짜': '2024.09.22.', '내용': '엄마 신장 크레아티닌 수치가 많이 떨어져  투석해야하실 수 있어 미리 혈관수술을 위해 방문하게되었습니다.  유튜브 영상 보시면 환자들이 어... 더보기', '좋아요': '2'}, {'작성자': 'kpung', '별점': '5.0', '날짜': '2023.01.11.', '내용': '여기서 투석혈관 관리하고있습니다. 병원 분위기가 편안한점이 제일 좋습니다. 아무래도 원장님과 간호사분들이 친절해서 마음이 편한거겠죠. 실력은 뭐 말할것도 없어요. 여기로 옮긴 이후부터 고통없이 혈관 관리 잘 하고있어요.', '좋아요': '2'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '휴무일': '공휴일'}"
연세이비인후과의원,2.3,성동구 왕십리로 309 306~307호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F09c5c4e16927dc7467d09b398c6e4f86de65c1c0%3Foriginal,"[{'작성자': 'djsusr', '별점': '1.0', '날짜': '2024.12.30.', '내용': '환자들 다른병원 못가도록 몇시간 대기해도 예상 대기시간 안내를 안해줍니다.\n진료는 코 한번 보고 끝내는 게 전부입니다. 다른 병원 가세요.', '좋아요': '0'}, {'작성자': 'YJ', '별점': '5.0', '날짜': '2024.12.28.', '내용': '친절하시고 오랜경력의 대학병원 전문의 교수님께 진료받는 느낌입니다', '좋아요': '0'}, {'작성자': '캐주얼큐', '별점': '5.0', '날짜': '2024.12.06.', '내용': '해열진통수액 가능. 대상포진 예방접종 가능.\n후기 낮은 이유를 모르겠음. 원장님도 잘 말씀해주시고 반말 없음', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
좋은사람들 성모안과의원,3.4,성동구 왕십리로 315 한동타워 7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F10372510CB974832B5C78E5F22111B54,"[{'작성자': '내돈내산', '별점': '5.0', '날짜': '2024.11.05.', '내용': '강남에서 이전하신곳입니다\n라섹부분에서 명의세요 \n2012년수술 ~ 2024년 현재에도... 더보기', '좋아요': '2'}]","{'수': '09:00 ~ 18:00', '목': '휴무일', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 목요일, 일요일'}"
무학한의원,3.0,성동구 행당로8길 8-1 위브빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F8E1F1A0964A0405AB2F56E44D7790FF5,"[{'작성자': 'Plops', '별점': '1.0', '날짜': '2024.09.24.', '내용': '다시는 안갑니다. 데스크 아줌마 진짜 최악.\n\n5시 25분에 방문해서 진료 받을 수 있는지 여쭤봤는데 가능하다... 더보기', '좋아요': '1'}, {'작성자': '이아노', '별점': '5.0', '날짜': '2022.07.27.', '내용': '침이 잘 들어요~ 사람 많음...', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '14:00 ~ 20:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
김차현내과의원,4.7,성동구 왕십리로 275,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5d07cd9188a5446fe8dedee4f567135cd96d0109%3Foriginal,"[{'작성자': '조승현', '별점': '5.0', '날짜': '2025.03.05.', '내용': '식사 후 혈당이 너무 많이 올라서 병원에서 검사를 받았는데 꼼꼼히 봐주셨어요.\n집에서 펩티드요법을 하면서 혈당을 관리하니 점점 정상 범위로 돌아오고 있어요. 감사합... 더보기', '좋아요': '0'}, {'작성자': '7seven', '별점': '5.0', '날짜': '2024.12.31.', '내용': '죽기전에 이렇게 친절한 의사 만날  수 있을까?  레전드..  전화하니 웬 친절한 남자분이 상냥하게 받으셨는데 그분이 간호사,카운터도 아니고 의사였다니.. 귀찮을 일을 손수 본인이 하시고 신기하네요', '좋아요': '2'}, {'작성자': 'ms094', '별점': '5.0', '날짜': '2024.12.06.', '내용': '간호사분이 친절하게 안내해주셔서 편하게 진료보고 왔어요.', '좋아요': '0'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 12:30', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30'}"
사랑의안과,3.9,성동구 고산자로 234 나래타워 5층,,"[{'작성자': '킬리만자로의하이에나', '별점': '5.0', '날짜': '2024.09.16.', '내용': '추석연휴 휴무임.. 카카오 땜에 벌쎄 3군데 낚임', '좋아요': '0'}, {'작성자': '맛라탕', '별점': '1.0', '날짜': '2024.09.13.', '내용': '다른 분 후기처럼 진료 30초도 안 봄 알러지 증상이니 약 좀 충분하게 처방해달라 해도 조금밖에 처방 안 해줌 그래놓고 단 며칠 뒤에 다시 오라 함 진료비도 아깝고 시간도 없으니 그냥 병원을 옮길게요 진료비 ㅈㄴ 아깝고 환자한테 관심 없는 원장임', '좋아요': '0'}, {'작성자': '동네 맛객', '별점': '5.0', '날짜': '2023.09.16.', '내용': '친절하고 전문적', '좋아요': '0'}]","{'수': '09:30 ~ 13:00', '목': '14:00 ~ 17:30', '금': '09:30 ~ 17:30', '토': '09:30 ~ 12:00', '월': '09:30 ~ 17:30', '화': '09:30 ~ 17:30'}"
