name,score,address,img_url,reviews,open_hour
서울척병원,4.0,성북구 동소문로47길 8,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F13363A7B5E10489883EA2D7CA7AD5243,"[{'작성자': '노진영', '별점': '5.0', '날짜': '2023.06.15.', '내용': '어깨와 발 통증으로 이 병원을 찾았습니다. 접수처에 가서 증상을 설명하자, 간호사가 친절하게 안내해 주셨습니다. 의사 선생님은 증상을 듣고 엑스레이를 보셨는데, 어깨가 아니라 ... 더보기', '좋아요': '6'}, {'작성자': '주해민', '별점': '5.0', '날짜': '2023.06.09.', '내용': '디스크 치료해주실 때 막상 수술을 권하는게 아니라 자연치유될 수 있게 권해주셔서 너무 좋았어요. 보다 내 허리를 자신의 허리처럼 신경써주셔서 넘넘 감사했습니다.', '좋아요': '4'}, {'작성자': '문진수', '별점': '5.0', '날짜': '2023.02.27.', '내용': '보통 병원은 원무과나 안내 데스크가 불친절해서 그냥 당연히 그런줄 알고 다녔었는데, 여기는 선생님들도 친절하시고 진료 봐주시는 원장선생님도 인간미 있게 이런저런 행동... 더보기', '좋아요': '5'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
이든피부과의원,,성북구 도봉로 1 1층 103호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FBB92A1698E544B2ABD521DBA3F078639,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '10:00 ~ 18:30', '휴무일': '공휴일'}"
안산부인과의원,3.9,성북구 길음로 6 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F38748E1D2DA942528F73CFFD79A8CE81,"[{'작성자': '🍏', '별점': '5.0', '날짜': '2025.02.26.', '내용': '원래 심했던 생리통이지만 이번따라 너무 아파서 급하게 갔다왔네요.. 항상 겪는 통증이여서 별다르게 생각 안했는데, 검사 후 자궁에 좋지 않은 문제가 생겼다고 하셔서 미리 미리 확... 더보기', '좋아요': '0'}, {'작성자': '혜나', '별점': '5.0', '날짜': '2025.02.25.', '내용': '질염 때문에 고생하다가 방문해봤는데 넘 친절하시고 꼼꼼하게 봐주셔서 만족스러웠어요:)', '좋아요': '0'}, {'작성자': '김채인', '별점': '5.0', '날짜': '2025.02.24.', '내용': '원장 선생님이 너무 친절하셔서 기분 좋게 진료 받고 왔네요 ㅎㅎ 기분 좋은 하루 만들어주셔서 감사합니다 ~', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '광복절'}"
에스엔케이의원,,성북구 길음로 2 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F45D9F00654EA4DA1B1ED7FE72B3CECDA,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 20:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 13:00', '금': '09:30 ~ 20:00', '토': '09:30 ~ 14:30', '일': '휴무일', '월': '09:30 ~ 19:00', '휴무일': '공휴일'}"
새봄안과의원,4.5,성북구 길음로 20 래미안길음3차아파트 상가 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjNfNDcg%2FMDAxNzMyMzI3MTUxODMw.i68fzNN0F0Vf9XhLbumlD-SiIDE-41wejZ1aYNTXlYkg.B9UAQzhUEj8KEVBJYgec9Sw9GbL2O7R9NLKjPkAhblUg.JPEG%2F005.jpg%3Ftype%3Dw966,"[{'작성자': '.', '별점': '1.0', '날짜': '2024.10.06.', '내용': '간호사신지 간호조무사신지 성의가 없어요\n원장님도 빨리 빨리 끝내시려 하세요\n\n\n추가) 원장... 더보기', '좋아요': '1'}, {'작성자': '투여', '별점': '5.0', '날짜': '2024.08.06.', '내용': '원장님이 엄청친절하세요', '좋아요': '0'}, {'작성자': '벼리', '별점': '5.0', '날짜': '2023.12.27.', '내용': '선생님이 정말 친절하시구 자세하게 설명해주세요.', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 13:00', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
길음아산척신경외과의원,,성북구 길음로 11 길음역롯데캐슬 트윈골드 상가 234~237호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6E75968C591242339E9A9CE71FFA88CD,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '휴무일': '공휴일'}"
조찬홍비뇨의학과의원,1.0,성북구 길음로 8 2층,,"[{'작성자': '김시혀닝~♡♡', '별점': '1.0', '날짜': '2023.08.16.', '내용': '병원 엄청 비좁고\n방음이 안되서 진료실에서\n하는 얘기 다... 더보기', '좋아요': '0'}]","{'화': '10:30 ~ 18:00', '수': '10:30 ~ 18:00', '목': '14:30 ~ 18:00', '금': '10:30 ~ 18:00', '토': '10:30 ~ 13:00', '월': '10:30 ~ 18:00'}"
윈치과의원,5.0,성북구 도봉로 29,,"[{'작성자': '전지현', '별점': '5.0', '날짜': '2020.07.15.', '내용': '원장님이 너무 좋아요', '좋아요': '2'}]","{'화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 14:00', '월': '10:00 ~ 18:30'}"
굿모닝이비인후과의원,2.8,성북구 길음로 11 길음역롯데캐슬트윈골드아파트 근린생활시설동 2층 227호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA1MjBfMjY3%2FMDAxNzE2MTU4MTI0MDc3.57gIoxFa9riXw4TIRQgxidA4m2zkwVM5oP6YOxdZNGcg.fWAyRTSr-xZdIO076qpF-KOS2Ayh1-Xya8eisQNQPc4g.JPEG%2Fimage-naver-blog.jpeg%3Ftype%3Dw966,"[{'작성자': 'ㅎㄱ', '별점': '1.0', '날짜': '2025.03.29.', '내용': '안경쓴 간호사 최악\n불친절 역대급\n다시는 안갈듯.', '좋아요': '0'}, {'작성자': 'ㅡㅡ', '별점': '2.0', '날짜': '2025.02.27.', '내용': '감기약처방 받았는데  약이 좀.....\n메이커약이없네요', '좋아요': '0'}, {'작성자': 'ㅈㅇ', '별점': '4.0', '날짜': '2025.01.25.', '내용': '이전 후 처음가봤는데 의사두분으로 바뀌었네요\n기존원장은 대기가 어마어마했고 새로오신분은 대기가 적어서 젊은 원장님께 진료를 봤는데... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
삼성맑은의원,4.3,"성북구 길음로 33 길음뉴타운 상가B동 2층 제4호,제5호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTBfMTc2%2FMDAxNzMzNzk1Nzc0OTgz.kLf8sBrp1BdB6F3lvAgu09YDnbWFJYw0wEPCYk4dNj4g.zvLy-wZJjS9pLg-V-mOUjEq9_8KdJI5dnBp9dsJfhJsg.JPEG%2F%25EB%25B3%2580%25ED%2599%2598_(202)_020.jpg%3Ftype%3Dw773,"[{'작성자': '흠', '별점': '2.0', '날짜': '2025.02.04.', '내용': '한시간 대기하래서 한시간 뒤에 다시 왔는데 아무런 안내, 설명 없이 45분 더 대기시키네요', '좋아요': '1'}, {'작성자': '박지현', '별점': '5.0', '날짜': '2025.01.09.', '내용': '시술 강요 안하고 친절하고 자세하게 알려주세요\n강추', '좋아요': '0'}, {'작성자': '서울백사', '별점': '5.0', '날짜': '2024.09.07.', '내용': '원장 선생님과 관리사 선생님들 모두 친절하십니다. 여드름으로 압출, 주사, 레이저 치료받았는데요. 대체로 아프지 않게 잘해주십니다. 근데 주사는 아픕니다.\n\n또 원장 선생님이 의사... 더보기', '좋아요': '0'}]","{'화': '10:00 ~ 19:00', '수': '10:00 ~ 20:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:30', '일': '휴무일', '월': '10:00 ~ 19:00', '휴무일': '공휴일'}"
