name,score,address,img_url,reviews,open_hour
성북성심의원,,"성북구 동소문로 181 지하1층,2,3,7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FbHfaeq%2FbtsLs0VBft4%2FIpJ2pPGeb4hSEKGxwfPUfk%2Fimg.png,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 15:00', '일': '08:30 ~ 13:00', '월': '08:30 ~ 18:30'}"
새마음요양병원,3.5,성북구 동소문로 215,,"[{'작성자': '이덕현', '별점': '5.0', '날짜': '2023.08.15.', '내용': '친절하고 최선을 다하는 모습으로 다가가는 자세가 좋습니다. 다 좋을순 없어도 간호사와 간병사, 그리고 직원모두가 진심으로 느껴지는 병원임을 알수있었습니다.\n주변 요양병원 대비 강추드립니다~', '좋아요': '0'}, {'작성자': '윤성욱', '별점': '3.0', '날짜': '2022.05.10.', '내용': '병원 관계자 입니다 아래 댓글로 달린 글을 봤습니다  많이 반성 하겠습니다 \n늘 조금이라도 친절하고 설명을 잘해주려는 병원으로 모토를 삼고 있으나  ... 더보기', '좋아요': '2'}, {'작성자': '링킨', '별점': '1.0', '날짜': '2021.12.29.', '내용': '입원하자마자 살이 빠지더니\n코로나로 인해 면회를 못가는동안\n재활운동은 전혀 안한건지 사... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 12:30', '일': '휴무일', '월': '09:00 ~ 17:30', '휴무일': '공휴일'}"
성북성심신경과의원,,성북구 동소문로 181,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '월': '09:00 ~ 18:30'}"
김선영소아과의원,4.4,성북구 동소문로 190 중앙빌딩 202호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FxSbIr%2FbtsyuHHrxvj%2FbQlzTmHLpZEuEDKwPq7pUk%2Fimg.png,"[{'작성자': '감귤맘', '별점': '5.0', '날짜': '2025.01.01.', '내용': '동네에 이런 병원이 있어서 감사해요. 의사샘, 간호사선생님 모두 친절하세요.', '좋아요': '0'}, {'작성자': '뉴뉴', '별점': '5.0', '날짜': '2024.12.09.', '내용': '출산전부터 다니던 곳인데 아가가 태어나고도 여기만 가요 선생님께서 늘 차분히 친절하게 봐주시고 간호사 선생님도 바뿌실때도 항상 친절히 대해주셔서 좋습니다.', '좋아요': '0'}, {'작성자': '박기남', '별점': '5.0', '날짜': '2024.04.14.', '내용': '성북 강북에 주말에 여는 몇 없는 개인 소아과입니다. 의사 선생님이 항암 중인데도 병원 문 열고 계세요. 쾌차하시길 빕니다. ㅜㅜ', '좋아요': '0'}]","{'화': '08:10 ~ 18:00', '수': '08:10 ~ 12:30', '목': '08:10 ~ 18:00', '금': '08:10 ~ 18:00', '토': '08:10 ~ 13:00', '일': '08:10 ~ 10:00', '월': '08:10 ~ 18:00'}"
삼성바른내과의원,3.8,성북구 정릉로 364 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjlfMjQ0%2FMDAxNzMyODcwNDIwMzA0.9kXTwCUb2qf55uNR0-Utohq71hdk1G3bjFJE4aEuFSog.t0i3yHCP_XhuKodwYiqJun6w5HBv_tyLjFvT08kbQcMg.PNG%2F1203_%25EC%25A0%2580%25ED%2598%2588%25EB%258B%25B9_%25EB%258C%2580%25EC%25B2%2598%25EB%25B2%2595-07.png%3Ftype%3Dw966,"[{'작성자': '한', '별점': '5.0', '날짜': '2024.12.13.', '내용': '원장님 \n동네병원이지만 정말 참 의사 입니다\n몇년째 여기로만 다님..\n젊은의사... 더보기', '좋아요': '0'}, {'작성자': '둥둥', '별점': '1.0', '날짜': '2024.11.02.', '내용': ""건강검진할 때 친절했던 기억에 재방문했는데 바쁜 탓인지 많이 바뀌었네요. 짧은 진료인데도 마치 혼내는듯한 위압적인 태도에 기분이 상했습니다. 젊은 남자 의사분 후기에 '고압적'이라는 평이 유독 많은 이유를 한번 생각해보셨으면 좋겠습니다."", '좋아요': '0'}, {'작성자': 'HJ', '별점': '1.0', '날짜': '2024.10.25.', '내용': '간호사님 진짜 불친절해요...\n가르치듯이 하는 말투 진짜 너무 불쾌하네요.\n주사 한 번 놔주는데 그렇게 느낀거면 말투 좀 생각해보시길...', '좋아요': '0'}]","{'화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 18:00', '휴무일': '공휴일'}"
서울좋은치과,,성북구 정릉로 376 A동 4층 401호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FFD97120247884CD9B4179F646FEA31D9,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
sky서울가정의학과의원,3.9,성북구 성북로4길 52 417동 2층,,"[{'작성자': '.', '별점': '1.0', '날짜': '2025.03.25.', '내용': '지금까지 세 번 가량 갔었는데 갈 때마다 내 병명과 증상에 대해 아무런 설명을 듣지 못 했음\n그냥 저냥 두루뭉실하게 질문 몇... 더보기', '좋아요': '0'}, {'작성자': '🌹junmiwoon family❤️', '별점': '4.0', '날짜': '2024.04.10.', '내용': '남자 의사선생님은 항상 친절하세요 그리고 예전 마르신 간호사분은 친절 했는데 몇 달전에 목소리크고 덩치 좋으신 바뀌신분 오고 안가고 있어요.. 제가 아이 머리를 잡고 있어... 더보기', '좋아요': '1'}, {'작성자': '09', '별점': '2.0', '날짜': '2023.12.29.', '내용': '데스크 간호사가 너무 불친절함', '좋아요': '1'}]","{'화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 13:00', '월': '08:30 ~ 18:30'}"
아리랑가정의원,2.7,성북구 아리랑로 89 일신건영휴먼빌아파트 상가동 205~207호,,"[{'작성자': '쿨수이', '별점': '1.0', '날짜': '2024.05.21.', '내용': '사람이 없어서인지 건당 매출 올리려고 여러번 내원하게하는 방식으로 환자에게 불편을 유발하고 약 또한 두세번 나누어 과도하게 처방함. 뭐 하나 더 처방할 거 없나 찾는 기색이 역력함.. 진료는 기계적이고 전문성 물론 없음.', '좋아요': '0'}, {'작성자': 'ijyisnha', '별점': '2.0', '날짜': '2023.12.28.', '내용': '본인 입으로편도선이 어마어마 하고 열도 많다고 했는데..왜세균성감염 약이나항생제를안 줬을까요. 내일 다시오라더니..내일 다시 올 약을 주었을까요....\n열이 42도 까지 올라가서 엄청 고생했어요.  어쨌거나 가깝고 약 ... 더보기', '좋아요': '0'}, {'작성자': '산토끼', '별점': '1.0', '날짜': '2023.11.28.', '내용': '독감주사 간호사가 주사 맞으라해서.의사만나고 맞고 싶다 했더니.의사가 그냥 간호사한테 맞아도 된다고.담부터.환자가 돈이라 그런지.0.1초도 안되 주사줌..앉았다 일어나는 시간이 더 길게들어감.묻지도 따지지도 안코 .', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '월': '09:00 ~ 18:30'}"
성심당한의원,5.0,성북구 동소문로 181 7층,,"[{'작성자': 'Big Bear Lee.', '별점': '5.0', '날짜': '2022.08.15.', '내용': '젊은 한의사 선생님 너무도 친절하셨습니다~', '좋아요': '2'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
홍치과의원,5.0,성북구 정릉로 378 클리닉센터 1층,,"[{'작성자': '쉐린', '별점': '5.0', '날짜': '2025.03.11.', '내용': '친절하시고 11년째 관리받고 있어요.. 만족합니다', '좋아요': '0'}, {'작성자': '**', '별점': '5.0', '날짜': '2022.03.24.', '내용': '꼼꼼하고 친절해요~', '좋아요': '0'}]","{'화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '휴무일', '금': '10:00 ~ 18:00', '토': '10:00 ~ 13:00', '일': '휴무일', '월': '10:00 ~ 18:00', '휴무일': '공휴일'}"
