name,score,address,img_url,reviews,open_hour
보문효사랑요양병원,0.0,성북구 보문로 46,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FEB5E6E938F4C4E1EB8C63F9346A86EC2,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '00:00 ~ 24:00', '수': '00:00 ~ 24:00', '목': '00:00 ~ 24:00', '금': '00:00 ~ 24:00', '토': '00:00 ~ 24:00', '일': '휴무일', '월': '00:00 ~ 24:00', '휴무일': '공휴일'}"
성북웰니스요양병원,4.6,성북구 보문로 86,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2Fc26KgG%2Fbtrz3k3IkRQ%2FwKFShBicn9CZDc8eOOab80%2Fimg.jpg,"[{'작성자': '송시연', '별점': '5.0', '날짜': '2023.08.31.', '내용': '괜찮아요', '좋아요': '0'}, {'작성자': '손은지', '별점': '5.0', '날짜': '2023.08.30.', '내용': '친절하게 안내 도와주셨어요', '좋아요': '0'}, {'작성자': 'Roman Parker', '별점': '5.0', '날짜': '2023.08.29.', '내용': '시설이 좋아요', '좋아요': '0'}]","{'화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 12:00', '월': '09:00 ~ 17:30'}"
박소아청소년과의원,5.0,성북구 보문로 93 온누리메디컬센타 4층,,"[{'작성자': '고구마튀김', '별점': '5.0', '날짜': '2024.05.09.', '내용': '여기 간호사 의사 선생님 모두 친절합니다 \n제가 다녀본 병원중에 최고인듯!', '좋아요': '1'}, {'작성자': 'k', '별점': '5.0', '날짜': '2023.08.02.', '내용': '데스크 선생님도 친절하시고 의사선생님도 친절하십니다. 진료도 잘봐주시고 전에는 산부인과 딸려있는 큰 소아과만 다니다가 너무 별로였는데 이제 이곳에 정착할려고해요!', '좋아요': '1'}, {'작성자': 'SUNNY_B', '별점': '5.0', '날짜': '2023.05.19.', '내용': '10년 넘게 다니고 있는데 간호사분들 오래 계시고 선생님도 변함없이 친절하세요~👍👍', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
권강진정형외과의원,,"성북구 보문로 94 화성빌딩 2,3호",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
이룸치과의원,3.7,성북구 보문로 121 2층,,"[{'작성자': '호홍', '별점': '5.0', '날짜': '2023.11.01.', '내용': '의사쌤 , 치위생사쌤 , 데스크 선생님 다 친절하게 어디가 어떻게 아플거고 무슨 치료 할거고 사진 보여주면서 최대한 치아삭제 줄이는 방향으로 진료 하십니다. 양심치과예요!! 치아 안썩게 관리 잘 해야겠어요ㅠㅠ', '좋아요': '0'}, {'작성자': '헤헤', '별점': '5.0', '날짜': '2023.02.16.', '내용': '여기 근처에 살 때 항상 이용하던 치과에요! 요 근처 치과들 많이 가봤는데 여기가 제일 과잉 진료 없고, 친절하신 느낌이었어서ㅎㅎ\n이사가고서 근처 치과에... 더보기', '좋아요': '0'}, {'작성자': '..', '별점': '5.0', '날짜': '2022.03.16.', '내용': '차가운 말투지만 내용은 따뜻함.. 아픈 이유, 현재 치아상태에 대해 매우 상세히 설명해주시고 꼭 필요한 치료만 권해주십니다. 진료받는데 선생님의 꼼꼼함과 프로페셔널함이 절로 느껴짐.... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 17:30'}"
새서울정형외과의원,2.3,성북구 보문로 123,,"[{'작성자': '캣킹', '별점': '5.0', '날짜': '2024.07.24.', '내용': '직원분들 친절', '좋아요': '0'}, {'작성자': '김동춘', '별점': '1.0', '날짜': '2021.10.08.', '내용': '의사가 마네킹인줄\n진료받을때 \n인사도 안... 더보기', '좋아요': '3'}, {'작성자': 'c4yn', '별점': '1.0', '날짜': '2020.08.01.', '내용': '비용은 비싸고  치료도 안되고...\n다른분들을 위해 적습니다..ㅜㅜ', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '월': '09:00 ~ 18:00'}"
이철환치과의원,5.0,성북구 보문로 124 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F9A4C4E779B0F4248937E538F3F528797,"[{'작성자': '어쩌다 맛집', '별점': '5.0', '날짜': '2025.02.03.', '내용': '버스정류장에서 버스 기다리다가 스케일링 할 때 된거 생각나서 카페 가기 전에 걍 들림. 부지런하고 유쾌하고 용돈 잘 주지만 조언 줄때는 쌉T인 큰아빠 스타일의 원장님이 진료봄. 스... 더보기', '좋아요': '0'}, {'작성자': 'emeraldgreen', '별점': '5.0', '날짜': '2024.01.05.', '내용': '처음 방문했는데 과잉진료 없고 다들 친절하시고 스케일링 섬세하게 안 아프게 해주십니다.\n2년 전 동네 다른 치과 방문했을 때 충치 관련해서\n까만 ... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '목': '휴무일', '금': '09:00 ~ 17:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:00', '휴무일': '매주 목요일, 일요일, 매달 네번째 토요일'}"
대한치과의원,5.0,성북구 보문로 93 큰누리빌딩 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F98256B911B2A4257A90A8202A6EF652D,"[{'작성자': '.', '별점': '5.0', '날짜': '2025.02.21.', '내용': '의사선생님과 조무사선생님 두 분 다 친절하고 편하게 대해주세요', '좋아요': '0'}, {'작성자': 'Black', '별점': '5.0', '날짜': '2023.01.30.', '내용': '치과진료도 잘해주시고 엄청 친절하고 좋으세요 \n원장님 최고에요 👍🏻👍🏻👍🏻👍🏻 \n 🫡🫡 최고 진료 👍🏻', '좋아요': '0'}, {'작성자': 'Lola', '별점': '5.0', '날짜': '2020.08.25.', '내용': '과잉진료없고 좋아요.. 근데 구청장 선거나오신거보고 흠.... 그치만 진료나 친절함은 아주 좋습니다', '좋아요': '0'}]","{'화': '09:30 ~ 17:00', '수': '09:30 ~ 17:00', '목': '09:30 ~ 17:00', '금': '09:30 ~ 17:00', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 17:00', '휴무일': '공휴일'}"
킴스서울외과의원,0.0,성북구 보문로 120 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
유심한의원,4.8,성북구 보문로 144 보문뉴타운 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FAB93B8A23C0F4E10948314B35583387C,"[{'작성자': '하나', '별점': '5.0', '날짜': '2024.08.19.', '내용': '의사,간호사 모두 친절하고 깨끗한 병원입니다.\n무엇보다 침 한번 맞았는데 그 전보다 훨씬 나아진 느낌입니다.\n감사해요.', '좋아요': '0'}, {'작성자': '초록', '별점': '5.0', '날짜': '2024.05.19.', '내용': '원래 후기 안쓰는데 이거 쓰려고 가입했습니다\n원래 한의원 별로 안좋아하는데 인생 한의원입니다\n양학으로 몇년간 통... 더보기', '좋아요': '0'}, {'작성자': '고예담', '별점': '5.0', '날짜': '2024.03.12.', '내용': '여기입니다. 전국에 많은 병원들을 다녀봤는데 여기입니다. 선생님께서 정말 친절하시고 하나하나 다 알려주십니다. 과잉진료, 처방 이런 거 하나 없습니다.', '좋아요': '0'}]","{'화': '09:30 ~ 20:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 20:00', '금': '09:30 ~ 20:00', '토': '09:30 ~ 14:30', '월': '09:30 ~ 20:00', '휴무일': '추석전날, 추석당일, 설전날, 설당일, 설다음날, 1월1일, 성탄절'}"
