name,score,address,img_url,reviews,open_hour
이정균내과의원,1.0,성북구 화랑로19길 84,,"[{'작성자': '리챠드', '별점': '1.0', '날짜': '2021.06.13.', '내용': '너무 담당의가 나이드셨음.\n85세면 은퇴할시기가 훨씬 지났는데...\n어떤연유로 ... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 17:00'}"
중앙의원,3.0,성북구 장월로1길 17 1층,,"[{'작성자': '겨울', '별점': '1.0', '날짜': '2024.05.01.', '내용': '피부과 의사가 아이 허리가 너무 휘어보인다고 정형외과 가보라해서 집 앞이고 정형외과도 써있어서 갔더니...\n인터넷 같은거 보자 말라고 ㅋㅋ 대놓고 무시에 개소x만 하더라... 돈만 날림', '좋아요': '0'}, {'작성자': '오이잉', '별점': '1.0', '날짜': '2022.12.13.', '내용': '간호사분들은 친절하신데 여기가 왜 별 5개인지 모르겠네요\n의사분은 뭐 얘기만 하면 헛웃음치고 따지고..약국에서 약 받는게 훨씬 나은것같아요', '좋아요': '0'}, {'작성자': '프로리뷰꾼', '별점': '5.0', '날짜': '2022.02.11.', '내용': '인테리어가 오래 되어서 거부감이 있지만, 의사 및 간호사 분들이 편하게 대해주심. 그게 어디야. 딱 동네 의원 느낌입니다.', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '월': '09:00 ~ 18:30'}"
한결한의원,5.0,성북구 장월로1길 57,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F32691a15c13440137be95a507e82e6b8145d5033%3Foriginal,"[{'작성자': '훨훨', '별점': '5.0', '날짜': '2023.05.02.', '내용': '명의 꼭 한번가보세요!!', '좋아요': '0'}, {'작성자': '마르르크', '별점': '5.0', '날짜': '2019.05.07.', '내용': '안녕하세요', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 15:00', '월': '09:30 ~ 18:30'}"
편한미소치과의원,3.0,성북구 장월로1길 47 2층,,"[{'작성자': '주아', '별점': '5.0', '날짜': '2020.07.08.', '내용': '후기가 나빠서 의아하네요. 스케일링을 원장님이 직접하시는 곳이라 예약이 필요한데 그만큼 정말 꼼꼼하게 잘해주세요. 과잉진료도 전혀 없으시고 여의사 분이라 더 믿음이 갑니다. 약한 잇몸을 타고나서... 더보기', '좋아요': '0'}, {'작성자': '블루이안♥', '별점': '1.0', '날짜': '2020.05.27.', '내용': '직원분들 친절하지 않아요', '좋아요': '1'}, {'작성자': '김동현', '별점': '1.0', '날짜': '2020.05.01.', '내용': '전화로 스켈링 되냐고 물어보니까 말이 끝나기가 무섭게 안돼요 라고 끊네요 황당하게 불친절한 치과네요', '좋아요': '0'}]","{'화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 14:00', '월': '10:00 ~ 18:00'}"
명가정의학과의원,4.0,성북구 장월로1길 25 1층,,"[{'작성자': '.', '별점': '5.0', '날짜': '2023.09.05.', '내용': '우리 온 가족이 오랫동안 다닌 좋은 병원', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
한림한의원,3.7,성북구 장월로1길 47,,"[{'작성자': '이현숙', '별점': '5.0', '날짜': '2023.02.04.', '내용': '3달 넘게 오금이 쪼그려앉지 못하게 아퍼서 정형외과를 여러 곳 다녀봤지만 나아지지않았고  뼈에는 이상이 없다고 해서 한의원을 방문해봤는데 무릎이 안좋아지려고 한다시며 침시술 해주셨습니다 바뻐... 더보기', '좋아요': '0'}, {'작성자': '겨울', '별점': '1.0', '날짜': '2022.11.20.', '내용': '원장이 정말 별종임..\n예전에 사고로 발목에 연골이 없는데 자기가 연구해서 연골 재생시켜 주겠다고 과잉진료 권... 더보기', '좋아요': '2'}, {'작성자': 'KYLN', '별점': '5.0', '날짜': '2022.10.17.', '내용': '직원분들도 선생님도 모두 친철하시고, 잘 들어주셔서 좋습니다', '좋아요': '1'}]","{'화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 16:00', '월': '09:30 ~ 19:00'}"
사랑해요치과,0.0,성북구 장월로1길 28,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
서울예담치과의원,,성북구 화랑로 103 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F22675438544DDF1033,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 20:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 13:00', '월': '10:00 ~ 18:00', '휴무일': '공휴일'}"
엄한의원,0.0,성북구 장월로1길 112,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 14:00', '월': '09:30 ~ 18:00'}"
월곡바른재활의학과의원,4.6,"성북구 화랑로11길 26 월곡갑을명가아파트상가 2층 201~202,214,216호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEwMjFfMTQ5%2FMDAxNjY2MzEzODQ0MTYz.6_C_rpsZzhDlG-wIsFzHQXT6Z-H121bYg5JCQRPvzkgg.tGB35XGIQ54o_oPpE6cECfAAYPBWUmxbV6axcmcbTtcg.JPEG.kingmom0326%2FKakaoTalk_20221021_095456098_01.jpg%3Ftype%3Dw773,"[{'작성자': '치토', '별점': '5.0', '날짜': '2025.02.07.', '내용': '내과쪽 여자원장님,\n재활쪽 남자원장님,\n그리고 간호사 선생님들까지 너... 더보기', '좋아요': '0'}, {'작성자': 'ㄴ', '별점': '1.0', '날짜': '2024.10.24.', '내용': '기본 대기 1시간이상\n한명 진료만 보는 데 15분이상\n쉬는 날 하루 날 잡고 가야 함', '좋아요': '0'}, {'작성자': '알바트로스', '별점': '1.0', '날짜': '2024.03.22.', '내용': '의사 선생님은 엄청 친절하세요 근데 카운터 계신 분들 중에 한 분이 정말...\n병원 들어가니 멀뚱멀뚱 쳐다만 보고 있다가 손짓하면서 “이름이?” 반말인지.. 뭔지 \n의사선생님이 워낙 친절하셔서 자주 갔는데 앞으론 좀 안 갈 거 같아요', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
