name,score,address,img_url,reviews,open_hour
서울하나내과의원,3.7,성북구 돌곶이로 37 1~5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAyMTNfMyAg%2FMDAxNzA3ODA0MDEwODk4.-GWdBC0cU0z76KYTjPegTrxxD0wDJEwYwX10PTGveV4g.OTfawrc_cjKsI3Jr-Pfpby-QQaUKJyfPWU8V-rjq8Lwg.JPEG.osteoplus%2F%25EB%258B%25A4%25EC%259A%25B4%25EB%25A1%259C%25EB%2593%259C%25ED%258C%258C%25EC%259D%25BC_20240213_145316.jpg%3Ftype%3Dw386,"[{'작성자': '쩝쩝이', '별점': '5.0', '날짜': '2024.09.21.', '내용': '1번방 선생님 소문듣고 방문하게된 병원이예요.\n작은병원인줄 알았는데\n건강검진센터 체계적이고 깔끔합니다. 선생님, 간호사분들 친절하시... 더보기', '좋아요': '0'}, {'작성자': '혜진', '별점': '1.0', '날짜': '2024.07.12.', '내용': '어머니가 여기서 용정 제거 수술 했는데 k로 시작되는 코드로 진단서 가능 d로 해줄수없다해서받을수 있는 생명 보험 수술비 못받았습니다 잘 확인해보시기를요', '좋아요': '0'}, {'작성자': '몰러', '별점': '4.0', '날짜': '2023.12.20.', '내용': '가정의학과 의사 선생님 넘 유능하셔요! 그리고 피 뽑는 간호사분 진짜 잘 뽑으심 그 분이 뽑으면 멍이 안... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
성북삼성정형외과의원,3.2,"성북구 돌곶이로8길 3 대건빌딩 지하1층, 1~5층",,"[{'작성자': 'seoulbus', '별점': '1.0', '날짜': '2025.01.26.', '내용': '재활얘기없음(물어봐야 대충말해줌)\n무분별한 약 처방\n낡은 기구\n환자랑 기싸움하는 처치실 간호사(소리지름,... 더보기', '좋아요': '0'}, {'작성자': '으악', '별점': '5.0', '날짜': '2023.10.24.', '내용': '거의 3주째 계속 다니는데 진료도 잘봐주시고, 간호사님들도 다 친절하셔서 좋아요. 다른 후기처럼 사람이 많아서 대기 시간이 긴 거 빼면... 토요일엔 두시간 맘먹고 와야해요. 그리고 일단 심하게 다쳤는데 너무 잘 나았어요!', '좋아요': '0'}, {'작성자': '이혜린', '별점': '1.0', '날짜': '2023.10.21.', '내용': '저도 아래 분이랑 똑같아요.\n갑자기 증상이 생겨서 가니까 젊은 나이에 일자목이 심하다. 그래서 디스크가 생긴거다.... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30'}"
굿데이이비인후과의원,4.5,성북구 돌곶이로 25 씨티홈 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAyMjZfMTM4%2FMDAxNzA4OTUxNDc4OTg0.B9DF7ewBXnyQi8evr0Y6O8uEAA9Jh-97L76bdKgUYWMg.IBo3_9BSse_7UghEUqOstD0_0KdnrH8w87thvUlIiTcg.JPEG%2FIMG_8104.jpg%3Ftype%3Dw966,"[{'작성자': 'ㄱㄴㅇ', '별점': '5.0', '날짜': '2025.01.04.', '내용': '대기가 길어 어쩔수없이 다른 곳 방문했다가도\n결국 다시 가게됩니다\n\n아이가 아... 더보기', '좋아요': '1'}, {'작성자': 'estudiando', '별점': '5.0', '날짜': '2024.10.30.', '내용': '환자가 많은 이유가 있네요. 친절하시고 원인과 대처법을 상세히 알려주세요.', '좋아요': '0'}, {'작성자': '달리', '별점': '5.0', '날짜': '2024.10.10.', '내용': '원장님 정말 친절하세오', '좋아요': '1'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
돌봄의원,0.0,성북구 돌곶이로22길 26-2 5층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '월': '09:00 ~ 18:00'}"
미보치과의원,4.3,성북구 화랑로 248 장위뉴타워 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB425653386014A1F90A7B1B660CC3C3C,"[{'작성자': '하찌하찌', '별점': '5.0', '날짜': '2024.07.14.', '내용': '과잉 진료 없고 친절하세요! 원장님이 임플란트만 하신다 들었는데 참 친절하게 자세히 잘 설명해주셨습니다', '좋아요': '0'}, {'작성자': '윙쓰', '별점': '5.0', '날짜': '2023.05.18.', '내용': '이 근방에서 제일 크고 깨끗한 치과인것 같네요. 원장님께서 세심하게 봐주시고 설명도 환자 입장에서 세심하게 해주시구요. 치료할때 좀 아플수 밖에 없는 치과 진료이지만 급하지 않게... 더보기', '좋아요': '0'}, {'작성자': '바케', '별점': '5.0', '날짜': '2021.05.28.', '내용': '갈때마다 데스크선생님들이나 원장님께서진료도 잘해주셔서 기분이 좋습니다.', '좋아요': '2'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 19:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '휴무일', '월': '09:30 ~ 19:30', '휴무일': '공휴일'}"
좋은안과의원,4.3,성북구 돌곶이로 59 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F336e63e756e25fd434e138ab03f44484570ad005%3Foriginal,"[{'작성자': 'ES', '별점': '5.0', '날짜': '2025.02.12.', '내용': '대기가 많은 이유를 알겠네\n의사선생님이 친절하세요\n다른곳은 꼽주거나 한숨쉬어서 돈내고 진찰받는데도 위축된다면..', '좋아요': '0'}, {'작성자': '일반인', '별점': '5.0', '날짜': '2024.12.17.', '내용': '아주 만족합니다.\n후기보면 대기 많다고 해서 사람 없을만한 시간만 골라갔는데 다행이 대기가 별로 없었습니다.\n... 더보기', '좋아요': '0'}, {'작성자': 'estudiando', '별점': '5.0', '날짜': '2023.08.19.', '내용': '선생님 정말 친절하고 잘 알려주세요\n대기손님이 늘 많긴 합니다', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
돌곶이효자정형외과의원,2.2,성북구 화랑로 254 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTdfMTA5%2FMDAxNzM0NDI4MzU3NDI5.rxww3-HYQlsg679QQnw7_t5RploiG7tsIRYIavp9B6kg.nrnC2X0NDslmAzpFZdk_Ah8gHqv10ryoQPADVsQrXCQg.JPEG%2FIMG_7420.JPG%3Ftype%3Dw966,"[{'작성자': 'PepperMinTae', '별점': '5.0', '날짜': '2025.03.26.', '내용': '원장님 보고 오는 거죠 뭐', '좋아요': '0'}, {'작성자': '잡초', '별점': '1.0', '날짜': '2025.02.10.', '내용': '이병원은 직원이 의사행위하는 느낌이듬', '좋아요': '0'}, {'작성자': '심재웅', '별점': '1.0', '날짜': '2024.11.16.', '내용': '살다 이런 병원은 첨 봅니다\n젊은 애들 알바생들 삼삼오오 모여서 노가리 까고 노래 듣고 커피 마시고 전문성은 1도... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 21:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
오안과의원,3.7,성북구 화랑로 248 장위뉴타워 7층 703호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjRfMTY4%2FMDAxNzMyNDMzNDE5NjIz.lfDX812Y43uj6Vfgb8cThz_UAxb8hoOyLxmFGAx0I8Qg.pdQCfpJXmdd9EtirbCm_9cuARc_mqr5BboDlmxiQpvEg.JPEG%2FIMG_6446.JPG%3Ftype%3Dw773,"[{'작성자': '김양순', '별점': '4.0', '날짜': '2024.06.25.', '내용': '의사 선생님께서 후기처럼 쾌활... 하신데 뭔가 무서웠어요. 동네 사랑방 같은 병원 분위기라 대기 시간이 길어요. 이 점 참고하셔서 방문... 더보기', '좋아요': '1'}, {'작성자': '맛따라 멋따라', '별점': '5.0', '날짜': '2023.08.10.', '내용': '여기서 안약넣는 방법 배웠어요~', '좋아요': '0'}, {'작성자': '맛집감별사', '별점': '4.0', '날짜': '2023.04.07.', '내용': '신속함.자세함.원장님1 카운터1  끝.\n가족같은분위기ㅋㅋ 신속.정확함.근디카운터 간호사분 무서워 친절은한데.먼가... 더보기', '좋아요': '0'}]","{'화': '09:30 ~ 17:30', '수': '09:30 ~ 17:30', '목': '09:30 ~ 17:30', '금': '09:30 ~ 17:30', '토': '09:30 ~ 13:00', '월': '09:30 ~ 17:30'}"
만세정형외과의원,1.8,성북구 화랑로 248 장위뉴타워 4층 401~404호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA1MzFfNDYg%2FMDAxNzE3MTU2NDUxMDQw.s_dNSnt7pIbO7R9pNU1v41jDlBlVd7i3yGYpgnOtBucg.RKPIbdNRY45tfDHF7nH49nYhKNH0j_cIY_ZsXV9HRR4g.JPEG%2F2._%25EB%25A9%2594%25ED%2583%2580%25EA%25B0%2592_%25EB%25A9%2594%25EB%25AA%25A8%25EC%259E%2591%25EC%2597%2585_%25EC%2597%2586%25EC%259D%25B4_(1).jpg%3Ftype%3Dw580,"[{'작성자': '진아온나', '별점': '1.0', '날짜': '2024.08.12.', '내용': '일단 간호사들부터 불친절하고 제대로 얘기를 들어주지도 않고 과잉진료하는 것 같아요…여긴 진짜 다신 안 와야지.', '좋아요': '0'}, {'작성자': '한일수', '별점': '5.0', '날짜': '2024.07.18.', '내용': '원장님의 친절한 설명 치료 잘 받았습니다', '좋아요': '0'}, {'작성자': '하찌하찌', '별점': '1.0', '날짜': '2024.07.14.', '내용': '고관절 아파서 갔더니 촉진도 안해주고 물리치료만 받다 악화돼서 다른 곳 가서 보니 염증에 물에..악화 되기만 해서 어디서 받았냐 물어보더라고요; 여기서만 받았다면 큰일 날 뻔 했습니다', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00'}"
서울성모의원,2.9,성북구 돌곶이로 59 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fa9c2f6362232ce6ee0739a2ce8463d84dd8549a2%3Foriginal,"[{'작성자': '쩝', '별점': '1.0', '날짜': '2025.03.30.', '내용': '편도염은 입만 벌려보면 되는걸 다른 병원에서 독감 키트 해봤는데 안 나왔다고 해도 독감 코로나 이중 키트 하라고 해서 필요없는 돈이 나갔습니다', '좋아요': '0'}, {'작성자': '일반인', '별점': '5.0', '날짜': '2025.02.15.', '내용': '좋기만 하다.\n의사 선생님이 친절하다고 느낄때도 있지만 딱딱하다고 느껴질때도 있다.\n한마디로 시크하시다.\n하지만 봐줄꺼... 더보기', '좋아요': '0'}, {'작성자': '밍키', '별점': '1.0', '날짜': '2024.08.14.', '내용': '간호사들은 친절하신데\n진짜 의사 왜이렇게 불친절해요? \n사람상대하니까 힘들겠지 이해해도... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '매달 첫번째, 세번째, 다섯번째 일요일'}"
