name,score,address,img_url,reviews,open_hour
고려대학교 안암병원,2.1,성북구 고려대로 73,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjhfMjgz%2FMDAxNzM1Mzg0ODUxOTY5.1Z0_oParEZMxjLZ6QhLcdW75otCPHBiKdk3zA4UPBS0g.tMsWTSmnVTCnifW6W0pd2oKcU2UoDC-RXp1zY-ZJuukg.JPEG%2FSE-a2113616-c388-11ef-90c3-b9ae17fb2dc7.jpg%3Ftype%3Dw966,"[{'작성자': '추추뚜비12세', '별점': '5.0', '날짜': '2025.03.21.', '내용': '여기서 입원 했었는데 하루 지나니까 나아서 신나게 놀고 퇴원 했었어요', '좋아요': '2'}, {'작성자': 'jm', '별점': '1.0', '날짜': '2025.03.16.', '내용': '간호사분께서 매우 불친절하십니다.\n그래도, 평소에 고생하시니 1점이나 드리고 갑니다.', '좋아요': '0'}, {'작성자': '이봉희', '별점': '5.0', '날짜': '2025.03.15.', '내용': '15년도에 메르스로 유행했을때  가슴통증증상이 있어습니다   맨처음 한양대 응급실 내원했었는데  간수치가 이상있다고해서 별다른 조치없이 귀가했는데 그후4일후에  증상이반복돼어서 메르스땜\n불안했... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '월': '09:00 ~ 17:30'}"
우신향병원,,성북구 안암로 99,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjlfMTkw%2FMDAxNzMyODY0NTMyOTk2.4B5tKdFUszfpC6g5-NqulgZHudgchKjfgQ1PpxUJxRkg.n9mV-5LsXeRBQRHO7yiHUBSpARz40ygkjhcGLgtmGckg.JPEG%2FSE-07b32206-ead4-44c5-9180-863309ba9687.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:00', '월': '09:00 ~ 18:00'}"
고운숨결내과의원,,성북구 고려대로13길 8 3-4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F22A5A18D2DE14B7094EA0B66878E6EE6,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '08:00 ~ 16:00', '수': '휴무일', '목': '08:00 ~ 16:00', '금': '08:00 ~ 16:00', '토': '08:00 ~ 11:00', '일': '휴무일', '월': '08:00 ~ 16:00', '휴무일': '공휴일'}"
고려대학교안암병원 권역응급의료센터,1.5,성북구 고려대로 73 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F127254B508F54D269C9DB0114E0041AA,"[{'작성자': '중사', '별점': '1.0', '날짜': '2025.03.29.', '내용': '열이 40도였는데 응급 아니라고 내보냄 이것까진 교수도 부족하고 바쁘니깐 그럴 수 있다고 생각함. \n근데 환자 앞에서 계속 자기들끼리 떠드는 행동은 심히 당황스러웠음. 단순 사... 더보기', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2025.02.22.', '내용': '모든 사람들이 정말 불친절합니다. 가능하면 가고 싶지 않아요.', '좋아요': '0'}, {'작성자': '용선', '별점': '1.0', '날짜': '2025.01.08.', '내용': '집에서 열이 40도까지 오른 상태에서 급하게 택시 타고 방문했는데 체온 체크하고 혈압 체크한 뒤에 의사가 1명이고 중... 더보기', '좋아요': '2'}]",{}
위드치과의원,4.9,성북구 개운사길 8 타이거빌딩 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0E37BAC6CEFA4918842424E0B4F8CA0F,"[{'작성자': '아련', '별점': '5.0', '날짜': '2024.12.27.', '내용': '신동운 원장님이랑 카운터 선생님들, 치위생사 선생님들 다 너무 친절하고 전문적이셔서 방문할 때마다 인류애 충전하고 가요 👍🥰', '좋아요': '2'}, {'작성자': '스무디', '별점': '5.0', '날짜': '2024.07.19.', '내용': '원장선생님 굉장히 전문적이시고 궁금한거 끝까지 대답해주심. 근데 말투가 유아인', '좋아요': '0'}, {'작성자': '솜솜', '별점': '5.0', '날짜': '2024.05.09.', '내용': '치위생사 은혜님?이셨나 여태껏 받아본 스케일링 중 가장 꼼꼼하게 해주셨어요. 설명도 프로페셔널하게 잘 해주셔서 만족했습니다 :) 근데 레진으로 때울 수 있는 치아인데 인레이 해야한다고 하셔서 좀 과잉진료같아요. 다른 치과에서 레진했어요', '좋아요': '1'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 21:00', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '공휴일'}"
사람인치과의원,4.5,성북구 고려대로27길 4 석우빌딩 4층 401호,,"[{'작성자': '신재인', '별점': '5.0', '날짜': '2025.03.17.', '내용': '친절하셔서 좋았습니다!', '좋아요': '0'}, {'작성자': '평가왕', '별점': '5.0', '날짜': '2024.01.09.', '내용': '사람인이 잡코리아보다 훨 낫다', '좋아요': '0'}, {'작성자': '양재헌', '별점': '5.0', '날짜': '2023.07.22.', '내용': '와드', '좋아요': '0'}]","{'화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '14:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 14:00', '월': '10:00 ~ 18:30'}"
고려대학교 안암병원 메디컴플렉스 신관,0.0,성북구 고려대로 73,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA2MDJfMTQ0%2FMDAxNzE3MzEwNDk5MTAy.fqr1khH1LOKa9ZZnnQ5dE5hT_fat3pW8D2PP0RyAyOYg.AQPmxFnhPabzbRlOT0JBiBNIpphlmeWlaWU1IHWBmkEg.JPEG%2F3364EFE3-C950-4167-98B2-9BB28A47FF08.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
엘와이엔치과,4.6,성북구 안암로 19 세화빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMzBfMjk5%2FMDAxNzMyOTY2OTgwNjY5.mRvges60lLY8D_szE5c3PK6wczsXg_34HRtcg9xbHmwg.ukUvAwkmW2mzyEQB3skJijEk4Lsdck7KsDAXdm5hFdMg.JPEG%2Foutput_1953333654.jpg%3Ftype%3Dw966,"[{'작성자': '김정일입니다', '별점': '5.0', '날짜': '2024.07.18.', '내용': '친절히 잘 진료하십니다. 정기적으로 진료 받고 있어요', '좋아요': '0'}, {'작성자': '¡Qué rico!', '별점': '5.0', '날짜': '2024.05.16.', '내용': '집이 50분 거리인데 치과는 여기로 다닙니다. \n과잉진료 없고, 너무 꼼꼼하시고, 가격도 굉장히 합리적이고, 의사 쌤 너무너무 친절하시고 자세히 설명해주세요. (뭐뭐 하면 치아... 더보기', '좋아요': '0'}, {'작성자': 'you', '별점': '5.0', '날짜': '2022.10.20.', '내용': '병원 방문전 전화로 예약여부 확인하면서 아픈상태 상담했더니 매우 친절하게, 안알려주셔도 되는 내용까지 상세하게 알려주심 감동받음 ㅠ\n아래 후... 더보기', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:30 ~ 18:00', '휴무일': '매주 토요일, 일요일'}"
임충남치과의원,4.1,성북구 안암로 77 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF132395BDACF4FDC91BC110C93E6317C,"[{'작성자': '김대용', '별점': '5.0', '날짜': '2025.01.17.', '내용': '이 치과에서 27~8년전에 치료 받았고 금으로 치아 여러개를 씌워서 지금까지도 잘 쓰고 있습니다. 원장님은 그 당시에도 환자 입장에서 친근하게 배려해 주셨고 환자부담도 줄여주시려 진심을 다하셨습니다. 한 1... 더보기', '좋아요': '0'}, {'작성자': 'modulator', '별점': '5.0', '날짜': '2023.12.18.', '내용': '정확하게 진단해주시고 친절하게 설명해주셔서 좋았습니다. 치아에 필요한 진료만 정확하게 해주시고 자연치아를 가능한한 보존할 수 있는 방향으로 보존적인 진료를 해주심에 감사했습니다.', '좋아요': '0'}, {'작성자': '고려', '별점': '1.0', '날짜': '2023.08.16.', '내용': '... ...', '좋아요': '0'}]","{'화': '10:00 ~ 17:30', '수': '10:00 ~ 17:30', '목': '10:00 ~ 12:30', '금': '10:00 ~ 17:30', '토': '10:00 ~ 12:30', '일': '휴무일', '월': '10:00 ~ 17:30', '휴무일': '공휴일'}"
동성제일한의원,4.8,성북구 안암로 105 1층,,"[{'작성자': '맛집감별사', '별점': '5.0', '날짜': '2024.12.01.', '내용': '여자한의사분이라 편안함..', '좋아요': '0'}, {'작성자': '라부링', '별점': '5.0', '날짜': '2024.06.20.', '내용': '친절하시고 좋아여 편하게누워서 침맞고 전기찜질(?) 받고 부항 했더니 몸이 개운해짐', '좋아요': '0'}, {'작성자': '으앗', '별점': '3.0', '날짜': '2024.05.13.', '내용': '잘봐주시는것같기는한데 효과는 잘 모르겠다\n약이 처방되서 나오니 값이 거의 2만원나와서 놀랐다...', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 13:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:30', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '매주 일요일'}"
에이치앤비의원,4.4,성북구 고려대로 89 2-3층,,"[{'작성자': '5점솔직', '별점': '5.0', '날짜': '2025.03.21.', '내용': '의사선생님 항상 진료도 성심성의껏 봐주시고 너무 감사드립니다. 적게일하시고 많이 버세요 라고 하고싶지만 항상갈때마다 사람이 많더라구요.. 암튼 돈 많이버세요 !!', '좋아요': '0'}, {'작성자': '최 영', '별점': '5.0', '날짜': '2025.02.12.', '내용': '친절하세요.', '좋아요': '0'}, {'작성자': '이수현', '별점': '5.0', '날짜': '2024.12.24.', '내용': '혼자 자취 시작하고 이렇게까지 아파본적 없는데 너무 몸이 안좋아져서 갔어요 사람이 너무 많아서 조금 힘들었지만 간호사 선생님도 의사선생님도 너무 친절하시고 잘해주셔서 눈... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
서울의원,1.4,성북구 고려대로 92 2층,,"[{'작성자': 'lou', '별점': '1.0', '날짜': '2024.12.24.', '내용': '여기 의사쌤 너무 이상합니다. 전문성은 1도 없고 사람말은 듣지도 않아요. 절대 가지마세요', '좋아요': '1'}, {'작성자': '♡숙♡', '별점': '1.0', '날짜': '2024.09.02.', '내용': '후기보고 갈껄후회 합니다\n진료는 그렇다치고 진료실..보고 깜놀\n창고같은곳에서  진료를 하... 더보기', '좋아요': '0'}, {'작성자': '장순욱', '별점': '1.0', '날짜': '2024.02.06.', '내용': '진료 너무 대충하고 불친절하고 반말심함.', '좋아요': '0'}]","{'화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 12:30', '월': '10:00 ~ 18:00'}"
이민수정신건강의학과의원,3.5,성북구 고려대로24길 20 3층,,"[{'작성자': '좋은 곳은 좋다고 함', '별점': '5.0', '날짜': '2023.12.06.', '내용': '젊은 의사분은 아니라서 말투가 조금 단호한 부분이 있으시긴 한 것 같은데 전 만족해요. 약도 잘 듣고. 평이 안좋길래 고민 많이 했는데 전 무난한디요~', '좋아요': '1'}, {'작성자': 'Hailey', '별점': '5.0', '날짜': '2023.11.25.', '내용': '매사 남한테 관심 없는 성격이라 그런가 의료진이 친절한가 불친절한가는 잘 모르겠고 약은 잘 해주세요. 예약 하고가도 기다려야 되는건 불편 합니다만 이건 운빨이라 그날 그날 달라요.', '좋아요': '1'}, {'작성자': '창', '별점': '1.0', '날짜': '2023.10.24.', '내용': '마음의 짐만 더 생김. 그냥 가지마세요', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '토': '09:30 ~ 16:00', '월': '09:30 ~ 18:30'}"
고려대학교안암병원 신경과,1.0,성북구 고려대로 73,,"[{'작성자': '장영옥', '별점': '1.0', '날짜': '2020.07.24.', '내용': '친정엄마병환으로 담당교수를 찾아 증상을 말씀드리는데 엄마 말을 한귀로 듣고 한귀로 흘리라는 의사가 있네요 그말같지 않은 말에 반대의견을 냈더니 자기말에 토단다는 식으로 버럭질을 하구요 고대안암병원에 이런의사도 있네요', '좋아요': '5'}]","{'화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 12:00', '월': '09:00 ~ 17:30'}"
휴앤힐정신건강의학과의원,3.0,성북구 고려대로24길 11,,"[{'작성자': '현우', '별점': '5.0', '날짜': '2024.07.04.', '내용': '선생님 정말 친절하게 상담 진행해주셨어요! 저는 진료 받을 때 좋았습니다.', '좋아요': '1'}, {'작성자': '김재희', '별점': '1.0', '날짜': '2024.05.08.', '내용': '의사가 무능하고 환자한테 막말해요 직원분도 불친절하심', '좋아요': '0'}, {'작성자': 'grogu', '별점': '5.0', '날짜': '2024.05.01.', '내용': '평이 너무 안좋아서 충격이네요.. 중간에 선생님 바뀌셨다고 했는데 그래서 그런가..? 저는 여기 의사선생님 너무 좋으셨고 약도 잘 맞았습니다', '좋아요': '0'}]","{'화': '09:30 ~ 17:30', '수': '09:30 ~ 12:30', '목': '09:30 ~ 17:30', '금': '09:30 ~ 17:30', '토': '09:30 ~ 12:30', '월': '09:30 ~ 17:30'}"
안암부부한의원,,성북구 고려대로24길 36 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:30 ~ 20:00', '수': '09:30 ~ 20:00', '목': '09:30 ~ 20:00', '금': '09:30 ~ 20:00', '토': '10:00 ~ 15:00', '일': '휴무일', '월': '09:30 ~ 20:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 성탄절'}"
닥터민치과의원,4.5,성북구 개운사길 5 세한빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4ea92ba623d9fef5b3ba659b299e4c386904e881%3Foriginal,"[{'작성자': '한정미', '별점': '5.0', '날짜': '2024.11.29.', '내용': '사랑니 발치했는데 정말 안 아프게 뽑아주셨어요\n붓지도 않고 너무 깔끔하게 뽑아주셔서 감사했습니다☺️\n직원분들도 너무... 더보기', '좋아요': '0'}, {'작성자': '박재훈', '별점': '5.0', '날짜': '2024.10.03.', '내용': '덤터기씌우기 제로, 학생할인 있음.', '좋아요': '0'}, {'작성자': 'Aling', '별점': '1.0', '날짜': '2024.10.01.', '내용': '생각보다 불친절하고 스케일링하고 신경 다쳐서 병원옮겨야하는데 사과도 안하는...의사는 잘모르겠는데 간호사가 진짜 실력이 없어요', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '일': '휴무일', '월': '09:30 ~ 18:30', '휴무일': '매주 일요일'}"
