name,score,address,img_url,reviews,open_hour
의료법인유라의료재단 온누리요양병원,1.0,성북구 화랑로 271,,"[{'작성자': '결사항댓', '별점': '1.0', '날짜': '2024.06.30.', '내용': '위생시설 불쾌', '좋아요': '0'}, {'작성자': '눈이부시게', '별점': '1.0', '날짜': '2024.05.06.', '내용': '이런 나쁜 요양 병원은 절대 가지 마세요..\n이름만 좋으면 뭐합니까?  똑바로 해라.', '좋아요': '0'}, {'작성자': '정화', '별점': '1.0', '날짜': '2023.05.15.', '내용': '고관절 골절로 수술후 재활도 되고 간병인도 가능하다고 해서 입원했는데 수술병원에서 꼭 착용해야한다고 한 보조기구도 간병인이 기저귀갈기 불편하다고 다 빼버리고 간호사한테 환자의  주의할점을 얘기했지만 건성으로 듣... 더보기', '좋아요': '5'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
장위연세이비인후과의원,4.0,성북구 화랑로 245 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTNfMTA1%2FMDAxNzMxNDgyODEwNDU5.gVh8gZjX3-F34tGF4ATW2uo9h6IgXXbwQcc-lgn_6kIg.eytpzqkpDIQIrjUTqich-emn-V-NYrnJn5gAvr2nYaYg.PNG%2FSE-3570e411-e36a-4840-8ac7-ee9f4ea36f93.png%3Ftype%3Dw580,"[{'작성자': 'ㅎㅎ', '별점': '3.0', '날짜': '2025.01.17.', '내용': '의사선생님은 친절하신데 간호사님들은 왜이렇게 잡담을하는지..그 내용도 환자 뒷담화고.. 환자에 따라서 대하는 태도가 너무 다른데...할아버지 할머니한테 싸가지없이 좀 하지마세요', '좋아요': '0'}, {'작성자': '빵돌', '별점': '1.0', '날짜': '2025.01.06.', '내용': '19시까지 진료라서 회사 퇴근 후 뛰어서 간신히 도착하니 18:40 였습니다.\n마감이라고 진료를 더이상 받지 않더군요.\n... 더보기', '좋아요': '0'}, {'작성자': '...', '별점': '3.0', '날짜': '2024.12.27.', '내용': '생긴지 얼마 안되어서 병원 내부는 깨끗한 편임.\n간호사들과 의사선생님은 불친절한건 아닌데 좀 체계가 안잡힌 느낌과 운영 방식이 좀 느림.간호사들은 3명씩이나... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '휴무일': '공휴일'}"
성심플러스내과의원,4.8,성북구 돌곶이로 191 2층 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1441e956a66f5e86528b1461a3135a282df96b9b%3Foriginal,"[{'작성자': '수땡', '별점': '5.0', '날짜': '2025.01.06.', '내용': '엄마모시고 갔는데, 의사선생님 정말 친절하셨어요.  선생님 소리가 딱 어울리는, 좋은 의사 선생님.', '좋아요': '0'}, {'작성자': '다던', '별점': '5.0', '날짜': '2024.11.12.', '내용': '진료 꼼꼼하고 친절하게 봐주세요.\n병원 모든 분들이 친절하셨습니다 :)', '좋아요': '0'}, {'작성자': 'ej', '별점': '5.0', '날짜': '2024.06.20.', '내용': '의사선생님과 간호사선생님이 웃고 있는\n친절하고 차분한 병원이네요\n아이 드레싱때문에 방문했는데 상처소독에 따가워하니 ... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
참이비인후과의원,2.8,성북구 장월로 146 2층,,"[{'작성자': '.', '별점': '5.0', '날짜': '2025.03.22.', '내용': '여긴 다 좋아서 그런지 사람이 너무 많아서 진료 대기시간이 김', '좋아요': '0'}, {'작성자': '브이햄서터', '별점': '5.0', '날짜': '2025.02.09.', '내용': '여기 좋은데 안 좋은 후기가 많네요 친절하세요!!🍀', '좋아요': '0'}, {'작성자': 'Dong', '별점': '1.0', '날짜': '2024.11.16.', '내용': '장위동에 이비인후과 하나 더 안 생기나요? 근처에 여기밖에 없으니 코뼈 휘어서 코골이 수술 해야 된다고 수술했는데 변한 것은 없고 불편함만 더 생겼네요.... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
박앤김내과의원,3.9,성북구 장위로 127-1 한양빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1614D0C5BDCB45F3A55C74154BE6BF50,"[{'작성자': '한건호', '별점': '5.0', '날짜': '2025.03.05.', '내용': '운동도 하고 식단 조절도 하는데 혈당이 잘 잡히지 않아서 상담받았어요.\n집에서 펩티드요법을 하면서 관리하니 수치가 점점 좋아지고 있어요. 감사합니다.', '좋아요': '0'}, {'작성자': '창희', '별점': '5.0', '날짜': '2025.02.14.', '내용': '지인 추천으로 방문했는데 진료도 병원도 쾌적하고 진료 잘봐주심.', '좋아요': '0'}, {'작성자': '맛좋은 나무', '별점': '5.0', '날짜': '2025.02.14.', '내용': '이원장님께서 친절하게 진료 봐주셔서 좋았어요!', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
올바른마취통증의학과의원,,"성북구 화랑로 245 태이빌딩 2,3층 201~202,302호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_133478932,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 19:50', '수': '09:00 ~ 18:00', '목': '09:00 ~ 19:50', '금': '09:00 ~ 19:50', '토': '09:00 ~ 13:50', '월': '09:00 ~ 19:50', '휴무일': '공휴일'}"
해인정형외과의원,3.0,성북구 한천로 743,,"[{'작성자': '이하나', '별점': '5.0', '날짜': '2024.10.12.', '내용': '선생님 스타일이 좀 우리네 아부지들 같은 느낌이라 그렇지 불친절까진 아님. 츤츤거리면서 환자 걱정해주심. 필요한 진료만 깔끔하게 해주시고 집에서 관리 잘하라고 이것저것 얘기해주셨음.', '좋아요': '0'}, {'작성자': '고윤수 (Lawrence)', '별점': '1.0', '날짜': '2024.08.07.', '내용': '간호사나 데스크나 불친절 속된말로 싸가지없고 의사도 돈에 미쳐가지고 앞으로 어떻게되는지물어봐도 그냥 일단 당분간나오라하네요. 별것도안하고 진료비만 받으면서', '좋아요': '0'}, {'작성자': '김종석', '별점': '1.0', '날짜': '2024.06.24.', '내용': '칭찬&불만 댓글이 다 맞는거 같아요\n어떻게 받아들이냐가 문제인듯요ㅎ\n근데 아파서 간 ... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
에스유마취통증의학과의원,4.2,성북구 돌곶이로 183 3-4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB3F6010E610A46C4B408A0F9F5867CF0,"[{'작성자': '힘들다', '별점': '1.0', '날짜': '2024.09.15.', '내용': '어떤치료을 하는지 설명도 없음 어떤 약제가 들어가나요 ? 질문에 그럴수도....휭하고 도망치듯 사라짐 주사실 여직원만 친절했음 몇번 갈때마다 병원에 환자가 없어 신기했는데...이유가 있을듯함', '좋아요': '0'}, {'작성자': '희원', '별점': '1.0', '날짜': '2024.08.10.', '내용': '의사샘 성격 엄청 급한듯...자기할 말만 하고 환자 얘기 잘 안들으려고함... 물어 보려면 입을 막는듯 ...귀찮아하는듯함... 아침 출근시간에도 늦게 나오고 미안하단 얘기도 없슴...  무시하는듯한 인상을 받음... 후기 보면... 더보기', '좋아요': '1'}, {'작성자': '맛집감별사', '별점': '5.0', '날짜': '2024.07.03.', '내용': '통증클리닉 에스유  정답', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:00', '휴무일': '공휴일'}"
좋은이비인후과의원,3.5,성북구 돌곶이로27길 79,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F017f1fb9a4255dad73a714ffab4bff30e3003f91%3Foriginal,"[{'작성자': '당근', '별점': '5.0', '날짜': '2025.01.04.', '내용': '대기 길지않고 괜찮아요 증상 꼼꼼히 물어보고 처방해주시네요 과진료도 없구요 후기보고 망설였는데 전 좋았어요 이틀치를 기본처방하시는듯한데 그때못온다하면 바꿔주시더라구요 뭣보다 약이 잘들어서 그게 제일 좋네요', '좋아요': '0'}, {'작성자': '', '별점': '5.0', '날짜': '2024.03.04.', '내용': '증상에 맞게 처방 잘하시는거 같아요', '좋아요': '0'}, {'작성자': '현사마♥', '별점': '5.0', '날짜': '2024.02.28.', '내용': '깔끔하고 친절합니다~ 자세한 설명도 해주셔서 진료 잘 받고 왔습니다^^', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:30'}"
최준내과의원,3.2,성북구 돌곶이로 174-1 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MjNfMzYg%2FMDAxNjkyNzY5MDAxODY4.m27GJTgTNCXCU8i6DfJIZ_7iQmLorKCWvLxPnKkHEAAg.sO3VoGVO9MHTcY8uJLrhSFxqmafZHhnNkCJ982zdRZYg.JPEG.osteoplus%2F20230817_131035.jpg%3Ftype%3Dw773,"[{'작성자': '장', '별점': '5.0', '날짜': '2024.02.19.', '내용': '원장님 시크하신데 진료 빠르게 잘 봐주시고 간호선생님들은 무난하게 좋았어요!!', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2024.02.03.', '내용': '그냥 무난하게 괜찮고 간호사나 의사분도 적당히 친절했어요', '좋아요': '0'}, {'작성자': '장위동 주민', '별점': '1.0', '날짜': '2023.06.10.', '내용': '접근성은 좋습니다. 집 앞이니까,,\n전문성과 친절을 생각하신다면 왠만하면 다른병원으로 가시는게.. 진료나 처방에 대한 설명도 거의 없고 친절하지도 않고... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
