name,score,address,img_url,reviews,open_hour
성북참요양병원,4.0,성북구 북악산로1길 71,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F48A3467A546E4D97AE177D3A69901012,"[{'작성자': '-', '별점': '5.0', '날짜': '2024.02.21.', '내용': '서울대병원에서 가까운 암요양병원이어서 좋습니다. 차량운행하시는 분들부터 원무과선생님, 의사선생님까지 환자들에게 참 친절합니다', '좋아요': '4'}, {'작성자': '사랑', '별점': '5.0', '날짜': '2022.12.12.', '내용': '저는대장암 수술을받고 성북암요양병원에서 요양했습니다 그곳에는 교회가 있어 새벽이나 밤중이나 언제라도 기도할수 있어서 고통과 염려와 불안을 이겨내며 병상생활을 할수 있었습니다 무엇보다도 주일... 더보기', '좋아요': '1'}, {'작성자': '유동현', '별점': '5.0', '날짜': '2022.11.28.', '내용': '병원 주변의 경관도 좋고 시야가 탁 트여있어서 저절로 힐링되는 느낌이 드는 곳이네요.\n내부 인테리어나 편의 시설 모두 훌륭하고, ... 더보기', '좋아요': '3'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '매주 토요일, 일요일'}"
새마음요양병원,3.5,성북구 동소문로 215,,"[{'작성자': '이덕현', '별점': '5.0', '날짜': '2023.08.15.', '내용': '친절하고 최선을 다하는 모습으로 다가가는 자세가 좋습니다. 다 좋을순 없어도 간호사와 간병사, 그리고 직원모두가 진심으로 느껴지는 병원임을 알수있었습니다.\n주변 요양병원 대비 강추드립니다~', '좋아요': '0'}, {'작성자': '윤성욱', '별점': '3.0', '날짜': '2022.05.10.', '내용': '병원 관계자 입니다 아래 댓글로 달린 글을 봤습니다  많이 반성 하겠습니다 \n늘 조금이라도 친절하고 설명을 잘해주려는 병원으로 모토를 삼고 있으나  ... 더보기', '좋아요': '2'}, {'작성자': '링킨', '별점': '1.0', '날짜': '2021.12.29.', '내용': '입원하자마자 살이 빠지더니\n코로나로 인해 면회를 못가는동안\n재활운동은 전혀 안한건지 사... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 12:30', '일': '휴무일', '월': '09:00 ~ 17:30', '휴무일': '공휴일'}"
플러스요양병원,4.0,성북구 솔샘로1길 19 그린존 1~6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F357A99126D004D408F415FEEE633C55C,"[{'작성자': '이마리아', '별점': '5.0', '날짜': '2023.11.04.', '내용': '의료진분들이 가족처럼 친절하시고 병실이 깨끗하고 너무 좋아요~', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
숨편한인광호내과의원,4.5,성북구 보국문로 68-1 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2009da06bf4f0e658d81e1c9694ef0b7e3f9ed96%3Foriginal,"[{'작성자': '장동현', '별점': '5.0', '날짜': '2025.01.31.', '내용': '원장님이 꼼꼼하게 잘 봐주십니다. 직원분들도 친절하고요.', '좋아요': '0'}, {'작성자': '花樣年華 🌹', '별점': '5.0', '날짜': '2025.01.03.', '내용': '우선 깨끗하고 청결한 시설이 좋아요 😊\n또 원장님이 세심하게 진료해 주시고 자세하게 설명해 주십니다\n일주일... 더보기', '좋아요': '0'}, {'작성자': 'jw', '별점': '5.0', '날짜': '2025.01.02.', '내용': '진단도 진단이지만 약 처방해 주시는게 진짜 잘 들음.', '좋아요': '0'}]","{'화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '목': '휴무일', '금': '09:00 ~ 17:00', '토': '09:00 ~ 12:30', '일': '휴무일', '월': '09:00 ~ 17:00', '휴무일': '공휴일'}"
연세올바른정형외과의원,2.7,성북구 보국문로 57 지하1층 ~ 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD877D77993E6403B96B906C55491F9E8,"[{'작성자': '환자임', '별점': '4.0', '날짜': '2021.07.24.', '내용': '발바닥이 아파서 인터넷 찾아보고 족저근막염일 것이라고 생각하고 방문했어요. 처음 방문 한 날은 오후 3시 도착 4시에 진료 받고, x-ray찍고 대기하고... 물리치료 5시쯤 ... 더보기', '좋아요': '0'}, {'작성자': '안은미(아로미)', '별점': '4.0', '날짜': '2019.06.14.', '내용': '의사쌤 유쾌하시고, 연예인 닮음... 진심으로 치료해 주실것 같은 느낌..\nBUT 대기 시간 대환장파티임.  \n직장인 점심시간... 더보기', '좋아요': '1'}, {'작성자': 'Ailena Kim', '별점': '4.0', '날짜': '2018.08.09.', '내용': '사람이 많아서 대기가 길긴 하지만 의사선생님도 유쾌하고 간호사선생님들도 전반적으로 무난 친절하심', '좋아요': '2'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
정릉이비인후과의원,4.8,성북구 보국문로 51,,"[{'작성자': '-', '별점': '5.0', '날짜': '2025.02.28.', '내용': '간호사나 의사쌤이 친절하진 않음 하지만 의사쌤이 꼼꼼하게 치료해주고 약처방을 잘해줘서 다른데서 약 먹느니 여기서 치료받고 약먹는게 빨리나음', '좋아요': '0'}, {'작성자': '이민성', '별점': '5.0', '날짜': '2025.01.10.', '내용': '비염으로 숨쉬기 힘들었는데, 진료받고 도움을 많이 받았어요. 집에서 알려주셨던 무첨가물 도라지고를 꾸준히 먹고 나니 코막힘이 많이 좋아졌습니다 ^^', '좋아요': '1'}, {'작성자': 'ㅡ', '별점': '5.0', '날짜': '2024.09.25.', '내용': '아플 때마다 오고있는데, 의사선생님도 간호사님들도 정말 친절하시고 좋아요', '좋아요': '0'}]","{'화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00'}"
오이비인후과의원,,성북구 보국문로 43 야원빌딩 2층 17호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F36BF4986B0454D9AAFE51F4313493ADF,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:30', '월': '09:00 ~ 18:30', '휴무일': '공휴일'}"
한솔내과의원,3.9,성북구 보국문로18길 1 4층 401호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1ac2b680ce9f43ad568b6a5968cb9f57a8ade0ca%3Foriginal,"[{'작성자': '박한나', '별점': '3.0', '날짜': '2024.08.24.', '내용': '예전에 코로나 주사 맞으러 다녀왔을때 원장 선생님이 친절하게 봐주셨던 기억이 나서 제가 어머니께 한솔내과 의원을 추천하였습니다.\n그리고 며칠전 어머니께서 건강검진 예약하려고 다녀오... 더보기', '좋아요': '0'}, {'작성자': '고기조아', '별점': '5.0', '날짜': '2024.07.29.', '내용': '간호사님들, 의사선생님들 전부 친절하셔요! 그래서 그런지 환자가 엄청 많네요', '좋아요': '0'}, {'작성자': 'AKnewbalance', '별점': '1.0', '날짜': '2024.03.10.', '내용': '의사선생님만 친절 노인네들만 다니는 병원 .... 여기서 성희롱 당함', '좋아요': '0'}]","{'화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:30', '일': '휴무일', '월': '08:30 ~ 18:00', '휴무일': '매주 일요일'}"
튼튼소아과의원,5.0,성북구 정릉로31길 6,,"[{'작성자': 'abcdefu', '별점': '5.0', '날짜': '2024.06.29.', '내용': '과잉진료 없고, 꼼꼼하고 친절하게 봐주십니다. \n의사샘, 간호샘들 모두 친절하고 프로페셔널하세요!!^^', '좋아요': '0'}, {'작성자': '이현엽', '별점': '5.0', '날짜': '2024.06.04.', '내용': '다른 분들 리뷰처럼 정말 친절하시고 자세히 진료를 봐주세요! 서울에 정착하고 아파서 많이 힘들었는데 의사선생님 덕분에 빨리 나을 거 같아요!!☺️', '좋아요': '0'}, {'작성자': '🌹junmiwoon family❤️', '별점': '5.0', '날짜': '2024.04.11.', '내용': '왜 평점이 좋은데는 이유가 있습니다 선생님 너무 친절하고 전문가 포스가 느껴지십니다!! 여기는 진료도 꼼꼼하게 봐주시고 간호사분들도 모두 친절하세요', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 12:30', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:00', '월': '09:00 ~ 18:00'}"
열린산부인과의원,3.1,성북구 정릉로36길 28-5,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F23beb5c140db4a6834a07e019569c5a30e4f64de%3Foriginal,"[{'작성자': '메롱', '별점': '1.0', '날짜': '2025.03.08.', '내용': '과잉진료 적당히 하세요 갑자기 초음파 검사해서 왜하냐고 물어봤는데 그냥 가만히 있으라고 하고 요청하지도 않는 피검사하고 젊은 여자 혼자 와서 검사하니까 만만하죠? ㅋㅋㅋ 특히 남자 원장 기분 나빠요 다신 방문하지 않을 예정입니다', '좋아요': '0'}, {'작성자': '히훃', '별점': '2.0', '날짜': '2025.02.18.', '내용': '과잉진료 심한 대표원장과 그걸 수습하느라 고생하는 접수처 직원들의 콜라보레이션.\n진짜 간단한 진료와 처방 받으러 갔는데 특별한 설명도 없이 불필요한... 더보기', '좋아요': '0'}, {'작성자': '🚨카페 오랑지 후기 조작중🚨', '별점': '5.0', '날짜': '2025.02.04.', '내용': '근처 ‘지인산부인과’ 성신여대쪽 진짜 비추천\n후기 미제공인 병원 가지 마세요', '좋아요': '5'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
