name,score,address,img_url,reviews,open_hour
성북우리아이들병원,2.7,"성북구 동소문로46길 10 2~7, 10층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA4MjJfOTgg%2FMDAxNjYxMTczMzU3OTQ2.y5jMrIX958d_ipvkQxvvhyoranutk_CMLkWt-HDagAwg.VtvlxvNvHhcNOdFR0JryKmzEsEtKkLUyeIRYIs4ELAkg.JPEG.moneyzup%2F20220818%25EF%25BC%25BF105315.jpg%3Ftype%3Dw966,"[{'작성자': '.', '별점': '5.0', '날짜': '2025.03.26.', '내용': '주차빼고 대만족 택시타고 가세요 강추강추', '좋아요': '0'}, {'작성자': 'mnm', '별점': '1.0', '날짜': '2025.03.07.', '내용': '주차 불편\n예약 시스템 신청 시간과 예약 안내 문자 시간... 더보기', '좋아요': '0'}, {'작성자': '✎﹏엄지혜^^Victoria', '별점': '1.0', '날짜': '2025.02.26.', '내용': '별 하나 주기도  아까워!!!\n카운터 일하는 여자들이 정말 싸가지 없어!!!\n그리고 의사가 환자의 병의 원인을 파악 하지 ... 더보기', '좋아요': '1'}]","{'화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 16:00', '일': '09:00 ~ 16:00', '월': '09:00 ~ 22:00'}"
사회복지법인성가소비녀회 성가복지병원,4.5,성북구 종암로 191,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F8cb47812c3b26ae96032b43a5477dc01484f8f2f%3Foriginal,"[{'작성자': 'Erylea', '별점': '1.0', '날짜': '2024.07.02.', '내용': '2/07/2024 \n\n오늘 근무하는 경비원은 매우 무례하고 인종차별적입니다. 의사와 간호사는 매우 훌륭하지만 이런 ... 더보기', '좋아요': '0'}, {'작성자': '범인', '별점': '5.0', '날짜': '2024.05.26.', '내용': '이런 곳이 있었다니', '좋아요': '0'}, {'작성자': '사랑해❤️', '별점': '5.0', '날짜': '2023.12.09.', '내용': '처음와보는데 정말친절해요.', '좋아요': '1'}]","{'화': '08:30 ~ 17:00', '수': '08:30 ~ 17:00', '목': '08:30 ~ 17:00', '금': '08:30 ~ 17:00', '토': '08:30 ~ 17:00', '일': '휴무일', '월': '휴무일', '휴무일': '공휴일'}"
에스메디센터내과외과의원,4.2,성북구 오패산로 99 동민빌딩 2~6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0957053A4F054663BC8D1650FA3EF1B8,"[{'작성자': 'IOCL', '별점': '4.0', '날짜': '2024.11.06.', '내용': '친절한 간호사 분들이 계셔서 좋은 곳. 다만 워낙 이용자가 많고 대기가 길어서 급한 진료 보시기에는 어려울 수 있습니다.', '좋아요': '0'}, {'작성자': '권영란', '별점': '5.0', '날짜': '2024.05.02.', '내용': '원장님이 너무 친절하고 실력이 좋아서 수술도 잘 받고 회복도 빨랐어요\n원장님 비롯하여 간호사님들 실장님 원무 부장님 ... 더보기', '좋아요': '0'}, {'작성자': '훈이', '별점': '5.0', '날짜': '2024.04.11.', '내용': '요근래 허리도 안좋고 다리도 무거워서 도수치료 받으러 왔는데 실장님이 정말 섬세하시고 실력도 좋으셔서 그런지 너무 시원하고 몸도 많이... 더보기', '좋아요': '0'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '휴무일': '공휴일'}"
동서요양병원,1.6,성북구 동소문로 306,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMTdfMTk5%2FMDAxNjc5MDMxMjE2NTI5.7ZgzHDro62xecGpzyhgfmuqRIwTUWV8wQmX_cyGj8Fgg.jnr3vv2m_-ZjILq9BoghBD1XPA8L3xvOqZKcMRJ1MHgg.PNG.jnugift%2F%25ED%258F%2589%25EA%25B0%2580%25EB%2593%25B1%25EA%25B8%2589_%25ED%2591%259C.PNG%3Ftype%3Dw966,"[{'작성자': 'sy', '별점': '1.0', '날짜': '2023.08.18.', '내용': '데스크 접수직원은 갈때마다 불친절하네요.', '좋아요': '1'}, {'작성자': 'DHL', '별점': '4.0', '날짜': '2023.06.24.', '내용': '상담하시는 부장님이 너무 친절하세요', '좋아요': '1'}, {'작성자': '🐳', '별점': '1.0', '날짜': '2023.03.29.', '내용': '진짜 별로에요\n직원 불친절하고 치료하고 재활하러 환자 입원시켰는데 산송장 만들었어요', '좋아요': '2'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:30', '월': '09:00 ~ 18:00'}"
메이퓨어의원 미아점,,성북구 동소문로 314 부영빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTBfMjE0%2FMDAxNzMxMjMzMDAxMDgw.OdAVQCXN-eh1iGpn7Qafzh0lKrOCXbsnpw5BF8CqQpog.PVEmHSWc0GJr1hIdmMtgAAAFeaQViKJU_9VSDpomascg.JPEG%2FIMG_4469.jpg%3Ftype%3Dw466,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:30 ~ 20:30', '수': '10:30 ~ 20:30', '목': '10:30 ~ 20:30', '금': '10:30 ~ 20:30', '토': '10:00 ~ 17:00', '일': '휴무일', '월': '10:30 ~ 20:30', '휴무일': '공휴일'}"
종암한의원,5.0,성북구 오패산로1가길 60,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '11:00 ~ 18:00', '수': '11:00 ~ 18:00', '목': '11:00 ~ 18:00', '금': '11:00 ~ 18:00', '월': '11:00 ~ 18:00'}"
서울탑마음클리닉 강북클리닉,2.0,성북구 월계로 4 세영빌딩 5층,,"[{'작성자': 'ㅇ', '별점': '1.0', '날짜': '2025.03.19.', '내용': '데스크직원들부터 풀배터리시켜라', '좋아요': '0'}, {'작성자': '갱', '별점': '5.0', '날짜': '2022.09.27.', '내용': '친절하시고 이야기를 잘 들어주십니다!\n제가 아이에대해 중구난방 이야기를 했는데 그 속에서 포인트를 잘 집어주셨어요.', '좋아요': '0'}, {'작성자': 'Big Bear Lee.', '별점': '1.0', '날짜': '2022.09.12.', '내용': '낫기는 커녕 사람 악화되게 만드는 돌팔이...\n거기다 더럽게 산만한 애기들 때문에 시끄럽고 짜증나요!\n간호사 또한 재수 없어!', '좋아요': '3'}]","{'화': '10:10 ~ 19:00', '수': '10:10 ~ 19:00', '목': '10:10 ~ 19:00', '금': '10:10 ~ 19:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '10:10 ~ 19:00', '휴무일': '공휴일'}"
연세고마운치과의원,4.5,성북구 동소문로 304 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA3MjNfMjUz%2FMDAxNjkwMDg1NDY0MjA2.FzZWqV2QhCFiS_C3tUT552yojjtpQnf19-WDynzp51Eg.aPeODLbtt7Oka9Y1BfLX-1hn6G5eI5hPAQyK2oG2S2Ig.PNG.gwonhyeok36427%2F1aa_MG_6168_004.png%3Ftype%3Dw386,"[{'작성자': 'kaiartmann', '별점': '5.0', '날짜': '2025.03.30.', '내용': '주차도 할수있고 원장님이 사람이 좋아보입니다. 병원도 크고 수면치료도 되고 심지어 일요일도 편하게 갈수있네요. 보통 일요일날가면 부원장님들만 있는데 여기는 원장님이 계서서 좋습니다!', '좋아요': '0'}, {'작성자': '톳', '별점': '5.0', '날짜': '2025.03.27.', '내용': '사랑니 4개 다 여기서 뺐어요. 사랑니가 꽤 빼기 어려운 위치였는데 원장님께서 잘 뽑아주셨어요. 그리고 데스크 직원 분께서 제가 가본 병원 중에서 가장 친절합니다...충치 검사도 양심적으로 해주시고, 질문에 친절하게 답변해주셔서 감사했어요.', '좋아요': '0'}, {'작성자': '남동윤', '별점': '5.0', '날짜': '2024.12.31.', '내용': '너무 원장님,간호사님들 모두 친절하시고 안아프게 최선을 다해주십니다. 가격마저도 친절한것같습니다.\n치과는 여기 추천드립니다!', '좋아요': '0'}]","{'화': '09:30 ~ 18:30', '수': '09:30 ~ 20:30', '목': '휴무일', '금': '09:30 ~ 18:30', '토': '09:00 ~ 14:00', '월': '09:30 ~ 20:30', '휴무일': '매주 목요일'}"
우리들이비인후과의원,2.7,성북구 월계로 52 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fcf48704a4f927605ce0bf9ab03d5ff1c071cf871%3Foriginal,"[{'작성자': '화이트', '별점': '2.0', '날짜': '2024.12.24.', '내용': '여러번 방문하는데 다른데 보다 더 친절하거나 더 나쁘거나는 잘모르겠는데 거기 간호 조무사 중에 체격이 크신분이 한분 계시는데 손님들에게 응대를 반말로하고 표정도 무척이나 안좋아요 이름을 ... 더보기', '좋아요': '0'}, {'작성자': '삼민호', '별점': '5.0', '날짜': '2024.08.06.', '내용': '계속 다니는데  원장님이 잘해주시고 잘봐주세요 거의다 맞는것 같아요', '좋아요': '0'}, {'작성자': 'ㅇㅇㅇ', '별점': '1.0', '날짜': '2024.01.26.', '내용': '약 처방해준다길래 무슨 약이냐고 여쭤보니 본인이 의사라며 궁금하면 직접 의사하라고 짜증냄', '좋아요': '1'}]","{'화': '08:30 ~ 18:00', '수': '휴무일', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:00', '휴무일': '매주 수요일, 일요일'}"
온누리산부인과의원,4.3,성북구 오패산로 10,,"[{'작성자': 'an2028', '별점': '5.0', '날짜': '2024.08.30.', '내용': '진료실에 보니 의학박사 학위 취득하신 명패가 있더라구요. 대학원생으로써 선생님이 엄청 대단하시다는 생각이 들며 신뢰감이 팍 들었습니다. 저는 초음파 검사도 했는데 화면을 보면서 친절하게 알려주셔셨어요. 각종 ... 더보기', '좋아요': '1'}, {'작성자': '라라', '별점': '5.0', '날짜': '2024.06.11.', '내용': '몸이 너무 안좋아서 예약했는데 제시간에 가지 못하고, 병원 마감하기 1분전에 도착했어요.. 그런데\n아무말씀 없이 너무 친절하게 진료 해주셨습니다 제 말도 잘 들어주... 더보기', '좋아요': '1'}, {'작성자': '강신향', '별점': '5.0', '날짜': '2024.05.12.', '내용': '의사 선생님도 엄청 친절하고 전문적이셨어요 간호사 분들도 친절하셨고요!\n오래됐다고는 하지만 그냥 평범한 동네 병원이에요 오히려 요즘 새로 지은 병원들이 넓고 대리석 쓰고 그래서 상대적으로 여기가 더 오래돼 보이는 것 같아여', '좋아요': '1'}]","{'화': '09:30 ~ 20:30', '수': '09:30 ~ 20:30', '목': '09:30 ~ 20:30', '금': '09:30 ~ 20:30', '토': '09:30 ~ 18:00', '일': '15:30 ~ 19:30', '월': '09:30 ~ 20:30'}"
박가정의학과의원,5.0,성북구 월계로 52 3층 303호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fbfbc05db7fbf8556d7cd918409e5093bbe075333%3Foriginal,"[{'작성자': '선이', '별점': '5.0', '날짜': '2025.03.29.', '내용': '다이어트에 효과짱입니다!!!', '좋아요': '0'}, {'작성자': 'DrQ¿', '별점': '5.0', '날짜': '2025.01.09.', '내용': '친구랑 인터넷 찾다찾다 다이어트성지라해서 \n또 속는샘치고 찾아가보았어요\n근데..왜 성지라구 후기와 댓글이 많은지 알겠... 더보기', '좋아요': '0'}, {'작성자': '박태훈', '별점': '5.0', '날짜': '2024.12.27.', '내용': '친절', '좋아요': '1'}]","{'화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 12:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00'}"
예지미의원,,성북구 화랑로 87 7층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '목': '휴무일', '금': '10:00 ~ 20:00', '토': '09:00 ~ 12:00', '일': '휴무일', '월': '10:00 ~ 20:00', '휴무일': '매주 목요일, 일요일'}"
명안과의원,4.1,성북구 오패산로 49 301호,,"[{'작성자': 'VC 와그에', '별점': '1.0', '날짜': '2023.09.08.', '내용': 'Hey. Dear  if you are foreigners find another clinic. This clinic workers are racist. And they don’t wanna take care of foreigner especially black people. 여기요. 친애하는... 더보기', '좋아요': '1'}, {'작성자': '리얼리뷰', '별점': '2.0', '날짜': '2022.06.21.', '내용': '평점 좋아서 갔는데 의사분 말투도 그렇고 피곤한 티가 너무 나고 불친절 하네요… 곡이라 되는건가?', '좋아요': '1'}, {'작성자': '수철', '별점': '5.0', '날짜': '2021.12.29.', '내용': '원장선생님 너무너무 친절하시고 간호사님도 너무 친절하세요\n그리고 중요한건\n증상에 대해서나 치료 관련해서 자세히 말해주시고\n시력 검사도 같이 있는... 더보기', '좋아요': '0'}]","{'화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 13:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 14:00', '월': '09:30 ~ 18:00'}"
