name,score,address,img_url,reviews,open_hour
뉴스타트병원,,송파구 송이로 76,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F254680425355B55D2C,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
경찰병원,2.3,송파구 송이로 123,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F0c8ce390f5bd18a5ce0da80eaa0d3aef35e1d93c%3Foriginal,"[{'작성자': '푸른숲', '별점': '5.0', '날짜': '2024.11.19.', '내용': '친절해요', '좋아요': '0'}, {'작성자': 'Bride', '별점': '1.0', '날짜': '2024.11.14.', '내용': '여기서 건강검진 받지 마세요.\n허리둘레 센치가 납득안되는 큰 수치가 나왔더군요. 살면서 살이 맥스로 쪘을때도 복부비만이 나온 적이 없는 체형이구요(지금 당... 더보기', '좋아요': '1'}, {'작성자': 'Kl', '별점': '1.0', '날짜': '2024.07.24.', '내용': '분명히 예약 날짜 잡을 때 24일로 확인 했는데\n정작 예약 날짜 와 보니까 23일로 예약 됬다며 취소됨 3,4 헷갈릴까 봐 처음부터 재차 확인하면서 ... 더보기', '좋아요': '0'}]","{'수': '08:30 ~ 16:30', '목': '08:30 ~ 16:30', '금': '08:30 ~ 16:30', '토': '08:30 ~ 11:30', '일': '휴무일', '월': '08:30 ~ 16:30', '화': '08:30 ~ 16:30', '휴무일': '공휴일'}"
서울병원,3.0,송파구 오금로 290,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F253A304455E8FEA01F,"[{'작성자': '있는 그대로', '별점': '1.0', '날짜': '2025.03.19.', '내용': '여기 치과는 의료가 아니라 장사임. 다른 치과에선 다 문제 없다 했는데 여기서만 별 걸 다 트집 잡아서 돈 떼먹으려고 함. 다신 안 옴.', '좋아요': '0'}, {'작성자': 'random', '별점': '5.0', '날짜': '2025.02.18.', '내용': '호흡기내과 선생님 (이름 잘 기억 안남) 께서 제 증상 잘 들어주시고 PCR 결과지도 고려해서 센 약을 쓰는게 맞는지 아니면 대증요법을 쓰는게 맞는지 같이 고민 해주시고 처방해주셨어요. ... 더보기', '좋아요': '0'}, {'작성자': '찐맛집 찾는 새럼', '별점': '1.0', '날짜': '2025.02.17.', '내용': '건강검진 오래걸림\n++자기네는 병원도 작고 증상도 잘 못보니까 배아프면 소화기 내과 가라고 다른 병원 보내는 곳;', '좋아요': '1'}]",{'휴무일': '공휴일'}
송파드림재활병원,3.8,"송파구 송이로 111 청석빌딩 지하1~3층, 1~6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MDlfMTM5%2FMDAxNzIwNDUyMjA5OTMw.N9zN39bN5KWXwDOAbctHVGZ3BIO6svBGXn1zvFs87dsg.YLdWZ7GITaM_7hLvAkRLMWn0u3htTwTv75tw6KFiZkQg.JPEG%2F20230818132924_fahvzecs.jpg%3Ftype%3Dw773,"[{'작성자': '러블리쏭', '별점': '5.0', '날짜': '2024.10.29.', '내용': '재활전문이라는데 치료사들 뿐 아니라 직원분들도 모두 친절해요', '좋아요': '0'}, {'작성자': '뭐지', '별점': '4.0', '날짜': '2023.09.22.', '내용': '엄마가 너무 만족해 하세요\n친절해서 좋다고 해요\n재활 잘해요', '좋아요': '1'}, {'작성자': '러블리민', '별점': '1.0', '날짜': '2023.07.08.', '내용': '송파 드림재활 병원 \n아주~~~아주  불친절해요\n짜증나서 듁는줄  알았음\n... 더보기', '좋아요': '1'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 18:00', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 17:30', '화': '09:00 ~ 18:00'}"
서울석병원,,송파구 송이로 148,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F8A3473375D2A4415B3F44E8A527DB4EB,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
서울힐링요양병원,5.0,송파구 중대로 191,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjExMTlfNzQg%2FMDAxNjY4ODE3NDAwOTc5.KJ51oKRqiBjUWXR7UZHSIyXwkmSPCH20oLLzgPik8IUg.QoBsEdDKWjSVlFKgCBWbU0kN0bBj8VuSAAzP5TCFGlMg.PNG.shhcancer%2F%25EC%2595%2594%25EC%259A%2594%25EC%2596%2591%25EB%25B3%2591%25EC%259B%2590_%25EB%25B9%2584%25EC%259A%25A9.png%3Ftype%3Dw966,"[{'작성자': 'Youchan dad', '별점': '5.0', '날짜': '2020.09.05.', '내용': '원장님 상담실장님 간호사님 전부 가족처럼 너무 친절하시게 잘 치료해주셔서 정말 힐링 받았어요\n식사도 너무 맛있었고\n시설 및 환경은 아산 삼... 더보기', '좋아요': '1'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30'}"
혜민안과병원,,송파구 중대로 122,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTdfNTYg%2FMDAxNzM0NDEwNDgwMTE2.xrJks5EFWcIVlGyv3RACMt1E_7wSv_YJ2lnrF4iYY5wg.z7MLKkwLrGo7pgnKv6iC8wbcz7SMB5e8HOVcpPXQ7TMg.JPEG%2F%25EA%25BE%25B8%25EB%25AF%25B8%25EA%25B8%25B03.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '휴무일': '매주 일요일'}"
마리아병원,3.9,송파구 송이로 152,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MDNfMTE4%2FMDAxNzE5OTg3ODYzMTQ1.zjCvY-XoDeSTBRTq7D3IAmQBPZRbnYFzFYex3w4ZOcwg.M0q-KbhQFdbJHhZCzr0EzmR18J8FTfnJiHQxnJBY6QUg.JPEG%2Foutput_1872336843.jpg%3Ftype%3Dw966,"[{'작성자': '나름 고급 입', '별점': '3.0', '날짜': '2025.01.25.', '내용': '주차.....○○○○ ㅠㅠ.....후후.......\n디진다 진짜', '좋아요': '0'}, {'작성자': 'B', '별점': '5.0', '날짜': '2025.01.02.', '내용': '정재훈 원장님 덕분에 시험관 한 번에 통과하고 아기 잘 키우고 있어요. 간호사 선생님들도 다들 친절하셨고(특히 담당 간호사샘은 최고) 참 믿음직한 곳이에요.', '좋아요': '1'}, {'작성자': 'Jenanaya', '별점': '5.0', '날짜': '2024.09.03.', '내용': '아는 산부인과 의사 선생님이 계신데 그분이 마리아병원 정재훈교수님을 추천해주셔서 다니고있어요 친절하시고 설명도 잘해주십니다. 직원분들도 다 친절했어요', '좋아요': '1'}]","{'수': '08:00 ~ 16:30', '목': '08:00 ~ 16:30', '금': '08:00 ~ 16:30', '토': '08:00 ~ 11:30', '일': '휴무일', '월': '08:00 ~ 16:30', '화': '08:00 ~ 16:30', '휴무일': '매주 일요일'}"
포유문산부인과,3.4,송파구 양재대로60길 3-13,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTlfNzgg%2FMDAxNzM0NjA0MzExNDEx.0D737iXlVe4Q_pZL3eSH1t5d-6Abw4oWUIN3eD7COzcg.tyGwPE7L5w5H-iFfWKGJnQ1mBM1aPFjFajofLUcaEz0g.JPEG%2FIMG_3728.jpg%3Ftype%3Dw386,"[{'작성자': '서로', '별점': '1.0', '날짜': '2025.03.16.', '내용': '의사 설명 잘 못하고 간호사 불친절 함', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2025.02.01.', '내용': '.. 카카오 후기를 보고 갔어야했는데.. 시간이 너무 아까움...  오랜만에 정말 최악의 병원. \n\n이... 더보기', '좋아요': '3'}, {'작성자': 'HY', '별점': '1.0', '날짜': '2025.01.27.', '내용': '네이버영수증 리뷰는 별점 1점 못줘서 답답했는데 여긴 그래도 1점 줄 수 있어 좋네. 네이버에 아래와 똑같이 영수증리뷰 써놨으니 후기 거짓 아님.\n... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
더힐병원,0.0,송파구 송이로 81 지하2층-8층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3971EB57793D49CE890D69265BE5A398,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '10:30 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '추석당일, 설당일, 1월1일, 성탄절'}"
