name,score,address,img_url,reviews,open_hour
송파그랜드요양병원,4.2,송파구 마천로 238,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FCBE74D470D5C4B3EBE23422D9C04DFC9,"[{'작성자': '판당', '별점': '1.0', '날짜': '2024.11.20.', '내용': '돈만 밝히는 병원', '좋아요': '0'}, {'작성자': '따뜻', '별점': '5.0', '날짜': '2024.04.21.', '내용': '도심이지만 한적한 곳에 위치한 좋은 요양병원입니다', '좋아요': '1'}, {'작성자': '상추튀김', '별점': '5.0', '날짜': '2023.09.11.', '내용': '시간이 쏜살같이흘러 퇴원을 앞두고 감사함에 리뷰도\n남기게 되네요. 언제 이시간이 지날까 싶었는데 전체의료진, 친절하고 책임감과 열정넘치는 간호사... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
송파민이비인후과의원,4.3,송파구 거마로 61 한스어반빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F53E5EEBD736C46CC8F77D62B4A858115,"[{'작성자': '이현수', '별점': '4.0', '날짜': '2025.02.22.', '내용': '처음 온곳인데 친절히 잘해주시네요~', '좋아요': '0'}, {'작성자': 'vanesa', '별점': '1.0', '날짜': '2024.09.13.', '내용': '카운터 전화받는분불친절 매너없음', '좋아요': '0'}, {'작성자': '냥펀치', '별점': '5.0', '날짜': '2024.02.26.', '내용': '여기 선생님 너무 친절하시고 명의심!! 주기적으로 기관지 안좋은게 날씨 탓인줄 알았는데 위산이 역류해서 그런거였다고 알려주신 분은 이 분이 처음..', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '휴무일', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
더사랑요양병원,3.0,송파구 마천로 227 더사랑병원빌딩,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE41EEBAD73AB4C4C817B8013294E9901,"[{'작성자': '구르미', '별점': '5.0', '날짜': '2023.06.28.', '내용': '할아버지가 뇌경색이라 여러군데 상담했는데 여기 상담하는 부원장님이 제일 진심으로 상담해 주시는 것 같아 여기로 결정했어요. 입원할때 뵈었던 재활의사선생님도 상세하게 설명해 주셔서 참 안심이 되었습니다.', '좋아요': '0'}, {'작성자': '더사랑요양병원', '별점': '3.0', '날짜': '2023.02.01.', '내용': '안녕하세요 이유리님, 더사랑요양병원입니다. 우선 늦게 답변을 드린점 사과드립니다. (답변을 드리는 방법이 따로 없어 저희도 후기 형식으로 작성하니 양해 부탁드립니다.)저희병원은 요... 더보기', '좋아요': '0'}, {'작성자': '이유리(아짱', '별점': '1.0', '날짜': '2020.06.24.', '내용': '환자 관리 똑바로 안해줍니다 욕창생길때까지 환자 방치해놓고선 사과한마디 없네요 욕창이 하루이틀만에 생깁니까 도대체 얼마나 방치를 해놨길래 고름이 다 터질때까지 뒀는지 모르겠네요', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
마천한의원,4.6,송파구 마천로41길 14 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDFfODYg%2FMDAxNzMzMDQxOTkwODcy.F-G0vYeu09AUn9Z2HMiEgx8fIyWOabLKsR0zRF1ckvEg.EzVKAin-7kBYdmHWfPbVoKCQvz9rQAGbg_GjlnfVF44g.JPEG%2F06-2.jpg%3Ftype%3Dw466,"[{'작성자': '🍑', '별점': '1.0', '날짜': '2025.03.13.', '내용': '할말하않', '좋아요': '0'}, {'작성자': '쵸코맘', '별점': '5.0', '날짜': '2024.02.20.', '내용': '원장님께서 친절하게 설명해주셔서 편안하게 치료받고 왔습니다. 단 침을 맞고 누워있으니 물리치료사님들께서 부항와 도구들을 살살 다루어주셨으면 더조용히 편안하게 진료를 받았으리라 생각됩니다. 제가 예민한 부분도 있지만요...', '좋아요': '0'}, {'작성자': '김정아', '별점': '5.0', '날짜': '2024.01.02.', '내용': '원장님 너무너무 친절하십니다. 주변에 많이 소개할게요', '좋아요': '0'}]","{'수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 17:00', '일': '11:30 ~ 18:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00'}"
서울이비인후과,4.7,송파구 거마로 62 효명빌딩 4층,,"[{'작성자': '은경이얌^^', '별점': '5.0', '날짜': '2024.09.26.', '내용': '50대주부입니다^^\n처방을 알맞게 해주시고 \n설명이친절하고\n... 더보기', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.05.13.', '내용': '친절 섬세합니다', '좋아요': '0'}, {'작성자': '나그네', '별점': '1.0', '날짜': '2024.02.01.', '내용': '재방문 의향 전혀 없습니다.  제가 세차례 방문했는데 1차때 귀 염증부위를 공기로 빨아들이는데 엄청 아 하며 소리를 질렀고 진료후 3-4시간 통증이 있었습니다. 그래서 이틀후 이런 사실을 얘기했고 처방 및 진료... 더보기', '좋아요': '7'}]","{'수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30'}"
임한준한의원,5.0,송파구 마천로41길 1 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyMzAzMDhfMTc2%2FMDAxNjc4MjU3ODc0ODY1.HN5wkc7ZPMBySFQEcC8a7mfDqxcINJxpu27RqrAdIBgg.3nBOCXc6z_ZC6XlL-tuPbMpd4jVWjtDIWPC3z3cBbSEg.JPEG.limskmclinic%2F%25EC%2586%25A1%25ED%258C%258C%25EA%25B5%25AC%25ED%2595%259C%25EC%259D%2598%25EC%259B%25909.jpg%3Ftype%3Dw1,"[{'작성자': '김은하', '별점': '5.0', '날짜': '2025.02.27.', '내용': '우선~맥을 잘 보십니다~추나 겁나 좋습니다^^\n오늘은 감기 기운으로 상패탕 처방 받으러 왔는데 맥 보시며 제 몸... 더보기', '좋아요': '0'}, {'작성자': '이동규', '별점': '5.0', '날짜': '2023.07.01.', '내용': '작은 행동과 처치에도 원장님이 자세하게 설명해주시네요 제가 좀 유난떠는 성격인데 만족하고 진료받았습니다', '좋아요': '0'}, {'작성자': '지용', '별점': '5.0', '날짜': '2022.02.12.', '내용': '원장님이 친절하구 좋습니다', '좋아요': '0'}]","{'수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '휴무일': '매주 일요일'}"
중앙내과의원,3.7,송파구 마천로57길 5 마천빌딩 4층,,"[{'작성자': '김수근', '별점': '4.0', '날짜': '2024.11.28.', '내용': '아주 자상하고 꼼꼼하게 잘 봐주시는 \n의사 선생님 !', '좋아요': '0'}, {'작성자': '이동현', '별점': '5.0', '날짜': '2022.07.30.', '내용': '이렇게 정성을 다하는 의사 진료와\n친절한 간호사 찾아보기 쉽지 않지요', '좋아요': '2'}, {'작성자': '루노나느규', '별점': '5.0', '날짜': '2022.05.21.', '내용': '의사 선생님 최고ㅜㅜ 학생때부터 다니던 병원인데 여전히 다녀요', '좋아요': '2'}]","{'수': '09:00 ~ 13:00', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30'}"
마천우리신경과의원,4.1,송파구 마천로41길 5 2층 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MjVfMTgy%2FMDAxNzE0MDEyOTE0Mzc4.b3Nc7MJqqonq57bLow5MmgRQG0gza5paQ6m9fiLCQrMg.zkQFT6i2EdQa-DkplZ6gco4K6OnN39DusjMBaB6Nc3Ig.JPEG%2F%25EC%2595%2588%25EB%25A9%25B4%25EC%258B%25A0%25EA%25B2%25BD%25EB%25A7%2588%25EB%25B9%2584___%25EB%25A7%2588%25EC%25B2%259C%25EC%259A%25B0%25EB%25A6%25AC%25EC%258B%25A0%25EA%25B2%25BD%25EA%25B3%25BC%25EC%259D%2598%25EC%259B%2590_02.jpg%3Ftype%3Dw966,"[{'작성자': '이도희_Stella', '별점': '5.0', '날짜': '2024.06.24.', '내용': '열흘전  어머니 안면마비로  방문했고요. mri촬영까지 다녀오느라 주말 3시정도  다시 갔는데  샘이 기다려주시고 영상 판독까지 정말 꼼꼼하게 봐주셨어요. 검사결과도 말초성으로 나와서... 더보기', '좋아요': '0'}, {'작성자': '잼재미', '별점': '5.0', '날짜': '2024.03.23.', '내용': '엄마모시고 갔는데 의사선생님 너무친절하게 하나하나 다 설명해주시고.. 너무좋으셨어요 단골환자분들이 많은 이유가 있네요.. 집하고도 멀지않아서 여기로 다니려구요', '좋아요': '0'}, {'작성자': '비온뒤맑음', '별점': '5.0', '날짜': '2023.09.09.', '내용': '대학병원 다니다 진료대기에 지쳐 옮겼는데\n보다 빠르고 자세한 상담해주셔서 만족스럽습... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
사랑안과,4.8,송파구 거마로 62 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FC9A3ECADFBC64E00BF6020CA6FDBB781,"[{'작성자': '오리둥둥', '별점': '5.0', '날짜': '2024.01.19.', '내용': '의사선생님 츤데레느낌 있으신데 ㅋㅋㅋ환자들한테 되게 친근하셔용 간호사분들도 엄청 친절하십니다.', '좋아요': '0'}, {'작성자': '최정원', '별점': '4.0', '날짜': '2022.07.25.', '내용': '엄마백내장수술상담하셨는데\n의사 간호사 일단 친절은하네요', '좋아요': '0'}, {'작성자': '프로여행러', '별점': '5.0', '날짜': '2021.11.16.', '내용': '원장님이랑 간호사분 친절하십니당', '좋아요': '0'}]","{'수': '09:00 ~ 18:20', '목': '09:00 ~ 18:20', '금': '09:00 ~ 18:20', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:20', '화': '09:00 ~ 18:20', '휴무일': '공휴일'}"
강플러스내과의원,3.0,"송파구 마천로 295-1 메디파크빌딩 2,3층",//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FDB924303F17642BDACE3D93F3A3C5815,"[{'작성자': '홍승우', '별점': '5.0', '날짜': '2022.07.18.', '내용': '원장님과 간호사들 너무 친절하고 시설도 깨끗함', '좋아요': '0'}, {'작성자': 'yul', '별점': '1.0', '날짜': '2021.09.02.', '내용': '기초적인 검진부터 최악인곳...', '좋아요': '2'}, {'작성자': '내꺼만보면돼', '별점': '1.0', '날짜': '2021.04.07.', '내용': '항생제 맹신 돌팔이', '좋아요': '2'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
