name,score,address,img_url,reviews,open_hour
민트병원,,송파구 정의로8길 7 한스빌딩 1-3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F965D1D4AB2D1461DBF8DDCD345927C2D,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '휴무일': '공휴일'}"
다온헬스케어의원,2.5,송파구 송파대로 111 파크하비오 205동 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTlfMzgg%2FMDAxNzM0NTk5MjEyMDQz.OWJ7OHdQs1FpO8NxZUdC3GueVEFxs7KvMHRF4YlBrJ4g.OuWa5IqplLN3H74y06yeSHnf5jb4SP2GLaa7ZL8MbX4g.JPEG%2FIMG_4211.JPG%3Ftype%3Dw386,"[{'작성자': '권대근', '별점': '5.0', '날짜': '2025.03.18.', '내용': '차트 들고 다니면서 줄서는게 아니라, 팔찌로 태그해서 대기순서를 명확히 알 수 있는 시스템 덕분에 대단히 ... 더보기', '좋아요': '0'}, {'작성자': 'ku', '별점': '5.0', '날짜': '2025.03.08.', '내용': '전 주로 3월에 가는데 이때 가면 여유롭게 받을 수 있어요 한적해서 직원분들도 친절하시고 좋습니다', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '5.0', '날짜': '2025.01.19.', '내용': '다들 불친철 하다고 하는데 저는 괜찮았습니다. 1/18 오전 7시 20분 쯤 가서 끝나고 나니 9시 정도였습니다 사람도 없어서 매우 빠르게 진행되었고 다들 친절하게 대해줬습니다. 저는 재방문 의사 있습니다.', '좋아요': '0'}]","{'수': '07:00 ~ 16:00', '목': '07:00 ~ 16:00', '금': '07:00 ~ 16:00', '토': '07:00 ~ 13:00', '월': '07:00 ~ 16:00', '화': '07:00 ~ 16:00'}"
새숨병원,5.0,송파구 정의로8길 4 KD70타워 2-4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F83FC3CBC9EAB4F9EBF57B5C8D5DA711B,"[{'작성자': '김가람', '별점': '5.0', '날짜': '2023.08.23.', '내용': '내과에 두 번 방문했는데 선생님 정말 친절하시고 이미 알고 있는 사소한 부분도 한번더 짚어주심 + 알아듣기 쉽게 설명 잘해주십니다 의사선생님 뿐 아니라 간호사 선생님들 직원 분들도 다 친절하시고 병원 분위기가 항상 깨끗하고 아늑한 것 같아요~', '좋아요': '1'}, {'작성자': '콩', '별점': '5.0', '날짜': '2022.09.05.', '내용': '친절하게 진료해주셔서 감사합니다', '좋아요': '1'}, {'작성자': '딸랑뚱띵', '별점': '5.0', '날짜': '2022.01.19.', '내용': '모든 직원분들 너무 친절하고 입원 하시는동안에도 마음 편히 지내실 수 있었어요:)', '좋아요': '1'}]","{'수': '09:30 ~ 17:30', '목': '09:30 ~ 17:30', '금': '09:30 ~ 17:30', '토': '09:30 ~ 12:30', '일': '휴무일', '월': '09:30 ~ 17:30', '화': '09:30 ~ 17:30', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날, 1월1일, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
대전대학교 서울한방병원,4.6,"송파구 법원로11길 32 지하1~2, 5~11, 13층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB2272853CB6E4E23B30B219B95F5703A,"[{'작성자': 'llllllilllll', '별점': '5.0', '날짜': '2025.02.13.', '내용': '시설이 좋고 따뜻한 분위기라 환자를 편하게 해줍니다. 데스크 안내해주시는 분들도 친절하세요.', '좋아요': '0'}, {'작성자': '이상호', '별점': '5.0', '날짜': '2024.06.23.', '내용': '환우를 위한 배려가 좋아요 직원분들이 친절하고 음식이 깨끗해요 다른 환우들에게 추천하고 싶어요', '좋아요': '1'}, {'작성자': '이현수-서울강동점', '별점': '5.0', '날짜': '2023.09.16.', '내용': '대학 한방병원 공진단은 좀 더다를꺼 같아서 사러 들렀는데 토요일이라 치료받는 사람이 많아서 기다림ㅠ\n직원들이  바빠  보였으나 친절했... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '휴무일': '매주 일요일'}"
잠실자생한방병원,3.5,"송파구 충민로 66 가든파이브라이프 리빙관 10층 L-10001~4, L-10006~8호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FB0FD26838BB24BDABFB71FF9B68E0B82,"[{'작성자': '.', '별점': '5.0', '날짜': '2023.12.06.', '내용': '자고 일어났더니 목이 안돌아가서 방문했어요. 추나치료랑 약침치료 받았는데 신기하게 목이 돌아가네요. 윤영석 원장님 추천 합니다.', '좋아요': '1'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날'}"
서울휘안과의원,3.6,송파구 송파대로 111 파크하비오 201동 108호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F78350F3F1F6944B5BF2A8AA1D758AAC6,"[{'작성자': '.', '별점': '1.0', '날짜': '2025.02.24.', '내용': '25/2/20일 첫 번째 방문 당시 리뷰\n렌즈 맞추러 갔는데 도수 안 맞는거 받음\n살짝 안 보이는 수준도 아니... 더보기', '좋아요': '0'}, {'작성자': 'kfcjjk', '별점': '5.0', '날짜': '2024.12.02.', '내용': '선생님 설명도 자세히 해주시고 모두 친절하셔서 검사 잘 받고 왔습니다. \n집 근처에 생겨서 편하네요', '좋아요': '0'}, {'작성자': 'A', '별점': '1.0', '날짜': '2024.10.13.', '내용': '불친절\n진료대기 엄청남\n진료도 대충대충', '좋아요': '0'}]","{'수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '휴무일': '공휴일'}"
송파인애가한방병원,4.5,"송파구 문정로 65 1-2,5-6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F760BF6AD62024AEEA18862C6CD8DEADE,"[{'작성자': 'dhdudwl562', '별점': '5.0', '날짜': '2023.05.25.', '내용': '원장님이 섬세해서 너무 좋았어요', '좋아요': '0'}, {'작성자': 'ilv7510', '별점': '5.0', '날짜': '2023.05.03.', '내용': '친절해요', '좋아요': '0'}, {'작성자': 'zxovsdg752', '별점': '5.0', '날짜': '2023.04.12.', '내용': '여기서 치료 받고 아픈 거 싹 나았어요 원장님 실력 좋으심!', '좋아요': '1'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
송파정형외과의원,4.7,송파구 새말로 125 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMDhfMjQy%2FMDAxNjc1ODM4NjQ5MDk1.wijgQHkcL4ZHFDxrbA61fXpej17_sdB8prKcGwcvE8Mg.fmNJJithVYOzx0g6XvM9N5f2B9jl8-mMioewWzNJcIUg.JPEG.songpaosclinic%2F4.jpg%3Ftype%3Dw966,"[{'작성자': '보오옹', '별점': '5.0', '날짜': '2025.02.06.', '내용': '허리가 아파서 갔어요ㅠㅜ\n다니던 병원이 있었는데 이사를 가서 집이 가까워서 갔어요 큰길가쪽에 병원에 갔더니 충격파 도스 ,,,,,뭐가뭔지 너무 많은거를 하라고해서ㅠㅜ 부담스럽더라고... 더보기', '좋아요': '1'}, {'작성자': '그레이', '별점': '2.0', '날짜': '2025.01.30.', '내용': '2024 . 10월에 방문함 \n테스크 아줌마 직원분은 말투의 매너가 없어요. 응대도 무슨 남대문 시장에서 장... 더보기', '좋아요': '1'}, {'작성자': '그대그리고나', '별점': '5.0', '날짜': '2024.09.13.', '내용': '친절하고 넓고 깨끗합니다.\n엑스레이 하나도 찍을 의사가 있는지 꼭 물어보고 찍는 것으로 보아\n과잉 진료 방지에 신경 쓰시는 것 같습니다.', '좋아요': '2'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '휴무일': '공휴일'}"
연세힐링이비인후과의원,4.1,송파구 법원로 114 엠스테이트 C동 205호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7f08439629d3c0f563e54d22064a767e833718f6%3Foriginal,"[{'작성자': '앤쮸', '별점': '1.0', '날짜': '2025.02.08.', '내용': '간호사 진짜 불친절하네요\n몸이 너무아파서  토요일1시까지접수라 12시15분에 내원했습니다\n접수마감됐다며 진료접수거부당... 더보기', '좋아요': '0'}, {'작성자': '듄', '별점': '1.0', '날짜': '2024.12.10.', '내용': '의사 전문성이 떨어지고 지어준 약이 매번 듣질 않음\n데스크는 불친절함\n누구는 바로 들어가고 누구는 순번이 계속 밀리는 이상한 예약 시스템', '좋아요': '1'}, {'작성자': '동네 내가 다니는 곳들', '별점': '5.0', '날짜': '2024.08.15.', '내용': '진짜 명의세요🥹 대기 1-2시간 걸려도 가는 이유가 있다... 이유 없는 두통 연세힐링에서 약먹고 나은 이후로 저는 집 근처 안 가고 여기만 가요', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
고은내과의원,4.0,송파구 동남로4길 36 FI빌딩 2층,,"[{'작성자': 'YU', '별점': '5.0', '날짜': '2024.12.11.', '내용': '제가 몸이 정말 최악으로 안좋을때 2번가서 수액을 맞았는데요 여기 간호사분이 환자에게 써주시는 마음이 너무 따뜻해서 눈물이 날 정도로 정말 친절하세요 몸이 아파서 갔다가 마음까지 치료받고 나오는 것 같은 기분이 들어서... 더보기', '좋아요': '0'}, {'작성자': 'Gabriel roy', '별점': '5.0', '날짜': '2024.11.25.', '내용': '감기 몸살증상으로 방문했습니다. 꼼꼼한 원장님 진료,  세심하고 친절한 간호선생님 응대.. 수액처치로 건강회복도 좋았지만 대화중에 아내 병수발로 지친 제 마음까지도 회복되는 경험을 했습니다.  주관적인... 더보기', '좋아요': '0'}, {'작성자': '임상호-폰번바뀜01091560297', '별점': '5.0', '날짜': '2023.12.10.', '내용': '접수할 때 간호사분이 친절하고 다정하게 맞아 주시더라구요...\n아프던 몸이 일단 여기서부터 힐링되는 기분이었습니다.\n그리고 진찰하시던 의사선생님.. 정말 친절하고 상세하게 설명해... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 16:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 16:00'}"
