name,score,address,img_url,reviews,open_hour
고은빛산부인과의원,3.5,"송파구 오금로 95 국제빌딩 지하1층, 2-8층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTRfMTY2%2FMDAxNzM0MTQwNzgwNTcz.xGO89NJ6DIXPJCYvCWEWHYPis7VUtsAbjNCdModIyFkg.on-FuxMm2yIvIq6LMVFe_9bQ_lK3HiQnQXIspBFESawg.JPEG%2FKakaoTalk_20241213_165528710_12.jpg%3Ftype%3Dw966,"[{'작성자': '혜온다온맘', '별점': '5.0', '날짜': '2025.03.09.', '내용': '의사쌤 친절해요~ 첫째 출산때 부터 다니고 있어요 급할때 야간진료 일요일 공휴일진료 보는곳이라 좋은듯', '좋아요': '0'}, {'작성자': '쑨이', '별점': '5.0', '날짜': '2025.02.26.', '내용': '당일 예약없이 갔는데 시간대를 잘 맞춰가서 그런지\n대기도 길지않았고 피검사 결과도 바로 나오니 좋더라구요\n여자선생님 진료 봤는데 꼼꼼하게 과잉진료 없는것같아요', '좋아요': '0'}, {'작성자': '준', '별점': '5.0', '날짜': '2025.02.22.', '내용': '자궁경부암 검사받으러 병원 방문했습니다\n의사분 친절하시고 매우 꼼꼼하더라구요\n주변에서 고은빛 진료잘본다고 해서 ... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
포레메디한방병원,4.9,송파구 오금로 129 죽포빌딩 1~6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6A0044C7E52B4763A8D3F922C77CD1FA,"[{'작성자': '이이지', '별점': '5.0', '날짜': '2025.01.17.', '내용': '꾸준히  이용하고 있는곳이에요 좋아요~', '좋아요': '0'}, {'작성자': '황점덕', '별점': '5.0', '날짜': '2025.01.15.', '내용': '항상 친절하십니다 ~', '좋아요': '0'}, {'작성자': '김민형', '별점': '5.0', '날짜': '2025.01.13.', '내용': '진료를 꼼꼼히 잘 봐주십니다! 감사합니다!', '좋아요': '0'}]","{'수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '휴무일': '공휴일'}"
전준권내과의원,3.5,송파구 오금로31길 11 2층,,"[{'작성자': '아멜리나', '별점': '5.0', '날짜': '2022.07.27.', '내용': '진료볼때마다 항상 친절하세요!\n친근함이 느껴지는 병원입니다 :)', '좋아요': '0'}]","{'수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '휴무일': '공휴일'}"
다나움요양병원,4.9,송파구 가락로 278,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjZfMTg2%2FMDAxNzM1MTg3MzkwODA5.AQUIqad6yvPBbgYcuBAeURHQmzZgn4kYnvvbnbAfJMkg.VafwU2Q7eKm1zy0nKSHmciG9yZ2ok7TScIxbagHLiiAg.JPEG%2F%25EB%258B%25A4%25EB%2582%2598%25EC%259B%2580_%25EC%259A%2594%25EC%2596%2591%25EB%25B3%2591%25EC%259B%2590-21.jpg%3Ftype%3Dw966,"[{'작성자': 'opo1123', '별점': '5.0', '날짜': '2025.03.25.', '내용': '만족합ㄴ니다', '좋아요': '0'}, {'작성자': '해림', '별점': '5.0', '날짜': '2025.03.20.', '내용': '암 케어가 되니까 좋은거같아요', '좋아요': '0'}, {'작성자': 'ssef', '별점': '5.0', '날짜': '2025.03.20.', '내용': '좋아요~', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
서울투탑정형외과 재활의학과의원,3.6,송파구 오금로 199 1~5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMTVfMTY3%2FMDAxNzI4OTY2MDAzNjU5.MbHgRCs80qP5pXkl-hABnipq1SXn-OS6gohaM5HcazEg.ojfRLq-4XyU44CfLmAJTs8Pdj85HBeRnQ6PDQrcWZ6Mg.JPEG%2FIMG_4159.jpg%3Ftype%3Dw275,"[{'작성자': '곽두팔', '별점': '1.0', '날짜': '2025.03.21.', '내용': '7시까지라해서 간건데 사람도없는데 6시 20분부터 진료마감.. 걍딴곳갈걸 괜히 여기온다고 늦어서 딴병원도 못갔어요 금요일이라 빨리 퇴근하고싶어서 걍 접수막은듯;; 가실분은 조기마감인거 참고하세요', '좋아요': '0'}, {'작성자': 'R.Y', '별점': '5.0', '날짜': '2025.01.04.', '내용': '동네 정형외과 갔다가 진단과 치료가 이상해서 추천받고 왔는데 과잉도 아니고 선수에게 딱 필요한것에 대해 자세히 설명해줘서 너무 맘에 드네요.\n환자가 많아 바쁜게 흠이지만 실력있는 좋은 병원입니다', '좋아요': '0'}, {'작성자': 'jb', '별점': '1.0', '날짜': '2025.01.01.', '내용': '군위탁 출신 의대 전형이라고 들었는데 맞나요???', '좋아요': '1'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
포웰의원,0.0,"송파구 백제고분로 503 유정빌딩 2, 5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F869C4FDB4DDE441FA758715ED19DDB2C,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 17:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '휴무일': '공휴일'}"
서울디테일구강내과치과의원,5.0,송파구 오금로 101 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F53F028E2964E4353813FEC527730209C,"[{'작성자': '후후', '별점': '5.0', '날짜': '2023.04.03.', '내용': '검사가 체계적이고 턱통증의 원인을 알 수 있어서 좋았어요\n치료 시설도 좋네요.', '좋아요': '0'}, {'작성자': 'shirley', '별점': '5.0', '날짜': '2022.08.29.', '내용': '친절하게 상담해주셔서 정말 고맙습니다.', '좋아요': '0'}, {'작성자': '다오', '별점': '5.0', '날짜': '2022.07.04.', '내용': '굿굿', '좋아요': '0'}]","{'수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '휴무일', '일': '휴무일', '월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '휴무일': '공휴일'}"
365웰정형외과재활의학과의원,4.6,송파구 오금로 239 365웰빌딩 전층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4DAE761A2FB2429D986FA2D57D2A4021,"[{'작성자': '정동곤', '별점': '5.0', '날짜': '2025.01.04.', '내용': '정형와과 의사님 동안이신데도\n노련하고 친절하여  믿음성이 갑니다.', '좋아요': '0'}, {'작성자': '골든레이디', '별점': '5.0', '날짜': '2024.08.27.', '내용': '전문성 높고 정확한 진단과 치료\n시설도 좋고 깨끗하고\n다른 병원 갔다가 통증도 너무 심하고 차도가 없... 더보기', '좋아요': '0'}, {'작성자': 'EJ', '별점': '5.0', '날짜': '2024.08.14.', '내용': '도수치료 받으러왔는데 시원하게 잘봐주세요~ 원장님도 상담이 자세해서 좋았어요. 다음에도 또올것 같네요', '좋아요': '1'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 20:00', '휴무일': '공휴일'}"
서울0.1치과의원,4.7,송파구 백제고분로 488 서울0.1치과,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F91F6B2A61345471FB73832D066F96ACA,"[{'작성자': '모아님도', '별점': '5.0', '날짜': '2024.02.08.', '내용': '치과가 건물 전체를 쓰다보니 복잡하거나 분주한것 전혀 없고 주차공간도 충분하고 깔끔하고 쾌적합니다.\n가격도 합리적이고 과잉치료 없이 진단과... 더보기', '좋아요': '1'}, {'작성자': '네모선장', '별점': '5.0', '날짜': '2023.11.12.', '내용': '인터넷 검색후 첫방문입니다.\n왼쪽 어금니 임플란트를 했는데 지금까지 경험하지 못한 실력과 친절을 경험했습니다... 더보기', '좋아요': '0'}]","{'수': '09:30 ~ 18:30', '목': '09:30 ~ 21:00', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '일': '09:30 ~ 14:00', '월': '09:30 ~ 18:30', '화': '09:30 ~ 21:00', '휴무일': '공휴일'}"
송파굿정형외과의원,4.1,송파구 백제고분로 460 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe6425d453777a7f870186193475a9d3da5e81198%3Foriginal,"[{'작성자': '맛집탐방가', '별점': '5.0', '날짜': '2025.03.13.', '내용': '비타민D주사 맞으러 왔는데 주사 엄청 잘 놓으세요 ㅎㅎ 하나도 안 아파서 놀랐어요 감사합니다💛', '좋아요': '0'}, {'작성자': '자양동물개', '별점': '2.0', '날짜': '2025.02.13.', '내용': '수액이벤트해서 갔는데 혈관 다터지고.. 너무 아팠어요 멍이 일주일 가네요 혈관 좋은 사람들한테 추천요 저는 비싸도 잘놓는곳 갈래요ㅠ', '좋아요': '0'}, {'작성자': '욤뇸뇸욤뇸', '별점': '5.0', '날짜': '2025.02.11.', '내용': '2년정도 아플때마다 다녀본 사람으로서 여기 원장쌤 정말 친절하시고 잘봐주심. 사기꾼 같은 정형외과들과는 다른곳이어서 주... 더보기', '좋아요': '1'}]","{'수': '09:00 ~ 21:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '휴무일': '공휴일'}"
