name,score,address,img_url,reviews,open_hour
강철병원,4.9,송파구 백제고분로 252 SH타워 1-8층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FFDC8E3BCB0074CD9A2D24808EB32C9CA,"[{'작성자': '텔레토비', '별점': '4.0', '날짜': '2025.03.10.', '내용': '진료대기시간 한시간 걸리는게 말이되나…\n엑스레이 사람 한명도 없는데 십몇분 기다리게 하더니\n찍고와서 의사 만나기까지 걸린... 더보기', '좋아요': '0'}, {'작성자': '이태규', '별점': '5.0', '날짜': '2025.02.04.', '내용': '감기때문에 내과 진료봤는데 병원도 깨끗하고 원장님이 설명도 잘해주셔서 좋았습니다', '좋아요': '1'}, {'작성자': '준형', '별점': '5.0', '날짜': '2025.01.23.', '내용': '양쪽 무릎 수술을 성공적으로 하고 재활을 꼼꼼하게 신경 써주셔서 금방 회복했습니다. \n주기적으로 믿고 찾는 병원이네요', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
강남수병원,2.6,송파구 삼전로2길 11,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F94142F77FCB243A4A836E5F47FD4BC4F,"[{'작성자': 'hsmdb', '별점': '1.0', '날짜': '2025.03.22.', '내용': '1. 불친절하고\n2. 다른 병원에서 진료한 내역을 무시하고\n3. 본인의 실력 없음을 일반... 더보기', '좋아요': '0'}, {'작성자': '-_-', '별점': '1.0', '날짜': '2024.09.16.', '내용': '여기 남자 물리치료사 실력 진짜ㅋㅋㅋㅋㅋㅋㅋ 와.. 절레절레', '좋아요': '1'}, {'작성자': '후우우웅', '별점': '4.0', '날짜': '2024.06.14.', '내용': '소아 응급 외상 전문. \n전문성은 높게 평가하지만 상태가 심하지 않은 경우 추천하지 않습니다. 대기 반나절 생각하시고 비용도 각오하셔야합니다.', '좋아요': '0'}]","{'수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 12:00', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '휴무일': '공휴일'}"
성모SK마취통증의학과의원,,송파구 삼전로 66 3-4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F958DB7E08C9F40CFBC9AC98893579232,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '휴무일': '공휴일'}"
엠에스병원,5.0,"송파구 삼학사로 53 태영빌딩 지하2층,1-7층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjhfOSAg%2FMDAxNzMyNzk4MDQ4MzIw.UW4ELQhmxAXPgyMRRsw7pgouLjPxI0UYC1-sRN6l95Qg.4xX8_B5pGtSRsXb7s6j16q-copuZYGZVaYjRoCY3KlMg.PNG%2Fimage.png%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
강남푸른숲한방병원,4.7,"송파구 삼전로 42 지하1층,1~6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FBF7DC29D02D34AC1BF06E95B10CB62F3,"[{'작성자': '우리동네닭튀김', '별점': '1.0', '날짜': '2025.03.20.', '내용': '밑에 다 광고글이니 주의하세요. 죄다 실명에 5점이라니. 등록날짜도 한두달 사이에 몰려있네요.', '좋아요': '0'}, {'작성자': '정지민', '별점': '5.0', '날짜': '2024.11.18.', '내용': '아직 어린나이에 암진단받고, 요양병원은 알아볼생각도 안했어요. 근데 시간이 지날수록 가족들도 저도 너무 힘들어지더라구요.. 제대로된케어도 받고싶고 여기저기 알아보다가 후기가 좋아서 왔어요. 암을 전문적으로 하는 ... 더보기', '좋아요': '0'}, {'작성자': '이다은', '별점': '5.0', '날짜': '2024.11.15.', '내용': '암요양병원이 많지는 않은데 그래도 꽤 있는편이라 고르는데 애 좀 먹었어요ㅠ 할머니가 가계실거라 더 꼼꼼하게 보느라,, 여기 선택한 가장 큰 이유는 식사였어요! 식단이 정말 잘 나오더라구... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 19:30', '목': '09:00 ~ 18:00', '금': '09:00 ~ 19:30', '토': '09:00 ~ 16:00', '일': '09:00 ~ 16:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 18:00'}"
아이유안과의원,2.9,"송파구 삼전로 84 IU아이유빌딩 2,6,8층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMThfMjE3%2FMDAxNzM0NTE3NDM5MjUw.DizzenfpRzQT7JmY6IEwtb4lz6_wb6cKRmgz6MgvIY4g.ngQjlc45MVd_r4PdVT5vzdHZ8yxS1znljMdI_lLXEPYg.PNG%2F241212_1%25EC%25A3%25BC%25EB%2585%2584_%25ED%258C%259D%25EC%2597%2585_%25EC%2595%2584%25EC%259D%25B4%25EC%259C%25A0%25EC%2595%2588%25EA%25B3%25BC_ver1.2_(2).png%3Ftype%3Dw966,"[{'작성자': '⠀', '별점': '1.0', '날짜': '2025.01.12.', '내용': '현직 간호사고 안과 메인병동에있던 사람임 여기 과잉진료, 과잉처치, 과잉처방까지 레전드 뭔 약값까지 2만얼마나와서 보니까 쓸데없는거까지 처방했길래 그거 빼달라고하니 약값이 이만원에서 ... 더보기', '좋아요': '8'}, {'작성자': '원이', '별점': '1.0', '날짜': '2024.11.20.', '내용': '최악 입니다. 엉망인 진단에 간단히 고칠수 있는 데도 또 오게 만들고 3일치 먹는약에 연고 바르고 전혀 좋아 지질 않음', '좋아요': '0'}, {'작성자': '마음한가득', '별점': '1.0', '날짜': '2024.09.21.', '내용': '과잉진료하지말자… 눈다래끼 났는데 첫날 시력검사, 안압검사… 그래 좋다.. 첫날이니까… 일주일 뒤에 가니까 또 시력검사…??? 검사비 또 청구하구…. 뭐냐 이게… ㅉㅉ', '좋아요': '3'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
연세신경과의원,3.6,송파구 백제고분로 216 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fbe636ec029b6e664307547e2502f193fc6e96d8a%3Foriginal,"[{'작성자': '만', '별점': '1.0', '날짜': '2024.12.31.', '내용': '1점도 아까움 나이드신분 드시는약\n\n상황보고 주사를 맞춰야지', '좋아요': '0'}, {'작성자': '느릅나무', '별점': '1.0', '날짜': '2024.09.27.', '내용': '월요일엔 5분안에 빨리 밥 먹고 나가라는 욕쟁이 할머니 식당인줄.    다음엔 주중에 함 가봐야지', '좋아요': '1'}, {'작성자': 'sy', '별점': '4.0', '날짜': '2024.06.04.', '내용': '디스크시 주사를 권하는곳', '좋아요': '0'}]","{'수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
은혜이비인후과의원,3.1,송파구 백제고분로 258 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F26500F3D558A468E1F,"[{'작성자': 'ㅎㅇㅎ', '별점': '4.0', '날짜': '2024.12.30.', '내용': '후기에 쫄아서 갔는데\n오히려 진짜고수 느낌이 납니다\n봐줄거만 딱딱 봐주시는 ... 더보기', '좋아요': '0'}, {'작성자': '아무거나스 안가리고스 마구머거스', '별점': '2.0', '날짜': '2024.08.26.', '내용': '데스크는 불친절하시고 의사쌤은 뭘 자꾸 모르겠다고 함 (????) 저도 몰라서 왔는데요.. 기구들 위생이 좀 안좋아보여서 두번은 안올듯 ㅠ', '좋아요': '0'}, {'작성자': '댕댕이댕', '별점': '1.0', '날짜': '2024.08.19.', '내용': '의사선생님이 불필요한 신체접촉 기분나쁜 밀착을 하시더라구요 너무 불쾌했어요 깜짝 놀라서 다리를 모아서 옆으로 몸을 돌렸어요 안에 간호조무사분이 같이 들어와주셨으면 싶네요 고의든 아니든 불쾌그자체 ,, 처음 갔는데 다신 안갈래요', '좋아요': '0'}]","{'수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30'}"
강남삼성정형외과,3.8,송파구 백제고분로 214 강남삼성정형외과,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FC621EB7DBD884EFCB7477AF3CA92009E,"[{'작성자': '말량', '별점': '3.0', '날짜': '2023.02.08.', '내용': '모랄까 엉성해요', '좋아요': '1'}, {'작성자': '채긍정', '별점': '5.0', '날짜': '2023.01.30.', '내용': '물리치료짱', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '5.0', '날짜': '2022.02.21.', '내용': '여기 최고~ 원장님.방사선과.원무과.접수데스크.물리치료실 어디 한곳 빠지지않고  직원분들이  정말 다들 친절 따뜻하심', '좋아요': '0'}]","{'수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '휴무일': '공휴일'}"
행복한치과,4.6,송파구 백제고분로 202 두레빌딩 2층,,"[{'작성자': 'oooops', '별점': '1.0', '날짜': '2024.03.15.', '내용': '10월 11월에 알바 많이 동원하셨네\n 밑에 닉넴들 검색해보세요\n2024년 다시 별 다섯개 알... 더보기', '좋아요': '13'}, {'작성자': '신한라이프 이서율FC', '별점': '5.0', '날짜': '2024.03.05.', '내용': '선생님이 친절하게 진료를 잘 해주세요~ 소아, 어린이도 진료 가능해서 아이 데리고 방문하기 좋아요!! 요즘에 믿을만한 병원이 없었는데 행복한치과로 정착하려구요ㅎㅎ', '좋아요': '0'}, {'작성자': '정현빈', '별점': '5.0', '날짜': '2024.02.29.', '내용': '아기랑 갈수 있는 치과 찾다가 후기보고 온 행복한 치과에요 ㅎ 사실 치과는 어른들도 무서운데 애기들 놀래지 않게 세심히 잘 봐주셔서 감사했어요! \n기다리다... 더보기', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 20:00'}"
