name,score,address,img_url,reviews,open_hour
미래본병원,3.2,"송파구 송파대로 562 웰리스타워 2,3,8층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA82983A95C064AE2A9E03AFFE49D478B,"[{'작성자': '맛돌이 까망베르', '별점': '1.0', '날짜': '2025.03.24.', '내용': '직원 월급 밀리는 병원이에요. 문제 많음', '좋아요': '0'}, {'작성자': 'Zzxxcc', '별점': '5.0', '날짜': '2025.02.20.', '내용': '내일두시예약방문합니다..그래서뭐라고말할수가없네요 크크*_*', '좋아요': '0'}, {'작성자': '흠', '별점': '1.0', '날짜': '2024.12.23.', '내용': '환자한테 짜증냄', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
골드만비뇨의학과의원 잠실점,4.0,송파구 올림픽로35길 137 한국광고문화회관 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_117485836,"[{'작성자': '칼바람TE', '별점': '5.0', '날짜': '2024.12.03.', '내용': '조아요', '좋아요': '0'}, {'작성자': '설유담', '별점': '5.0', '날짜': '2024.12.03.', '내용': '오줌시원함덕분에 깊은감사드립니다', '좋아요': '0'}, {'작성자': '밍꾸진', '별점': '5.0', '날짜': '2024.07.18.', '내용': '요도 내시경 잘한다길래 가봤는데 전문적이고 빠른 대처에 만족스럽네요!', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
잠실하나이비인후과의원,4.0,송파구 송파대로 562 웰리스타워 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F577d37573cc54ff8a4c4bc2e63a3e6e04f840216%3Foriginal,"[{'작성자': 'Ups', '별점': '5.0', '날짜': '2025.02.24.', '내용': '이사가기전에 리뷰 적습니다.\n\n\n데스크 선생님들 - 친절하십니다\n\n1번방은 항상 사람이 많... 더보기', '좋아요': '0'}, {'작성자': '밥이최고', '별점': '5.0', '날짜': '2025.02.22.', '내용': '불친절함', '좋아요': '0'}, {'작성자': '유지', '별점': '1.0', '날짜': '2025.01.14.', '내용': '편도결석을 꼬챙이같은걸로 빼요.. 구멍이 더 커졌어요 ㅠ 이때 뒤로 편도결석 생긴 위치에 계속 자꾸 생겨요. 진짜 화나네.. 석션 없냐고요 제발', '좋아요': '2'}]","{'수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '토': '09:00 ~ 13:30', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '휴무일': '매주 일요일'}"
BGN 밝은눈 안과의원 잠실롯데타워점,,송파구 올림픽로 300 롯데월드타워 11층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '휴무일', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 17:00', '일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '휴무일': '공휴일'}"
서울드림이비인후과의원,,송파구 송파대로 570 타워730 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FAB387E611963461BB2225750F0A62F53,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:30 ~ 14:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '휴무일': '공휴일'}"
차 여성의학연구소 잠실,4.5,송파구 올림픽로 269 롯데캐슬골드 B동 2-3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2E17868A4739482FB81447C987C64C10,"[{'작성자': '가또', '별점': '5.0', '날짜': '2025.02.08.', '내용': '워낙 유명한 병원이라 좋겠거니 했는데 시설, 진료, 서비스 모두 너무 고퀄이라 좋았어요~! 특히 체계적인 시스템으로 갖춰진 점과 편안한 분위기가 인상적이었습니다!', '좋아요': '0'}, {'작성자': '톰과제리', '별점': '4.0', '날짜': '2024.12.02.', '내용': '시설도 정말 훌륭하고, 직원분들도 모두 친절하십니다. 의사선생님들 역시 실력도 뛰어나시고 믿음이 갑니다. 다만, 원무과에서 일하시는 몇몇 분들이 경험이 부족한 건지 실수가 잦아 불편... 더보기', '좋아요': '0'}]","{'수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '휴무일': '추석당일'}"
리엔장의원 잠실점,,송파구 송파대로 562 웰리스타워 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE612F5BD869A4EC3BD8C1FB11D1E4159,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '휴무일': '매주 일요일'}"
닥터에버스의원 잠실점,,송파구 올림픽로35다길 42 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F54D60ED80C79499899EB92CF91C4ECC7,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 16:00', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '휴무일': '추석전날, 추석당일, 설당일, 현충일, 성탄절'}"
잠실SU연세안과의원,4.3,송파구 송파대로 558 월드타워빌딩 3층 305호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F3e4a7ecc3238814adf7517a2f8890378cc034ad1%3Foriginal,"[{'작성자': '백순자', '별점': '5.0', '날짜': '2024.12.02.', '내용': '친절하시고 설명을 잘해 주셨습니다.\n감사합니다 🙇', '좋아요': '0'}, {'작성자': '가또', '별점': '4.0', '날짜': '2024.11.19.', '내용': '선생님 친절하시고 진료도 꼼꼼히 잘봐주세요-!\n손님들이 어른분들이 많은거 보고 뭔가 여기가 찐이구나 생각이 들었습니다 ㅎㅎ', '좋아요': '0'}, {'작성자': 'V', '별점': '5.0', '날짜': '2024.10.17.', '내용': '다른 병원에서 렌즈삽입술 받고 거기서 추적검사 받으면서도 왜 눈이 너무 아픈지 이유를 못찾았는데, 지인이 수술한 안과만 가지말고 다른곳도 가서 진찰 받아보라고 해서 집 근처라서 여기 와봤는데 여자 선생님... 더보기', '좋아요': '0'}]","{'수': '09:30 ~ 18:30', '목': '09:30 ~ 13:00', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30'}"
잠실서울비뇨의학과의원,,송파구 송파대로 562 웰리스타워 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMThfNTUg%2FMDAxNjc2NzIwMTUzNjky.3d6fVOIWjL-rTf02gOZbSHbv7WUkpzJKo3Bbq6DhmbIg.T9V0Mh4UFpbuoTTh-6LF0XIMmjCgkO-0zeznlCRW6aog.PNG.seoul0010%2F2-7.PNG%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 17:00', '일': '09:00 ~ 17:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00'}"
