name,score,address,img_url,reviews,open_hour
송파참요양병원 (휴업중),5.0,송파구 마천로 164,,"[{'작성자': '고양이는범샛기갓지', '별점': '5.0', '날짜': '2020.02.20.', '내용': '온돌이 되어있는 병실에 부모님을 모실수있어 좋았습니다', '좋아요': '0'}, {'작성자': '김현숙', '별점': '5.0', '날짜': '2020.02.15.', '내용': '선생님들 친절하고 좋아요', '좋아요': '1'}, {'작성자': 'ㄱ이진숙긍정우먼!!', '별점': '5.0', '날짜': '2020.02.04.', '내용': '원무 심사 선생님들  친절한 설명 감사드려요.^^', '좋아요': '1'}]","{'수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 17:00', '휴무일': '공휴일'}"
오쿨리한방병원,,"송파구 위례성대로22길 27 데코빌딩 지하1-3층,1-4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8BF3E36F547147A982BF003F5614EFA3,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00'}"
리윤피부과의원,3.9,"송파구 양재대로 1164 홍일빌딩 5층 502,503호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjJfMjA5%2FMDAxNzMyMjU1ODQ4MDY3.DicqeKfvc5YW0kPVj4JxTnggRlPBkh2_GHch38VTtQsg.mH4KIEL92_Lh1ix_bo9qvGOWMeWMcJ8Ray9YweCvpDMg.JPEG%2F(new)975A0639_020.jpg%3Ftype%3Dw580,"[{'작성자': '찐이야', '별점': '5.0', '날짜': '2025.03.20.', '내용': '저는 만적하는 진료였던거 같습니다.요즘 건조하고 피부도 무겁게 느껴질때가 많았고 그리고 얼굴에 좁쌀 여드름과 모공이 너무 커서 고민이였는데 진료 받아보는 좋았습니다 피부관리 받으러 갈때마다 무서웠는데 좋았어요 감사합니다', '좋아요': '0'}, {'작성자': 'Hi', '별점': '5.0', '날짜': '2025.03.14.', '내용': '대기가 조금 있었지만 저는 30분도 안 기다렸는데 밑에 분 운이 안 좋으신 듯.. 아니 제가 운이 좋나요? ㅎㅎ 시술 후. 만족도 높아서 전 아무렴 괜춘 즐거운 방문이었습니당', '좋아요': '0'}, {'작성자': '차성환', '별점': '5.0', '날짜': '2025.03.11.', '내용': '원장님 너무 친절.\n금방금방 좋아지는게 보이니깐 너무 좋네요', '좋아요': '0'}]","{'수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 20:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:30 ~ 20:00', '화': '09:30 ~ 19:00', '휴무일': '공휴일'}"
연세힐의원,4.3,송파구 마천로 68 청용빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA3MTRfMTYg%2FMDAxNjU3NzY2NTQ1MDgy.xa1ERUmt-s0QZFFRAdjGv1oQEliMpMIcSrJ6jXuC_R0g.5cbvNCLlR3lrxQSjiCABlIIlHs5GczpcrD-kLYjT0xog.JPEG.8yeonjoo8%2FIMG_6222.jpg%3Ftype%3Dw966,"[{'작성자': '🤭', '별점': '1.0', '날짜': '2024.11.19.', '내용': '가정의학과입니다. 직원중 안경쓴 직원 손님뒷담화 하는데 제가 다 민망하더라구요. 씁.. 다신 안갈것 같습니다.', '좋아요': '1'}, {'작성자': '김남영', '별점': '5.0', '날짜': '2024.10.18.', '내용': '매우 만족하고 주위에 강추하고 있습니다', '좋아요': '1'}, {'작성자': '신촌대학생', '별점': '1.0', '날짜': '2024.07.15.', '내용': '연대 동문으로서 부끄럽습니다. \n만성 아토피 환자로서 저의 상황을 제대로 이해해주시지 못하는 것 같습니다. 추측성 진료도 조심해주... 더보기', '좋아요': '1'}]","{'수': '09:30 ~ 13:00', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 15:00', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30'}"
본나음정형외과의원,4.3,송파구 마천로5길 6 가송빌딩 4~6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMTFfODcg%2FMDAxNzI4NjA4NDQwMDMz.5Ngawa7V9Ix3UDF-Y9_6-CUHzLizQ879epImeC3ZNDwg.EirknTNBJEM96lxGHAAiERyH_FRk1IrfB8mn_vTm4kUg.PNG%2Fimage.png%3Ftype%3Dw966,"[{'작성자': '치킨까스', '별점': '5.0', '날짜': '2025.03.17.', '내용': '발바닥에 유리조각이 박혀서 진료받았습니다. 엑스레이에도 안나오는 작은 유리조각을 찾아내서 안아쁘게 빼주셨어요 감사합니다 원장님!', '좋아요': '0'}, {'작성자': '배찌', '별점': '5.0', '날짜': '2024.11.04.', '내용': '어깨 통증으로 고생하다가 이번에 본나음가서 주사맞았어요.  초음파로 자세히 보면서 설명도 친절하게 해주시고 무엇보다 주사맞고 다음날부터 확 좋아져서 너무 만족합니다.', '좋아요': '0'}, {'작성자': '토북이', '별점': '5.0', '날짜': '2024.10.27.', '내용': '친절해요', '좋아요': '0'}]","{'수': '09:00 ~ 19:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 19:00'}"
티엘안과의원,4.4,송파구 마천로5길 4 삼대양빌딩 5층 가호,,"[{'작성자': '아아아', '별점': '5.0', '날짜': '2025.01.12.', '내용': '진료 잘 봐주셔서 감사드려요!', '좋아요': '0'}, {'작성자': 'ㅎㅅㅎ', '별점': '2.0', '날짜': '2024.06.21.', '내용': '평점이 이정도는 아닌거같음.. 뭐 친절하시긴한데 그냥 평범함. 근처에 안과가 없어서 다들 여기로 몰리는거같음. 근데 진료보시는분 장갑끼고 눈만지시는데 내 눈만지고 안버리는거 보니까 전에 봤던환자... 더보기', '좋아요': '3'}, {'작성자': '정재형', '별점': '5.0', '날짜': '2023.11.30.', '내용': '다래끼 난거 쨌는데 오랜시간 지나도 별다른 증상 없이 잘 지내고 있네요', '좋아요': '0'}]","{'수': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 14:00', '월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30'}"
공내과의원,,송파구 마천로5길 4 삼대양빌딩 4층 가호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '휴무일': '공휴일'}"
가브리엘치과,4.7,송파구 양재대로 1158 에스아이팰리스 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA51344FABAA946FCB6FD3147249BB47E,"[{'작성자': 'k', '별점': '5.0', '날짜': '2024.06.25.', '내용': '진짜 친절하고 안아프게 잘 해주세요', '좋아요': '0'}, {'작성자': '이상훈', '별점': '5.0', '날짜': '2023.06.23.', '내용': '치과건물 이전하디 전부터 지금까지 10년동안 계속 이용하고 있습니다\n원장님께서 항상 친절하시고 과잉진료와는 거리가 먼 치과로 아주 만족합니다\n앞으로도 제 치아 잘 부탁드립니다', '좋아요': '0'}, {'작성자': '김창희', '별점': '5.0', '날짜': '2023.06.21.', '내용': '세상의 수많은 사람들이 있고 또 그와 비례하여 치과도 미용실, 커피 매장 만큼이나 많아 본인의 취향에 맞춰 선택해서 갈 수 있는... 더보기', '좋아요': '1'}]","{'수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '휴무일': '공휴일'}"
오금우리내과의원,5.0,송파구 마천로 190 청전빌딩 3층,,"[{'작성자': '최권', '별점': '5.0', '날짜': '2023.02.13.', '내용': '아산우리내과가 오금우리내과로 상호 변경하였습니다.', '좋아요': '1'}]","{'수': '09:00 ~ 17:55', '목': '09:00 ~ 17:55', '금': '09:00 ~ 17:55', '토': '09:00 ~ 12:55', '월': '09:00 ~ 17:55', '화': '09:00 ~ 17:55'}"
서울봄플란트치과의원,5.0,송파구 마천로 61 덕산빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F73E03C3B333F4FB3A1CBEF3F9A3F9C7D,"[{'작성자': '콩빵', '별점': '5.0', '날짜': '2024.01.01.', '내용': '스케일링 받으러 갔는데 원장님이 검진도 꼼꼼하게 해주시고 직원분들도 친절합니다\n스케일링 하기전 가글마취해서 안아프고 편하게 잘받았어요~', '좋아요': '0'}, {'작성자': '밍', '별점': '5.0', '날짜': '2023.05.31.', '내용': '치과는 항상 무서워서.. 잘 따져보고 치료받는데 여긴 진짜 추천이에요!! \n상담해주신 실장님도 원장님도... 더보기', '좋아요': '0'}, {'작성자': '민지', '별점': '5.0', '날짜': '2023.05.30.', '내용': '치과 트라우마가 있어서 엄청 무서워하고 갔는데 선생님들이 다 너무 친절하시고 원장님도 너무 좋으셔서 치료 잘 받고 왔습니다. 과잉진료 없고 꼼꼼하게 잘 봐주시는것 같아서 너무 좋아요〰️ 감사합니다!', '좋아요': '0'}]","{'수': '09:30 ~ 18:00', '목': '14:00 ~ 20:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 15:00', '일': '휴무일', '월': '09:30 ~ 20:00', '화': '09:30 ~ 18:00', '휴무일': '공휴일'}"
