name,score,address,img_url,reviews,open_hour
송파정형외과의원,4.7,송파구 새말로 125 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAyMDhfMjQy%2FMDAxNjc1ODM4NjQ5MDk1.wijgQHkcL4ZHFDxrbA61fXpej17_sdB8prKcGwcvE8Mg.fmNJJithVYOzx0g6XvM9N5f2B9jl8-mMioewWzNJcIUg.JPEG.songpaosclinic%2F4.jpg%3Ftype%3Dw966,"[{'작성자': '보오옹', '별점': '5.0', '날짜': '2025.02.06.', '내용': '허리가 아파서 갔어요ㅠㅜ\n다니던 병원이 있었는데 이사를 가서 집이 가까워서 갔어요 큰길가쪽에 병원에 갔더니 충격파 도스 ,,,,,뭐가뭔지 너무 많은거를 하라고해서ㅠㅜ 부담스럽더라고... 더보기', '좋아요': '1'}, {'작성자': '그레이', '별점': '2.0', '날짜': '2025.01.30.', '내용': '2024 . 10월에 방문함 \n테스크 아줌마 직원분은 말투의 매너가 없어요. 응대도 무슨 남대문 시장에서 장... 더보기', '좋아요': '1'}, {'작성자': '그대그리고나', '별점': '5.0', '날짜': '2024.09.13.', '내용': '친절하고 넓고 깨끗합니다.\n엑스레이 하나도 찍을 의사가 있는지 꼭 물어보고 찍는 것으로 보아\n과잉 진료 방지에 신경 쓰시는 것 같습니다.', '좋아요': '2'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '공휴일'}"
바로바디의원,4.2,"송파구 송파대로 98 선도빌딩 5층 502, 503호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEwMTlfMTQ4%2FMDAxNjY2MTYzNjI0MjA3.QTgEEyMv0VxPUX171HjjpCNBaJXgbdAhJXttpebcaVMg.WaSDWI6DmFqGu7iKTIIU3uUSIAeO4yMGwACLjXD7sKcg.JPEG.hollimcneill%2F2.jpg%3Ftype%3Dw580,"[{'작성자': 'ʕ•̫͡•', '별점': '5.0', '날짜': '2024.05.10.', '내용': '명의사 참의사\n과잉진료 안합니다 수서역에서 과잉진료 한달간 당하고 몇년전 여기 왔다 충격 받았던 기억ㅇ 있어요 다시 왔는데 여전하네요 몇년... 더보기', '좋아요': '1'}, {'작성자': '머시기여', '별점': '5.0', '날짜': '2022.03.27.', '내용': '어깨가 무지아파 어제 치료받았습니다. 통증부위 어깨움직임등 세심한 관찰후바로 오십견이라고 하데요. 회전근개파열이기도 하구요.우선 오십견치료 먼저하자며 초음파사진보며 주사처치했는데 이럴수가? 오후 늦게쯤부... 더보기', '좋아요': '1'}, {'작성자': '김은정', '별점': '5.0', '날짜': '2020.08.10.', '내용': '어깨통증 때문에 지인 추천받아서 갔어요. 손목때문에 몇군데 다녀도 소용없었는데 여기 가서 많이 나았다고 추천해줘서..^^ 선생님이 오십견이라고 하시면서 주사 놔주시고 운동법 알려주셨는데.. (어깨... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '휴무일': '공휴일'}"
이민규내과의원,4.7,송파구 새말로 125 어은회관 4층 403호,,"[{'작성자': '뿌루삥뽕', '별점': '5.0', '날짜': '2025.03.15.', '내용': '밑에 후기보고갔는데 병원도 깨끗하고\n진짜 제가 간 선생님중에 최고로 친절하세요\n\n자주 ... 더보기', '좋아요': '0'}, {'작성자': '한건호', '별점': '5.0', '날짜': '2025.03.14.', '내용': '최근 혈당이 자꾸 높아지는 것 같아서 다녀왔는데 정확하게 진단해주셨어요.\n집에서는 펩티드요법을 하면서 꾸준히 관리 중인데 확실히 변화가 느껴지네요... 더보기', '좋아요': '0'}, {'작성자': '도깨비^^', '별점': '4.0', '날짜': '2024.12.06.', '내용': '집에서 멀어도 원장님이 자세히 잘 봐주셔서 다녔는데 간호 쌤 때문에 기분 상해서....  혈관이 오른쪽이 좋으니깐 거기서 피검사 하라고 했더니 자기 마음대로 왼쪽에 찔러서 실패 다시 오른쪽에 ... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 13:00', '휴무일': '공휴일'}"
서울진치과,3.9,송파구 충민로2길 34 북일프라자 5층,,"[{'작성자': '내돈내산', '별점': '1.0', '날짜': '2024.01.29.', '내용': '과잉진료 대박입니다..\n6개월마다 건강검진 받는데 저번 치과에서는 아무 말 없었는데 갑자기 충치 10개 생겼다고 300만원 정도 든다고 하... 더보기', '좋아요': '1'}, {'작성자': '하헌일', '별점': '5.0', '날짜': '2023.08.02.', '내용': '친절하고요 치과에 대한 두려움을 많이 없게 해주셨어요', '좋아요': '1'}, {'작성자': 'Jin', '별점': '5.0', '날짜': '2022.12.29.', '내용': '과잉진료 없어요. 스케일링도 의사선생님이 전부 직접 해주세요.', '좋아요': '0'}]","{'목': '휴무일', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 20:30', '휴무일': '매주 목요일'}"
경이비인후과의원,4.1,송파구 충민로2길 24 4층,,"[{'작성자': '최사장', '별점': '5.0', '날짜': '2024.04.29.', '내용': '이명 때문에 갔는데 차분하게 진료 잘 봐주심. 꾸준히 다닐 예정..', '좋아요': '0'}, {'작성자': '밥', '별점': '5.0', '날짜': '2023.08.03.', '내용': '꼼꼼하시고 잘해주셨어요~', '좋아요': '0'}, {'작성자': '우노', '별점': '1.0', '날짜': '2022.09.28.', '내용': '다시는 안 갈 듯\n\n근처 다른 곳 가세요', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30'}"
경희K한의원,5.0,송파구 송이로 239 3층,,"[{'작성자': '쑤나', '별점': '5.0', '날짜': '2024.10.23.', '내용': '여기저기 몇군데 다녀봤는데\n발바닥 침 맛집은 여기인거 같아요~\n족저근막염으로 고생중인데 오래 다녀... 더보기', '좋아요': '0'}, {'작성자': '신나라', '별점': '5.0', '날짜': '2024.06.15.', '내용': '친절해요 효과 많이봤어요. 다니던 곳 중에 가장 좋아요.', '좋아요': '0'}, {'작성자': '송파구 먹짱', '별점': '5.0', '날짜': '2023.04.01.', '내용': '최고의 한의원', '좋아요': '0'}]","{'목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '일': '10:00 ~ 15:00', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00'}"
굿본재활의학과의원 위례점,,"송파구 위례광장로 230 위례2차아이파크상가 C동 2층 203,205,206호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC8ADCE8962B048B89D26E89067161E4E,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:30 ~ 20:00', '금': '09:30 ~ 19:00', '토': '09:00 ~ 13:00', '일': '09:00 ~ 13:00', '월': '09:30 ~ 20:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '휴무일': '공휴일'}"
연세어린이치과,3.6,송파구 송파대로 98 4층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F27237D4C5587A1750A,"[{'작성자': '율,준,준', '별점': '5.0', '날짜': '2025.02.26.', '내용': '세 아이 애기때부터 성장하는동안  잘  다녔습니다.  집에서 조금 더 가까운  다른 어린이치과 갔다가 다시 돌아왔습니다.', '좋아요': '0'}, {'작성자': '송파구', '별점': '1.0', '날짜': '2024.12.25.', '내용': '원장이 매우 불친절하며 아이가울면 3M 귀마개 착용함 \n말을 빨리하고 신경질적인 말투라 질문할수가없음 \n... 더보기', '좋아요': '0'}, {'작성자': '송훈섭', '별점': '5.0', '날짜': '2024.07.02.', '내용': '첫 치과가는거라 걱정 많았는데 간호사분들과 의사 선생님 친절히 해주고 아이 안무섭게 해주셔서 무사히 통과. 만족.', '좋아요': '0'}]","{'목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:00 ~ 14:00', '월': '09:30 ~ 20:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30'}"
조소아과의원,4.7,송파구 송이로 239 도은빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1f08b53ee3c21e55e4c0bd7ccf40bec768727fb9%3Foriginal,"[{'작성자': 'Hazel', '별점': '5.0', '날짜': '2024.05.09.', '내용': '아주 친절하고 좋아요!', '좋아요': '1'}, {'작성자': '스시조아', '별점': '5.0', '날짜': '2023.04.07.', '내용': '아래 불친절하다는 후기있는데, 실제로 가보신 분이 맞는지 의심되네요. 간호사샘, 의사샘 모두 너무 친절하십니다. 진료도 잘 받아서 기관지염 금방 나았어요.', '좋아요': '2'}, {'작성자': 'Wonderwhy7', '별점': '5.0', '날짜': '2023.01.22.', '내용': '지금은 이사해서 멀어서 못가지만 아직도 아이 아플때 종종 생각나는 곳이에요. 감사한 기억이 많은 곳~ 의사선생님 간호사선생님들 모두 건강하시고 잘되셨음 좋겠어요!! 개추♡', '좋아요': '0'}]","{'목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 15:00', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '휴무일': '매주 일요일'}"
이루이비인후과의원,2.3,송파구 위례광장로 230 위례아이파크 2차 상가 2동 2층 208호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjFfMjg1%2FMDAxNzM0NzQwNTA0OTQ4.di0pf6ggukSP9GZkl_ZDI0E8xZTbIFNhl_o9ghyM8Bsg.cTDZqnU1JIplvf7U4mrT1bcBDG2pN07swYMvroV2XwAg.JPEG%2F1734740503178.jpg%3Ftype%3Dw966,"[{'작성자': '멍멍', '별점': '1.0', '날짜': '2024.12.18.', '내용': '1) 데스크 실장 너무너무 불친절해요^^\n2) 직원들이 데스크에서 수다떠느라 인사안함\n3) 다른 후기처럼 예약하고 와도 오래 기다림\n... 더보기', '좋아요': '1'}, {'작성자': '뭐야이거', '별점': '1.0', '날짜': '2024.07.19.', '내용': '예약대기가 너무 김 \n똑딱 예약 후 노쇼해도 늦게 오면 바로 진료 잡아줌 \n지인인가 싶을 정도임', '좋아요': '1'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.07.17.', '내용': '몇 년 넘게 원장님께서 친절하시고 진료 잘 보셔서 꾸준히 다녔던 곳인데 똑닥 도입 이후로 터무니 없게 긴 대기 시간에 이제 더 이상 안 갑니다', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '연중무휴'}"
