name,score,address,img_url,reviews,open_hour
서울아산병원,2.6,송파구 올림픽로43길 88,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMzBfMjg1%2FMDAxNzM1NTMyOTIxMTc0.5QsZ0DZ1p91qSs_joMoVXmD3a_F9dVxjGil3FDCxj-Ug.LOui5crDEHE_hBAF3jPNUrvyobn9x2oNwj4Dr5uSLZQg.PNG%2FSnipaste_2024-12-30_13-24-46.png%3Ftype%3Dw386,"[{'작성자': 'HO', '별점': '5.0', '날짜': '2025.03.19.', '내용': '개인적으론 정말 좋은 병원이라 생각합니다 어릴 때부터 타고난 희귀 질환 때문에 다녔었는데 그때도 치료할 곳이 여기 밖에 없었다고 하더라구요 \n요즘 들어서 유전학센터가 아산,목동 밖에... 더보기', '좋아요': '7'}, {'작성자': '랄라', '별점': '1.0', '날짜': '2025.03.09.', '내용': '이상한 사람 많음 여기 ㅋㅋ', '좋아요': '0'}, {'작성자': '후기 몰아서 쓰는사람', '별점': '1.0', '날짜': '2025.02.28.', '내용': '본인 열 40도가량 올라 며칠간 열이 잘 떨어지지 않자 자정에 병원에 차를 타고 감(부모님 찬스). \n새벽에 병원에서 대기를 하고 진료를 보는데\n증상을... 더보기', '좋아요': '2'}]","{'목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 17:00', '화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '휴무일': '공휴일'}"
서울아산병원 동관,3.3,송파구 올림픽로43길 88,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA0MTVfMjQ1%2FMDAxNjQ5OTc0NDM4NTQ2.V018lDuxxn3C0xmtWGPBeFK_vs0k2sp4bNgmISrmv8og.sGH3-5LNH8JTbQWj871ns0ehbxqv1_QFtBu8uWIYv78g.JPEG.jotun4257%2Foutput_2522625263.jpg%3Ftype%3Dw580,"[{'작성자': '백석동 야옹이네', '별점': '1.0', '날짜': '2025.01.17.', '내용': '병문안갔다가 주차비정산 했는데...1분에100원이다. 사악하네', '좋아요': '1'}, {'작성자': '은하수', '별점': '2.0', '날짜': '2023.06.01.', '내용': '상담하는시간이  너무  짧아  제데로된 상담도 못하고 약처방만 받고옴.아무리 바빠도 제데로 환자를위해 상담을 해줫으면 한다.물건취급  받는 느낌', '좋아요': '2'}, {'작성자': '똥파리', '별점': '1.0', '날짜': '2022.02.26.', '내용': '응급실 대기자도 없는데 대기는 대기로로 3시간넘게  이빠이 진료는20초 치료도 전혀 안해주고  여기 치과의사  무능그자체 ㅋㅋ 동내병원보다 못함 잇몸밀리고 이빨 함몰됬는데 진통제만 처방 끝 이빠이네', '좋아요': '1'}]",{}
동행한방병원,3.0,송파구 토성로 20 다보라 지하1층~5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC6E1AC7F552C4E48B5D053D1976285C9,"[{'작성자': 'suchabeautifulday', '별점': '5.0', '날짜': '2025.02.08.', '내용': '데스크 선생님부터 실장님, 원장님까지 매우 친절하시고 매우 전문적으로 상담해주십니다. 부모님 세대는 조금 장황하게 설명하시고 이것저것 질문이 많으실 수 있는데 궁금한... 더보기', '좋아요': '0'}, {'작성자': '..', '별점': '1.0', '날짜': '2024.12.24.', '내용': '가지마세요. 가격 완전 사기입니다.', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
서울아산병원 응급의료센터,2.2,송파구 올림픽로43길 88,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTBfMTk4%2FMDAxNzMxMjMxNjU2NjY1.U5K1Yvg34a2tKpuDDBUzpqc1WNUmqS2PtBSp1HnoSpYg.vE_JOkIyq-wFCAUjuuBj4Mh0T3y_nnn_aKtZne1VsMYg.JPEG%2F1731231595092.jpg%3Ftype%3Dw773,"[{'작성자': 'ghg', '별점': '1.0', '날짜': '2024.06.18.', '내용': '응급진료. 2024년 06월 18일 새벽 4시경 근무 중 통회 받은 여성 직원 - 현잔 상황 친절히 물어봐도 시큰둥 대답하고 환자 있대도 나몰라라 와서 알아서 확인하라... 더보기', '좋아요': '1'}, {'작성자': 'kkiii', '별점': '5.0', '날짜': '2024.05.12.', '내용': '응급실에서 친절도 안바랍니다 치료받을 수 있는 것만으로도 감사하죠. 근데 간호사쌤들 너무 친절하셔요 ㅠㅠ주변에 소아응급센터가 있어서 정말 복받았네요. 의사쌤 간호사쌤들진료 해 주셔서 정말 감사합니다!!', '좋아요': '0'}, {'작성자': '세야', '별점': '5.0', '날짜': '2023.06.03.', '내용': '간호사 선생님들 다 너무 친절하세요 의사 선생님은 좀 뭔가 틱틱대는 기색이 있었지만 그 분의 떡진 까치집 머리와 공허한 눈을 보고 그냥 이해했습니다ㅠ....응급실에서 바로 입원했는데 응급실이라 그런지 2... 더보기', '좋아요': '0'}]",{}
아산유외과의원,3.2,송파구 올림픽로 509 J빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F60b5f9de0b023f35bd7ee4caae4e746a6e432f95%3Foriginal,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.05.21.', '내용': '제가 가지고 있는 섬유선종이 많아서 몇년간 대학병원에서 추적관찰하다가, 재작년에 외래회송되어 작년부터 아산유외과에서 검진을 받고 있어요. 아무 동네병원이나 가고 싶진 않아서 많이 알아봤고, 그 중... 더보기', '좋아요': '0'}, {'작성자': 'MK', '별점': '5.0', '날짜': '2024.02.21.', '내용': '홍수정원장님의 전문성과 실력 최고. 꼼꼼하게 환자를 살피시고 챙겨주셔서 너무 좋음.', '좋아요': '0'}, {'작성자': 'suuuuuu', '별점': '1.0', '날짜': '2023.07.06.', '내용': '최악입니다^^\n후기 보고 가지말았어야 했는데 검진받으러 소중한 시간 내서 갔다가 기분만 상하고 검.진.차.체를 받지 못... 더보기', '좋아요': '2'}]","{'목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '휴무일': '공휴일'}"
SB피부과,3.7,송파구 올림픽로 509 4층,,"[{'작성자': '허경효', '별점': '5.0', '날짜': '2024.10.10.', '내용': '명의이십니다.', '좋아요': '0'}, {'작성자': '이강진', '별점': '5.0', '날짜': '2023.09.19.', '내용': '실력 좋으세요', '좋아요': '0'}, {'작성자': '콩두유', '별점': '1.0', '날짜': '2022.08.08.', '내용': '동생 잠깐 접수해주고 옆에 치과에서 볼일봤는데 무슨 고등학생한테 55만원짜리 패키지를 추천해주시네요ㅡㅡ;;5년전에 갔을땐 레이저 가격도 저렴해서 좋은기억에 일부러 옆동네에서 왔는데 많이 바뀌었네요 실망..', '좋아요': '3'}]","{'목': '휴무일', '금': '09:30 ~ 19:30', '토': '10:00 ~ 14:30', '일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 19:30', '수': '09:30 ~ 18:30', '휴무일': '매주 목요일, 일요일'}"
올림픽경희한의원,5.0,송파구 올림픽로 501 성일빌딩 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F5F516BF06D8147DAA2261FBC54CC7C0B,"[{'작성자': '빡', '별점': '5.0', '날짜': '2017.11.22.', '내용': '허리가 불편해서 지인 소개로 갔었는데\n선생님 진료 진짜 친절하게 잘 해주시구요\n일단 효과 넘 좋아요', '좋아요': '2'}]","{'목': '14:00 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 14:00', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00'}"
서울초이스병원 (휴업중),3.0,송파구 올림픽로 579,,"[{'작성자': '류재용 하모니카(원주49)', '별점': '5.0', '날짜': '2020.07.19.', '내용': '22005년2뤌5일원주에서교통사고로\n원주기독병원응급실의 한가호사샘의\n소개로 허장원원장님을소개받... 더보기', '좋아요': '1'}, {'작성자': '웨잇킴', '별점': '1.0', '날짜': '2020.03.27.', '내용': '아랫분들 말씀대로 병원비 바가지 씌우고 검사안한 비용까지 청구해 놓고 가서 물으니 간호사들이 서로 검사 했다 안했다 얘기 하더가 결국은 ... 더보기', '좋아요': '1'}, {'작성자': '이은동', '별점': '1.0', '날짜': '2020.03.02.', '내용': '별 한개도 아까움! 접수처 아가씨들 너무 불친절함! 돈만 밝히는병원임! 비추비추비추', '좋아요': '0'}]",{}
풍성내과의원,2.8,송파구 올림픽로45길 19,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F127eb4d388383327224d712764d51850515e1fba%3Foriginal,"[{'작성자': '하루', '별점': '2.0', '날짜': '2024.02.19.', '내용': '몇일전에 화요일날 풍성내과 진료받으러 갔었는데요\n화요일이 목, 토요일 동일하게 오후 2시까지하더라구요…\n원래 6... 더보기', '좋아요': '0'}, {'작성자': '히터', '별점': '1.0', '날짜': '2023.11.14.', '내용': '약 처방시 굳이 위장약을 비급여로 하는 이유를 모르겠고요. 약국 지정해서 어디가라고나 하고 절대 안갑니다', '좋아요': '0'}, {'작성자': '🍺', '별점': '1.0', '날짜': '2023.08.29.', '내용': '시간이 없어서 근처에 후기 좋은 병원을 골라서 들어갔는데 저한테만 그러셨던건지 의사 선생님 굉장히 무례하셨습니다. 기분파 의사 선생님이신듯...', '좋아요': '0'}]","{'목': '09:00 ~ 14:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 14:00', '수': '09:00 ~ 18:00'}"
백상기의원,3.7,송파구 토성로 65,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA2MjNfMjQx%2FMDAxNjg3NTEyNTUwMDIx.TGwcaDxoctEE7F4z-i9EK7-RrY_VVOZPzjv7BWXRa5Ug.ay_1I6jZO5PdDNXzttsYWCEMCYJ_EdcX39qv9gyQWq8g.JPEG.dhraldls%2FSE-0a0f13cd-1175-11ee-b7d3-57f5d3a20bf6.jpg%3Ftype%3Dw966,"[{'작성자': '최고양', '별점': '1.0', '날짜': '2022.07.18.', '내용': '21년 8월 별 하나짜리 내용 그대로. 개 싸가지.\n금요일 17시... 더보기', '좋아요': '2'}, {'작성자': 'Joshua HI Suh', '별점': '5.0', '날짜': '2022.03.18.', '내용': '항상 오면 친절하게 그리고 상세하게 설명 잘해주십니다. 위 대장내시경도 잘해주셔서 종합검진센터 받을 때보다 훨씬 더 좋습니다.', '좋아요': '0'}, {'작성자': 'mido', '별점': '1.0', '날짜': '2021.08.31.', '내용': '데스크 직원들은 착한데 의사가 불친절함 아무리 금요날 오후 늦게 진료받으러 갔다지만 정말 너무 아파서 어쩔수 없이 뒤늦게서야 간건데 제시간에 퇴근 못할까봐서인지 검사도 해주기 싫어하는 모습 잘 봤다 말투도 싸가지... 더보기', '좋아요': '2'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '휴무일': '공휴일'}"
닥터홍연합의원,4.3,송파구 토성로 78 정민빌딩 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F157B713D4FE28C5612,"[{'작성자': '오오어터', '별점': '5.0', '날짜': '2025.02.21.', '내용': '후기대로 친절하셔서 좋음', '좋아요': '0'}, {'작성자': '두비마', '별점': '5.0', '날짜': '2024.09.18.', '내용': '여기 진짜 좋아요. 갈 때마다 친절하게 설명해 주시고요. 엑스레이 쪽 방에 계신 남자분께서 원장님 이신거죠? 원장님 유머감각도 있으신거 같애요. 베리굿', '좋아요': '0'}, {'작성자': '킹킹', '별점': '1.0', '날짜': '2024.03.13.', '내용': '매번 느끼는 건데, 남자원장 의사가 참 사람 기분 나쁘게 하네요!!\n환자 말 끊고, 다 지 마음대로.\n개인적으로 다음주엔 좀 중요하고 바쁜 일이 있어, 그 전에 최대한 좀 감기... 더보기', '좋아요': '2'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '휴무일': '공휴일'}"
