name,score,address,img_url,reviews,open_hour
이대목동병원,1.9,양천구 안양천로 1071,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTlfMTYw%2FMDAxNzM0NTgwMzc2NjMz.nu5XESTxaSLRTQgcekXWSrmBloPAzC_Ogk5fykcDlWog.H4azqJEqWUdc3sMh6pzYq_leC0cOhUtaEaQ_wW6C0E8g.JPEG%2Fbeauty_1732232046518.JPG%3Ftype%3Dw386,"[{'작성자': '김두희', '별점': '5.0', '날짜': '2025.02.18.', '내용': '친절하고 좋았어요!\n안과 외래 진짜 친절하세요!\n\n밑에 충수염 수술 안해주는 병원 적으신 분ㅋㅋㅋ\n요즘 어느 대학병원에서 충수돌기염 수술을 해주나요 \n그런건 대학병원말고 2차병원가세요 ㅋㅋ \n무식하면 용감하다더니 ㅋㅋ', '좋아요': '1'}, {'작성자': '효경', '별점': '1.0', '날짜': '2025.02.10.', '내용': '진짜 몰라서 물어보면 간호사한테 혼나는 병원\n간호사가 환자랑 보호자를 태움하는 병원임\n간호사 이름 기억 안나지만 당시 학생 신분의 보호자였던 저에게 소리지르셨던 간호사님 힘든거 알지만\n다짜... 더보기', '좋아요': '3'}, {'작성자': 'Cty', '별점': '5.0', '날짜': '2025.02.01.', '내용': '시스템 체계가 많이 뵈뀐듯요, 응급실 대응은 대부분 친절하고 정확한 안내를 받았습니다.', '좋아요': '0'}]","{'월': '08:00 ~ 17:30', '화': '08:00 ~ 17:30', '수': '08:00 ~ 17:30', '목': '08:00 ~ 17:30', '금': '08:00 ~ 17:30', '토': '09:00 ~ 12:00'}"
이대목동병원 장례식장,3.0,양천구 안양천로 1071 별관,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjZfNTAg%2FMDAxNzM1MTc3NjYyODQ0.ePh4KIocuiySQUc3F2q4meuOcJq0URQHVR2jGYMk_1og.9ykOxaZnJRPqtPk9XemmBBXVns8KieWQV3YyE7jHD48g.JPEG%2FKakaoTalk_20240408_165115721_17.jpg%3Ftype%3Dw966,"[{'작성자': '❤️', '별점': '1.0', '날짜': '2022.07.16.', '내용': '발인 운구하는데 와서 시끄럽게 소란피우며 빈소에있는 자는사람 내보내라며 재촉하질 않나\n운구만 하고 내려간다는데..\n미처 못버린 쓰레기(한과) 하나를 들고와선 고래고래 이거 버리는거냐며 버린다고 하니 ... 더보기', '좋아요': '3'}]",{}
목동힘찬병원,4.2,양천구 신목로 120,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMDdfMTE1%2FMDAxNzMwOTM5MzM2MTkz.VVB3_kWhNzOtkHfD7AlZYy575-FA1jdlvn_iDQv2ZVog.nG6jt5HOe3QqBRQx2Dl6t0BDKczRCsGNyPak0EyMdEAg.JPEG%2F1.jpg%3Ftype%3Dw966,"[{'작성자': 'Tb', '별점': '1.0', '날짜': '2025.03.11.', '내용': '환자의 말을 듣지 않고 의사 맘대로 판단함. 적어도 다쳐서 간건데 무조건 관절염으로 증상으로 넘김. 다친 경위를 말하려고 해도 듣지도 않고 지멋대로 판단. 진짜 개실망. 절대로 안감. 게다가 간호사까지?\n피검... 더보기', '좋아요': '0'}, {'작성자': '우나무', '별점': '4.0', '날짜': '2024.12.31.', '내용': '무릎통증으로 방문했는데 직원분들도 친절하고 원장님도 설명 잘해주셔서 좋았습니다', '좋아요': '1'}, {'작성자': 'ㄴ', '별점': '5.0', '날짜': '2024.11.19.', '내용': '화장실에서 엉덩방아 찧고나서 허리가 며칠동안 너무 아파 진료받으러 갔었는데 사람이 엄청 많더라고요. 엄청많은데도 생각보다 오래 안걸리고 금방 x-ray찍고 진료봐주셔서 편했습니다. 직원분들도 너무 친절하시... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
목동자생한방병원,3.7,"양천구 신목로 102 대경프라자 3,5-6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF27DF2E1ADD446E1A5AD1050CEDC8C13,"[{'작성자': '상추먹는토끼', '별점': '1.0', '날짜': '2025.03.14.', '내용': '교통사고로 접수 하면 삥듣을라 애쓰네\n댓글 작성하니 삭제하네 에라이~', '좋아요': '0'}, {'작성자': '하세기', '별점': '5.0', '날짜': '2024.04.16.', '내용': '치료 및 서비스는 좋은데 시설이 아쉽네요 ㅎㅎ\n\n그래도 전체적으로 좋았습니다', '좋아요': '0'}, {'작성자': 'ff1313', '별점': '1.0', '날짜': '2024.04.11.', '내용': '진짜 불친절 끝판왕 다른자생 생각하고 방문하면 안댐', '좋아요': '2'}]","{'일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날'}"
이대목동병원 주차장,1.0,양천구 안양천로 1071,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F25620195B3B04BE596F33BC46F14C5B5,"[{'작성자': 'z', '별점': '1.0', '날짜': '2023.01.22.', '내용': '1.22 오전 11시 반경 근무하시는 분\n사전정산의 의미도 모르고 무작정 돈내라고 하시는데 이렇게 시스템 잘못 만들어놓으면 따르는게 도리인가요? \n잘못 된걸 고칠 생각을 해야지 어이가 없네요\n하이파킹이란데도 어이없고 이대목동병원도 어이없고요', '좋아요': '0'}, {'작성자': 'TOTO', '별점': '1.0', '날짜': '2022.05.27.', '내용': '장례식장 조문으로 금요일 오후에 가서 주차 공간 부족으로 빙빙 돌아서 주차릏 하는데만 20분 넘게 걸려서 입차부터 출차할 때까지 123분(2시간 3분)을 걸렸는데, 장례식장 방문객 주차 등록으로 겨우 1... 더보기', '좋아요': '0'}]",{}
이대목동병원 권역응급의료센터,1.6,양천구 안양천로 1071,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MjlfMTg0%2FMDAxNzI0ODk2ODIwMzE5.m8dWR4z_K9Iln_zQdcYjVhYT_9dk7W4O2MEcOyW-yQ0g.WwqF1OcOKKXJyuHfXUS7vAt7voV0RXoR3JCbvbRMx1Ug.PNG%2FIMG_5283.PNG%3Ftype%3Dw466,"[{'작성자': '준비된갑부', '별점': '1.0', '날짜': '2024.11.24.', '내용': '안 망하는게 신기하다.. 불친절에 실력도 없고..', '좋아요': '0'}, {'작성자': '내돈내산만 리뷰함', '별점': '1.0', '날짜': '2024.07.28.', '내용': '외국 바다에서 해파리에 쏘여서 현지 병원 방문했음에도 다리가 이지경이 되어 귀국하자마자 방문했는데요.. 피부과는 응급 진료 못해주고 소독, 약처방 아무것도 해줄수 있는게 없대요 ... 더보기', '좋아요': '0'}, {'작성자': '선영', '별점': '1.0', '날짜': '2024.01.13.', '내용': '왜 1점인지 알 것 같아요^^\n간호사1이 말없이 갑자기 상처부위 벌여보네요\n여기서도 기분 안 좋았거든요..아픈상태니까.\n이제 설명하고 있는데 갑자기 간호사2가 상처부위를 벅벅 닦아요. ㅡㅡ 아니 말좀하고 하시라하니 미안... 더보기', '좋아요': '1'}]",{}
이대목동병원 소화기내과,0.0,양천구 안양천로 1071,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
이대목동병원 MCC B관,0.0,양천구 안양천로 1071,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
목동동물병원,,양천구 목동서로 57 현대파리지앙 상가 1층 121호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 18:00', '휴무일': '공휴일'}"
신한은행 이대목동병원 출장소,,양천구 안양천로 1071 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F23760F4153421FF226,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 16:00', '화': '09:00 ~ 16:00', '수': '09:00 ~ 16:00', '목': '09:00 ~ 16:00', '금': '09:00 ~ 16:00', '토': '휴무일', '휴무일': '공휴일, 5월 1일 휴무'}"
