name,score,address,img_url,reviews,open_hour
메디힐병원,2.3,양천구 남부순환로 331,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff3d48bd777820bddecaeebcd8a6d68391f939ec0%3Foriginal,"[{'작성자': '윰찍', '별점': '1.0', '날짜': '2025.01.02.', '내용': '정형외과 과잉진료 쩐다.\n진짜 개쩐다.\n진짜 급할때 아니고는 딴데 가야겠다..', '좋아요': '0'}, {'작성자': '🕟', '별점': '5.0', '날짜': '2024.12.19.', '내용': '가정의학과 이해정 선생님 친절하시고 정확한 진료 감사합니다', '좋아요': '0'}, {'작성자': 'Like her', '별점': '5.0', '날짜': '2024.06.14.', '내용': '이비인후과 선생님 너무 좋으셔요~ 예전에도 갑상선 문제인지도 모르고 목이 아파 갔더니 대번에 저 살펴보시더니 목이 많이 부었다며 갑상선 말씀해주셔서 덕분에 빨리 치료 받을수 있었어요 항상 감사하게 생각... 더보기', '좋아요': '1'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
서울제일요양병원,3.0,양천구 가로공원로 81,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAxMjJfMjA1%2FMDAxNjc0Mzk2NzUxNTU4.Nq1TTxviwO48hox-gETWs8yJ5BiyADlxpCTk00qnA0og.jZLSuLgFIjgFz73F0EcxcZOqDWw_5_L7VRphzl7b5vMg.JPEG.procos1004%2FJEY4356_1-600x399.jpg%3Ftype%3Dw773,"[{'작성자': '발발이', '별점': '5.0', '날짜': '2025.01.23.', '내용': '치료실, 간호사실 선생님 대부분이 친절하십니다.\n근데 꼭 층마다 빌런 한명씩 있어요.\n2층에 계신 간호사 한분.. \n매번 통화할때마다 한번도 빠짐없이 기분 잡쳐요.....\n단 몇마디로 사람... 더보기', '좋아요': '2'}, {'작성자': 'hk', '별점': '1.0', '날짜': '2025.01.17.', '내용': '정신이상한 환자가 환자 때리고 간병사 때리고 간호사 때려도 가만히 내비두는 병원 조만간  정신 이상한 환자가 칼을 휘두르거나 불을 지를거 같아서 무서워서 급하게 어머니 퇴원 시켰습니다 별 1개도 아까운 최악의 병원', '좋아요': '1'}, {'작성자': 'jd', '별점': '1.0', '날짜': '2023.12.09.', '내용': '느끼고경험한점 원무 의료 간병 각각 따로따로 특히 간병인의 역할? 의문투성  들어갈때와 나올때 ㅠ 욕창이아니라 이건 도데체 너무 보기가 힘듭니다  슬픔이아니고 화가치밉니다ㅠ 욕창이아니라 그냥 구멍입니다 그리고 ㅠㅠㅠ', '좋아요': '1'}]",{}
뉴본정형외과,3.7,양천구 중앙로 303,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDZfMTM5%2FMDAxNzMzNDcwOTMwODA3.59cfalfj3jKfC4Sf7rYkuL1IHWTIR-b0F_jN8Fklk_sg.xrI6peoIe2UVNe6aZCag4kWZOjxqxnGB-AM2oYb2wP0g.JPEG%2F20241205_103506.jpg%3Ftype%3Dw966,"[{'작성자': '차성환', '별점': '5.0', '날짜': '2025.02.24.', '내용': '내부 깔끔, 직원친절, 치료 꼼꼼, 금방나았음 강추', '좋아요': '0'}, {'작성자': 'Hi', '별점': '5.0', '날짜': '2025.02.24.', '내용': '들어올 때 인사 밝게해주시구 친절하셔서 좋았어오ㅡ 치료도 편안했고 좋은 기운 받고 갑니다~', '좋아요': '0'}, {'작성자': '테스터', '별점': '1.0', '날짜': '2025.02.21.', '내용': '비추', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 16:30', '화': '09:00 ~ 16:30', '수': '09:00 ~ 16:30', '목': '09:00 ~ 16:30', '금': '09:00 ~ 16:30', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
포레스트피부과의원,3.3,양천구 중앙로 291 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDVfMjc4%2FMDAxNzMzMzYzNjU3NDU0.ruCOFgn8935P9O53zUelaA5X6UlcHcIEHGRTld1362Ug.RlyHfgujah6NcKLQvDODn-FLTtHi32f-f9Tj3uiTuHAg.JPEG%2FP20220522_141926000_DC090F2C-ED05-435C-931D-E4280F3C0C71_005.JPG%3Ftype%3Dw966,"[{'작성자': '읭', '별점': '5.0', '날짜': '2025.03.17.', '내용': '대기 엄청 오래 걸리긴해도 가장 효과 빠르게 나았어요. 요즘 미용바께 안해서 습진때문에 오랬동안 고생했는데 주신 약 먹으니까 한달만에 완치했어유', '좋아요': '0'}, {'작성자': '피노키오', '별점': '1.0', '날짜': '2025.02.06.', '내용': '점 하나 빼려고 왔는데 3시간 기다림.  간호사가 2시간 기다리면 된다고 했는데 예상보다  1시간  더  기다림.', '좋아요': '0'}, {'작성자': '~~~', '별점': '1.0', '날짜': '2024.11.26.', '내용': '혼자 진료하면서 진료실1\n완전 와서 1시간 기다려 5분 진료\n절대 사람이 많아서가 아님\n암튼 담부터는 이 의원 패스~~~\n기분 드러워요\n간호사 인상도 좋지않음\n얼마나 갈지 지켜보겠음', '좋아요': '0'}]","{'월': '10:00 ~ 19:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:30'}"
베스트성모정형외과,,"양천구 신월로 164 승일뷰티타워2 1층 109, 111~116호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MTlfMTIz%2FMDAxNzI2NzUzNjExNTYy.6OwSsLaUyoPw8a_4ONmr0ZM5jEiyjG9cS7HLM-9uhCUg.nlDe_tAAUqJR88Z_hLLzUiNL5ruvq1f-smxAnFeBiS0g.JPEG%2F2024.10.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
솔빛한방병원,0.0,양천구 신월로 151,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDlfMTcg%2FMDAxNzMzNzU0Mjc3NjA1.w-NheEP9pp3g-FEwmelEMdy09w083lQV441iV9akGDgg.inEDXHvtCq_gNtXLqNFKzu_5K04QPnCibEhFlard3FIg.JPEG%2F%25EC%258B%259D%25EB%25AC%25BC%25EF%25BC%2594.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
라온휴한방병원,3.4,"양천구 신월로 164 승일뷰티타워2 8,9층 801~804,901~904호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTNfMTYw%2FMDAxNzM0MDY5MDU2NjE5.9RLV66lJGmBPpUVcT7nYjX_aFF-ogxVM8ZVxKB1jRMcg.dGOfqccSVFyVZ_5WGYgycjQG3vmmkJispeno9sTH0QUg.JPEG%2Fbatch_9%25EC%25B8%25B5%25EB%25A1%259C%25EB%25B9%25846.jpg%3Ftype%3Dw466,"[{'작성자': 'K.H 💕', '별점': '5.0', '날짜': '2024.07.01.', '내용': '사고 후유증으로 여러병원 옮겨다니며 치료받았는데 제가 가본 한방병원중 여기가 최고입니다 \n원장님 매번 가족처럼 제 몸상태 걱정해주시고 침 치료때도 하나하나 설명 다 해주시더라구요 \n너무... 더보기', '좋아요': '0'}, {'작성자': '현우님', '별점': '5.0', '날짜': '2024.06.18.', '내용': '어깨랑 목 승모근쪽 뭉침, 저림 달고 사는데ㅜ 진료받고 통증 귀신같이 사라짐ㅎㅎ  \n일할 때 사무실에서 할 수 있는 자세 동작 알려 주는데  이게 짱짱맨임.   \n주변에 높은 건물이 없어서인지 8층이라 처음 가는 사람은 찾기 어려울 수 있음. 참고링~', '좋아요': '0'}, {'작성자': 'RE2PECT', '별점': '5.0', '날짜': '2024.06.15.', '내용': '처음 연거같아서 약간 어수선했지만\n\n의사랑 직원들 몯. 친절하더라고요', '좋아요': '0'}]","{'일': '09:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '휴무일': '추석전날, 추석당일, 추석다음날, 설전날, 설당일, 설다음날'}"
목동플러스내과의원,4.8,"양천구 중앙로 291 푸른숲빌딩 4층 1,2호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8ED90E15FA0C44ACAD4F40931D258848,"[{'작성자': 'Lily', '별점': '4.0', '날짜': '2025.02.18.', '내용': '성혜정 원장님 이해하기 쉽게 설명 잘해주시고 직장 건강검진과 위내시경으로 세번 내원했었습니다 검진실 간호사쌤들, 데스크 쌤들 친절하고 좋으신데요. 마지막으로 내원했을때가 24년도 11월쯤이었어요. 그 당시에 들... 더보기', '좋아요': '0'}, {'작성자': 'ㅈㄹ', '별점': '5.0', '날짜': '2025.01.18.', '내용': '엄청 친절하십니다ㅠㅠㅠ', '좋아요': '2'}, {'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2024.12.17.', '내용': '평점이 좋아서 일부러 갔더니만 불친절 끝이네요', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '휴무일': '공휴일'}"
서울드림내과의원,3.9,양천구 신월로 177 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjdfMjcw%2FMDAxNzMyNjg5Nzc1OTU3.rlUIbO8QHsFhg0UPuObZV9C-LzkcN__N8GqHFpKgs28g.2XqcOu4dhhSado9AsETGkE8oUFETpt9Jmtan4tuV2Kwg.JPEG%2FCK_tc01500001149_l_002.jpg%3Ftype%3Dw966,"[{'작성자': 'ee', '별점': '1.0', '날짜': '2025.03.16.', '내용': '성의없는 진료. 어떤 증상이 있는지 말하니 \n뭐뭐 같은데요? 약 처방해드릴테니 드시고 안 나으면 다시 오세요\n\n이러고 끝.. 더 물어보는 것도 없이 끝났습니다', '좋아요': '0'}, {'작성자': '뭉', '별점': '1.0', '날짜': '2024.12.14.', '내용': '뭐 이런 병원이 있을까 싶네여\n간호사들이 접수는 지 멋대로 받고 9시에 왔는데 20분동안 안불러서 가니까 접수 순서대로 한다고해서 또 기다렸는데 10시가 되도 안불러서... 더보기', '좋아요': '2'}, {'작성자': '봉산신영운', '별점': '1.0', '날짜': '2024.12.04.', '내용': '접수대간호사가너무불친절해요\n좀미소짖고 문의하면도상냥하게 해줘라 \n우리질것', '좋아요': '1'}]","{'일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 13:30', '휴무일': '공휴일'}"
오케이신경외과,4.5,"양천구 월정로 169 지하1층,4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTFfMTg1%2FMDAxNzMzOTA3MTEzOTkw.MJJVH8SHEhjh7bLD_mKu2AM4Gib7-VNLr5G4Dfr-pzQg.hs28NYYa9plOP82zhFMIBVAMY2j5ao5ZNpq4zfakPFMg.JPEG%2FKakaoTalk_20240307_090528820_05.jpg%3Ftype%3Dw966,"[{'작성자': '새', '별점': '1.0', '날짜': '2024.09.24.', '내용': '주차도불편 원장도별로..잘보는거같지않고 상술부리는느낌들어요', '좋아요': '0'}, {'작성자': '김소정♡혜원💕도연', '별점': '5.0', '날짜': '2024.09.05.', '내용': '원장님 두분다 친절하시고 설명도 잘해주세요.', '좋아요': '1'}, {'작성자': '양유림', '별점': '5.0', '날짜': '2023.08.12.', '내용': '물리치료실 여자선생님 친절하시구 충격파 꼼꼼히 잘해주신다고 어머니가 좋아하십니다~^^ 집가까워서 자주가요', '좋아요': '1'}]","{'일': '09:00 ~ 13:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00'}"
