name,score,address,img_url,reviews,open_hour
서울특별시 서남병원,,양천구 신정이펜1로 20,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0A06CAABED7F40068A1C984E6D8E26DE,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '휴무일', '휴무일': '공휴일'}"
홍익병원 본관,2.2,양천구 목동로 225,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb546bbd50126337d7c8bb49a81cf46ecbadf524e%3Foriginal,"[{'작성자': '함스터', '별점': '1.0', '날짜': '2024.12.06.', '내용': '하... 태어나 이런거 처음써보네 ㅋㅋ\n젊은지 늙어지신건지..여튼 정형외과 선생 최악 진료..\n진짜 교통사고로 아파 죽겠어서 와도 거들떠도 안보고 눈길도 안주면서 몇분만에 끝나는거 진짜 최악이다...... 더보기', '좋아요': '0'}, {'작성자': '【미소남황인수】', '별점': '1.0', '날짜': '2024.12.03.', '내용': '매우 불친절', '좋아요': '0'}, {'작성자': '전력질주', '별점': '1.0', '날짜': '2024.11.29.', '내용': '원무과 나이 어린 직원 전화 똑바로 받어라?\n확 뒤집어 버리기전에?\n신경외과 병동 뚱뚱한 간호사 너도 깝치지 말고?\n얘기 하는데 코웃음을 치다니ㅎㅎㅎ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '토': '09:00 ~ 13:00'}"
서울에이블이비인후과의원,4.3,"양천구 오목로 197 이스트만빌딩 3,4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF909DE937B894C55BC438EEDE8D2CA39,"[{'작성자': 'Q', '별점': '5.0', '날짜': '2024.10.25.', '내용': '2년전에 이석증 심하게 앓고(잠실 병원다님) 이번에 재발해서 갔습니다. 의사선생님 꼼꼼히 잘 봐주시고 치환술 마지막에 안진 없는지까지 확인해주십니다. 이석증 진짜 너무 힘든병인데 오래 고생하지말고 여기 한번 가보시길 추천드립니다!', '좋아요': '1'}, {'작성자': 'lunapam', '별점': '5.0', '날짜': '2024.09.06.', '내용': '감기때문에 진료보고 갑니다. 수액실 깨끗하고 좋아요. 원장님도 너무 친절하세요', '좋아요': '0'}, {'작성자': '녀녕', '별점': '5.0', '날짜': '2024.08.07.', '내용': '동네에 이비인후과 없어서 멀리 다녔는데 근방에 생겨서 넘 좋네요 ㅎㅎ 원장님 치료 잘 해주시고 간호선생님 다 친절하세요 ~ 무엇보다 시설이 깔끔해서 좋아요 !', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '휴무일': '매주 일요일'}"
서울스마트요양병원,3.3,양천구 중앙로 181 4~8층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb7d2fc87f465b8974c57628ad2327bb6e597732201eb79e54eb8b0a1e783c1cd,"[{'작성자': '김보현', '별점': '5.0', '날짜': '2024.06.17.', '내용': '아버지 금요일에 입원시켰습니다.\n건물도 크고 집에서 가까운 것만으로 마음에 들었는데 처음 상담 갔을 때도 친절하셨고 입원하셔서 주치의랑 면담하는데 아버지가 너무 젊으셔서 마음이 아프다고 위로도 해 주시고... 더보기', '좋아요': '0'}, {'작성자': '서구저씨', '별점': '1.0', '날짜': '2023.01.25.', '내용': '정말이지 최악임', '좋아요': '0'}, {'작성자': '강희경', '별점': '1.0', '날짜': '2022.09.08.', '내용': '코로나로 면회도 안되는 상황에 전화해서 좀 어떠신가 물어보면 간호사들은 모른다그러고 전화준다고하면 안옴. \n요즘 상태가 어떠신지 치료는 잘받고있는지 확인하려고 주치의랑 통화하는데 불친절하기 그지없음. 이런저런거 물어보면 귀찮아함.', '좋아요': '1'}]","{'월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30'}"
더건강한365의원,,양천구 신월로 280 1-2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F48D6EA1983934A7493806450F9111176,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
210정형외과의원,,"양천구 목동동로 150 목동블루스퀘어 2,4-6층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCF08B109E15E470A87B521E95CDBEC5D,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
연세바로치과교정과치과의원 목동,5.0,양천구 신월로 274 욱성빌딩 3층 302호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F004DE2B5D06540D098085CF085A176AF,"[{'작성자': 'ㅇ', '별점': '5.0', '날짜': '2025.01.04.', '내용': '일년 걸렸어요 너무너무 만족해요', '좋아요': '0'}, {'작성자': '연세 바로', '별점': '5.0', '날짜': '2023.05.29.', '내용': '연세 바로 치과교정과와  목동 바로 치과는 사업자가 다른 관련 없는 치과 입니다 .  같은 층에 있어서 혼돈 하실수 있어 안내드립니다.   연세 바로는  치아 교정만을 전문적으로 하고 있습니다.', '좋아요': '0'}, {'작성자': '이현주', '별점': '5.0', '날짜': '2022.01.03.', '내용': '울아들 이제 무서워 하는거 1도 없이 \n너무 잘하고 있어요~ \n한달동안 어디를 가게돼서 갑자기 전화드렸는데 봐주셔서 감사하네요~\n선생님들 항상 친절하시고 잘해주셔서 \n늘 감사드립니다~', '좋아요': '1'}]","{'일': '휴무일', '월': '11:00 ~ 20:00', '화': '11:00 ~ 20:00', '수': '11:00 ~ 20:00', '목': '11:00 ~ 20:00', '금': '11:00 ~ 20:00', '토': '09:00 ~ 14:00', '휴무일': '매주 일요일'}"
바른지성한방병원,4.6,양천구 목동로 189 신정빌딩 2~4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1C51041222EC4ED8B04F7A3959257A6B,"[{'작성자': '김봉옥', '별점': '5.0', '날짜': '2024.12.16.', '내용': '만족 보편적으로 만족. 치료 잘받고있슴. 산재치료 잘받음.', '좋아요': '0'}, {'작성자': '방순애', '별점': '5.0', '날짜': '2024.12.10.', '내용': '친절하구 너무 대표원장선생님이 자상하구 조으시다\n앞으로도 자주 이용할거 같아요', '좋아요': '0'}, {'작성자': '홍한의', '별점': '5.0', '날짜': '2024.12.04.', '내용': '여러가지로 치료도 좋고 친절하구 병원 잘다니구 있습니다.\n친절백점', '좋아요': '0'}]","{'일': '09:30 ~ 16:00', '월': '09:30 ~ 21:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 21:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 21:00', '토': '09:30 ~ 16:00'}"
목동제일여성병원,3.3,"양천구 중앙로 300 지하1,2층, 2~5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FE2CAAFA92FB44CF8BBC64C8679EDF58B,"[{'작성자': 'Han', '별점': '5.0', '날짜': '2025.03.03.', '내용': '5박6일간 입원기간동안 의사 선생님. 간호사 선생님들에게 큰 은혜 입고 갑니다. 환자와 아기들에게 최선을 다해주시는 모습에 감복하였고 감사함을 느낍니다. 감사합니다.', '좋아요': '0'}, {'작성자': '또링', '별점': '5.0', '날짜': '2025.02.05.', '내용': '임신 준비로 방문했는데 원장선생님이랑 간호사분들 다 너무 친절하세요~~!! 중요한 설명도 꼼꼼히 해주셔서 기분좋게 다녀왔네요😊', '좋아요': '0'}, {'작성자': '큥야', '별점': '5.0', '날짜': '2025.02.05.', '내용': '원장님 친절하시고 병원 쾌적해서 좋아요!!', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
서피부과의원,4.4,양천구 중앙로 276 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff71b5693e5d91e3f03754d28fb2a24dad2e52237%3Foriginal,"[{'작성자': '찐', '별점': '5.0', '날짜': '2025.03.06.', '내용': '아이 피부질환으로 목동 병원들 전화 돌리니 한곳은 초진비용 무조건 3만원 있다, 한곳은 예약이 3월 말에 되고 오면 그냥 대기하다 빈자리 나면 보라고 하고 ㅜ ㅠ 여기는 미용진료는 없어요.... 더보기', '좋아요': '0'}, {'작성자': '이기봉/푸른이끼', '별점': '1.0', '날짜': '2024.12.19.', '내용': '오늘 처음 방문해 진료받은 60대 후반 남성입니 다. 첫인상이 매우 중요한데 너무 사무적이고 환 자를 배려하는 마음 느낄 수 없었으며(첫 질문 말고는 자기 결론만 말하고 더이상 환자의 상태 질... 더보기', '좋아요': '0'}, {'작성자': '청계천 히드라', '별점': '5.0', '날짜': '2024.11.19.', '내용': '진료 잘 봐주십니다. 쁘띠 이런거 아님', '좋아요': '2'}]","{'일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '휴무일': '공휴일'}"
