name,score,address,img_url,reviews,open_hour
CS서울안과의원,1.8,영등포구 양평로 64 한경빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD02F23BCF1E44692B58AD12B953EC681,"[{'작성자': 'ㅇㅅㅇ', '별점': '4.0', '날짜': '2025.02.12.', '내용': '후기보고 걱정 많이했는데 저정돈 아니였음\n\n점심에 갔는데 딱히 불편하지도 않았고 의사도 내가 궁금한거 대답 잘 해줌', '좋아요': '0'}, {'작성자': '어피', '별점': '1.0', '날짜': '2024.12.17.', '내용': '접수 하는것만 20분 대기\n진료는 30분 대기\n문제는 진료보는 사람이 없었다는 것\n시간 버리고 싶은 사람만 가길 추천', '좋아요': '1'}, {'작성자': 'lilllIIil', '별점': '1.0', '날짜': '2024.10.14.', '내용': '할많않한', '좋아요': '2'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
비엔에스신경외과의원,3.6,"영등포구 양평로 68 DN빌딩 3,4층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA1MTFfMjM0%2FMDAxNjgzNzc5Njg2ODEz.ZQqaZF8I0FqljsCYaeGgT6DYc1KhI_SdGlWuPwF7SFQg.PceAMn7yTMJNFr4f7SiYEeUuAvHx2WF-_1rINbNwVF8g.JPEG.kn1kim%2F4%25EF%25BC%25BF.jpg%3Ftype%3Dw580,"[{'작성자': 'ㅇㅅㅇ', '별점': '1.0', '날짜': '2024.06.07.', '내용': '과잉진료 정말 심해요\n\n돈 많이벌겠어요', '좋아요': '1'}, {'작성자': '○◇○', '별점': '1.0', '날짜': '2023.11.12.', '내용': '처음에 추천받아서 갔는데 너무 과잉진료가 심해서 당황ㅎ 물리치료받으러가라고 해서 가면 도수치료하게 상황을 만들고, MRI라던가 검사받으라고 왜이렇게 종용하는지...비싼 주사도 많이 맞으라고 하고 굉장히 상... 더보기', '좋아요': '0'}, {'작성자': '슬', '별점': '1.0', '날짜': '2023.09.04.', '내용': '집 근처에 갈 만한 병원이 없어서 급하게 간 곳. 시설은 깨끗함. 대표원장은 어떤지 모르겠으나 그닥 입소문난 병원은 아닌듯(몇 시에 가던 의사 세 명 전부 대기환자가 1명 이상인 걸 본 적이 없음. 예약도 필요없음.)... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
서울은빛요양병원,3.6,영등포구 양평로22사길 9,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FcrshNP%2FbtrAp5UsDyl%2FOtE20IDxubu433KJlJkTGK%2Fimg.jpg,"[{'작성자': 'sj', '별점': '5.0', '날짜': '2024.07.31.', '내용': '주말에도 면회가능하게\n되었네요~   간병하시는\n여사님이  차분하고\n믿음이 가네요', '좋아요': '0'}, {'작성자': 'B.Terry', '별점': '1.0', '날짜': '2021.04.11.', '내용': '절대로가지마세요!!! 제가이런평가잘안하는사람인데...   여긴 너무 아닙니다!!!', '좋아요': '1'}, {'작성자': '임명준', '별점': '5.0', '날짜': '2019.07.10.', '내용': '파킨슨병과 보행 장애가 있으신 장모님 입원문제로 가족들과 상의하다 저희 아버지께서 입원 하신적이 있던 서울은빛요양병원에 모시게 되었습니다.인증을 두 번이나 마... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00'}"
더리버피부과의원,,영등포구 양평로 68 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F9B76EA4EB3A54DA3A1803D2D08E36127,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 20:00', '화': '10:00 ~ 19:00', '수': '휴무일', '목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '09:30 ~ 14:00', '휴무일': '매주 수요일'}"
서울그랜드치과의원,4.8,영등포구 양평로 64 한경빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDFfNzQg%2FMDAxNzM1NzEyOTU1MDUx.0LGy_x_7dKbQ4uWDDh-flK-qYp9MvZaA2fXIZY-7i6Eg.6evEaQaBt79Rhyao2FNNd2OzoB3YUY0a7XEU8gUH_xwg.JPEG%2FIMG_2151.jpg%3Ftype%3Dw966,"[{'작성자': '박박', '별점': '4.0', '날짜': '2025.03.10.', '내용': '구강검진이 떠서 문의해보니 영유아구강검진은 안하시네요. 다른 분들 참고하세요.', '좋아요': '0'}, {'작성자': '이한솔', '별점': '5.0', '날짜': '2025.01.06.', '내용': '신경치료 받았는데 마취할때만 조금 아프고 치료할 때는 안아팠어요. 치료 전에 겁나서 이것 저것 물어봤는데, 그랬던게 민망할 만큼 잘 끝났어요. 주신 약 잘 챙겨먹고 이번주 중에 다시 가도록 하겠습니다~', '좋아요': '0'}, {'작성자': 'in', '별점': '5.0', '날짜': '2024.12.30.', '내용': '사랑니 발치로 유명하다 그래서 찾아갔는데 들어가자마자 사랑니 발치 개수?가 적혀있어서 신기했어요ㅋㅋㅋ 발치는 생각보다도 더 빨리 끝났고 그닥 아프다는 생각은 안 들었습니다~', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 21:00', '수': '휴무일', '목': '10:00 ~ 21:00', '금': '10:00 ~ 19:00', '토': '09:30 ~ 14:30', '휴무일': '공휴일'}"
이화앤유영상의학과의원,5.0,영등포구 양평로 68 DN빌딩 7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA1MTBfMTcy%2FMDAxNzE1MzIxNDM0MTg1.KWlbjLBXO2PVRYyNM8HISA4hiRw7byeoJ56PzUeLxaYg.hg107sGJJyGOBMpTEruFu23Ph3iP7H_n4D7xmiQitrMg.JPEG%2F%25EC%259D%25B4%25ED%2599%2594%25EC%2595%25A4%25EC%259C%25A0_5.jpg%3Ftype%3Dw966,"[{'작성자': '고민경', '별점': '5.0', '날짜': '2025.02.28.', '내용': '좋아요', '좋아요': '0'}, {'작성자': '리치', '별점': '5.0', '날짜': '2024.11.22.', '내용': '친절해요.', '좋아요': '0'}, {'작성자': '주진우', '별점': '5.0', '날짜': '2024.10.25.', '내용': '친절해요.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 20:00', '수': '휴무일', '목': '09:30 ~ 20:00', '금': '09:30 ~ 18:30', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
헤스티아 여성의원 당산점,4.6,영등포구 양평로 68 디엔빌딩 8층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0990CCEC0F084E5F97B0C17566A59DD2,"[{'작성자': '전세명', '별점': '5.0', '날짜': '2025.02.13.', '내용': '새로 개원한곳이라 그런지 시설이며 기기가 모두 새거라 만족 스러웠습니다 과잉진료 없이 꼼꼼하게 치료 해주고 간호사 선생님들도 친절하네요', '좋아요': '0'}, {'작성자': '머루', '별점': '5.0', '날짜': '2025.02.10.', '내용': '선생님... 디게 쿨하고 좋아용...\n간호사쌤들... 도 엄청 친절하고 좋아용..\n\n과잉진료도 없고\n핵심만 찝어줘서 너무 시원해용.... 암튼 강추', '좋아요': '0'}, {'작성자': '준', '별점': '5.0', '날짜': '2025.01.10.', '내용': '병원이 매우 깔끔해요\n새로 개원한 곳이라 다 새거에요\n원장님이 매우 친절해요\n와이프 산후 이것저것 검사하러 왔다가\n육아로 지친 몸 함께 수액 맞고 \n힘내고 갑니다ㅎㅎ', '좋아요': '0'}]","{'월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '09:30 ~ 14:00', '휴무일': '공휴일'}"
아나파한의원,,영등포구 양평로 64 한경빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjVfMjMw%2FMDAxNzMyNTE2ODc1NTcw.YnQ-iDQVBx0oXGcq5yN76iR-0a3rUvAURdfkZMePVDUg.IR0MJimwFeoGyYUhEWO5F45T0BvfOrFKlSvcqZnZhw8g.JPEG%2F20241125_132325.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 13:00'}"
예스항외과의원 당산점,3.9,영등포구 양평로 64 경진빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F87ac042e2b680875e5bab4996117e0ee7f2024e7%3Foriginal,"[{'작성자': '나야', '별점': '5.0', '날짜': '2025.03.17.', '내용': '겨드랑이 피지낭종 제거하러 방문했어요 의사선생님 친절하시고 진료와 수술 모두 신속하게 완료되어 점심시간중 방문하기 좋았습니다! 마취하니까 안아파요', '좋아요': '0'}, {'작성자': '고C', '별점': '5.0', '날짜': '2024.10.21.', '내용': '의사선생님과 직원분들이 너무 친절하세요', '좋아요': '0'}, {'작성자': '김유미', '별점': '5.0', '날짜': '2024.01.06.', '내용': '토욜에 계시는 간호사님 너무 친절하십니다ㅠㅠ 의사쌤 수술들어가셔서 10분정도 대기하는것도 너무너무 괜찮은데 이해해주셔서 감사하다고 말씀해주시고 너무 좋으세요', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00'}"
더온한의원,3.8,영등포구 양평로 68 Dn빌딩 5층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3D798FC4C94F4D688CFA128C72FE1871,"[{'작성자': 'ㄴㄴㄴ', '별점': '4.0', '날짜': '2024.12.19.', '내용': '진료는 어디나 똑같은거같음.\n친절함.\n진료 잘 받고 갑니다^^', '좋아요': '0'}, {'작성자': 'jj', '별점': '5.0', '날짜': '2023.03.13.', '내용': '원장 선생님 친절하시고 치료는 무난해요', '좋아요': '1'}, {'작성자': 'ㅇㅂ', '별점': '1.0', '날짜': '2022.06.25.', '내용': '지인이 여기서 다니는데 완전 비추해요', '좋아요': '0'}]","{'일': '10:00 ~ 15:00', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00'}"
