name,score,address,img_url,reviews,open_hour
연세푸른내과의원,4.3,"영등포구 도신로 89 2,3층",,"[{'작성자': '나', '별점': '5.0', '날짜': '2024.12.26.', '내용': '쉬는 날에도 애써 주셔서 감사드려요\n독감에 걸려 죽을 것 같았는데 간호사선생님들과 의사선생님께서 봐주셔서 살만해졌어요\n환자가 많아 고생하시면서도 친절하고 정확하게 진료해주셔서 내과는 여기 정착할 것 같아요', '좋아요': '0'}, {'작성자': '할수있어', '별점': '5.0', '날짜': '2023.08.07.', '내용': '완전 친절.너무 친절\n앞으로 여기만 올겁니다!', '좋아요': '0'}, {'작성자': '손님', '별점': '1.0', '날짜': '2023.03.27.', '내용': '치료보다 친절만을 원하신다면 이 병원으로 가세요. 지난 겨울 진료받고 괜챦다는 말 듣고 온지 일주일만에 119에 실려갔습니다.', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 16:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 16:00'}"
도림편한내과,2.8,영등포구 도신로15길 40 3층,,"[{'작성자': '예지', '별점': '5.0', '날짜': '2025.03.12.', '내용': '원장님 과잉진료없이 필요한 치료만 잘 봐주심. 명의\n간호사선생님들 유쾌하고 미인들이심.', '좋아요': '1'}, {'작성자': 'J.Honey', '별점': '1.0', '날짜': '2023.06.02.', '내용': '불친절…', '좋아요': '0'}, {'작성자': 'Jay Yu', '별점': '1.0', '날짜': '2022.08.23.', '내용': '코로나 확진후 첫처방약 5일먹구 증상은 한결 나아진 상태지만 미열과 인후염이 신경쓰여 처방약이 떨어져 대면진료병원 가능한 병원 확인하고 전화하고 방문..\n대면진료라서 현재증상인 미열과 목의 불편함 그리고\n안쪽 하... 더보기', '좋아요': '1'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 16:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
신남영상의학과의원,4.2,영등포구 도신로 109 2층,,"[{'작성자': 'Sarah', '별점': '5.0', '날짜': '2023.12.08.', '내용': '교수님, 간호사님 모두 친절하고 편안하게 해주십니다. 국가건강검진 유방암, 자궁경부암까지 검사가능한 병원찾다가 오게 되었는데, 최고의 선택을 한 것 같네요. ... 더보기', '좋아요': '0'}, {'작성자': '구로 구일 허정원', '별점': '5.0', '날짜': '2023.10.26.', '내용': '의사선생님께서. 세심하게 설명을 잘 해주셔서 참 좋았습니다.', '좋아요': '0'}, {'작성자': '더 늦기전에', '별점': '5.0', '날짜': '2023.08.30.', '내용': '선생님 친절하게 설명 잘해 주셔요..\n방사선 선생님도 푸근한 느낌이시고..', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
경희몸편한한의원,4.5,영등포구 도영로 23 정남빌딩 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F3055ac4531ee58884ae0ad072e6d82b75ac39b21%3Foriginal,"[{'작성자': '돈아끼세요', '별점': '3.0', '날짜': '2025.03.19.', '내용': '원장님만 좋음\n\n+++2025.3월 재방문 후기 추가\n간호사 중에 단발 젊은분 목소리 깨랑한 여자분 때문에 다시는 안 가기로 마음 먹음. 기본 말투 베이스가 사람 기분... 더보기', '좋아요': '0'}, {'작성자': '대림동꿀돼지', '별점': '5.0', '날짜': '2025.01.26.', '내용': '집 근처라 가볍게 생각하고 가봤다가 추나 당했는데(?) 목이 좀 나아진 거 같아요.. 신기하네요. 일자목이 심한데다가 한쪽으로 틀어져 있어서 목 돌리는 근육이 안 좋은데 꾸준히 다녀볼까 합니다.', '좋아요': '0'}, {'작성자': '드리머', '별점': '5.0', '날짜': '2020.11.24.', '내용': '의사선생님 실력있으시고 간호사들도 친절합니다 좋은병원 추천합니다♡', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
연세마디척의원,,"영등포구 도신로 89 4층 A401,B401호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD8908CC70B124F3DB471215E57CF44E6,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
경희다온한의원,5.0,영등포구 도신로15길 40 도림빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FE290A6A6A04D480086B4B8047A5F9368,"[{'작성자': ':0', '별점': '5.0', '날짜': '2025.03.17.', '내용': '바쁘실텐데 항상 차분히 알기쉽게 설명을 너무 잘해주십니다. 이렇게 속시원하게 설명해주시는분 처음에요!! 약침도 꼼꼼히 놔주시고 위장병을 오랫동안 앓고있는데  조금씩 개선되고있어요!! 추천해주신 식단도 꾸준히 해 보려구요!', '좋아요': '0'}, {'작성자': '피자박살', '별점': '5.0', '날짜': '2025.01.07.', '내용': '의사선생님이 제가 말하는것 외에도 맥을 잘 집어주셔서 아픈곳을 잘 찾아내셔요! 특히 약침을 사용하셔서 더 빨리 나았구,\n조용한 분위기에서 물리치료 받을 수 있어서 너무... 더보기', '좋아요': '0'}, {'작성자': '100%', '별점': '5.0', '날짜': '2020.07.10.', '내용': '원장님.간호사 모두 친절해요.\n허리아파서 갔는데 효과도 좋아요~\n물리치료도 시원하고 침도 통증에 직효에요', '좋아요': '0'}]","{'월': '09:30 ~ 19:00', '화': '09:30 ~ 21:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 21:00', '토': '08:30 ~ 12:30'}"
영생한의원,4.2,영등포구 도신로29가길 14,,"[{'작성자': 'ㄱ.이용희 ☆☆☆☆☆ ☆ ☆☆☆☆☆', '별점': '5.0', '날짜': '2024.02.16.', '내용': '근세기 최고의 명의중에 한분이십니다.\n고령이시지만,  앞 뒤의 전신 장침의 위력은\n최소  2개월이상 매주 맞아보면 압니다.\n온 몸 혈이 뚫리고,  새로 태어나는 기분입니다.\n순환은 만명 해결의 지름길입니다.\n온몸 전신 ... 더보기', '좋아요': '0'}, {'작성자': '정우진', '별점': '5.0', '날짜': '2022.07.21.', '내용': '원장님께 침맞고나면 아픈게 바로 낫습니다. 제 고질병인 위장염이 병원가도 낫질 않았는데 침 한번 맞고서는 훅 좋아졌습니다. 이후에도 종종 침맞으러 가는데 전신에 놔주셔서 전반적으로 건강해지는 느낌이에요! 원장님 부디 오래오래 건강하세요!!!', '좋아요': '0'}, {'작성자': '김진구', '별점': '1.0', '날짜': '2021.08.13.', '내용': '별1개도 과분한 한의원.\n초진인데 의사가 어디가 아픈지 왜 아프게 됐는지 물어보지도 않고,\n침도 대충 불에 소독해서 엉뚱한곳에 찔러댐!! 의사 선생님한테 왜 여기 찔르냐고 내가 얘기했더니 내 손을 그냥 쳐버리고 치우란다.\n... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 15:00'}"
도림한의원,2.3,영등포구 도림로 331,,"[{'작성자': '이은일', '별점': '1.0', '날짜': '2022.08.16.', '내용': '시설도 떨어지고 간호사들도 뻣뻣하구. 비추', '좋아요': '0'}]","{'월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 13:00'}"
하나의원,5.0,영등포구 도신로33가길 4,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F94211cb874ccfa094927bc71857fc8ac4fafeb10%3Foriginal,"[{'작성자': '이혜정(요셉피나)', '별점': '5.0', '날짜': '2023.09.09.', '내용': '처음 방문한 정형외과를 방문시 약간의 올드한 병원내부로 과연 내가 방문을 잘한것인가 했다 \n흔히들 환자명을 호출할때 보이는 간호사가 안보이고 마이크목소리로  불러주어... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 15:00', '휴무일': '매주 일요일'}"
정담 한의원,5.0,영등포구 도신로 121,,"[{'작성자': '사진가 서진원', '별점': '5.0', '날짜': '2024.07.20.', '내용': '한의사 100명 중에 95명은 정말 실력없는 한의사들..\n그러니 양방보다 한방병원에 대한 이미지가 안좋은거.\n하지만 이 곳 처럼 제대로 된 곳을 만나보면 생각이 바뀔겁니다.\n\n여기 원장님은 정말 제대로 보시는 분~', '좋아요': '0'}, {'작성자': '송윤임(명서맘)', '별점': '5.0', '날짜': '2023.05.29.', '내용': '침 정말 정말 좋아요 믿고 맞아보세요', '좋아요': '0'}, {'작성자': '유지환', '별점': '5.0', '날짜': '2022.08.13.', '내용': '원장님이 명의 입니다', '좋아요': '0'}]","{'월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '09:30 ~ 16:00'}"
