name,score,address,img_url,reviews,open_hour
서울삼성요양병원,3.0,"영등포구 선유로 51 파인그라드빌딩 지하1층, 2~8층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAzMjFfNDgg%2FMDAxNzEwOTkxNjgzMDg4.y5grHf6oZNZIRBXse8u4oHQTgbD9O4rgKOYoVj08vC0g.VGrlTvQBbgD6IwtWE3GH8TYfCqR5VIUe9EwMid9c1Qwg.PNG%2F2_%25EB%2593%25B1%25EA%25B8%2589.png%3Ftype%3Dw966%26jopt%3D2,"[{'작성자': '객관적이고 공정한 평가', '별점': '5.0', '날짜': '2024.03.04.', '내용': '대구 수성구 황금동 노병* 모시고 싶습니다', '좋아요': '0'}, {'작성자': '필!', '별점': '5.0', '날짜': '2023.09.29.', '내용': '나름 도심인데 주차가 용이하고 시설이 깨끗합니다', '좋아요': '0'}, {'작성자': '아시엘', '별점': '1.0', '날짜': '2023.09.08.', '내용': '환자를 돈으로 생각하는 곳... 건물 번지르 하다고 상담 친절하게 해준다고 속지 마세요!\n입원시키는 순간 100% 후회합니다!', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 12:30'}"
서울센트럴요양병원,,영등포구 경인로 767,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTNfNDQg%2FMDAxNzM0MDUwMjQ0Mjkw.gPvdkPtrHj0-cm97eNpoqspLYCVA7aeU0Mt2VvJLSlog.bvMusjwBquOZ0TOEIXYuFUou7K5HUHAIR4eFtg_KLsEg.JPEG%2FSE-16f18b5c-69b9-4f12-9635-1d427a0e38b5.jpg%3Ftype%3Dw386,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
아란태산부인과소아과의원,,영등포구 선유로 64 7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjFfMTMy%2FMDAxNzMyMTY5OTU2ODEy.okK7EZ3bPhCq0of-KHOBjLu103IGNcGvIhavI4vpLzUg.EUWGEHSJf3oV9jWdkYjIcsFuHHPZ-53eZUVDupBrn00g.JPEG%2FIMG_8705.JPG%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '09:30 ~ 12:30', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00'}"
문래한마음내과의원,4.9,영등포구 선유로 49 미주프라자아파트 상가 2층 201호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FFAD69640A42A4244939D423E9CADE612,"[{'작성자': '박수진', '별점': '5.0', '날짜': '2025.01.10.', '내용': '역시 전문병원 찾길 잘했어요\n비만약 처방 잘해주시고 친절히 설명 잘해주셨어요', '좋아요': '0'}, {'작성자': 'mimi', '별점': '5.0', '날짜': '2025.01.09.', '내용': '전문의원장님이 비만처방을 너무 잘해주셔요', '좋아요': '0'}, {'작성자': '보배림', '별점': '5.0', '날짜': '2025.01.08.', '내용': '비만클리닉으로 유명하길래 다녀오게되었는데 상담부터 처방까지 다들 모두 친절하고 섬세하게알려주시고 너무 감사합니다', '좋아요': '0'}]","{'일': '휴무일', '월': '08:00 ~ 17:30', '화': '08:00 ~ 17:30', '수': '08:00 ~ 17:30', '목': '08:00 ~ 17:30', '금': '08:00 ~ 17:30', '토': '08:00 ~ 13:00', '휴무일': '공휴일, 5월 1일 휴무'}"
로하스참사랑요양병원,3.7,영등포구 경인로77길 6,,"[{'작성자': 'kkjh', '별점': '1.0', '날짜': '2022.10.20.', '내용': '비인간적인 병원.. 시설, 직원 다 별로임 진심 비추합니다', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
서원필피부과의원,3.8,영등포구 선유로 70 우리벤처타운2 2층 206호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzExMDhfMTg4%2FMDAxNjk5NDUxOTc0Mjky.46j-uW9SoCuWlSnc2yKWvss-BTw7KMtvOOgu2q2MgnEg.bz9lvp55FNVOoGfQK9nZSU3MiyT_rvw2JbHjQ5mz144g.JPEG.jinminloveyou%2FSE-c6ce8df4-37b8-441d-b3df-05a41148688e.jpg%3Ftype%3Dw773,"[{'작성자': '타미짱', '별점': '2.0', '날짜': '2025.01.24.', '내용': '점 두 곳 뺐는데\n빠질때 까지 아니고 일정기간 안에 2갤안엔가\n한 번 더 해주는데\n안 빠지고 그대로에요\n깨졌다는데 빠질거라더 그대로요', '좋아요': '0'}, {'작성자': '심각하면로그인', '별점': '1.0', '날짜': '2025.01.23.', '내용': '데스크 나이있으신분 꽤 불친절. 친절을 바라지도 않았으나 짜증이 많으신듯. 치료도 흉이 남음. 평 보고 갔으나 비추.', '좋아요': '0'}, {'작성자': '•', '별점': '1.0', '날짜': '2024.12.27.', '내용': '나름 리뷰가 좋아서 갔는데 의사 선생님은 친절하신데 앞에 계신 간호사분이 불친절했어요.^^ 점심시간 바로 이후에 갔는데 일하기 싫으신 건지 한숨만 쉬고 말투도 별로고 가고 싶지 않네요.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
문래코아이비인후과의원,,영등포구 당산로 34 로데오왁쇼핑몰 A동 3층 301호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjhfODgg%2FMDAxNzM1MzkxNzk4NjAz.A5c0nnINMvLI2Tsebl1x7yiYf8IU6cHYk0k9tJZTSHUg.GftD908-gGsbMK5z2PC6RwTlhOB3_11o5vKeU9jr-ccg.PNG%2F_W8A1903.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
류마앤정내과의원,4.4,영등포구 당산로 34 로데오왁상가 3층 303호,,"[{'작성자': '에휴', '별점': '1.0', '날짜': '2025.03.15.', '내용': '의사 선생님 두분 실력도 좋고 친절하십니다. 그러나 접수처의 간호사 1분만 유독 성질이 안좋고 툴툴거리네요. 교육 부탁합니다.', '좋아요': '0'}, {'작성자': 'Justus', '별점': '1.0', '날짜': '2024.11.22.', '내용': '예약해도 시간이 많이 밀리니 예약이 의미없습니다. 다른 스케줄 있는 분 참조하시기 바랍니다.', '좋아요': '0'}, {'작성자': '전성익', '별점': '5.0', '날짜': '2024.01.04.', '내용': '친절하고 자세하게 설명해주세요', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '휴무일', '목': '09:00 ~ 20:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '매주 수요일'}"
문래성모안과의원,,영등포구 문래로 83 아라비즈타워 2층 203호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTVfMjEw%2FMDAxNzM0MjI3NTY0Nzk0.lSWZ5mlEjW0pFCBdflVeC6hIjVAwkSTfWRjBwenNLLYg.bIeEX845_5q4Nlu0kznyDu4A0QocO2N20SvvO2CGiA4g.JPEG%2F900%25EF%25BC%25BF1734227548131.jpg%3Ftype%3Dw580,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '14:00 ~ 19:30', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '휴무일': '매주 일요일'}"
더스타일정형외과의원,3.2,영등포구 당산로 57 3-6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F10250D2126E54563805486514EA3A9B3,"[{'작성자': 'dodndk', '별점': '5.0', '날짜': '2025.03.14.', '내용': '새로운 병원이라 시설 좋고 주차되어서 좋아요 \n원장님도 친절해요', '좋아요': '0'}, {'작성자': '깨봄먹', '별점': '1.0', '날짜': '2025.03.13.', '내용': '비급여가 많아요\n가입된 실비보험을 잘 확인하고 가세요', '좋아요': '0'}, {'작성자': '홍밥러', '별점': '4.0', '날짜': '2025.03.03.', '내용': '발목 내측 삼각인대 부상 후 근처 족부 전문 병원 찾아왔습니다. 선생님 촉진부터 전문성이 느껴졌습니다. 물리치료사분도 아주 친절하십니다.\n1월에 개원한 병원이고 시설... 더보기', '좋아요': '0'}]","{'일': '09:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00'}"
