name,score,address,img_url,reviews,open_hour
성애병원 본관,2.5,영등포구 여의대방로53길 22,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FGe35o%2FbtsCX4YNC4e%2Fg7A7QsBGubJRnY2TuMyLQk%2Fimg.png,"[{'작성자': '유후', '별점': '1.0', '날짜': '2025.03.12.', '내용': '검사 결과가 이상해도 안내를 안해줍니다', '좋아요': '0'}, {'작성자': '갈만한 곳은 안 적는다.', '별점': '1.0', '날짜': '2025.02.12.', '내용': '여기 전문 정신병원인가? 입원환자는 문밖에를 나가지를 못 하게하네. 코로나 끝난지가 언제인데 잠깐 답답해서 문앞에 나갔다온다고 하니깐 경비원 3명이 와서 정신병자를 대하는것처럼 행동한다. 교... 더보기', '좋아요': '1'}, {'작성자': '아줌마', '별점': '2.0', '날짜': '2025.01.15.', '내용': '2025. 1. 13. 기준으로\n결핵검사비용 81,000원 입니다. 비싼거 같으니 참고하세요.\n공공근로 회사제출용', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '08:30 ~ 12:30', '휴무일': '공휴일'}"
서울바른병원,3.7,영등포구 여의대방로 145 세인트빌딩 2~7층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDNfMSAg%2FMDAxNzM1ODU0MTY3MzYz.qR5rtgGWiqGuloyw8UPkrSCvrGdDt66ndQ8Orcd_0okg.Bt65Zs5KHGHbxosFrLsiIBcMRrNbvY_UNG3oIKv4jC8g.PNG%2Fimage_7.png%3Ftype%3Dw580,"[{'작성자': 'ฅ՞•ﻌ•՞ฅ', '별점': '5.0', '날짜': '2025.03.15.', '내용': '의료파업 시기에 급한 골절 수술 바로 교수급 전문의한테 받았다는 것에 감사하고 만족함\nct랑 mri도 화질 좋음\n타 병원에서 찍었던 cd 들고 갔지만 판독이 나빠서 여기서 다시 찍었는데 의알못인 내 눈에도 화질이 달랐음... 더보기', '좋아요': '0'}, {'작성자': '눈칫밥 먹으면서 적는 리뷰', '별점': '1.0', '날짜': '2025.02.07.', '내용': '5점후기 다 구매후기인게 레전드네 ㅋㅋ\n프로필 들어가면 후기 비공개 + 5점 \n\n돈 빨아서 후기사는게 맞나요?\n\n\n과잉진료+체계도 엉망 다신 안 옴\n\n바쁘지도 않은 타임에 엑스레이찍고 진료보고 주사 맞아야되는데\n아무도 ... 더보기', '좋아요': '1'}, {'작성자': '김채인', '별점': '5.0', '날짜': '2025.01.31.', '내용': '원장선생님이 너무 친절하셔서 다닐맛 나네요 ㅎㅎ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
어울림병원,,영등포구 영등포로 386 동인빌딩,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF0F982F18FB140D8AB901E6172680D0D,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '매주 일요일'}"
해상병원,1.8,영등포구 신길로 173,,"[{'작성자': '무식이', '별점': '1.0', '날짜': '2024.11.25.', '내용': '저는 알코올 의존증 때문에 어쩔수 없이 자의입원후 퇴원한 사람입니다..\n기본적으로 사람들에게 존중하는 마음을 필요성이 있어야 한다는 느꼈는데 이곳은 그렇게 없습니다.\n원장라는 사람부터 원무과 및 수간호사 까지 무슨... 더보기', '좋아요': '7'}, {'작성자': '가을', '별점': '1.0', '날짜': '2024.10.27.', '내용': '최악임\nㅡ심리검사 유도함. \n별 마이너스100점', '좋아요': '3'}, {'작성자': 'happy PP', '별점': '1.0', '날짜': '2024.08.23.', '내용': '정말 안좋은 병원입니다\n보건복지부 감사가 시급하고,\n불친절하고 고압적인 원장의사, 간호사, 원무과 직원들까지\n환자와 보호자를 이중으로 힘들게 하는\n없어져야 마땅한... 더보기', '좋아요': '8'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
신길연세이비인후과의원,3.5,영등포구 가마산로 496 JS타워 2층 204호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FAEAD2E7FC86B426EAFB8DEADCF91CFF6,"[{'작성자': '테일', '별점': '5.0', '날짜': '2025.02.06.', '내용': '먼저, 여기 병원 후기가 깎이던 주된 여의사 쌤은 현재 이 병원에 계시지 않았기에 별점이 낮은 것에 대한 우려는 하지 않아도 될 것 같습니다.\n\n저는 진료 환자가 많아 대기하는 것은 30분 이상 대기는 자주... 더보기', '좋아요': '1'}, {'작성자': '부엉이', '별점': '1.0', '날짜': '2025.02.05.', '내용': '아주 가벼운 증상으로 가도 무조건 병원비 만원이상\n이사하고 나서 항상 만원이상으로 나옴\n이사비용을 환자한테 충당하려는듯', '좋아요': '1'}, {'작성자': '이응', '별점': '2.0', '날짜': '2025.01.22.', '내용': '입안에 물혹이 생겨서 내원하였습니다\n입안에 물혹이 생겼네요 말씀하시고 항생제 처방해주셨어요\n5일치 약 복용했지만 물혹은 그대로였어요\n결국 치과를 갔는데 점액낭종이라고 해서... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '휴무일': '공휴일'}"
연세베스트요양병원,2.3,영등포구 여의대방로 203,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMDhfMjA4%2FMDAxNzMxMDI4NTk0MDk0.izKxfIdpLQpYCpuamGtLz44GWCd20YjEHXEZ4AQJYYAg.LKQi2VkQhAlFRR5CYLJ9AVtPcAGc0D1MRY-jv7WJBv4g.JPEG%2Fpexels-leventsimsek-3617132.jpg%3Ftype%3Dw966,"[{'작성자': 'rose🌹', '별점': '1.0', '날짜': '2023.12.21.', '내용': '흠 불친절하네요\n사진에서 보이는 것 보다 10배 별로...\n여러 대학병원 협력업체라는데... 정말 별로네요', '좋아요': '0'}, {'작성자': '...', '별점': '5.0', '날짜': '2023.07.01.', '내용': '원장님이 거의 병원에 살다시피 하면서 진료를 보시더라구요.', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
서울사랑내과의원,4.4,영등포구 영등포로 367 더로드캐슬 3층 301~303호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2D8477BEAF0641C68B1139C7A8A905C0,"[{'작성자': '김준서', '별점': '5.0', '날짜': '2025.03.20.', '내용': '아무리 운동하고 식단 조절을 해도 혈당이 안 잡혀서 병원에 갔는데, 정확한 진단을 받았어요.\n집에서 펩티드 요법을 병행하면서 혈당이 점차 정상으로 돌아오고 있어요.', '좋아요': '0'}, {'작성자': '최첨단 부랑자', '별점': '5.0', '날짜': '2025.02.28.', '내용': '깨끗하고 넓어요!\n의료진 선생님들 친절하셔서 기분좋게 진단 받고 갑니당🙂\u200d↕️', '좋아요': '0'}, {'작성자': '🦦', '별점': '5.0', '날짜': '2025.02.11.', '내용': '깔끔해서 좋음', '좋아요': '0'}]","{'일': '휴무일', '월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 20:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 14:00', '휴무일': '공휴일'}"
대윤한방병원,4.9,"영등포구 영등포로 358 대윤메디컬센터 지하1층,2~5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTdfOTQg%2FMDAxNzM0NDI0OTEwNjQy.y6MyAbSJ6hgFEKedg2CofOs9so43fN8QmKdoQu7uI8cg.OidovX9P7j8YZ42GSQhAlWsTjhNgnaim8FG-uGkpJPkg.JPEG%2FKakaoTalk_20191120_124853867.jpg%3Ftype%3Dw966,"[{'작성자': '박소연', '별점': '5.0', '날짜': '2024.04.02.', '내용': '골반탈출로 인한 다리통증으로 많은 병원을 다녀봤지만, 여기가 진짜 제가 원하는 곳이였나봐요.\n간호사부터 원장님까지 친절하시고,원장님의 침술과 추나는 완전 넘버원입니다. 담주는 부모님 모시고 다녀올... 더보기', '좋아요': '0'}, {'작성자': '하딩', '별점': '5.0', '날짜': '2023.02.02.', '내용': '허리 통증 때문에 어디갈지 고민하다가 리뷰가 좋아서 가봤는데 카운터분들도 다 친절하시고 원장님도 설명 너무 잘해주시네요! 추나요법으로 치료했는데 시원하게 치료 잘 받았습니다ㅎㅎ', '좋아요': '1'}, {'작성자': 'ㄱㄹㅁ', '별점': '5.0', '날짜': '2022.01.20.', '내용': '이사와서 온 병원인데 너무좋습니다용', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
우리안과의원,4.6,영등포구 신길로 147 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FBDC5D1A4BE44419E81B6D69ABEAF734C,"[{'작성자': '공유목적외의도없습니다', '별점': '5.0', '날짜': '2024.10.07.', '내용': '여기 안과 생긴 후부터 계속 다니고 있습니다! 안구건조증이 심해서 2달에 한번은 꼭 가는데 항상 꼼꼼하게 봐주시고 친절하게 설명해주십니다.', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.08.26.', '내용': '원장님 너무 친절하시고 진료도 잘보십니다.\n직원분들도 너무 친절하십니다.\n눈 불편하면 여기 오시면 될것같습니다.', '좋아요': '0'}, {'작성자': '청조', '별점': '1.0', '날짜': '2024.07.15.', '내용': '간호사들 불친절하고,\n엉터리 오진해서\n따로 전문 안과가서\n검사비,시간 허비함.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
서울스타의원,4.5,영등포구 가마산로69가길 12 2층 202호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzExMjNfMTQ5%2FMDAxNzAwNzE5MTQ1OTgw.vKcV9UlGSnVrvyV1HiwVFLSwSgl_DzXHmztrHuK9WdAg.LPNY-2p6O2CzD5sLG13nG5dBP5evKe-pazOQPP1YNCsg.JPEG.singilskin%2F7.jpg%3Ftype%3Dw773,"[{'작성자': '전인화', '별점': '5.0', '날짜': '2024.10.14.', '내용': '아이진료받았는데 선생님 너무친절하시고 좋아요', '좋아요': '0'}, {'작성자': 'LEE GU', '별점': '5.0', '날짜': '2024.04.13.', '내용': '냉동치료  저는 효과 좋았습니다.. 엄지발가락 밑에 티눈 엄청 신경쓰이고 신발에 눌려 아파 걷기도 힘들었었어요. 연고 설명 한대로 잘 바르고  지금은 거의 ... 더보기', '좋아요': '1'}, {'작성자': '낭자', '별점': '1.0', '날짜': '2024.04.12.', '내용': '냉동치료 효과 1도없음.\n시술부위 첨이랑 똑같음', '좋아요': '0'}]","{'월': '09:30 ~ 19:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 13:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00'}"
