name,score,address,img_url,reviews,open_hour
연세노블의원 영등포점,3.6,영등포구 선유서로 117 월드프라자 2층 203호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF85899CF28994C84A7FF48DD33729524,"[{'작성자': '라일락', '별점': '5.0', '날짜': '2024.12.18.', '내용': '피부 탄력이 고민이라 방문했는데\n패키지 가격이 좋아서 결제 후 관리 받고 나왔어요~\n원장님도 친절하시고 간호사님들도\n자세히 설명해주셔서 감사했어요😀', '좋아요': '0'}, {'작성자': '이사벨라', '별점': '4.0', '날짜': '2024.12.18.', '내용': '감기 몸살 때문에 갔는데  개인수액실이있어 푹자고 나왔더니 개운하고 따뜻하고  좋았네요 재방문 의사있음', '좋아요': '0'}, {'작성자': '신선순', '별점': '5.0', '날짜': '2024.11.26.', '내용': '이명처럼 24시간  삐~~~소리가 한쪽귀만들리고 물에잠겨있는듯한 먹먹함으로 병원갔더니  돌발성난청이래서  날마다병원가고 약먹고 하다 고압산소치료기란걸 소개... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 13:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
소담한의원,5.0,영등포구 선유서로 117 403호,,"[{'작성자': '솔직한 곰돌이', '별점': '5.0', '날짜': '2022.09.30.', '내용': '너무 친절하게 잘 봐주셔요\n아프다고 했더니 진료로 빨리 봐주시고... 급체해서 갔는데 많이 좋아졌어요 감사해요^^', '좋아요': '0'}]","{'월': '09:10 ~ 19:00', '화': '09:10 ~ 19:00', '수': '09:10 ~ 19:00', '목': '09:10 ~ 19:00', '금': '09:10 ~ 19:00', '토': '09:10 ~ 14:00'}"
연세원치과의원,3.0,영등포구 양산로7길 3,,"[{'작성자': '전동완', '별점': '5.0', '날짜': '2024.09.21.', '내용': '완전좋은데', '좋아요': '0'}, {'작성자': 'ツバメ', '별점': '1.0', '날짜': '2020.04.13.', '내용': '별 한개도 아까움, 불친절 \n가지마세요. 좋은 치과는 많아요', '좋아요': '0'}]","{'월': '12:00 ~ 19:00', '화': '12:00 ~ 19:00', '수': '12:00 ~ 19:00', '목': '12:00 ~ 19:00', '금': '12:00 ~ 19:00', '토': '09:30 ~ 13:00'}"
다정한의원,5.0,영등포구 영등포로5길 28 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FCAF768B7DB37483793BF331045DDA1C5,"[{'작성자': '리뷰장인바밤바', '별점': '5.0', '날짜': '2024.09.23.', '내용': '진료는 꼼꼼하고 훌륭하다. 네x버 블로그 운영하시는거같은데 닉네임이 재밌으시다\n근데 병원에 의료진 프로필이 없어 원장님 성함을 모르겠다.(내가 아직 못찾은걸지도)', '좋아요': '1'}, {'작성자': '고먐미', '별점': '5.0', '날짜': '2024.07.31.', '내용': '이쪽으로 이전하시고 못 가다가 불부항 생각나서 오랜만에 왔어요! 엄청 개운하고 따로 치료받은 팔도 굳은 근육이 말랑해졌어요 👍🏻', '좋아요': '2'}, {'작성자': '•', '별점': '5.0', '날짜': '2024.07.13.', '내용': '한의사님 너무 친절하고 침 효과 너무 좋습니다. \n부담없이 갈수있어 좋아요.', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 19:00', '화': '12:00 ~ 21:00', '수': '10:00 ~ 19:00', '목': '12:00 ~ 21:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 16:00', '휴무일': '공휴일'}"
연세디딤정형외과의원,3.4,"영등포구 영등포로 33 목동비즈타워 5층 506,507호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDNfMjUy%2FMDAxNzM1ODcxOTE1OTkx.0vjYhLrlu02Y5jxg7WdqLpVHIgAp4mlpztD1tt_F_IYg.DJUyuuZUsS7pRsc0bgXMYljH_zAqv6dcN2jBJ-ZCirYg.JPEG%2FKakaoTalk_20241231_100152446_06.jpg%3Ftype%3Dw966,"[{'작성자': '윤준혁', '별점': '5.0', '날짜': '2024.07.27.', '내용': '원장님이 봐주시면 마법처럼 괜찮아 지는 곳', '좋아요': '0'}, {'작성자': 'clrl', '별점': '1.0', '날짜': '2024.03.07.', '내용': '밤 되면 제발 밖에 전광판 시계좀 꺼주세요', '좋아요': '0'}, {'작성자': '루루', '별점': '1.0', '날짜': '2024.03.02.', '내용': '의사선생님 반말하시고 진료도 환자가 일상생활에서 어떻게 개선할 수 있는지를 안알려주고(물어봐야 알려줍니다)무조건 도수치료로 유도하네요', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '휴무일': '공휴일'}"
임이비인후과의원,4.3,영등포구 영등포로 33 목동비즈타워 3층 306호,,"[{'작성자': '동동', '별점': '5.0', '날짜': '2024.11.21.', '내용': '선생님은 좋고 진료도 저랑은 잘 맞는데 \n데스크는 일하기싫으신가봐요 ㅎㅎㅎ', '좋아요': '0'}, {'작성자': '슈', '별점': '1.0', '날짜': '2024.07.31.', '내용': '친절하다는 평 하나 보고 갔는데 진료도 친절도 글쎄요 \n증상 얘기하면서 이석증 같다는 저의 말에 비염이라서 그런거라는둥, 인터넷에서 본 걸 가지고 왜 본인이 판단하냐는둥, 환자에게 자기랑 지금 토론... 더보기', '좋아요': '2'}, {'작성자': '김진영', '별점': '3.0', '날짜': '2024.02.03.', '내용': '대기 시간 미친듯이 긴데 미리 안내나 알림이 없음\n2시간50분 기다림 끝에 진료\n사실 진료전까진 엄청 화났는데 의사 쌤 힘들어하시는 얼굴보고 그나마 진정됨\n빨리 시스템 좀 갖췄으면 함', '좋아요': '1'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
서울이치과의원,0.0,영등포구 영등포로5길 19 동아프라임밸리 2층 206호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MDRfMTA5%2FMDAxNjkxMTA2MDcyMjUz.dcBItiRuay8RuvZuw-eejppEflRxtSbE3TmoOWCU2Bwg.VtW42xLkXberiEcEQAP3_IwvyvvTr8c8iE5A6UO47csg.JPEG.onekun12%2F20230803_105919.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00'}"
박준형내과의원,3.6,영등포구 영등포로 33 목동비즈타워 3층 301호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MjdfMjE1%2FMDAxNzI0NzUwODUyNDkx.S5vTuReMe6S6loTP71yHeD7WH6-o3BMS5Xmc4dWpKQsg.iCKHPaeQ_5K7jbk_P7ny2pixSii6Wjj75fV3rcp8Y5og.JPEG%2FIMG_9926.jpg%3Ftype%3Dw386,"[{'작성자': '배고푸다', '별점': '5.0', '날짜': '2025.02.19.', '내용': '의사선생님 정말 친절하고 진료도 잘봐주세요.. 감사합니다', '좋아요': '0'}, {'작성자': '화이팅', '별점': '3.0', '날짜': '2024.10.30.', '내용': '의사선생님 두 분 모두 존경하고, 훌륭하신 분입니다\n정말 친절하세요..!!!! 그것때문에 매번 이쪽으로 다녔는데..\n안내데스크 + 간호사 엉망입니다... 검사 항목 빠뜨리고, 체계가 전혀 없어요.. 그리고 불친절... 더보기', '좋아요': '1'}, {'작성자': '정신차려', '별점': '2.0', '날짜': '2024.03.05.', '내용': '오래 다녔는데 다른 병원 알아봐야 할 것 같아요.\n처음에는 의사, 간호사 다 친절했는데 요새는 간호사들에게 친절을 기대하긴 힘들고\n원래 계시던 원장님도 가끔씩 엥?스러운 말실수 같은거 하셔서 기분이 별... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 17:50', '화': '08:30 ~ 17:50', '수': '08:30 ~ 17:50', '목': '08:30 ~ 17:50', '금': '08:30 ~ 17:50', '토': '08:30 ~ 13:30', '휴무일': '공휴일'}"
양평연세이비인후과의원,3.0,영등포구 영등포로 32 우남프르미아 1층 103호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MjRfMjk5%2FMDAxNjkyODQ5NTQ4NzM0.N8rYNmlX9cxUyPsGRJNyQ_uNfLbdXZAKpSnQ4MwsrEog.g0uvA_Kce4ydeyhCZ-E2B9SOcv6_hnbl6cYBnU6h7ekg.JPEG.namina0213%2FSE-507098d2-3ced-4a7f-a61d-089b32a802e2.jpg%3Ftype%3Dw773,"[{'작성자': 'Dada', '별점': '1.0', '날짜': '2024.06.29.', '내용': '토요일 아침 3분 진료컷입니다. 약처방도 온사람들 다 동일하게하시고 항생제도 쎄게쓰시고 실망스럽네요.', '좋아요': '0'}, {'작성자': '비비', '별점': '5.0', '날짜': '2024.02.29.', '내용': '과진료 전혀 없고 \n니즈에 맞게 진료해주셔서 좋아요\n의사선생님 넘 좋으심', '좋아요': '0'}, {'작성자': 'ㅅㅅㅅ', '별점': '1.0', '날짜': '2024.01.06.', '내용': '친절하나 가격고지를 안하시는듯?\n\n실비있다고 해서인지 수액이 9만원인지 고지를 안해서 결재할때 깜짝 놀랐네요.\n뭐 보험있어서 저는 보험처리되긴했지만 보험없으신분은 눈탱이맞기 좋을듯 싶어요', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '14:00 ~ 20:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00'}"
제중한의원,0.0,"영등포구 선유서로24길 6 영등포중흥S클래스 상가 120,125호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEwMzFfMTc4%2FMDAxNjk4NzIyMjMwMjgy.Ho6um5h4blfWtniVOaE38WWiL2qNqcF49OZguI9nL6wg.lOOlfn9rparMfJ8ReMB-pT0KE7WQmGcKxr_UHBW1uXAg.JPEG.jejung91%2F%25EC%2595%2588%25EB%25A9%25B4%25ED%2599%258D%25EC%25A1%25B0_(2).jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 15:00', '휴무일': '공휴일'}"
