name,score,address,img_url,reviews,open_hour
더서밋재활요양병원,,"강서구 양천로 715 지하1~3층,1~8층",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 17:30', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
서울선정형외과의원,,"양천구 공항대로 630 어바니엘 2층 201,202,204호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F3C24A40A65084E54B5D550E1B2040BE7,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
핑크힐병원,4.4,강서구 양천로 712,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyNDEyMDZfMjI4%2FMDAxNzMzNDYzNjU2NTc1.U49_2O-qc5FgtV6VgRsA4DT1JrALeXUOLKppT9k9b_cg.Zs3QDRna4TIQqb4ZURjdyFk6hF0GmzMkNYxUViRwOEAg.JPEG%2F18.jpg%3Ftype%3Dw1,"[{'작성자': '조은교', '별점': '5.0', '날짜': '2024.08.29.', '내용': '편한 분위기가 좋았습니다 !!', '좋아요': '0'}, {'작성자': 'liz', '별점': '5.0', '날짜': '2024.08.12.', '내용': '좋아요 ㄷ다들 친절하세요', '좋아요': '0'}, {'작성자': '연지', '별점': '5.0', '날짜': '2024.07.08.', '내용': '병원 깔끔하구 평화롭네요 ㅎㅎ 면회 왔다갑니다~~ 의사쌤도 매일 아침마다 회진하신다고 들었는데 마음이 놓이더라구요 ㅎㅎ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
엠닥터의원,3.6,강서구 양천로 713 대영빌딩 3층,,"[{'작성자': '박세웅', '별점': '1.0', '날짜': '2024.10.10.', '내용': '젊은 분들 탈모 진단하러 가지 마시길..\n머리 긴 거랑 머리 숱이 많은 것도 구분 못 하심\n탈모가 확실해서 걍 약 빨리 타 먹고싶으면 괜찮을 듯\n참고로 남성형 탈모 첫 약으로 아보다트 처방하십니다.', '좋아요': '0'}, {'작성자': 'gg', '별점': '1.0', '날짜': '2024.09.30.', '내용': '옛날 의사쌤임. 경험이 많아 진료에는 득이 될 수 있으나 내 경우에는 오히려 독인듯함. \n진료를 너무 대충보셔서 약타먹고 하나도 안나았음\n(환자의견 깡그리 무시.. 이전 진료에 대해 얘기해도 아... 더보기', '좋아요': '1'}, {'작성자': 'Lucy Lee', '별점': '1.0', '날짜': '2023.12.07.', '내용': '최악입니다.\n\n요약) \n과잉진료. \n요구안한 시술진행.\n책임회피.\n반말씀.\n\n저는 눈에 비립종이 많아서 빼러갔어요.\n시술하러 눕고 마취크림 바르기 직전에야 가격고지를 하더라고요. 20만원? 많이 비싼데.. 이제와서 추하... 더보기', '좋아요': '6'}]","{'일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '휴무일': '공휴일'}"
신앤윤가정의학과의원,5.0,강서구 양천로 731 동아3차아파트 상가동 202~204호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fa955e153e8b09b05f13380145b7c5c33eb7b60c65375c271ada708f5531075da,"[{'작성자': 'gg', '별점': '5.0', '날짜': '2024.09.30.', '내용': '사람이 진짜 많은 이유가 있는듯함\n동네 주치의 느낌임 \n이렇게 진료를 오래본건 난생처음 \n아주꼼꼼히 진료 봐주시네요 그래서 대기가 긴듯', '좋아요': '0'}, {'작성자': '표표', '별점': '5.0', '날짜': '2024.05.29.', '내용': '최고의 진단과 처방, 친절함까지 감사합니다.', '좋아요': '0'}, {'작성자': '🐰', '별점': '5.0', '날짜': '2023.11.23.', '내용': '가본 병원 중 최고\n원장님 간호사님 다 너무 친절하세요 !!!!!!!!\n진짜 상담하는 그런 분위기입니다', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '휴무일': '매달 두번째, 네번째 토요일'}"
연세우리건강내과의원,,강서구 공항대로 625 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjVfMjcz%2FMDAxNzMyNTI0OTM0ODky.xhXzDO8f-fzi5cmDFU0YClfpmzawFUB-ZJf71-zDhU4g.LaSQXyG1v9y5RbTgoH-eWUwSnawU-xni4NqpGssWz2Mg.JPEG%2F003.jpg%3Ftype%3Dw580,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 13:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 13:00'}"
서울드림치과의원,3.9,강서구 양천로 731 염창동동아3차아파트 309동 2층 201-2호,,"[{'작성자': '맛 없는걸로 칼로리 채우면 화남', '별점': '5.0', '날짜': '2024.11.13.', '내용': '원장님 진짜 최고에요~ 집 근처에 이렇게 좋은 치과가 있어서 너무 좋네요! 다른 후기들처럼 과잉진료 전~~~혀 없으시고, 친절하시고 설명도 쉽고 자세하게 잘해주세요!! 늘 치과 다닐때마다 눈탱이 맞을까봐 걱정이 많았는데 앞으로 정착입니다 ㅎㅎ', '좋아요': '0'}, {'작성자': '찬', '별점': '5.0', '날짜': '2024.11.02.', '내용': '너무 인기가 많아서 예약이 힘들지만 주차하기도 편하고 아주 좋아요! 원장 선생님이 서울대 출신이라 그런지 확실히 다르시네요. 치과에는 과잉 진료가 많은데 여기는 과잉 진료 1도 안합니다. 항상 믿고 찾는 곳이에요.', '좋아요': '0'}, {'작성자': '도도', '별점': '5.0', '날짜': '2024.10.28.', '내용': '여기 말고 네이버 후기 보세요 ^^ 진짜 좋음. 진료받으러 전주에서 기차타고 여기까지 옵니다. ㅠㅠ. 서울대 나오셨다고 하셔서 기대했는데 과잉진료도 하나도 없으시고 설명도 정말 잘 해주십니다 ~^^ 청소년... 더보기', '좋아요': '1'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 14:00'}"
목동센트럴이비인후과의원,,"양천구 공항대로 630 어바니엘 3층 302,303호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F804A2160DBF24D199B5AA932F8D2F39A,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '09:00 ~ 13:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00'}"
포미즈여성병원,3.0,양천구 공항대로 610 1-8층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjNfNjMg%2FMDAxNzM0OTEzODQ4NTYw.ZzNFZn3XWrsltsSI3jU4gTqq1Dx6iTwtp0It8HABiDEg.wWdTbOMV3E64Vd0JCupLU5lR4dnPsBwdolCeJov1ybUg.JPEG%2FSE-c380d113-f36f-4b56-830e-57c0e5ed9366.jpg%3Ftype%3Dw773,"[{'작성자': '바누', '별점': '1.0', '날짜': '2025.03.06.', '내용': '데스크에 연배있으신 분... 너무 불친절\n마스크도 쓰는둥 마는둥 입까지 내리고 있고\n말귀도 잘 못알아들어서 쓸데없는 질의를 계속 해야함\n\n그리고 예약하고 방문했음에도 40분 가량 대기했... 더보기', '좋아요': '1'}, {'작성자': '공채린', '별점': '1.0', '날짜': '2025.02.07.', '내용': '과잉진료 레전드 병원\n여성병원이라 믿고갔는데..\n질염 증상때문에 방문했더니 구충제를 처방해줌\n당연히 증상은 나아지지않았고 다시 방문함\n방문할때마다 균검사등등을 시켜서 진료비 십만원가량 계산하고 ... 더보기', '좋아요': '0'}, {'작성자': '배지연', '별점': '5.0', '날짜': '2024.11.15.', '내용': '곽 ** 여자 원장님 정말 친절하고 좋으세요 나긋나긋 과하지않으시고,, 산모분들 추천해요~~', '좋아요': '0'}]","{'일': '09:00 ~ 13:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00'}"
강서바른내과,,강서구 양천로 683 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F746BD6A4DEB541BBA697D48B30525BF5,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '토': '08:00 ~ 14:00'}"
