name,score,address,img_url,reviews,open_hour
가톨릭대학교 여의도성모병원,2.3,영등포구 63로 10,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAxMjZfNDQg%2FMDAxNjc0Njk4NzQ2NDQ3.iEaubnlZsmzJWMO0vjl23IKp0kRBc4fNiZ-rV96cFAQg.xeM1wx4BByonG_IQ5GUuQeQBf0RABewFl_tFt03-qUIg.JPEG.lipsinger%2F20230116%25EF%25BC%25BF110039.jpg%3Ftype%3Dw773,"[{'작성자': '박 아라', '별점': '1.0', '날짜': '2025.03.06.', '내용': '최악 주차장입니다\n...', '좋아요': '1'}, {'작성자': 'x', '별점': '1.0', '날짜': '2024.10.11.', '내용': '소화기 내과 ㅂ ㅅ ㅁ 여의사에게 진료 받았는데, 어린 여자 아이 같다는 느낌을 받았어요. 차분히 진료 받는데 자기 감정 못이겨서 혼자 흥분하더니 소리지르고 흥흥 거리더니 고개돌리고 삐지네요.\n... 더보기', '좋아요': '4'}, {'작성자': '눈이부시게', '별점': '1.0', '날짜': '2024.07.24.', '내용': '산부인과 절대  가지마세요! 다른 병원 산부인과 가시길 바랍니다.  교수 같지도 않은       송 민 종 교수 인성  정말 안 좋아요! 조심하세요!!', '좋아요': '4'}]","{'일': '휴무일', '월': '08:30 ~ 17:00', '화': '08:30 ~ 17:00', '수': '08:30 ~ 17:00', '목': '08:30 ~ 17:00', '금': '08:30 ~ 17:00', '토': '08:30 ~ 12:00', '휴무일': '공휴일'}"
CNP차앤박피부과 여의도점,3.8,영등포구 여의나루로 53-1 대오빌딩 4층 402호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2767AE495537664D1D,"[{'작성자': '김대원', '별점': '5.0', '날짜': '2025.01.19.', '내용': '얼굴에 여드름 나서 갔는데 잘 치료돼서 기분이 너무나 좋습니다\n의사 선생님과 간호사 선생님들이 너무 친절하셔서 다시 오고 싶어요', '좋아요': '1'}, {'작성자': '고양이', '별점': '5.0', '날짜': '2025.01.19.', '내용': '집앞 피부과 처음가봐서 압출 관리 받고 보톡스랑 인모드 받았는데 얼굴 반쪽됐음ㅋㅋㅋ굳✨', '좋아요': '1'}, {'작성자': '다애', '별점': '5.0', '날짜': '2024.08.16.', '내용': '벌써 2년째 다님 의사선생님 친절하시고 과잉진료 없는곳은 처음봤어요ㅋㅋ 레이저도 제가 원하는 부분 콕콕 찝어서 해주시네여 굿', '좋아요': '2'}]","{'일': '휴무일', '월': '10:30 ~ 19:40', '화': '10:30 ~ 19:40', '수': '10:30 ~ 19:40', '목': '10:30 ~ 19:40', '금': '10:30 ~ 19:40', '토': '10:00 ~ 14:40', '휴무일': '공휴일'}"
제이씨빛소망안과,,영등포구 국제금융로6길 33 맨하탄빌딩 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F9F69A1FA009F4B8684C111826316DE94,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
여의도내과의원,4.4,영등포구 여의대방로65길 20 3층 301호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F035F0681529740908D9C71A2B5D96FE7,"[{'작성자': '._.', '별점': '2.0', '날짜': '2025.03.12.', '내용': '원래 가던 병원이 단축진료라 왔는데 대기 1시간 반이에요 평일 오후에... 의사쌤이 설명 많이 해주시고 꼼꼼히 봐주시는데 그게 대기시간을 엄청 늘려버립니다... 여긴 시간 많은 분들 오세요.. 근무시간에 왔다... 더보기', '좋아요': '0'}, {'작성자': '써넹넹', '별점': '5.0', '날짜': '2024.12.25.', '내용': '제가 다녀본 모든 병원중에 가장 진료를 잘 봐주시는 의사선생님이십니다. 왜 이런 증상이 생겼는지 그리고 어떤 처방을 해줄건지도 상세하게 설명 해주시더라구요. 진심으로 환자를 ... 더보기', '좋아요': '0'}, {'작성자': '하루만', '별점': '5.0', '날짜': '2024.12.03.', '내용': '오래오래 다니고 싶은 곳입니다. 부모님 댁 근처에도 이런 병원이 있음 좋겠다 생각이 들 정도입니다. 대기가 길지만 그만큼 선생님께서 성심성의껏 진료해주시느라 늦어지는 거라 기다릴만 합니다. 간호사분들도 연륜있어 보이시고 다들 친절하세요.', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 13:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일, 2025년 6월 7일 휴무, 2025년 7월 28일 ~ 2025년 8월 2일 휴무, 2025년 10월 4일 휴무'}"
한국의료재단 종합검진센터,3.4,"영등포구 국제금융로 10 TWO IFC빌딩 4,5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fab55f7b323fb625771a18b8c7c59293953cbf15d%3Foriginal,"[{'작성자': '먹는재미로사는', '별점': '3.0', '날짜': '2025.01.04.', '내용': '역시 사람 많아요. 어딜 가나 다 많겠지만.\n동선이 좀 복잡하긴 한데\n공간이 나뉘어져 있어서 사람이 북적거리진 않았고\n생각보다 기본 검진 시간도 엄청 짧았습... 더보기', '좋아요': '0'}, {'작성자': '먹고노는게제일좋아', '별점': '3.0', '날짜': '2024.11.17.', '내용': '건강검진 받았구여 과정들이 매우 스피디하게 진행된다는 느낌 받았습니다 소소한 설명은.. 생략...!', '좋아요': '0'}, {'작성자': '\u200f \u200f \u200f \u200f \u200f \u200f', '별점': '1.0', '날짜': '2024.11.13.', '내용': '임상병리^^', '좋아요': '0'}]","{'일': '휴무일', '월': '07:00 ~ 17:00', '화': '07:00 ~ 17:00', '수': '07:00 ~ 17:00', '목': '07:00 ~ 17:00', '금': '07:00 ~ 17:00', '토': '07:00 ~ 12:00', '휴무일': '공휴일'}"
이지함피부과 여의도점,,"영등포구 여의나루로 42 여의도종합상가 5층 508-1,509호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F23691A4F54D1C2AF27,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '휴무일', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '토': '10:00 ~ 15:00', '휴무일': '매주 수요일, 일요일'}"
아비쥬의원 여의도,4.4,영등포구 국제금융로8길 27-8 NH농협캐피탈빌딩 지하1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE2E56BCD115A4752879907220171613E,"[{'작성자': '박아린', '별점': '5.0', '날짜': '2025.03.17.', '내용': '친절하신 원장님이랑 실장님 덕분에 볼뉴머 잘 진행했어요~\n얼굴형 때문에 고민 많았는데 꼼꼼하게 상담해주시고 시술 해주셔서\n현재 대만족 중입니다 ㅋ 주변에도 추천 하려구요', '좋아요': '0'}, {'작성자': '류화주', '별점': '5.0', '날짜': '2025.03.17.', '내용': '주변에서 친구들이 추천해서 보톡스 맞으러 첫방문했는데 시설이 정말 깨끗하고 좋아요..!\n요즘 환절기라 자꾸 피부가 건조해서 시술 고민 있었는데 재방문 할거 같아요!😘', '좋아요': '0'}, {'작성자': 'yt', '별점': '5.0', '날짜': '2025.03.14.', '내용': '검색 후 후기가 좋아 방문했는데 병원 분위기 좋고 시설이 깔금하네요\n선생님들 모두 친절하게 잘 진료해 주십니다\n수염제모 자체가 처음이라 겁먹었는데 매달 편하게 방문 가능할거 같아요', '좋아요': '0'}]","{'일': '휴무일', '월': '10:30 ~ 20:30', '화': '10:30 ~ 20:30', '수': '10:30 ~ 20:30', '목': '10:30 ~ 20:30', '금': '10:30 ~ 20:30', '토': '10:00 ~ 16:30', '휴무일': '석가탄신일, 추석전날, 추석당일, 추석다음날, 설당일, 설다음날, 1월1일, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
뉴연세이비인후과,,영등포구 국제금융로2길 37 에스트레뉴 3층 306-2호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDJfMjgx%2FMDAxNzMzMDk0NDk5ODI1.gg-q_2POgfGQmY4sNQpvmGGoYg_d87sK1Y1NjlM1498g.9h4YzTJqrAZcuCts9XVWTKhwbP7ZpnDPTLoLoRAKJFYg.JPEG%2Foutput_47965822.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
우리편한내과의원,,영등포구 국제금융로2길 7 한주빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F35142BEF7E7145389A515A2BA299E3B0,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 14:00', '휴무일': '공휴일'}"
타워비뇨기과의원 여의도점,3.8,"영등포구 여의대방로 375 아일렉스타워 303,304호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F249C4B35A9D04F50AA3FE8972EF7F310,"[{'작성자': 'Freiburg', '별점': '5.0', '날짜': '2024.11.23.', '내용': '예전에 도곡본점 여성 과민성 방광증을 잘 고치기로 유명해서 찾아가고 이후 근처 사는 친구 허리와 배가 끊어질 것 같다고 해서 바로 보내서 요로결석도 제거해 준... 더보기', '좋아요': '0'}, {'작성자': '오징어', '별점': '5.0', '날짜': '2023.09.02.', '내용': '의사 선생님 설명 잘해주시고 꼼꼼하십니다. 간호사 선생님들 친절하세요.', '좋아요': '0'}, {'작성자': '정서빙', '별점': '1.0', '날짜': '2022.11.25.', '내용': '원장이 환자 증상에 대해서 자세히 들으려고를 안하시네요. 조금더 증상을 설명하려고하니까 귀찮아서 그런지, 들을 필요가 없다고 생각했는지 Yes/No만 이야기 하세요 라고 하네요(고xx... 더보기', '좋아요': '1'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00', '휴무일': '공휴일'}"
