name,score,address,img_url,reviews,open_hour
대윤한방병원,4.9,"영등포구 영등포로 358 대윤메디컬센터 지하1층,2~5층",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTdfOTQg%2FMDAxNzM0NDI0OTEwNjQy.y6MyAbSJ6hgFEKedg2CofOs9so43fN8QmKdoQu7uI8cg.OidovX9P7j8YZ42GSQhAlWsTjhNgnaim8FG-uGkpJPkg.JPEG%2FKakaoTalk_20191120_124853867.jpg%3Ftype%3Dw966,"[{'작성자': '박소연', '별점': '5.0', '날짜': '2024.04.02.', '내용': '골반탈출로 인한 다리통증으로 많은 병원을 다녀봤지만, 여기가 진짜 제가 원하는 곳이였나봐요.\n간호사부터 원장님까지 친절하시고,원장님의 침술과 추나는 완전 넘버원입니다. 담주는 부모님 모시고 다녀올... 더보기', '좋아요': '0'}, {'작성자': '하딩', '별점': '5.0', '날짜': '2023.02.02.', '내용': '허리 통증 때문에 어디갈지 고민하다가 리뷰가 좋아서 가봤는데 카운터분들도 다 친절하시고 원장님도 설명 너무 잘해주시네요! 추나요법으로 치료했는데 시원하게 치료 잘 받았습니다ㅎㅎ', '좋아요': '1'}, {'작성자': 'ㄱㄹㅁ', '별점': '5.0', '날짜': '2022.01.20.', '내용': '이사와서 온 병원인데 너무좋습니다용', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
삼육오속편한내과의원,2.6,영등포구 도신로 235,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjAzMTdfNTMg%2FMDAxNjQ3NDk0NzU3Mjc3.4QCQy8U4dQg9rz3ON5-JmpcTDmCfqCkQia2952qIG8cg.ZzCYHcIRlafGtXFBD5ECy0y0FavB2--udEmn4AUSVLgg.JPEG.zooxo%2F1647493287521.jpg%3Ftype%3Dw580,"[{'작성자': '나', '별점': '5.0', '날짜': '2025.02.02.', '내용': '주말 오전부터 대기줄이 많아도 원장님이 열심히 진료 봐주세요. 속쓰림으로 진료봤는데 배의 불편한 부위도 눌러보시고 청진기도 해주셔서 정성이었습니다.. ㅠㅠ 이전 진료 이력을 들으시고 해외 일정에는 어떻게 해야할지 ... 더보기', '좋아요': '0'}, {'작성자': '김경남', '별점': '1.0', '날짜': '2025.01.04.', '내용': '일단 주말에 영업한다는 것이 유일한 장점인데,\n과잉 진료에 아픈 곳과 무관한 처방 그리고 차도가 없다는 점.\n내가 뭐하러 거길 갔는지...주말에 근처에서 유일하게 연다는 걸로 갔는데, 후회가 많이 남네요.', '좋아요': '0'}, {'작성자': '해파리', '별점': '1.0', '날짜': '2024.11.11.', '내용': '친절하긴 하신데 과잉진료에 약을 뭔 항암치료마냥 6알씩 처방해줌 ㅋㅋ', '좋아요': '2'}]","{'일': '08:00 ~ 17:00', '월': '08:00 ~ 18:00', '화': '08:00 ~ 21:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 21:00', '금': '08:00 ~ 17:30'}"
라메르산부인과의원,3.3,영등포구 도신로 215-1 2~5층,,"[{'작성자': '댐댐빔', '별점': '1.0', '날짜': '2025.03.15.', '내용': 'ㄷㅍㅇ 의사. 여기서 진단 받고 이상해서 대학병원도 가고 다른 병원도 가봤는디 여기서만 말도 안되는 처방을 내렸습니다. 좀 멀어도 산부인과는 영등포역이나 여의도역으로 가십시오 .', '좋아요': '0'}, {'작성자': '무명씨', '별점': '3.0', '날짜': '2025.02.08.', '내용': '간호사님이 반말을 섞어서 말씀 하십니다.\n의사 선생님도 설명을 대충 하시는 것 같아 저랑은 맞지 않는 것 같아요', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.03.18.', '내용': '진짜 불친절함 궁금한 거 질문하는데 의사가 답 이렇게 하는 거 처음 봄 뭐든 건성건성 아파서 간 거에 대한 진료는 없음', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
탑이비인후과의원,4.2,영등포구 영신로19길 23 반석빌딩 3층 302호,,"[{'작성자': 'dpdpp', '별점': '3.0', '날짜': '2025.01.20.', '내용': '리뷰보고 좋게 갔는데 일단 접수처가 불친절..\n약 잘 안들어요...\n가래도 콧물도 안 빼주고.. 선생님 진료도 너무 기계적이에요..', '좋아요': '0'}, {'작성자': '송서후', '별점': '5.0', '날짜': '2024.09.30.', '내용': '친절하세요', '좋아요': '0'}, {'작성자': '나', '별점': '5.0', '날짜': '2024.08.16.', '내용': '신길에서 믿고 가는 이비인후과에요. 과잉진료없고 검진비가 추가되는 부분은 미리 고지해주세요. 안에 내시경을 찍어서 실시간으로 볼 수 있는 점이 좋고 궁금한 점은 친절히 답해주세요. 카카오맵 최고 장... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '매주 일요일'}"
스마일정형외과의원,,영등포구 도신로 235 태화빌딩 3층 301호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '매주 일요일'}"
더클래식치과의원,4.3,영등포구 도신로29사길 1 3층,,"[{'작성자': 'ㅎㅎ', '별점': '5.0', '날짜': '2024.10.28.', '내용': '과잉진료 없음 원장님 정말 너무 친절함 스케일링도 엄청엄청 꼼꼼하심 요근래 갔던 병원중에 제일 만족도 높음', '좋아요': '0'}, {'작성자': '화나는곳과칭찬하고싶은곳만후기씀', '별점': '2.0', '날짜': '2022.06.21.', '내용': '병원이 깔끔하고 분위기도 포근하고 무엇보다 의사선생님, 카운터 직원분들까지 엄청엄청 친절하신데 과잉진료합니다. 여기서 충치 몇십만원 견적 받고 잇몸치료까지 권유받았었는데 그 후로 간 다른 치과에서는 충치 치료 필요... 더보기', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 20:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:00 ~ 14:00'}"
연세영등포내과의원,4.4,영등포구 영신로19길 18 금영빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F970a54daa537af3c6adec525d93106334a4b982c%3Foriginal,"[{'작성자': '랄라', '별점': '5.0', '날짜': '2024.05.03.', '내용': '진짜 의사쌤 넘나 친절하시고 꼼꼼하세요!\n약간 타일러?? 똘똘이스머프??같은 느낌 ‼️\n소화불량때문에 동네병원에서 한두달 고생했는데 여기와서 많이 좋아졌어요\n위치가 영등포역쪽이라 조금 덜 알려진 거 같아요. ... 더보기', '좋아요': '0'}, {'작성자': '김현우', '별점': '1.0', '날짜': '2024.03.27.', '내용': '불친절', '좋아요': '0'}, {'작성자': '닥터전자레인지', '별점': '5.0', '날짜': '2023.08.10.', '내용': '의사선생님이 매우 친절하시고 꼼꼼히 진료해주세요~!', '좋아요': '1'}]",{}
신길경희한의원,,영등포구 도신로 235 104호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FA58043BED8A242D4BB8FF411EFE4A496,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '09:00 ~ 15:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 15:00'}"
영신치과의원,5.0,영등포구 도신로 231 2층,,"[{'작성자': '황환선', '별점': '5.0', '날짜': '2025.02.15.', '내용': '선생님이 친절하시고 치료를\n잘해주셔서 좋왔습니다.\n\n특히 과잉진료도 없으셨고\n시간이 지난 것임에도 불구하\n고 치료 후 결과가 좋지 않은\n면에 대한 환불까지 해주시는\n매우 양... 더보기', '좋아요': '0'}, {'작성자': '에이스', '별점': '5.0', '날짜': '2025.01.25.', '내용': '과잉 진료 없고, 친절하시고, 안 아프게 잘 해주신다. 동네에 있은 오래된 실력자 선생님의 의원 느낌', '좋아요': '0'}, {'작성자': '형', '별점': '5.0', '날짜': '2024.12.11.', '내용': '강남에서 진료받고, 내려진 처방이 사랑니 2개 제거, 어금니 2개 충치 치료였어요. 레진 가격은 1개당 10만원이었습니다..^^ 뭔가 과한것같은 느낌이라 진료를 보류했습니다. \n\n영신치과의원이 집앞이면서도, ... 더보기', '좋아요': '0'}]","{'일': '휴무일', '월': '09:30 ~ 17:30', '화': '09:30 ~ 17:30', '수': '09:30 ~ 17:30', '목': '09:30 ~ 17:30', '금': '09:30 ~ 17:30', '토': '09:30 ~ 13:00', '휴무일': '공휴일'}"
푸른잎한의원,5.0,영등포구 영신로19길 28 연일빌딩 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F02B1FA939A934F97A306202C033B5954,"[{'작성자': 'SHK', '별점': '5.0', '날짜': '2023.02.07.', '내용': '원장님도 친절하시고\n침하고 추나 치료받았는데 만족하였음', '좋아요': '1'}, {'작성자': '전유준', '별점': '5.0', '날짜': '2022.08.26.', '내용': '두 원장님 모두 친절하시고 \n꼼꼼하게 진료해 주세요\n설명도 자세히 해 주셔서 더 좋은 것 같아요\n허리 다리 모두 치료받고 좋아졌네요', '좋아요': '0'}, {'작성자': '심지😻', '별점': '5.0', '날짜': '2022.05.30.', '내용': '원장님 친절하시고 세세하게 설명해주셔서 좋았어요. 주변에 추천하고 다녀요', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '휴무일': '공휴일'}"
바르다정치과의원,4.4,영등포구 영신로9라길 16 영등포H빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF9147BBAC05446F18475BC380439F419,"[{'작성자': '양념후룸라이드', '별점': '5.0', '날짜': '2025.02.05.', '내용': '신경치료가 이렇게 아프지 않은 치료였다니.. 어릴때 신경치료하면서 엄청난 고통에 트라우마 심한데 마취를 제대로 안해서 그렇대요.\n진작 올껄 그랬어요..', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2025.01.02.', '내용': '가격도 합리적이고 선생님도 친절하고 과잉진료 없어서 계속 다녔는데 정확히 여기서 때웠던 치아 4개만 2~3년만에 전부 금가서 병원 옮김\n크라운 신경치료 후에도 계속 아파 대학병원 찾아갔더니 통증 심하면 여... 더보기', '좋아요': '0'}, {'작성자': '천둥새', '별점': '2.0', '날짜': '2024.12.24.', '내용': '의사 선생님은 친절하시고 과잉진료 안하시는데 여기서 떼운 치아가 2년만에 두 쪽이 났습니다 다른 치과에서 대체 어디서 진료 본거냐고 물어보셨어요ㅠㅠ', '좋아요': '2'}]","{'일': '휴무일', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 20:30', '목': '휴무일', '금': '09:30 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일, 2025년 5월 2일 ~ 2025년 5월 3일 휴무'}"
도토리한의원,5.0,영등포구 영신로19길 5 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCC5DADA2575C4219BFA2DD78986477DA,"[{'작성자': 'ㄷㄷㄷㅈ', '별점': '5.0', '날짜': '2024.09.21.', '내용': '허리 통증 땜에 두차례 방문했습니다\n처음은 여자 선생님이었는데 차도 별로 없었구요\n두번째는 남자선생님이었는데 침 잘놔주세요 허리통증 너무 심했는데 맞고 나오니까 훨씬 덜 아파졌어요\n추천드립니다 !!! 완전 시원해요', '좋아요': '0'}, {'작성자': '나', '별점': '5.0', '날짜': '2023.10.19.', '내용': '하지정맥류증상으로 방문해서 침치료 3일째 받았는데 상태가 좋아져서 추천합니다 ^^\n처음엔 다리도 절룩거렸는데 3일치료하니 독바로 걷는게 가능해지는군요ㅎㅎ... 더보기', '좋아요': '0'}, {'작성자': 'hh', '별점': '5.0', '날짜': '2019.09.20.', '내용': '헐 원장선생님부터 간호선생님들도 넘 친절해요ㅜㅜ\n시설도 깨끗하고 좋네요~', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
연세가정의학과의원,4.2,영등포구 영등포로 356 201호,,"[{'작성자': 'JonK', '별점': '5.0', '날짜': '2024.09.11.', '내용': '좋아요', '좋아요': '0'}, {'작성자': '에이스', '별점': '5.0', '날짜': '2024.06.19.', '내용': '여기서 타주시는 약 직빵이에요', '좋아요': '0'}, {'작성자': '박진솔', '별점': '5.0', '날짜': '2023.01.07.', '내용': '선생님이 주사를 기가막히게 잘 놓으심.\n선생님, 간호사 두분 모두 친절하심.', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
