name,score,address,img_url,reviews,open_hour
우태하한승경피부과의원,2.2,용산구 한강대로 312,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FDwYqy%2FbtsLFOfCPiw%2FNXfXijl6MslJMKmuh7Ck0k%2Fimg.jpg,"[{'작성자': '시장조사~', '별점': '5.0', '날짜': '2025.02.04.', '내용': '한승경 원장님 처음 뵐때부터 포스가 넘치십니다.\n경륜을 가지고 계시는 연세 정도 있으시고 너무 인자하십니다. 손목에 피부색이 하얗게 되어서 저희는 갔지만 그것만 보시고 바로 아셨습니다. 빨래 많이 하죠... 더보기', '좋아요': '6'}, {'작성자': '고정임', '별점': '1.0', '날짜': '2024.12.30.', '내용': '전 동대문점에갔는데  그의사 거의  환자상태를 보고도 환자가 물어봤는데 수술안해도 된다고 했는데 전결국 발가락을 잘랐어요ㆍ지점은 어떤기준으로 내주는건가요ㆍ갈때도 ... 더보기', '좋아요': '0'}, {'작성자': '아시리', '별점': '1.0', '날짜': '2024.10.18.', '내용': '.....', '좋아요': '1'}]","{'월': '10:00 ~ 18:00', '화': '10:00 ~ 21:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 18:00', '토': '09:00 ~ 15:00'}"
하나이비인후과의원,4.0,용산구 한강대로 297 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTZfMTk1%2FMDAxNzM0MzEwNjk2NzQy.sASyEYJLjcwwvyRGMWLy74EepOl983cLqQwFlIssSqIg.-LsUitayXu2pGHTIjOkAG5EObGDVLTgZPGMOP58ZUikg.PNG%2F4.png%3Ftype%3Dw966,"[{'작성자': '믕', '별점': '5.0', '날짜': '2025.02.14.', '내용': '진료 꼼꼼히 봐주셔요\n약도 상태 잘 봐서 고심해서 써주십니다 \n의사선생님 친절하셔서그런지 간호사분들도... 더보기', '좋아요': '0'}, {'작성자': '도영이셔틀', '별점': '5.0', '날짜': '2025.02.11.', '내용': '무조건 쎈약 처방한다고 좋은 선생님이 아닙니다.\n이곳 선생님은 부작용 여부, 이전 처방에서 약효과가 어땠는지 ... 더보기', '좋아요': '0'}, {'작성자': '엉따켜줘', '별점': '5.0', '날짜': '2025.01.03.', '내용': '아이 콧물도 잘 빼주시고 약 처방도 신경 써서 해 주셔서 매번 감사하게 생각하고 있습니다 ㅎ', '좋아요': '0'}]","{'월': '09:10 ~ 18:00', '화': '09:10 ~ 18:00', '수': '09:10 ~ 13:00', '목': '09:10 ~ 18:00', '금': '09:10 ~ 18:00', '토': '09:10 ~ 13:00', '일': '휴무일', '휴무일': '매주 일요일'}"
김안과의원,4.2,용산구 한강대로 293 3층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA2MjdfMjky%2FMDAxNzE5NDk3MDM5MzQ0.pqtmOtMQ8CUI5rJZocPu_pOfCh7PGYJCBmdtREj2YyYg.z6Usjlvnab_L75nZ96tJLyTyEL2if590DHUpjuWM5fIg.JPEG%2F20240627%25EF%25BC%25BF001227.jpg%3Ftype%3Dw966,"[{'작성자': '홍시', '별점': '5.0', '날짜': '2025.03.15.', '내용': '다래끼때문에 갔는데 정말 따뜻한 기운 듬뿍 받고 갑니다,,🥹', '좋아요': '0'}, {'작성자': '스플렌더왕', '별점': '5.0', '날짜': '2025.01.14.', '내용': '다정한 병원이에요.', '좋아요': '0'}, {'작성자': '시골버스기사', '별점': '3.0', '날짜': '2025.01.13.', '내용': '원장님이랑 간호사님이랑 두 분 다\n연륜이 꽤 되심.\n원장님은 안약 넣기에 달인이심.\n친... 더보기', '좋아요': '1'}]","{'월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 14:30', '일': '휴무일', '휴무일': '공휴일'}"
더블유항외과 용산점,4.1,용산구 한강대로77길 12 롯데마트999 3층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2548C63D545B15EF14,"[{'작성자': '러너', '별점': '5.0', '날짜': '2025.03.02.', '내용': '연휴 중에 농양이 심해져서 못참고, 오픈한 항문 전문외과 찾다가 노원구부터 용산까지 왔어요. 연휴에 연다는 것 만으로도 5점입니다ㅠㅠ', '좋아요': '0'}, {'작성자': '시그마', '별점': '5.0', '날짜': '2025.02.25.', '내용': '유윤식 원장선생님께 감사 인사 전해드리고 싶습니다. \n\n혈변으로 내원했고 선생님이 항문 사진 촬영 후, 통상적인 치질 환자와 다... 더보기', '좋아요': '0'}, {'작성자': '유나', '별점': '1.0', '날짜': '2024.09.30.', '내용': 'ㅋㅋ.. 치열 연고 다른 곳에서 3만5천 끽해야 4만원에 파는 거 5만원 받으심ㅋㅋ.. 사람 봐... 더보기', '좋아요': '0'}]","{'월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30', '토': '09:30 ~ 15:00', '일': '휴무일', '휴무일': '매주 일요일'}"
서울빛드림안과의원,3.3,용산구 한강대로 259 고려에이트리움 203~205호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2be2a3ff56c2ae3152da9b5831b2f3e1ad838df2%3Foriginal,"[{'작성자': '해도', '별점': '5.0', '날짜': '2025.03.25.', '내용': '내가 눈꺼풀에 만성 염증이 있었군요...\n눈이 약한 건 알았는데 다시 알게 되었습니다...\n\n어떤 약이 필요... 더보기', '좋아요': '0'}, {'작성자': '델타포스 x7', '별점': '1.0', '날짜': '2025.03.18.', '내용': '인포에 있는 직원들 불친절.대기 시간 1시간.각오 하고 가시길.\n의사..머좀 물어 보면 내가 하는데 맘에 들지 않으면 큰병원으로 가세요.어름장 놓고... 더보기', '좋아요': '2'}, {'작성자': '이민현', '별점': '1.0', '날짜': '2025.02.08.', '내용': '주차장은 자리 없구요.\n주말 오전에 와서 진료보기까지 한시간 기다렸어요... 더보기', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 13:00', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '토': '09:30 ~ 14:30', '일': '휴무일', '휴무일': '공휴일'}"
서울정형외과의원,2.8,"용산구 한강대로 259 고려에이트리움 203호~205호, 4층 401호",//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F6f523e9ad3ae1f0f6e192873cf7f8cb202f816af%3Foriginal,"[{'작성자': '권준섭', '별점': '5.0', '날짜': '2025.01.09.', '내용': '직원들 모두 친절하고\n과잉진료 없이 자세하게 설명해 주셔서 믿음이 갖고. 시설 장비 등이 잘 갖쳐 있는것 같았음', '좋아요': '0'}, {'작성자': '스탠리', '별점': '1.0', '날짜': '2024.11.15.', '내용': '꿰매기만하러 갔는데 정형외과 의사 무좀심한 손톱있는 맨손으로 환부봉합\n그리고 비급여 엄청 때려넣음\n직원들은 엄청 친절하심', '좋아요': '0'}, {'작성자': '끼끼', '별점': '3.0', '날짜': '2024.04.29.', '내용': '왜 1점 주는지 알았네 \n과잉진료가 심하다 다른데서는 하나할거 여기서 과하게함 근데 물리치료실 은 너무 친절함 천국과 지옥 수준임 \n 물리치료실은 친... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
김낙인피부과의원,4.3,"용산구 한강대로 259 고려에이트리움 2층 210,211호",//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FEC05FC854ADC46A49BE4B615A1C7D147,"[{'작성자': '팩트체크✔️', '별점': '5.0', '날짜': '2025.03.13.', '내용': '간호사님 항상 친절하시고, 진료도 굿 입니다.', '좋아요': '0'}, {'작성자': '델타포스 x7', '별점': '5.0', '날짜': '2025.02.13.', '내용': '여긴 쵝오.\n다 맘에들고 간호사닝 친절의 대명사..~^^\n이젠 피부과 단골... 더보기', '좋아요': '0'}, {'작성자': '평일에만 방문함', '별점': '4.0', '날짜': '2025.02.03.', '내용': '이곳은 자기가 같은 피부질환을 계속 겪어서 쓰는약이 정해져있다면 가기 좋음\n약만타고 집 ㄱㄱ 이런느낌으로..\n의사선생님 약간 김첨지 스타일임', '좋아요': '0'}]","{'월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '휴무일', '목': '09:30 ~ 18:00', '금': '09:30 ~ 18:00', '휴무일': '매주 수요일'}"
바른아산정형외과의원,,용산구 한강대로 297 우신빌딩 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F023C0A8E36AB433BA3C8E46C89DCBDED,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '휴무일': '공휴일'}"
용산튼튼의원,4.2,용산구 한강대로77길 12 국제전산빌딩 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F527B78EA214F4A20A6E2CB38836630D3,"[{'작성자': 'Bohemian', '별점': '5.0', '날짜': '2024.11.16.', '내용': '정선근 교수님 유튜브와 책 따라하다가 도저히 방사통은 척추 위생으로 해결이 안되고 이것은 염증을 좀 적극적으로 빼야된다는 내용 듣고 찾아갔습니다. 유튜브에서 주사는 제대로 정확... 더보기', '좋아요': '0'}, {'작성자': '이하빈', '별점': '3.0', '날짜': '2024.06.17.', '내용': '새로 오픈하셨는지 병원이 아주 깔끔하고 넓었습니다!\n야간진료해서 방문하기 넘좋아용\n의사선생님도 친절하시고 데스크, 물치 ... 더보기', '좋아요': '0'}, {'작성자': '파인애플 맛나', '별점': '5.0', '날짜': '2024.06.17.', '내용': '원장님 쌤들 모두 너무 친절하셔서 감동받았어요\n남영역 근처에 마땅한 정형외과가 없었는데 자주 방문할게요^^', '좋아요': '0'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '매주 일요일'}"
지혜샘정신건강의학과의원,4.8,용산구 한강대로 297 우신빌딩 4층 401호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1870460141,"[{'작성자': '박씨', '별점': '5.0', '날짜': '2024.10.19.', '내용': '지혜원장님 너무 좋으셔요.\n여기저기 소개하고있고 소개받고 간 친구들도 다들 잘 치료받고있습니다', '좋아요': '1'}, {'작성자': '니니', '별점': '4.0', '날짜': '2023.03.25.', '내용': '4년차 약물치료 중입니다 \n초진 시기에 모든 상황과 심리적인 불안 공황 우울증을 설명 드렸고 대기시간은 예약을 해도 바로... 더보기', '좋아요': '1'}, {'작성자': '🍒 ༉‧₊˚✧ 🐰', '별점': '5.0', '날짜': '2022.08.19.', '내용': '지혜 원장님 정말 섬세하시고 다정하세요. 경과에 에 대해서도 굉장히 주의 깊게 물어봐주시고 진료에 반영해 주십니다. 별 얘기 안 해두 맘이 따뜻해지네요. 오랜 상담보다는 검사 및 약물 치료와 병행하는 ... 더보기', '좋아요': '0'}]","{'월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 14:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
