name,score,address,img_url,reviews,open_hour
서울법의의원,0.0,용산구 백범로 341 리첸시아용산 206호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
위공감내과의원,,용산구 백범로 341 리첸시아 용산 A동 307호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F5CA48CAEE75643828502F4C5552C00A9,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
제일성모이비인후과의원,3.5,용산구 백범로 341 리첸시아 용산 A동 1층 128호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE788A66701314B868FC096DC06BA99C7,"[{'작성자': '뽀로롱', '별점': '1.0', '날짜': '2025.03.28.', '내용': '불친절하고 의사가 환자 혼내듯이 진료를 봄.\n내돈내고 의사한테 혼나야하나 어이없음\n근처에 ... 더보기', '좋아요': '0'}, {'작성자': '감자', '별점': '1.0', '날짜': '2025.02.26.', '내용': '근처에 이비인후과가 여기밖에 없어서 여기로 갔습니다. 목 붓고, 코막힘 있고, 기침도 나온다고 설명했는데 목 보더니 가래가 좀 껴있네요. 코 보더니 코 안쪽이 좀 부어있네요.... 더보기', '좋아요': '1'}, {'작성자': '자크 멜리에스', '별점': '2.0', '날짜': '2025.02.12.', '내용': '아 아래 댓글 진짜네요 ㅋㅋ 남자 의사분.. 환자가 증상을 말하는데 아니래요 계속.. 두 세번 더 말하니까 넘어가긴 하는데 납득을 안하심. 있는 그대로가 아니고 왜곡해서 적는 게 아닌가.. 그러다 오진할까 염려됨... 더보기', '좋아요': '2'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '휴무일': '공휴일'}"
좋은습관마취통증의학과의원,4.0,용산구 백범로 340 3-4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F43C82799B7C44A85BB365E0865F17C63,"[{'작성자': 'ABCD', '별점': '5.0', '날짜': '2024.12.10.', '내용': '족저근막염 때문에 방문했는데 직접 발목 사진 찍어주시고 어디에 힘을 주고 걸어야 하는지 정확히 알려주셔서 좋았어요 물리치료... 더보기', '좋아요': '0'}, {'작성자': '냠냐ㅑ냠', '별점': '1.0', '날짜': '2024.06.04.', '내용': '원래 진짜 이런거 안남기는데 어제 할머니가 허리에 스테로이드 주사를 맞은 이후에 하반신에 마비가 오고 근육도 풀려서 걷지 못하다가 연락을해 모시고 집에 돌아왔습니다. 3~4시간 ... 더보기', '좋아요': '1'}, {'작성자': '데릭', '별점': '5.0', '날짜': '2024.03.16.', '내용': '새로운 장비도 많고 진료 잘 해주세요. 보통은 뼈 상태만 보는데 관절이 아픈 원인을 찾아주시니 개선이 잘될것 같아요', '좋아요': '0'}]","{'월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 18:00', '목': '09:00 ~ 19:30', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '공휴일'}"
청담바롬의원 용산점,,용산구 백범로 341 리첸시아용산 A동 3층 306호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F74EBDD9B3B674D74ABB8DC8773D4698F,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 18:30', '화': '14:00 ~ 21:00', '수': '휴무일', '목': '10:00 ~ 18:30', '금': '10:00 ~ 18:30', '토': '10:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
유엔씨비뇨의학과의원,4.9,용산구 백범로 341 리첸시아용산 A동 3층 316호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fadc5f17b04800582ca264ed9fa09eafdaa501d8b%3Foriginal,"[{'작성자': '주형', '별점': '5.0', '날짜': '2025.02.21.', '내용': '사실 데스크 분도 되게 무뚝뚝하셔서 글치 이것저것 물어보면 되게 대답 잘 해주심. 츤데레같음 ㅋㅎㅎ\n\n여기... 더보기', '좋아요': '0'}, {'작성자': '수수깡', '별점': '5.0', '날짜': '2025.02.11.', '내용': '방광염때문에 방문했는데 따뜻하신 선생님 만나서 위로받고 갑니다. 저도 사람을 진심으로 대해야겠다고 느끼게 해준신분이였어요. 이런 의사선생님들이 많이 늘어났으면 좋겠습니다.', '좋아요': '0'}, {'작성자': 'DD', '별점': '5.0', '날짜': '2024.08.30.', '내용': '선생님이 정말 친절하시고 편하게 상담해주세요', '좋아요': '0'}]","{'월': '09:30 ~ 18:20', '화': '09:30 ~ 18:20', '수': '휴무일', '목': '09:30 ~ 18:20', '금': '09:30 ~ 18:20', '토': '09:30 ~ 14:20', '일': '휴무일', '휴무일': '매주 수요일, 일요일'}"
더블유스타일치과의원,4.3,용산구 백범로 341 리첸시아용산 A동 3층 309호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F65301375A9944BF3A6E312D18A45895E,"[{'작성자': 'park', '별점': '5.0', '날짜': '2024.03.13.', '내용': '친절하시고 환자와 교감하며 해주시는 진료.\n너무 좋네요.', '좋아요': '0'}, {'작성자': '팔방소년', '별점': '1.0', '날짜': '2023.12.15.', '내용': '앞니를 지르코니아로 했는데, 치아와 잇몸 경계선이 검게 변해서 보니까 PFM이였네요. 처음부터 의심이 가서 다른 치과도 가봤는데, 겉으로는 알 수가 없다고 하셔서 포기했었는데... 사기당했네요.', '좋아요': '0'}, {'작성자': '꼬북맨', '별점': '5.0', '날짜': '2023.11.08.', '내용': '여러곳에서 스케일링 받아봤지만 가장 안아팠어요!!!치아 상태를 보시고 당장 치료하는 것보단 경과를 지켜보자고 하셔서, 과잉진료를 안하시는거 같아 믿음이 갑니데이!', '좋아요': '0'}]","{'월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '09:30 ~ 14:00'}"
수풀림한의원,3.9,용산구 한강대로 171,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA4MTNfMjk1%2FMDAxNjYwMzg5MzQ5ODA3.qslltumNGjb4CYWHGvaUa4ETvypAzVTZTBUC9p327IMg.X639SVcA_eFwN6KbLlLhJP4CaO8HXPHhaNNOvHTSgEsg.JPEG.haemoonstar%2FSE-520a81bc-67d2-46c2-b91e-36b19d356740.jpg%3Ftype%3Dw966,"[{'작성자': '25S', '별점': '5.0', '날짜': '2024.12.18.', '내용': '검사도 긴편이고 상담도 되게 자세하게 해주시네요\n제 체질도 알려주시고 조심해야할거랑\n하... 더보기', '좋아요': '0'}, {'작성자': '하늘', '별점': '5.0', '날짜': '2024.11.18.', '내용': '뱃살 때메 한약이랑 약침맞으러 왔어요~\n따꼼하게 약침 맞고\n한약 두달 먹으니까 쏙 들어감!', '좋아요': '0'}, {'작성자': '콩', '별점': '5.0', '날짜': '2024.06.12.', '내용': '자가면역질환치료 받고 정말 많이 좋아졌고 꾸준히 관리받고 있는 한의원입니다. 나한테 맞는 한의원 찾아서 너무 좋아요.', '좋아요': '0'}]","{'월': '10:00 ~ 20:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 19:00', '토': '10:00 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
참좋은치과의원,5.0,용산구 원효로 245,,"[{'작성자': '..', '별점': '5.0', '날짜': '2024.06.21.', '내용': '데스크 선생님, 치위생사 선생님들, 원장님 다 엄창 친절하시고 꼼꼼하게 봐주셔요! 충치치료하고 사후 관리를 이렇게까지 꼼꼼하게 해주시는 곳은 처음이에요ㅠㅠㅠㅠ 치과 너무 무서웠는데 원... 더보기', '좋아요': '0'}, {'작성자': 'Ryujy', '별점': '5.0', '날짜': '2024.03.08.', '내용': '""앓던 이가 빠진 것 같다""라는 것을 제대로 느끼게 해준 치과의원입니다. 담당하신 의사선생님의 진료, 치료 모두 만족스러웠고, 간호사선생님들도 모두 친절하게 ... 더보기', '좋아요': '0'}, {'작성자': '김득규', '별점': '5.0', '날짜': '2023.11.25.', '내용': '집 근처라 처음 방문했는데, 의사선생님 아주\n꼼꼼하게 잘 설명해 주시고, 간호사 선생님 전화상담... 더보기', '좋아요': '0'}]","{'월': '10:00 ~ 18:30', '화': '10:00 ~ 18:30', '수': '10:00 ~ 18:30', '목': '10:00 ~ 18:30', '금': '10:00 ~ 20:30'}"
김도현 소아청소년과의원,3.4,용산구 백범로 341 리첸시아용산A동 303호,,"[{'작성자': 'yoho', '별점': '2.0', '날짜': '2024.01.24.', '내용': '대기가 없어 급할 때 가기 좋아요..', '좋아요': '0'}, {'작성자': 'ankm', '별점': '5.0', '날짜': '2024.01.18.', '내용': '김도현 쌤 쵝오~!!!!', '좋아요': '0'}, {'작성자': '별점 평균이 2.5인 사람', '별점': '1.0', '날짜': '2023.04.10.', '내용': '1층 이비인후과에 사람들이 몰리더라구요', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 13:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00'}"
